speed_y	speed_x	thw	timestamp	distan	thw2	gun	a_y	a_z	brake	position_x	position_y	front	a_x	speed	steer	drive-status	distan	obs-thw	obs-speed	ttc
0.062477	2.356927	6.54507457255	1533175215.547516	15.4289605068	6.54102939203	17.303730	-0.433291	0.140183	18.793011	470781.327007	4399211.329860	-88.262788	-0.094311	2.357755	1.829787	1.000000	14.3492018419	0.736010593433	19.4959175451	5.80906397912
0.063020	2.353474	6.57237468466	1533175215.557516	15.4169230224	6.538814687	17.335775	-0.265940	0.008664	19.009689	470781.351667	4399211.328017	-88.260925	-0.118133	2.354318	1.787234	1.000000	14.2405920546	0.730603659811	19.4915421834	5.84177102485
0.063839	2.352211	6.54123983676	1533175215.567519	15.3921942487	6.5378569287	17.500572	-0.099881	-0.155421	19.491875	470781.375617	4399211.327888	-88.256559	-0.037316	2.353077	1.744681	1.000000	14.1863179575	0.727842940568	19.4909054781	5.81339689619
0.064581	2.350292	6.53449365309	1533175215.577521	15.3682439013	6.53112664875	17.500572	0.073444	0.015135	19.491875	470781.399552	4399211.327769	-88.252233	-0.066131	2.351179	1.744681	1.000000	14.1320269886	0.724976530463	19.4930820445	5.80951712263
0.064666	2.349055	6.52962978109	1533175215.582516	15.3443086054	6.52621880573	17.468529	0.071386	0.013714	19.008163	470781.411499	4399211.327711	-88.250175	-0.059546	2.349945	1.723404	1.000000	14.077228556	0.722465349349	19.4849878527	5.80716443174
0.065751	2.346569	6.52793585528	1533175215.597516	15.3323614647	6.52456183641	17.468529	-0.157406	-0.029360	19.008163	470781.447351	4399211.327545	-88.244059	-0.040882	2.347490	1.723404	1.000000	14.077228556	0.722465349349	19.4849878527	5.80547050593
0.066181	2.344877	6.51952730324	1533175215.607516	15.2965090804	6.51611256293	17.271687	-0.306664	-0.181752	19.140917	470781.471235	4399211.327441	-88.240758	-0.046790	2.345810	1.723404	1.000000	13.9690816687	0.716876212921	19.4860443364	5.80265109032
0.066332	2.343886	6.51477248187	1533175215.617516	15.2726248539	6.51059755645	17.271687	-0.380757	0.147227	19.140917	470781.495197	4399211.327259	-88.236602	-0.056773	2.344824	1.659575	1.000000	13.8879773729	0.712688831007	19.4867335767	5.80208365086
0.066798	2.343108	6.50726669879	1533175215.627516	15.2486621628	6.50311586829	17.271687	-0.213729	-0.127437	19.140917	470781.519147	4399211.327081	-88.232033	-0.031283	2.344060	1.659575	1.000000	13.8879773729	0.712688831007	19.4867335767	5.79457786778
0.067012	2.340516	6.49919499272	1533175215.642516	15.2247115013	6.49501783286	17.254902	0.024135	-0.129597	19.479668	470781.555046	4399211.326817	-88.226078	0.027071	2.341476	1.638298	1.000000	13.7525167904	0.705732089864	19.4868803445	5.79346290286
0.067348	2.340006	6.49103767449	1533175215.647516	15.1888115306	6.48685339101	17.254902	0.041137	-0.109865	19.479668	470781.567006	4399211.326730	-88.223915	0.038028	2.340975	1.638298	1.000000	13.7525167904	0.705732089864	19.4868803445	5.78530558463
0.067866	2.337089	6.50518706969	1533175215.662516	15.1768512141	6.48313254696	17.108416	-0.144524	-0.054981	19.699398	470781.603542	4399211.324770	-88.222348	-0.037251	2.338074	1.617021	1.000000	13.6440679439	0.699995944325	19.4916385652	5.80519112536
0.068320	2.335077	6.47898813519	1533175215.672516	15.1402626791	6.47552758343	17.108416	-0.301354	0.026838	19.699398	470781.627332	4399211.324683	-88.217812	-0.014913	2.336077	1.617021	1.000000	13.5898170821	0.697195917822	19.4921065008	5.78179221737
0.068654	2.333037	6.47433358319	1533175215.682516	15.11647252	6.47087939311	17.059586	-0.331188	-0.059734	19.969482	470781.651104	4399211.324602	-88.213671	-0.030257	2.334047	1.574468	1.000000	13.5355773864	0.694420711323	19.4918975856	5.77991287187
