speed_y	speed_x	thw	timestamp	distan	thw2	gun	a_y	a_z	brake	position_x	position_y	front	a_x	speed	steer	drive-status	obs-distan	obs-thw	obs-speed	ttc
3.814118	-1.446710	5.51871319084	1533265686.013321	22.5264545105	5.51747365022	17.354086	-0.810935	0.254658	22.122530	433325.684028	4437227.697741	21.667938	-0.211469	4.079273	5.106383	1.000000	72.9915545861	5.41010078916	13.4917180716	0.108612401678
3.804804	-1.444213	5.51263479112	1533265686.023320	22.4853666432	5.51210145612	17.354086	-0.873588	0.269448	22.122530	433325.670054	4437227.736186	21.686350	-0.161813	4.069679	5.106383	1.000000	72.9543266711	5.39318164214	13.5271406587	0.119453148981
3.795946	-1.440965	5.51558699656	1533265686.033320	22.4444607674	5.51504449551	17.254902	-0.952575	0.294195	22.142366	433325.656107	4437227.774542	21.705998	-0.095468	4.060244	5.106383	1.000000	72.9168456865	5.37053447202	13.5772046649	0.145052524543
3.785634	-1.438206	5.51834194232	1533265686.043321	22.4036477599	5.51780823021	17.254902	-1.073285	0.308789	22.142366	433325.642189	4437227.812803	21.726652	-0.057049	4.049625	5.319149	1.000000	72.8980334305	5.36000351312	13.6003704572	0.158338429202
3.776396	-1.435506	5.52276111348	1533265686.053321	22.3629339434	5.52222340177	17.384604	-1.156844	0.420827	22.191196	433325.628298	4437227.850962	21.747401	-0.110179	4.040030	5.553192	1.000000	72.8414342217	5.32784962609	13.6718262214	0.194911487388
3.767297	-1.432414	5.52583318767	1533265686.063320	22.3223252111	5.52528699318	17.384604	-1.092403	0.214307	22.191196	433325.614438	4437227.889027	21.769005	-0.094515	4.030427	5.553192	1.000000	72.8035550204	5.30812310803	13.7154985931	0.217710079643
3.754402	-1.429526	5.52892954782	1533265686.078321	22.2818154115	5.52840069093	17.384604	-0.926540	0.568260	22.191196	433325.593683	4437227.945970	21.802328	-0.152062	4.017347	5.553192	1.000000	72.7655364448	5.28734178976	13.7622153699	0.241587758055
3.749373	-1.427835	5.53186349012	1533265686.083321	22.2212078608	5.53131403905	17.189289	-0.882599	0.401677	22.240025	433325.586777	4437227.964906	21.813432	-0.146949	4.012045	5.808511	1.000000	72.7273860496	5.26602239431	13.8106868152	0.26584109581
3.741303	-1.425599	5.53414315892	1533265686.093320	22.2010518462	5.53359990883	17.189289	-0.801980	-0.073697	22.240025	433325.572984	4437228.002711	21.837548	-0.075729	4.003709	5.808511	1.000000	72.6890961327	5.2444821877	13.8601092598	0.289660971217
3.731977	-1.423232	5.53602765846	1533265686.103321	22.1608092705	5.53506992404	17.155718	-0.709832	0.066698	22.287327	433325.559373	4437228.040530	21.861417	-0.089183	3.994151	6.063830	1.000000	72.6506741192	5.2245803518	13.9055520687	0.311447306661
3.718300	-1.419660	5.53878114732	1533265686.118321	22.1206155387	5.53825219394	17.155718	-0.885205	0.086782	22.287327	433325.538756	4437228.096920	21.898826	-0.103813	3.980099	6.063830	1.000000	72.6121285262	5.20389693317	13.9534140393	0.334884214151
3.713636	-1.418588	5.54325882619	1533265686.123321	22.0605747788	5.54272011294	17.061111	-0.907651	0.008916	22.334631	433325.531893	4437228.115676	21.911446	-0.115279	3.975359	6.297873	1.000000	72.5734469302	5.18518214155	13.9963158379	0.358076684642
3.704954	-1.416331	5.54484266782	1533265686.133320	22.0406025911	5.54430495236	17.061111	-0.944208	-0.150022	22.334631	433325.518186	4437228.153116	21.936412	-0.146257	3.966444	6.297873	1.000000	72.534667043	5.16625812952	14.0400779877	0.3785845383
3.691105	-1.412667	5.54725168144	1533265686.148321	22.0007323584	5.54671447734	17.206074	-1.055616	-0.133382	21.023880	433325.497665	4437228.209121	21.975330	-0.089538	3.952200	6.617021	1.000000	72.4958483651	5.14801014746	14.082304869	0.399241533984
3.682409	-1.410044	5.55215824361	1533265686.158321	21.941086139	5.55161331386	17.206074	-1.103215	0.022417	21.023880	433325.484014	4437228.246343	22.001981	-0.151857	3.943141	6.617021	1.000000	72.4567612822	5.12671005781	14.1331888219	0.425448185803
