auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.082598	0.322913	-0.008249	0.141630	0.017907	-0.140493	159.118923	0.118706	-204201.000000	0.000000	0.000000	0.000000	0.141630	0.017907	-0.140493	1.000000	1123.486512	1543458862.359377	1123.486512
0.046011	0.444042	-0.032082	0.149472	0.019044	-0.148254	159.116615	0.118608	-204201.000000	0.000000	0.000000	0.000000	0.149472	0.019044	-0.148254	1.000000	1064.523817	1543458862.375375	1064.523817
0.036076	0.386810	0.018386	0.153079	0.019693	-0.151807	159.115414	0.118560	-204201.000000	0.000000	0.000000	0.000000	0.153079	0.019693	-0.151807	1.000000	1039.432094	1543458862.383377	1039.432094
0.082999	0.255871	0.096772	0.158541	0.020287	-0.157238	159.112885	0.118496	-204201.000000	0.000000	0.000000	0.000000	0.158541	0.020287	-0.157238	1.000000	1003.607366	1543458862.399380	1003.607366
0.070055	0.366369	0.071504	0.167272	0.020673	-0.165989	159.108968	0.118422	-204201.000000	0.000000	0.000000	0.000000	0.167272	0.020673	-0.165989	1.000000	951.200609	1543458862.423373	951.200609
0.045141	0.461442	0.059098	0.171474	0.021330	-0.170143	159.107613	0.118402	-204201.000000	0.000000	0.000000	0.000000	0.171474	0.021330	-0.170143	1.000000	927.879386	1543458862.431374	927.879386
0.029397	0.431099	0.045426	0.175432	0.022079	-0.174037	159.106227	0.118383	-204201.000000	0.000000	0.000000	0.000000	0.175432	0.022079	-0.174037	1.000000	906.937916	1543458862.439374	906.937916
0.034743	0.268469	0.015693	0.181273	0.023316	-0.179767	159.103372	0.118350	-204201.000000	0.000000	0.000000	0.000000	0.181273	0.023316	-0.179767	1.000000	877.699562	1543458862.455378	877.699562
0.082262	0.416175	-0.048338	0.187927	0.023932	-0.186397	159.181328	0.118319	-204201.000000	0.000000	0.000000	0.000000	0.187927	0.023932	-0.186397	1.000000	847.036741	1543458862.471380	847.036741
0.070903	0.565060	-0.069499	0.192960	0.024507	-0.191397	159.179806	0.118301	-204201.000000	0.000000	0.000000	0.000000	0.192960	0.024507	-0.191397	1.000000	824.937223	1543458862.479377	824.937223
-0.014373	0.533575	-0.024031	0.208804	0.027195	-0.207025	159.173997	0.119083	-204201.000000	0.000000	0.000000	0.000000	0.208804	0.027195	-0.207025	1.000000	762.313522	1543458862.503374	762.313522
0.003175	0.362431	0.024508	0.213671	0.028439	-0.211771	159.171166	0.120003	-204201.000000	0.000000	0.000000	0.000000	0.213671	0.028439	-0.211771	1.000000	744.934040	1543458862.511376	744.934040
0.037736	0.237063	0.032376	0.216081	0.028909	-0.214138	159.169489	0.119941	-204201.000000	0.000000	0.000000	0.000000	0.216081	0.028909	-0.214138	1.000000	736.620844	1543458862.519377	736.620844
0.128238	0.326097	0.113737	0.221415	0.028812	-0.219533	159.166077	0.119813	-204201.000000	0.000000	0.000000	0.000000	0.221415	0.028812	-0.219533	1.000000	718.857976	1543458862.535378	718.857976
0.060294	0.738320	0.070256	0.232824	0.029780	-0.230911	159.162535	0.119670	-204201.000000	0.000000	0.000000	0.000000	0.232824	0.029780	-0.230911	1.000000	683.618638	1543458862.551373	683.618638
-0.028060	0.681766	0.049978	0.238784	0.031260	-0.236729	159.255852	0.119600	-204201.000000	0.000000	0.000000	0.000000	0.238784	0.031260	-0.236729	1.000000	666.945166	1543458862.559374	666.945166
0.017427	0.365216	0.010818	0.246719	0.033555	-0.244427	159.252049	0.119477	-204201.000000	0.000000	0.000000	0.000000	0.246719	0.033555	-0.244427	1.000000	645.478871	1543458862.575375	645.478871
0.136962	0.308656	-0.013241	0.249705	0.033321	-0.247472	159.250106	0.119416	-204201.000000	0.000000	0.000000	0.000000	0.249705	0.033321	-0.247472	1.000000	637.752689	1543458862.583378	637.752689
0.177938	0.564087	0.006591	0.258407	0.032292	-0.256381	159.246131	0.119270	-204201.000000	0.000000	0.000000	0.000000	0.258407	0.032292	-0.256381	1.000000	616.262074	1543458862.599377	616.262074
-0.088024	0.526006	0.044313	0.268652	0.035059	-0.266354	159.241997	0.119115	-204201.000000	0.000000	0.000000	0.000000	0.268652	0.035059	-0.266354	1.000000	592.745134	1543458862.615374	592.745134
-0.049128	0.410296	0.020762	0.272441	0.036409	-0.269997	159.239876	0.119048	-204201.000000	0.000000	0.000000	0.000000	0.272441	0.036409	-0.269997	1.000000	584.493721	1543458862.623374	584.493721
0.099998	0.426552	0.024091	0.276369	0.036596	-0.273935	159.237722	0.118982	-204201.000000	0.000000	0.000000	0.000000	0.276369	0.036596	-0.273935	1.000000	576.178245	1543458862.631377	576.178245
0.184475	0.535653	0.060647	0.281176	0.036231	-0.278832	159.235534	0.118911	-204201.000000	0.000000	0.000000	0.000000	0.281176	0.036231	-0.278832	1.000000	566.319265	1543458862.639380	566.319265
-0.017960	0.674770	0.016462	0.292649	0.037899	-0.290185	159.231032	0.118758	-204201.000000	0.000000	0.000000	0.000000	0.292649	0.037899	-0.290185	1.000000	544.102407	1543458862.655373	544.102407
-0.054515	0.668161	-0.043721	0.298504	0.039583	-0.295868	159.043387	0.118687	-204201.000000	0.000000	0.000000	0.000000	0.298504	0.039583	-0.295868	1.000000	532.801406	1543458862.663377	532.801406
0.059099	0.614790	-0.119823	0.303936	0.040311	-0.301251	159.041020	0.118619	-204201.000000	0.000000	0.000000	0.000000	0.303936	0.040311	-0.301251	1.000000	523.271333	1543458862.671377	523.271333
0.146447	0.616848	-0.023371	0.309391	0.040343	-0.306749	159.038609	0.118549	-204201.000000	0.000000	0.000000	0.000000	0.309391	0.040343	-0.306749	1.000000	514.037994	1543458862.679380	514.037994
-0.029883	0.681584	0.001717	0.321127	0.042458	-0.318308	159.033653	0.118402	-204201.000000	0.000000	0.000000	0.000000	0.321127	0.042458	-0.318308	1.000000	495.235319	1543458862.695374	495.235319
0.068014	0.577106	-0.091712	0.332006	0.044433	-0.329020	159.028510	0.118270	-204201.000000	0.000000	0.000000	0.000000	0.332006	0.044433	-0.329020	1.000000	478.992378	1543458862.711380	478.992378
0.080690	0.522001	0.043822	0.336696	0.044876	-0.333692	159.025880	0.118203	-204201.000000	0.000000	0.000000	0.000000	0.336696	0.044876	-0.333692	1.000000	472.313616	1543458862.719377	472.313616
0.052470	0.408076	0.066660	0.344444	0.046123	-0.341342	159.020518	0.118070	-204201.000000	0.000000	0.000000	0.000000	0.344444	0.046123	-0.341342	1.000000	461.672680	1543458862.735374	461.672680
0.058727	0.621431	0.145198	0.354487	0.046997	-0.351357	159.015017	0.117932	-204201.000000	0.000000	0.000000	0.000000	0.354487	0.046997	-0.351357	1.000000	448.578431	1543458862.751373	448.578431
-0.040413	0.688952	0.012372	0.366554	0.050313	-0.363085	158.762319	0.117805	-204201.000000	0.000000	0.000000	0.000000	0.366554	0.050313	-0.363085	1.000000	433.121074	1543458862.767374	433.121074
0.058419	0.691662	-0.002726	0.372600	0.051123	-0.369076	158.759406	0.117748	-204201.000000	0.000000	0.000000	0.000000	0.372600	0.051123	-0.369076	1.000000	426.085647	1543458862.775373	426.085647
0.083485	0.695393	0.036408	0.378680	0.051737	-0.375129	158.756443	0.117690	-204201.000000	0.000000	0.000000	0.000000	0.378680	0.051737	-0.375129	1.000000	419.236489	1543458862.783378	419.236489
0.056860	0.640723	0.008521	0.384318	0.052502	-0.380715	158.753436	0.117631	-204201.000000	0.000000	0.000000	0.000000	0.384318	0.052502	-0.380715	1.000000	413.078629	1543458862.791377	413.078629
0.047190	0.552921	0.010555	0.389252	0.053246	-0.385593	158.750386	0.117572	-204201.000000	0.000000	0.000000	0.000000	0.389252	0.053246	-0.385593	1.000000	407.834365	1543458862.799375	407.834365
0.096326	0.540567	-0.001254	0.398753	0.054144	-0.395060	158.744171	0.117452	-204201.000000	0.000000	0.000000	0.000000	0.398753	0.054144	-0.395060	1.000000	398.101567	1543458862.815375	398.101567
0.035505	0.655129	0.115541	0.409617	0.055489	-0.405841	158.737794	0.117324	-204201.000000	0.000000	0.000000	0.000000	0.409617	0.055489	-0.405841	1.000000	387.527806	1543458862.831377	387.527806
0.078030	0.734182	0.071320	0.428248	0.058430	-0.424244	158.727875	0.117143	-204201.000000	0.000000	0.000000	0.000000	0.428248	0.058430	-0.424244	1.000000	370.644521	1543458862.855377	370.644521
0.091882	0.684086	-0.030049	0.440470	0.059673	-0.436409	158.294033	0.117019	-204201.000000	0.000000	0.000000	0.000000	0.440470	0.059673	-0.436409	1.000000	359.375571	1543458862.871376	359.375571
0.075163	0.705482	0.174256	0.446625	0.060353	-0.442528	158.290528	0.116954	-204201.000000	0.000000	0.000000	0.000000	0.446625	0.060353	-0.442528	1.000000	354.415225	1543458862.879377	354.415225
0.033031	0.666586	0.043989	0.458334	0.062220	-0.454091	158.283287	0.116900	-204201.000000	0.000000	0.000000	0.000000	0.458334	0.062220	-0.454091	1.000000	345.345138	1543458862.895373	345.345138
-0.010844	0.722026	0.155297	0.464621	0.063602	-0.460248	158.279592	0.116876	-204201.000000	0.000000	0.000000	0.000000	0.464621	0.063602	-0.460248	1.000000	340.663559	1543458862.903377	340.663559
0.095388	0.651729	-0.007113	0.476412	0.065249	-0.471923	158.272070	0.116866	-204201.000000	0.000000	0.000000	0.000000	0.476412	0.065249	-0.471923	1.000000	332.216534	1543458862.919377	332.216534
0.089012	0.606382	-0.119752	0.487356	0.066171	-0.482843	158.264367	0.116847	-204201.000000	0.000000	0.000000	0.000000	0.487356	0.066171	-0.482843	1.000000	324.740452	1543458862.935377	324.740452
0.024542	0.724061	0.055756	0.499524	0.067838	-0.494896	158.256484	0.116822	-204201.000000	0.000000	0.000000	0.000000	0.499524	0.067838	-0.494896	1.000000	316.814628	1543458862.951372	316.814628
-0.008183	0.772132	-0.073119	0.506216	0.069269	-0.501454	158.152447	0.116813	-204201.000000	0.000000	0.000000	0.000000	0.506216	0.069269	-0.501454	1.000000	312.420973	1543458862.959374	312.420973
0.027884	0.837248	-0.102289	0.520871	0.071974	-0.515874	158.144237	0.116804	-204201.000000	0.000000	0.000000	0.000000	0.520871	0.071974	-0.515874	1.000000	303.615177	1543458862.975377	303.615177
0.055231	0.812806	-0.032580	0.527887	0.072944	-0.522823	158.140047	0.116802	-204201.000000	0.000000	0.000000	0.000000	0.527887	0.072944	-0.522823	1.000000	299.571592	1543458862.983377	299.571592
0.058348	0.716789	-0.161684	0.544469	0.072648	-0.539601	158.129781	0.117286	-204201.000000	0.000000	0.000000	0.000000	0.544469	0.072648	-0.539601	1.000000	290.429370	1543458862.999374	290.429370
