auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.179002	0.078569	-0.046540	12.744461	-1.124192	12.694782	131.358138	0.023033	-1025501.000000	0.568184	-0.058814	0.565132	12.176347	-1.065378	12.129650	1.000000	10.787976	1543372466.259378	10.307077
0.050446	-0.039401	-0.002824	12.746370	-1.120286	12.697043	130.950511	0.025731	-1025501.000000	0.568184	-0.058814	0.565132	12.178259	-1.061472	12.131911	1.000000	10.752810	1543372466.291376	10.273553
0.149590	0.043015	0.008387	12.746720	-1.116483	12.697730	130.644778	0.027667	-1025501.000000	0.568184	-0.058814	0.565132	12.178612	-1.057669	12.132598	1.000000	10.727395	1543372466.315375	10.249286
0.079763	0.076788	0.294417	12.747901	-1.116165	12.698943	130.542842	0.028295	-1025501.000000	0.568184	-0.058814	0.565132	12.179794	-1.057351	12.133811	1.000000	10.717985	1543372466.323376	10.240340
0.179758	0.002511	0.297827	12.747767	-1.114692	12.698938	131.090198	0.030170	-1025501.000000	0.951292	-0.098303	0.946199	11.796606	-1.016389	11.752739	1.000000	11.112535	1543372466.347376	10.283385
0.165651	-0.038708	0.366556	12.748059	-1.110439	12.699604	130.682609	0.031691	-1025501.000000	0.951292	-0.098303	0.946199	11.796904	-1.012136	11.753405	1.000000	11.077703	1543372466.379375	10.251177
-0.127440	-0.162090	1.228705	12.744359	-1.107932	12.696108	130.275130	0.032671	-1025501.000000	0.951292	-0.098303	0.946199	11.793207	-1.009629	11.749910	1.000000	11.046625	1543372466.411369	10.222180
0.024685	-0.035591	-0.038357	12.742340	-1.113586	12.693587	129.969374	0.033304	-1025501.000000	0.951292	-0.098303	0.946199	11.791180	-1.015283	11.747388	1.000000	11.022592	1543372466.435377	10.199804
0.097840	0.058518	-0.701702	12.744001	-1.112366	12.695362	130.630248	0.033745	-1025501.000000	1.355194	-0.138153	1.348134	11.388971	-0.974213	11.347228	1.000000	11.469890	1543372466.451372	10.250332
0.337865	0.106589	-0.754948	12.745411	-1.109893	12.696993	130.528321	0.033951	-1025501.000000	1.355194	-0.138153	1.348134	11.390386	-0.971741	11.348859	1.000000	11.459517	1543372466.459374	10.241202
0.284763	0.032020	0.028940	12.755872	-1.101282	12.708243	130.118157	0.035885	-1025501.000000	1.355194	-0.138153	1.348134	11.400864	-0.963129	11.360109	1.000000	11.413009	1543372466.491376	10.200648
0.248136	0.002927	-0.198007	12.756755	-1.094792	12.709691	129.606484	0.038137	-1025501.000000	1.355194	-0.138153	1.348134	11.401760	-0.956639	11.361557	1.000000	11.367235	1543372466.531377	10.159831
0.191532	0.060130	-0.663804	12.760405	-1.089692	12.713792	130.627557	0.037919	-1025501.000000	1.769356	-0.179774	1.760200	10.991321	-0.909918	10.953592	1.000000	11.884610	1543372466.555376	10.236944
