auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.054092	-0.063996	-0.034813	0.033131	0.032904	-0.003868	77.477639	0.190293	-102701.000000	0.000000	0.000000	0.000000	0.033131	0.032904	-0.003868	0.000000	2338.537549	1543477179.784698	2338.537549
0.084398	-0.065328	-0.032214	0.033117	0.032866	-0.004074	77.477453	0.190346	-102701.000000	0.000000	0.000000	0.000000	0.033117	0.032866	-0.004074	0.000000	2339.502098	1543477179.792699	2339.502098
0.069517	-0.067099	0.062100	0.033085	0.032823	-0.004157	77.477268	0.190397	-102701.000000	0.000000	0.000000	0.000000	0.033085	0.032823	-0.004157	0.000000	2341.754349	1543477179.800697	2341.754349
0.036397	-0.038416	0.032915	0.033236	0.032998	-0.003970	77.477083	0.190449	-102701.000000	0.000000	0.000000	0.000000	0.033236	0.032998	-0.003970	0.000000	2331.144461	1543477179.808698	2331.144461
0.068403	-0.040660	0.051578	0.033625	0.033392	-0.003956	78.124007	0.190554	-102701.000000	0.000000	0.000000	0.000000	0.033625	0.033392	-0.003956	0.000000	2323.370711	1543477179.824700	2323.370711
0.052282	-0.039422	0.014196	0.033785	0.033560	-0.003897	78.123816	0.190607	-102701.000000	0.000000	0.000000	0.000000	0.033785	0.033560	-0.003897	0.000000	2312.357934	1543477179.832700	2312.357934
0.051326	-0.061489	-0.002921	0.033768	0.033549	-0.003836	78.123625	0.190660	-102701.000000	0.000000	0.000000	0.000000	0.033768	0.033549	-0.003836	0.000000	2313.565979	1543477179.840700	2313.565979
0.076224	-0.066132	0.053433	0.033707	0.033508	-0.003650	78.123460	0.190610	-102701.000000	0.000000	0.000000	0.000000	0.033707	0.033508	-0.003650	1.000000	2317.742041	1543477179.848700	2317.742041
0.057145	-0.099755	-0.044531	0.033226	0.033016	-0.003734	78.123078	0.190751	-102701.000000	0.000000	0.000000	0.000000	0.033226	0.033016	-0.003734	1.000000	2351.236943	1543477179.864700	2351.236943
0.064248	-0.072883	0.031571	0.033137	0.032921	-0.003778	78.122889	0.190821	-102701.000000	0.000000	0.000000	0.000000	0.033137	0.032921	-0.003778	1.000000	2357.539629	1543477179.872698	2357.539629
0.052309	-0.058262	0.001496	0.033147	0.032937	-0.003724	78.122700	0.190891	-102701.000000	0.000000	0.000000	0.000000	0.033147	0.032937	-0.003724	1.000000	2356.886206	1543477179.880698	2356.886206
0.044642	-0.049642	0.006157	0.033217	0.033020	-0.003607	78.122511	0.190962	-102701.000000	0.000000	0.000000	0.000000	0.033217	0.033020	-0.003607	1.000000	2351.912255	1543477179.888700	2351.912255
0.075141	-0.040002	0.004037	0.033527	0.033307	-0.003830	78.122131	0.191102	-102701.000000	0.000000	0.000000	0.000000	0.033527	0.033307	-0.003830	1.000000	2330.130962	1543477179.904700	2330.130962
0.040503	-0.048107	0.035400	0.033609	0.033407	-0.003678	78.121870	0.191077	-102701.000000	0.000000	0.000000	0.000000	0.033609	0.033407	-0.003678	1.000000	2324.459886	1543477179.912699	2324.459886
0.036113	-0.076235	0.012063	0.033460	0.033276	-0.003498	77.454503	0.191052	-102701.000000	0.000000	0.000000	0.000000	0.033460	0.033276	-0.003498	1.000000	2314.852889	1543477179.920698	2314.852889
0.066995	-0.057621	0.031373	0.033494	0.033305	-0.003560	77.454243	0.191028	-102701.000000	0.000000	0.000000	0.000000	0.033494	0.033305	-0.003560	1.000000	2312.453178	1543477179.928700	2312.453178
0.050150	-0.083700	-0.039255	0.033321	0.033142	-0.003454	77.453723	0.190981	-102701.000000	0.000000	0.000000	0.000000	0.033321	0.033142	-0.003454	1.000000	2324.472726	1543477179.944700	2324.472726
0.079152	-0.059390	0.075188	0.033361	0.033165	-0.003612	77.453464	0.190957	-102701.000000	0.000000	0.000000	0.000000	0.033361	0.033165	-0.003612	1.000000	2321.705945	1543477179.952698	2321.705945
0.065107	-0.029917	0.009277	0.033609	0.033410	-0.003654	77.453204	0.190932	-102701.000000	0.000000	0.000000	0.000000	0.033609	0.033410	-0.003654	1.000000	2304.522076	1543477179.960697	2304.522076
0.046645	-0.038005	-0.058155	0.033766	0.033578	-0.003553	77.452943	0.190907	-102701.000000	0.000000	0.000000	0.000000	0.033766	0.033578	-0.003553	1.000000	2293.844437	1543477179.968700	2293.844437
0.053552	-0.054638	0.051803	0.033869	0.033684	-0.003537	77.452417	0.190859	-102701.000000	0.000000	0.000000	0.000000	0.033869	0.033684	-0.003537	1.000000	2286.822265	1543477179.984698	2286.822265
0.038694	-0.072071	-0.040935	0.033749	0.033580	-0.003379	77.452154	0.190835	-102701.000000	0.000000	0.000000	0.000000	0.033749	0.033580	-0.003379	1.000000	2294.923252	1543477179.992700	2294.923252
0.073765	-0.086176	0.011422	0.033562	0.033379	-0.003502	77.451893	0.190812	-102701.000000	0.000000	0.000000	0.000000	0.033562	0.033379	-0.003502	1.000000	2307.733435	1543477180.000700	2307.733435
0.089399	-0.071676	0.041996	0.033511	0.033301	-0.003746	77.451632	0.190787	-102701.000000	0.000000	0.000000	0.000000	0.033511	0.033301	-0.003746	1.000000	2311.253932	1543477180.008698	2311.253932
0.052409	-0.084799	0.012471	0.029603	0.029565	-0.001512	77.451382	0.190793	-102701.000000	0.000000	0.000000	0.000000	0.029603	0.029565	-0.001512	1.000000	2616.301401	1543477180.024700	2616.301401
0.073200	-0.082031	0.072152	0.029450	0.029405	-0.001627	78.920311	0.190849	-102701.000000	0.000000	0.000000	0.000000	0.029450	0.029405	-0.001627	1.000000	2679.832906	1543477180.032696	2679.832906
0.058040	-0.047575	0.042852	0.029557	0.029512	-0.001615	78.920150	0.190905	-102701.000000	0.000000	0.000000	0.000000	0.029557	0.029512	-0.001615	1.000000	2670.131235	1543477180.040698	2670.131235
0.038591	-0.042010	0.008208	0.029692	0.029656	-0.001448	78.919989	0.190962	-102701.000000	0.000000	0.000000	0.000000	0.029692	0.029656	-0.001448	1.000000	2657.998827	1543477180.048701	2657.998827
0.059590	-0.073729	0.069545	0.029441	0.029405	-0.001462	78.919666	0.191076	-102701.000000	0.000000	0.000000	0.000000	0.029441	0.029405	-0.001462	1.000000	2680.577919	1543477180.064698	2680.577919
0.065512	-0.136131	0.012478	0.028630	0.028592	-0.001471	78.919351	0.191191	-102701.000000	0.000000	0.000000	0.000000	0.028630	0.028592	-0.001471	1.000000	2756.503425	1543477180.080700	2756.503425
0.060488	-0.160029	0.059791	0.027845	0.027805	-0.001502	78.919200	0.191249	-102701.000000	0.000000	0.000000	0.000000	0.027845	0.027805	-0.001502	1.000000	2834.200182	1543477180.088695	2834.200182
0.076061	-0.163435	-0.059026	0.026191	0.026141	-0.001615	78.918918	0.191364	-102701.000000	0.000000	0.000000	0.000000	0.026191	0.026141	-0.001615	1.000000	3013.224026	1543477180.104698	3013.224026
0.104149	-0.144921	0.077156	0.025563	0.025486	-0.001991	78.918787	0.191420	-102701.000000	0.000000	0.000000	0.000000	0.025563	0.025486	-0.001991	1.000000	3087.175447	1543477180.112696	3087.175447
0.068864	-0.123484	-0.000722	0.025069	0.024982	-0.002085	77.414118	0.191474	-102701.000000	0.000000	0.000000	0.000000	0.025069	0.024982	-0.002085	1.000000	3088.048626	1543477180.120698	3088.048626
