auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.040958	-0.053783	0.036842	0.012460	-0.012127	0.002864	164.992129	-0.944090	-204201.000000	0.000000	0.000000	0.000000	0.012460	-0.012127	0.002864	0.000000	13241.391463	1543459415.559632	13241.391463
0.059268	-0.063820	-0.034724	0.012491	-0.012161	0.002854	164.992105	-0.944227	-204201.000000	0.000000	0.000000	0.000000	0.012491	-0.012161	0.002854	0.000000	13209.009770	1543459415.567632	13209.009770
0.084709	-0.105743	0.018387	0.013131	-0.012740	0.003180	164.992058	-0.944507	-204201.000000	0.000000	0.000000	0.000000	0.013131	-0.012740	0.003180	0.000000	12565.096306	1543459415.583628	12565.096306
0.073165	-0.096818	-0.011524	0.013380	-0.012940	0.003406	164.992038	-0.944649	-204201.000000	0.000000	0.000000	0.000000	0.013380	-0.012940	0.003406	0.000000	12330.899387	1543459415.591627	12330.899387
0.057761	-0.064287	0.034631	0.013406	-0.012967	0.003402	164.992018	-0.944792	-204201.000000	0.000000	0.000000	0.000000	0.013406	-0.012967	0.003402	0.000000	12307.493439	1543459415.599628	12307.493439
0.049889	-0.044045	0.033270	0.013302	-0.012898	0.003254	164.991998	-0.944935	-204201.000000	0.000000	0.000000	0.000000	0.013302	-0.012898	0.003254	1.000000	12403.171460	1543459415.607630	12403.171460
0.049480	-0.030775	0.007126	0.012948	-0.012670	0.002671	164.961571	-0.945220	-204201.000000	0.000000	0.000000	0.000000	0.012948	-0.012670	0.002671	1.000000	12739.856086	1543459415.623632	12739.856086
0.069586	-0.063573	0.012237	0.013057	-0.012787	0.002642	164.961545	-0.945362	-204201.000000	0.000000	0.000000	0.000000	0.013057	-0.012787	0.002642	1.000000	12634.182429	1543459415.631632	12634.182429
0.080223	-0.074255	0.037564	0.013279	-0.013006	0.002679	164.961520	-0.945506	-204201.000000	0.000000	0.000000	0.000000	0.013279	-0.013006	0.002679	1.000000	12422.374403	1543459415.639634	12422.374403
0.084776	-0.079856	0.018019	0.013552	-0.013270	0.002752	164.961495	-0.945651	-204201.000000	0.000000	0.000000	0.000000	0.013552	-0.013270	0.002752	1.000000	12172.186145	1543459415.647632	12172.186145
0.060731	-0.063589	0.033507	0.013844	-0.013565	0.002765	164.961447	-0.945947	-204201.000000	0.000000	0.000000	0.000000	0.013844	-0.013565	0.002765	1.000000	11915.432574	1543459415.663627	11915.432574
0.050549	-0.048705	0.007336	0.013766	-0.013508	0.002652	164.961423	-0.946096	-204201.000000	0.000000	0.000000	0.000000	0.013766	-0.013508	0.002652	1.000000	11983.344500	1543459415.671632	11983.344500
0.050047	-0.041081	-0.004027	0.013660	-0.013433	0.002480	164.961397	-0.946244	-204201.000000	0.000000	0.000000	0.000000	0.013660	-0.013433	0.002480	1.000000	12076.215936	1543459415.679632	12076.215936
0.056350	-0.061799	0.010608	0.013666	-0.013443	0.002459	164.961371	-0.946392	-204201.000000	0.000000	0.000000	0.000000	0.013666	-0.013443	0.002459	1.000000	12070.805578	1543459415.687632	12070.805578
0.075795	-0.093094	0.032232	0.014057	-0.013792	0.002720	164.961320	-0.946691	-204201.000000	0.000000	0.000000	0.000000	0.014057	-0.013792	0.002720	1.000000	11735.018724	1543459415.703632	11735.018724
0.084598	-0.107231	0.031612	0.014418	-0.014101	0.003007	164.937312	-0.946843	-204201.000000	0.000000	0.000000	0.000000	0.014418	-0.014101	0.003007	1.000000	11439.848793	1543459415.711627	11439.848793
0.074819	-0.070877	0.013229	0.014589	-0.014271	0.003027	164.937290	-0.946996	-204201.000000	0.000000	0.000000	0.000000	0.014589	-0.014271	0.003027	1.000000	11305.844994	1543459415.719630	11305.844994
0.052323	-0.034094	0.046078	0.014478	-0.014206	0.002797	164.937268	-0.947150	-204201.000000	0.000000	0.000000	0.000000	0.014478	-0.014206	0.002797	1.000000	11391.947823	1543459415.727630	11391.947823
0.033734	-0.035509	0.056779	0.014015	-0.013821	0.002325	164.937218	-0.947455	-204201.000000	0.000000	0.000000	0.000000	0.014015	-0.013821	0.002325	1.000000	11768.752788	1543459415.743632	11768.752788
0.045570	-0.048394	0.018892	0.013902	-0.013725	0.002217	164.937247	-0.947562	-204201.000000	0.000000	0.000000	0.000000	0.013902	-0.013725	0.002217	1.000000	11863.909370	1543459415.751632	11863.909370
0.056219	-0.067324	0.003329	0.013924	-0.013743	0.002240	164.937277	-0.947668	-204201.000000	0.000000	0.000000	0.000000	0.013924	-0.013743	0.002240	1.000000	11845.628120	1543459415.759632	11845.628120
0.069917	-0.100796	0.013028	0.014148	-0.013925	0.002501	164.937307	-0.947775	-204201.000000	0.000000	0.000000	0.000000	0.014148	-0.013925	0.002501	1.000000	11658.344830	1543459415.767629	11658.344830
0.053308	-0.092234	0.050526	0.014466	-0.014144	0.003033	164.937375	-0.947992	-204201.000000	0.000000	0.000000	0.000000	0.014466	-0.014144	0.003033	1.000000	11401.765851	1543459415.783625	11401.765851
0.046035	-0.061299	-0.000791	0.014394	-0.014073	0.003026	164.937411	-0.948100	-204201.000000	0.000000	0.000000	0.000000	0.014394	-0.014073	0.003026	1.000000	11458.436397	1543459415.791630	11458.436397
0.035611	-0.050578	-0.007535	0.014211	-0.013901	0.002953	164.937447	-0.948208	-204201.000000	0.000000	0.000000	0.000000	0.014211	-0.013901	0.002953	1.000000	11606.513572	1543459415.799632	11606.513572
0.038325	-0.052753	0.023213	0.014056	-0.013755	0.002892	164.937482	-0.948314	-204201.000000	0.000000	0.000000	0.000000	0.014056	-0.013755	0.002892	1.000000	11734.411091	1543459415.807631	11734.411091
