auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
-0.011848	-0.166423	0.472555	12.822286	-1.098562	12.775139	193.592681	0.009194	-1025501.000000	0.000000	0.000000	0.000000	12.822286	-1.098562	12.775139	1.000000	15.098141	1543373154.587690	15.098141
-0.024098	-0.173830	0.433184	12.821278	-1.099327	12.774062	193.079804	0.008555	-1025501.000000	0.000000	0.000000	0.000000	12.821278	-1.099327	12.774062	1.000000	15.059326	1543373154.627695	15.059326
0.108769	-0.232183	0.281224	12.819516	-1.098560	12.772359	192.874745	0.008311	-1025501.000000	0.000000	0.000000	0.000000	12.819516	-1.098560	12.772359	1.000000	15.045400	1543373154.643692	15.045400
0.080065	-0.082519	0.271874	12.818401	-1.097773	12.771308	192.669664	0.008054	-1025501.000000	0.000000	0.000000	0.000000	12.818401	-1.097773	12.771308	1.000000	15.030709	1543373154.659693	15.030709
0.181804	-0.057006	0.054988	12.818514	-1.096546	12.771526	192.567118	0.007917	-1025501.000000	0.000000	0.000000	0.000000	12.818514	-1.096546	12.771526	1.000000	15.022577	1543373154.667694	15.022577
0.124541	-0.048521	-0.026205	12.819269	-1.095004	12.772416	192.362032	0.007621	-1025501.000000	0.000000	0.000000	0.000000	12.819269	-1.095004	12.772416	1.000000	15.005695	1543373154.683695	15.005695
0.187353	-0.104945	-0.010075	12.818960	-1.092523	12.772319	192.157008	0.007294	-1025501.000000	0.000000	0.000000	0.000000	12.818960	-1.092523	12.772319	1.000000	14.990062	1543373154.699691	14.990062
0.207745	-0.149466	-0.279175	12.818330	-1.090992	12.771818	192.054463	0.007114	-1025501.000000	0.000000	0.000000	0.000000	12.818330	-1.090992	12.771818	1.000000	14.982799	1543373154.707692	14.982799
0.003375	-0.036941	0.145564	12.818932	-1.090680	12.772449	191.849368	0.006736	-1025501.000000	0.000000	0.000000	0.000000	12.818932	-1.090680	12.772449	1.000000	14.966096	1543373154.723694	14.966096
0.005740	-0.022748	0.136056	12.819319	-1.090890	12.772818	191.746820	0.006548	-1025501.000000	0.000000	0.000000	0.000000	12.819319	-1.090890	12.772818	1.000000	14.957645	1543373154.731695	14.957645
0.093447	-0.023591	-0.197089	12.819694	-1.090366	12.773239	191.644278	0.006358	-1025501.000000	0.000000	0.000000	0.000000	12.819694	-1.090366	12.773239	1.000000	14.949209	1543373154.739695	14.949209
0.209595	-0.152531	-0.258820	12.819038	-1.088825	12.772713	191.541791	0.006161	-1025501.000000	0.000000	0.000000	0.000000	12.819038	-1.088825	12.772713	1.000000	14.941978	1543373154.747691	14.941978
0.125127	-0.111637	-0.405843	12.818639	-1.086942	12.772473	191.336720	0.005737	-1025501.000000	0.000000	0.000000	0.000000	12.818639	-1.086942	12.772473	1.000000	14.926445	1543373154.763691	14.926445
0.075416	-0.071405	-0.095248	12.818637	-1.086539	12.772505	191.234160	0.005517	-1025501.000000	0.000000	0.000000	0.000000	12.818637	-1.086539	12.772505	1.000000	14.918447	1543373154.771693	14.918447
0.050925	-0.004615	-0.445665	12.819161	-1.086343	12.773048	191.131610	0.005294	-1025501.000000	0.000000	0.000000	0.000000	12.819161	-1.086343	12.773048	1.000000	14.909838	1543373154.779694	14.909838
0.007541	-0.011569	-0.531838	12.819631	-1.086481	12.773507	191.029060	0.005071	-1025501.000000	0.000000	0.000000	0.000000	12.819631	-1.086481	12.773507	1.000000	14.901292	1543373154.787695	14.901292
-0.070910	0.019970	-0.666783	12.821563	-1.088537	12.775271	190.823959	0.004642	-1025501.000000	0.000000	0.000000	0.000000	12.821563	-1.088537	12.775271	1.000000	14.883050	1543373154.803695	14.883050
0.005543	-0.059453	-0.184979	12.821912	-1.088782	12.775601	190.618866	0.004228	-1025501.000000	0.000000	0.000000	0.000000	12.821912	-1.088782	12.775601	1.000000	14.866649	1543373154.819693	14.866649
-0.009016	-0.104381	-0.615597	12.821636	-1.088984	12.775307	190.516308	0.004023	-1025501.000000	0.000000	0.000000	0.000000	12.821636	-1.088984	12.775307	1.000000	14.858971	1543373154.827693	14.858971
0.112626	-0.083538	-0.681843	12.821553	-1.088434	12.775271	187.338697	0.003614	-1025501.000000	0.000000	0.000000	0.000000	12.821553	-1.088434	12.775271	1.000000	14.611233	1543373154.843691	14.611233
0.143008	-0.010601	-0.687673	12.822031	-1.087481	12.775831	187.236100	0.003401	-1025501.000000	0.000000	0.000000	0.000000	12.822031	-1.087481	12.775831	1.000000	14.602687	1543373154.851694	14.602687
