auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.046479	-0.038403	0.060020	0.010336	-0.009820	-0.003227	92.883274	0.002443	-102901.000000	1.511799	-0.164360	-1.502838	1.507553	0.154540	1.499612	1.000000	61.611929	1543459595.511715	8985.957510
0.043168	-0.054886	0.003841	0.010258	-0.009717	-0.003288	92.883291	0.002420	-102901.000000	1.511799	-0.164360	-1.502838	1.507503	0.154643	1.499550	1.000000	61.614009	1543459595.519713	9054.553080
0.053754	-0.059379	0.007126	0.010255	-0.009702	-0.003322	92.883309	0.002396	-102901.000000	1.511799	-0.164360	-1.502838	1.507471	0.154658	1.499516	1.000000	61.615341	1543459595.527713	9057.457865
0.073263	-0.100464	0.026371	0.010350	-0.009759	-0.003447	92.883898	0.004656	-102901.000000	1.511799	-0.164360	-1.502838	1.507341	0.154601	1.499392	1.000000	61.621031	1543459595.551707	8974.317247
0.070508	-0.074787	0.002168	0.010447	-0.009889	-0.003370	92.883951	0.004599	-102901.000000	1.511799	-0.164360	-1.502838	1.507404	0.154471	1.499469	1.000000	61.618477	1543459595.559707	8890.608086
0.060129	-0.053616	0.042428	0.010509	-0.009925	-0.003455	92.884004	0.004541	-102901.000000	1.511799	-0.164360	-1.502838	1.507316	0.154435	1.499383	1.000000	61.622132	1543459595.567708	8838.291466
0.043657	-0.028370	-0.020305	0.010526	-0.009713	-0.004056	92.884117	0.004427	-102901.000000	1.511799	-0.164360	-1.502838	1.506740	0.154647	1.498782	1.000000	61.645763	1543459595.583715	8824.509450
0.057262	-0.040338	0.011872	0.010599	-0.009712	-0.004245	92.884176	0.004371	-102901.000000	1.511799	-0.164360	-1.502838	1.506552	0.154648	1.498594	1.000000	61.653479	1543459595.591715	8763.582276
0.066086	-0.052760	0.056126	0.010715	-0.009796	-0.004342	92.884237	0.004314	-102901.000000	1.511799	-0.164360	-1.502838	1.506447	0.154564	1.498497	1.000000	61.657829	1543459595.599712	8668.640937
0.074923	-0.071060	0.055534	0.011343	-0.010518	-0.004248	92.884416	0.004133	-102901.000000	1.511799	-0.164360	-1.502838	1.506467	0.153842	1.498591	1.000000	61.657139	1543459595.623708	8188.560208
