auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
-0.107954	-0.200724	-0.373251	12.842663	-1.062732	12.798617	229.579337	-0.095274	-1025501.000000	0.243706	-0.018167	0.243028	12.598965	-1.044565	12.555589	1.000000	18.222079	1543373718.931951	17.876303
-0.187512	-0.214810	-0.255646	12.841513	-1.064350	12.797329	229.476587	-0.095570	-1025501.000000	0.243706	-0.018167	0.243028	12.597815	-1.046183	12.554300	1.000000	18.215586	1543373718.939948	17.869902
0.102758	-0.155657	-0.139485	12.840844	-1.063690	12.796712	229.373845	-0.095861	-1025501.000000	0.243706	-0.018167	0.243028	12.597147	-1.045523	12.553684	1.000000	18.208397	1543373718.947945	17.862832
-0.030959	-0.243752	-0.042287	12.837809	-1.065738	12.793496	229.065483	-0.096716	-1025501.000000	0.243706	-0.018167	0.243028	12.594111	-1.047572	12.550467	1.000000	18.188301	1543373718.971950	17.843036
0.051766	-0.207323	-0.047205	12.836725	-1.065455	12.792432	228.962723	-0.096990	-1025501.000000	0.243706	-0.018167	0.243028	12.593027	-1.047288	12.549404	1.000000	18.181706	1543373718.979951	17.836537
-0.038284	-0.214457	-0.469859	12.834880	-1.068821	12.790299	228.654534	-0.097765	-1025501.000000	0.243706	-0.018167	0.243028	12.591183	-1.050654	12.547271	1.000000	18.159893	1543373719.003949	17.815090
-0.139610	-0.223615	-0.688677	12.832939	-1.076905	12.787674	228.552246	-0.096167	-1025501.000000	0.243706	-0.018167	0.243028	12.589244	-1.058739	12.544645	1.000000	18.154565	1543373719.011951	17.809813
0.084313	0.007361	-0.110938	12.833577	-1.076511	12.788347	228.662461	-0.096199	-1025501.000000	0.330339	-0.024961	0.329395	12.503249	-1.051550	12.458952	1.000000	18.288243	1543373719.019953	17.817516
0.297974	-0.185037	-0.373752	12.832675	-1.074283	12.787629	228.559768	-0.096241	-1025501.000000	0.330339	-0.024961	0.329395	12.502347	-1.049322	12.458234	1.000000	18.281349	1543373719.027953	17.810766
-0.059253	-0.155322	-0.185149	12.832258	-1.075315	12.787124	228.354423	-0.096335	-1025501.000000	0.330339	-0.024961	0.329395	12.501930	-1.050355	12.457729	1.000000	18.265534	1543373719.043950	17.795343
-0.088150	-0.330048	-0.004008	12.830198	-1.076055	12.784995	228.251826	-0.096339	-1025501.000000	0.330339	-0.024961	0.329395	12.499870	-1.051094	12.455600	1.000000	18.260335	1543373719.051951	17.790203
-0.231213	-0.282836	-0.212053	12.828505	-1.077972	12.783134	228.149280	-0.096331	-1025501.000000	0.330339	-0.024961	0.329395	12.498178	-1.053011	12.453739	1.000000	18.254604	1543373719.059949	17.784558
-0.123921	-0.179452	-0.775142	12.827632	-1.079121	12.782161	228.046666	-0.096310	-1025501.000000	0.330339	-0.024961	0.329395	12.497305	-1.054160	12.452766	1.000000	18.247667	1543373719.067953	17.777768
-0.171683	-0.081465	-0.768857	12.828390	-1.080475	12.782808	227.841592	-0.096253	-1025501.000000	0.330339	-0.024961	0.329395	12.498064	-1.055514	12.453413	1.000000	18.230151	1543373719.083949	17.760731
-0.518153	-0.216371	-1.026356	12.827216	-1.084741	12.781268	227.739010	-0.096198	-1025501.000000	0.330339	-0.024961	0.329395	12.496891	-1.059780	12.451873	1.000000	18.223654	1543373719.091951	17.754359
-0.073499	-0.224164	0.024894	12.825666	-1.087026	12.779518	227.533910	-0.096029	-1025501.000000	0.330339	-0.024961	0.329395	12.495341	-1.062065	12.450123	1.000000	18.209500	1543373719.107951	17.740514
-0.207035	-0.288751	0.586287	12.821894	-1.089865	12.775491	227.328881	-0.095820	-1025501.000000	0.330339	-0.024961	0.329395	12.491570	-1.064904	12.446096	1.000000	18.198583	1543373719.123949	17.729742
-0.238033	-0.283689	0.478010	12.820209	-1.091819	12.773632	227.444487	-0.095693	-1025501.000000	0.426967	-0.032288	0.425744	12.393262	-1.059530	12.347888	1.000000	18.352269	1543373719.131949	17.741091
0.009471	-0.170523	0.474816	12.819431	-1.091879	12.772847	227.341977	-0.095557	-1025501.000000	0.426967	-0.032288	0.425744	12.392484	-1.059591	12.347102	1.000000	18.345149	1543373719.139950	17.734171
-0.044676	-0.298271	0.281916	12.822557	-1.095253	12.775695	227.239257	-0.093559	-1025501.000000	0.426967	-0.032288	0.425744	12.395611	-1.062964	12.349951	1.000000	18.332235	1543373719.147950	17.721836
-0.150520	-0.116590	0.036693	12.821260	-1.098144	12.774145	227.033755	-0.093108	-1025501.000000	0.426967	-0.032288	0.425744	12.394315	-1.065856	12.348401	1.000000	18.317572	1543373719.163949	17.707601
-0.297761	-0.215887	0.332640	12.820116	-1.100627	12.772784	226.930992	-0.092861	-1025501.000000	0.426967	-0.032288	0.425744	12.393173	-1.068339	12.347039	1.000000	18.310968	1543373719.171950	17.701165
0.048525	-0.250735	-0.511083	12.818372	-1.101682	12.770942	226.725476	-0.092329	-1025501.000000	0.426967	-0.032288	0.425744	12.391429	-1.069394	12.345198	1.000000	18.296960	1543373719.187953	17.687540
-0.165138	-0.218984	0.426331	12.815550	-1.104273	12.767885	226.520104	-0.091770	-1025501.000000	0.426967	-0.032288	0.425744	12.388607	-1.071985	12.342141	1.000000	18.284549	1543373719.203948	17.675411
-0.397201	-0.289626	-0.716733	12.813802	-1.107514	12.765850	226.417405	-0.091465	-1025501.000000	0.426967	-0.032288	0.425744	12.386861	-1.075225	12.340106	1.000000	18.278837	1543373719.211948	17.669807
0.044133	-0.108880	0.012176	12.812778	-1.109900	12.764615	226.212014	-0.090795	-1025501.000000	0.426967	-0.032288	0.425744	12.385838	-1.077612	12.338871	1.000000	18.263763	1543373719.227949	17.655189
-0.080209	-0.123394	0.459120	12.811912	-1.111712	12.763588	226.439088	-0.090101	-1025501.000000	0.000000	0.000000	0.000000	12.811912	-1.111712	12.763588	1.000000	17.674106	1543373719.243950	17.674106
-0.159438	-0.435421	0.253178	12.809009	-1.112939	12.760567	226.336419	-0.089740	-1025501.000000	0.000000	0.000000	0.000000	12.809009	-1.112939	12.760567	1.000000	17.670096	1543373719.251950	17.670096
-0.590685	-0.340167	0.450567	12.806860	-1.117673	12.757997	226.233773	-0.089353	-1025501.000000	0.000000	0.000000	0.000000	12.806860	-1.117673	12.757997	1.000000	17.665046	1543373719.259950	17.665046
-0.057927	-0.215613	0.271963	12.805715	-1.118249	12.756797	226.131113	-0.088944	-1025501.000000	0.000000	0.000000	0.000000	12.805715	-1.118249	12.756797	1.000000	17.658608	1543373719.267952	17.658608
-0.257513	-0.098532	-0.039448	12.804738	-1.119254	12.755727	225.925889	-0.088124	-1025501.000000	0.000000	0.000000	0.000000	12.804738	-1.119254	12.755727	1.000000	17.643930	1543373719.283950	17.643930
-0.092827	-0.109027	-0.169743	12.804451	-1.120180	12.755358	225.823258	-0.087698	-1025501.000000	0.000000	0.000000	0.000000	12.804451	-1.120180	12.755358	1.000000	17.636310	1543373719.291951	17.636310
-0.009414	-0.029704	0.598652	12.804798	-1.120496	12.755678	225.720651	-0.087268	-1025501.000000	0.000000	0.000000	0.000000	12.804798	-1.120496	12.755678	1.000000	17.627819	1543373719.299950	17.627819
-0.215485	-0.370830	0.282612	12.802411	-1.122215	12.753132	225.618025	-0.086828	-1025501.000000	0.000000	0.000000	0.000000	12.802411	-1.122215	12.753132	1.000000	17.623088	1543373719.307951	17.623088
-0.242302	-0.295917	0.292892	12.797947	-1.126984	12.748230	225.665446	-0.085888	-1025501.000000	0.000000	0.000000	0.000000	12.797947	-1.126984	12.748230	1.000000	17.632941	1543373719.323949	17.632941
0.071515	-0.208456	0.077078	12.796860	-1.126530	12.747179	225.562885	-0.085400	-1025501.000000	0.000000	0.000000	0.000000	12.796860	-1.126530	12.747179	1.000000	17.626424	1543373719.331949	17.626424
0.118726	-0.116898	-0.204337	12.796505	-1.125765	12.746889	225.460302	-0.084916	-1025501.000000	0.000000	0.000000	0.000000	12.796505	-1.125765	12.746889	1.000000	17.618897	1543373719.339951	17.618897
0.117755	-0.207168	-0.263142	12.795433	-1.124946	12.745885	225.357724	-0.084438	-1025501.000000	0.000000	0.000000	0.000000	12.795433	-1.124946	12.745885	1.000000	17.612357	1543373719.347953	17.612357
-0.133399	-0.055133	-0.179979	12.795889	-1.126447	12.746211	225.152653	-0.083480	-1025501.000000	0.000000	0.000000	0.000000	12.795889	-1.126447	12.746211	1.000000	17.595702	1543373719.363951	17.595702
-0.016344	-0.106682	-0.168104	12.795623	-1.126763	12.745916	225.050117	-0.082991	-1025501.000000	0.000000	0.000000	0.000000	12.795623	-1.126763	12.745916	1.000000	17.588055	1543373719.371950	17.588055
0.086927	-0.178985	0.118694	12.794776	-1.126205	12.745115	224.947533	-0.082503	-1025501.000000	0.000000	0.000000	0.000000	12.794776	-1.126205	12.745115	1.000000	17.581202	1543373719.379953	17.581202
-0.032749	-0.271899	0.000223	12.793182	-1.126537	12.743486	224.845048	-0.082014	-1025501.000000	0.000000	0.000000	0.000000	12.793182	-1.126537	12.743486	1.000000	17.575381	1543373719.387949	17.575381
0.012511	-0.192359	-0.059281	12.791282	-1.126750	12.741560	224.639953	-0.081029	-1025501.000000	0.000000	0.000000	0.000000	12.791282	-1.126750	12.741560	1.000000	17.561957	1543373719.403953	17.561957
-0.135554	-0.214887	-0.394194	12.790148	-1.127938	12.740316	224.537459	-0.080678	-1025501.000000	0.000000	0.000000	0.000000	12.790148	-1.127938	12.740316	1.000000	17.555501	1543373719.411950	17.555501
