auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.088208	-0.110035	-0.112501	0.007958	-0.001306	0.007850	57.445456	0.171911	-1030301.000000	0.000000	0.000000	0.000000	0.007958	-0.001306	0.007850	0.000000	7218.842868	1543474301.033070	7218.842868
0.092318	-0.096323	0.050820	0.008198	-0.001070	0.008128	57.445479	0.171882	-1030301.000000	0.000000	0.000000	0.000000	0.008198	-0.001070	0.008128	0.000000	7007.169878	1543474301.041072	7007.169878
0.070561	-0.068486	0.045435	0.008290	-0.001049	0.008224	57.445503	0.171852	-1030301.000000	0.000000	0.000000	0.000000	0.008290	-0.001049	0.008224	0.000000	6929.084979	1543474301.049072	6929.084979
0.060134	-0.068386	-0.113904	0.007888	-0.001357	0.007770	57.444894	0.173830	-1030301.000000	0.000000	0.000000	0.000000	0.007888	-0.001357	0.007770	0.000000	7282.968064	1543474301.057072	7282.968064
0.057018	-0.011950	0.054496	0.008156	-0.002022	0.007902	57.444921	0.173739	-1030301.000000	0.000000	0.000000	0.000000	0.008156	-0.002022	0.007902	0.000000	7043.108628	1543474301.073073	7043.108628
0.049016	-0.054031	-0.069574	0.008104	-0.002112	0.007824	57.444932	0.173694	-1030301.000000	0.000000	0.000000	0.000000	0.008104	-0.002112	0.007824	1.000000	7088.535461	1543474301.081075	7088.535461
0.075228	-0.060949	0.177299	0.008237	-0.002153	0.007951	57.444941	0.173648	-1030301.000000	0.000000	0.000000	0.000000	0.008237	-0.002153	0.007951	1.000000	6973.614897	1543474301.089075	6973.614897
0.059279	-0.075296	-0.056004	0.008277	-0.002194	0.007981	57.444960	0.173556	-1030301.000000	0.000000	0.000000	0.000000	0.008277	-0.002194	0.007981	1.000000	6940.484644	1543474301.105071	6940.484644
0.076183	-0.081720	0.125146	0.008383	-0.002069	0.008123	57.444970	0.173509	-1030301.000000	0.000000	0.000000	0.000000	0.008383	-0.002069	0.008123	1.000000	6852.762826	1543474301.113072	6852.762826
0.077355	-0.086018	-0.079394	0.008537	-0.001735	0.008359	57.444994	0.173412	-1030301.000000	0.000000	0.000000	0.000000	0.008537	-0.001735	0.008359	1.000000	6728.812743	1543474301.129072	6728.812743
0.038861	-0.063588	-0.038874	0.008463	-0.001799	0.008270	57.376091	0.173314	-1030301.000000	0.000000	0.000000	0.000000	0.008463	-0.001799	0.008270	1.000000	6779.351290	1543474301.145071	6779.351290
0.056315	-0.056324	-0.049385	0.008461	-0.001873	0.008251	57.376103	0.173265	-1030301.000000	0.000000	0.000000	0.000000	0.008461	-0.001873	0.008251	1.000000	6781.614694	1543474301.153075	6781.614694
0.049597	-0.031325	0.135387	0.008442	-0.002143	0.008165	57.376114	0.173217	-1030301.000000	0.000000	0.000000	0.000000	0.008442	-0.002143	0.008165	1.000000	6796.867716	1543474301.161075	6796.867716
0.037932	-0.071011	-0.048865	0.008273	-0.002092	0.008004	57.376125	0.173170	-1030301.000000	0.000000	0.000000	0.000000	0.008273	-0.002092	0.008004	1.000000	6935.664082	1543474301.169070	6935.664082
0.052552	-0.103356	0.003241	0.008165	-0.001788	0.007967	57.376136	0.173124	-1030301.000000	0.000000	0.000000	0.000000	0.008165	-0.001788	0.007967	1.000000	7026.665650	1543474301.177072	7026.665650
0.050748	-0.064990	-0.081142	0.008075	-0.001828	0.007865	57.376160	0.173032	-1030301.000000	0.000000	0.000000	0.000000	0.008075	-0.001828	0.007865	1.000000	7105.667893	1543474301.193071	7105.667893
0.065299	-0.073011	0.017372	0.008117	-0.001771	0.007921	57.376173	0.172987	-1030301.000000	0.000000	0.000000	0.000000	0.008117	-0.001771	0.007921	1.000000	7068.947816	1543474301.201073	7068.947816
0.076633	-0.053801	0.132319	0.008273	-0.001869	0.008059	57.376185	0.172940	-1030301.000000	0.000000	0.000000	0.000000	0.008273	-0.001869	0.008059	1.000000	6935.576346	1543474301.209070	6935.576346
0.072225	-0.040985	0.054915	0.008559	-0.002080	0.008302	57.376209	0.172844	-1030301.000000	0.000000	0.000000	0.000000	0.008559	-0.002080	0.008302	1.000000	6703.953685	1543474301.225075	6703.953685
0.049285	-0.033860	0.082261	0.008540	-0.002329	0.008217	57.376218	0.172796	-1030301.000000	0.000000	0.000000	0.000000	0.008540	-0.002329	0.008217	1.000000	6718.333984	1543474301.233068	6718.333984
0.047393	-0.065939	-0.083789	0.008455	-0.002323	0.008130	57.376227	0.172748	-1030301.000000	0.000000	0.000000	0.000000	0.008455	-0.002323	0.008130	1.000000	6785.941415	1543474301.241072	6785.941415
0.077972	-0.075183	0.018948	0.008739	-0.002225	0.008451	57.336000	0.172650	-1030301.000000	0.000000	0.000000	0.000000	0.008739	-0.002225	0.008451	1.000000	6561.202105	1543474301.257072	6561.202105
0.061404	-0.112926	0.107595	0.008604	-0.001432	0.008484	57.336026	0.172550	-1030301.000000	0.000000	0.000000	0.000000	0.008604	-0.001432	0.008484	1.000000	6663.977417	1543474301.273068	6663.977417
0.057710	-0.077556	-0.054582	0.008586	-0.001177	0.008505	57.336061	0.172450	-1030301.000000	0.000000	0.000000	0.000000	0.008586	-0.001177	0.008505	1.000000	6677.968290	1543474301.289070	6677.968290
0.067562	-0.034815	0.000664	0.008827	-0.001672	0.008667	57.336094	0.172348	-1030301.000000	0.000000	0.000000	0.000000	0.008827	-0.001672	0.008667	1.000000	6495.566829	1543474301.305073	6495.566829
0.062097	-0.061831	-0.015183	0.008860	-0.001703	0.008695	57.336109	0.172296	-1030301.000000	0.000000	0.000000	0.000000	0.008860	-0.001703	0.008695	1.000000	6471.198724	1543474301.313074	6471.198724
0.068398	-0.029407	0.084162	0.008985	-0.001994	0.008761	57.336122	0.172244	-1030301.000000	0.000000	0.000000	0.000000	0.008985	-0.001994	0.008761	1.000000	6381.374123	1543474301.321073	6381.374123
0.057814	-0.033908	-0.040416	0.009031	-0.002247	0.008747	57.336133	0.172191	-1030301.000000	0.000000	0.000000	0.000000	0.009031	-0.002247	0.008747	1.000000	6348.955376	1543474301.329075	6348.955376
0.080306	-0.061833	0.125760	0.009283	-0.002267	0.009002	57.336154	0.172085	-1030301.000000	0.000000	0.000000	0.000000	0.009283	-0.002267	0.009002	1.000000	6176.718775	1543474301.345075	6176.718775
0.049434	-0.074671	-0.036914	0.009197	-0.002191	0.008933	57.336165	0.172030	-1030301.000000	0.000000	0.000000	0.000000	0.009197	-0.002191	0.008933	1.000000	6234.027489	1543474301.353069	6234.027489
