auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
-0.213118	-0.016165	0.386369	12.825477	-1.066192	12.781084	65.691499	-0.003818	-1025001.000000	0.000000	0.000000	0.000000	12.825477	-1.066192	12.781084	1.000000	5.121954	1543374263.588205	5.121954
0.115775	-0.113836	0.171210	12.825787	-1.064964	12.781497	65.383379	-0.004575	-1025001.000000	0.000000	0.000000	0.000000	12.825787	-1.064964	12.781497	1.000000	5.097806	1543374263.612207	5.097806
0.238257	-0.199963	0.493204	12.824779	-1.063274	12.780626	65.280710	-0.004841	-1025001.000000	0.000000	0.000000	0.000000	12.824779	-1.063274	12.780626	1.000000	5.090202	1543374263.620205	5.090202
0.226997	-0.151604	0.773108	12.824153	-1.061736	12.780126	65.178008	-0.005120	-1025001.000000	0.000000	0.000000	0.000000	12.824153	-1.061736	12.780126	1.000000	5.082441	1543374263.628206	5.082441
-0.021482	-0.116259	0.660250	12.823171	-1.062382	12.779087	64.972659	-0.005683	-1025001.000000	0.000000	0.000000	0.000000	12.823171	-1.062382	12.779087	1.000000	5.066817	1543374263.644205	5.066817
-0.010658	-0.127108	0.477469	12.822738	-1.062717	12.778624	64.870009	-0.005960	-1025001.000000	0.000000	0.000000	0.000000	12.822738	-1.062717	12.778624	1.000000	5.058983	1543374263.652203	5.058983
-0.155185	-0.155157	0.427501	12.822078	-1.064182	12.777841	64.767351	-0.006229	-1025001.000000	0.000000	0.000000	0.000000	12.822078	-1.064182	12.777841	1.000000	5.051237	1543374263.660202	5.051237
-0.082413	-0.112241	0.333440	12.821762	-1.065087	12.777448	64.664657	-0.006488	-1025001.000000	0.000000	0.000000	0.000000	12.821762	-1.065087	12.777448	1.000000	5.043352	1543374263.668204	5.043352
-0.037048	-0.079460	0.298754	12.818237	-1.070902	12.773424	63.843477	-0.008312	-1025001.000000	0.000000	0.000000	0.000000	12.818237	-1.070902	12.773424	1.000000	4.980675	1543374263.732203	4.980675
-0.083854	-0.089675	0.231022	12.818102	-1.071815	12.773212	63.767884	-0.008515	-1025001.000000	0.000000	0.000000	0.000000	12.818102	-1.071815	12.773212	1.000000	4.974831	1543374263.740205	4.974831
0.170642	-0.107893	-0.090582	12.813877	-1.078831	12.768382	62.844307	-0.009872	-1025001.000000	0.000000	0.000000	0.000000	12.813877	-1.078831	12.768382	1.000000	4.904394	1543374263.812205	4.904394
0.175978	-0.111124	0.182211	12.813567	-1.077659	12.768170	62.741673	-0.010181	-1025001.000000	0.000000	0.000000	0.000000	12.813567	-1.077659	12.768170	1.000000	4.896503	1543374263.820204	4.896503
0.207001	-0.155687	0.188653	12.812900	-1.076210	12.767623	62.639030	-0.010500	-1025001.000000	0.000000	0.000000	0.000000	12.812900	-1.076210	12.767623	1.000000	4.888747	1543374263.828204	4.888747
