auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.484914	-0.001157	-0.080353	12.791103	-1.079800	12.745445	63.305084	0.035437	-1025001.000000	0.303569	0.230550	-0.197486	13.009092	-1.310350	12.942931	1.000000	4.866218	1543374991.028541	4.949150
0.243631	-0.226774	-0.135229	12.789026	-1.075575	12.743717	63.100852	0.035252	-1025001.000000	0.303569	0.230550	-0.197486	13.006949	-1.306125	12.941204	1.000000	4.851319	1543374991.044537	4.933984
-0.017537	-0.045356	-0.265366	12.789242	-1.075937	12.743903	62.998618	0.035146	-1025001.000000	0.303569	0.230550	-0.197486	13.007169	-1.306487	12.941389	1.000000	4.843376	1543374991.052545	4.925907
-0.006681	0.020231	0.140991	12.789985	-1.076310	12.744617	62.896520	0.035042	-1025001.000000	0.303569	0.230550	-0.197486	13.007918	-1.306860	12.942103	1.000000	4.835249	1543374991.060542	4.917638
0.220806	-0.041327	-0.321255	12.790230	-1.074765	12.744994	62.794447	0.034934	-1025001.000000	0.303569	0.230550	-0.197486	13.008137	-1.305315	12.942480	1.000000	4.827320	1543374991.068537	4.909564
0.202624	-0.005739	0.242829	12.791180	-1.072041	12.746177	62.590063	0.034681	-1025001.000000	0.303569	0.230550	-0.197486	13.009041	-1.302591	12.943663	1.000000	4.811274	1543374991.084545	4.893220
0.128260	-0.215501	-0.299419	12.790033	-1.071120	12.745103	62.487985	0.034541	-1025001.000000	0.303569	0.230550	-0.197486	13.007881	-1.301670	12.942590	1.000000	4.803856	1543374991.092540	4.885678
-0.005539	-0.153268	0.103495	12.789388	-1.071361	12.744436	62.385815	0.034398	-1025001.000000	0.303569	0.230550	-0.197486	13.007241	-1.301911	12.941922	1.000000	4.796237	1543374991.100543	4.877936
0.058205	0.017058	0.310667	12.790920	-1.071523	12.745959	62.079440	0.033977	-1025001.000000	0.303569	0.230550	-0.197486	13.008773	-1.302073	12.943445	1.000000	4.772121	1543374991.124541	4.853399
0.165333	-0.059367	-0.172196	12.791022	-1.070427	12.746154	61.970166	0.033832	-1025001.000000	0.311735	0.177014	-0.256603	13.062457	-1.247441	13.002757	1.000000	4.744143	1543374991.132541	4.844817
0.048564	-0.051677	-0.128988	12.791189	-1.070274	12.746334	61.868012	0.033681	-1025001.000000	0.311735	0.177014	-0.256603	13.062623	-1.247287	13.002937	1.000000	4.736263	1543374991.140543	4.836768
-0.105928	-0.050961	-0.091288	12.791360	-1.071356	12.746415	61.765897	0.033534	-1025001.000000	0.311735	0.177014	-0.256603	13.062806	-1.248370	13.003018	1.000000	4.728379	1543374991.148542	4.828720
0.003929	-0.039397	-0.206258	12.791575	-1.072216	12.746558	61.459537	0.033116	-1025001.000000	0.311735	0.177014	-0.256603	13.063031	-1.249229	13.003161	1.000000	4.704845	1543374991.172540	4.804689
0.072322	-0.090517	-0.215888	12.791431	-1.071836	12.746445	61.357370	0.032978	-1025001.000000	0.311735	0.177014	-0.256603	13.062882	-1.248850	13.003049	1.000000	4.697077	1543374991.180543	4.796756
