auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.000677	-0.218792	0.687729	12.793918	-1.121125	12.744701	40.951540	0.010356	-1025001.000000	0.000000	0.000000	0.000000	12.793918	-1.121125	12.744701	1.000000	3.200860	1543393483.970448	3.200860
0.026261	-0.149987	0.614423	12.793201	-1.121381	12.743959	40.849657	0.010444	-1025001.000000	0.000000	0.000000	0.000000	12.793201	-1.121381	12.743959	1.000000	3.193076	1543393483.978446	3.193076
0.222273	-0.141481	0.091057	12.792059	-1.119387	12.742988	40.442026	0.010792	-1025001.000000	0.000000	0.000000	0.000000	12.792059	-1.119387	12.742988	1.000000	3.161495	1543393484.010450	3.161495
0.021610	-0.064050	0.428835	12.792802	-1.096260	12.745744	40.340529	0.010612	-1025001.000000	0.000000	0.000000	0.000000	12.792802	-1.096260	12.745744	1.000000	3.153377	1543393484.018446	3.153377
0.051431	-0.102802	0.114560	12.791803	-1.092858	12.745034	39.627766	0.004788	-1025001.000000	0.000000	0.000000	0.000000	12.791803	-1.092858	12.745034	1.000000	3.097903	1543393484.074444	3.097903
0.057652	-0.167305	0.221332	12.790937	-1.092814	12.744169	39.525929	0.003948	-1025001.000000	0.000000	0.000000	0.000000	12.790937	-1.092814	12.744169	1.000000	3.090151	1543393484.082446	3.090151
0.050722	0.010929	-0.431045	12.789150	-1.062438	12.744944	35.791929	-0.028299	-1025001.000000	0.000000	0.000000	0.000000	12.789150	-1.062438	12.744944	1.000000	2.798617	1543393484.378452	2.798617
0.274634	-0.029772	-0.440413	12.789827	-1.060159	12.745813	35.589104	-0.030267	-1025001.000000	0.000000	0.000000	0.000000	12.789827	-1.060159	12.745813	1.000000	2.782610	1543393484.394446	2.782610
0.324051	-0.025780	-0.423063	12.790078	-1.058047	12.746239	35.487604	-0.031271	-1025001.000000	0.000000	0.000000	0.000000	12.790078	-1.058047	12.746239	1.000000	2.774620	1543393484.402450	2.774620
0.217509	-0.036168	-0.473733	12.790244	-1.056775	12.746512	35.386123	-0.032289	-1025001.000000	0.000000	0.000000	0.000000	12.790244	-1.056775	12.746512	1.000000	2.766650	1543393484.410453	2.766650
-0.017514	0.036429	-0.181413	12.791004	-1.057445	12.747219	35.284631	-0.032608	-1025001.000000	0.000000	0.000000	0.000000	12.791004	-1.057445	12.747219	1.000000	2.758551	1543393484.418454	2.758551
0.101462	-0.047379	-0.081415	12.791381	-1.057232	12.747615	35.081720	-0.033239	-1025001.000000	0.000000	0.000000	0.000000	12.791381	-1.057232	12.747615	1.000000	2.742606	1543393484.434450	2.742606
-0.061883	0.010842	0.031987	12.791945	-1.058254	12.748096	34.980176	-0.033553	-1025001.000000	0.000000	0.000000	0.000000	12.791945	-1.058254	12.748096	1.000000	2.734547	1543393484.442455	2.734547
0.098700	-0.058162	0.051005	12.791960	-1.057951	12.748137	34.878735	-0.033864	-1025001.000000	0.000000	0.000000	0.000000	12.791960	-1.057951	12.748137	1.000000	2.726614	1543393484.450452	2.726614
0.180562	-0.061501	0.291306	12.791959	-1.057006	12.748214	34.792070	-0.034180	-1025001.000000	0.000000	0.000000	0.000000	12.791959	-1.057006	12.748214	1.000000	2.719839	1543393484.458451	2.719839
0.053275	-0.092045	0.037851	12.790796	-1.057206	12.747030	34.589130	-0.034817	-1025001.000000	0.000000	0.000000	0.000000	12.790796	-1.057206	12.747030	1.000000	2.704220	1543393484.474450	2.704220
0.097962	0.052112	-0.041443	12.791686	-1.056974	12.747943	34.487649	-0.035136	-1025001.000000	0.000000	0.000000	0.000000	12.791686	-1.056974	12.747943	1.000000	2.696099	1543393484.482451	2.696099
0.036672	-0.041225	0.259373	12.792289	-1.057160	12.748532	34.284717	-0.035776	-1025001.000000	0.000000	0.000000	0.000000	12.792289	-1.057160	12.748532	1.000000	2.680108	1543393484.498450	2.680108
-0.088929	-0.100667	0.107929	12.791411	-1.059178	12.747484	34.081818	-0.036398	-1025001.000000	0.000000	0.000000	0.000000	12.791411	-1.059178	12.747484	1.000000	2.664430	1543393484.514448	2.664430
-0.000934	-0.002887	0.151494	12.793622	-1.050201	12.750445	33.980585	-0.036406	-1025001.000000	0.000000	0.000000	0.000000	12.793622	-1.050201	12.750445	1.000000	2.656057	1543393484.522452	2.656057
-0.078635	-0.047292	0.437438	12.793733	-1.051341	12.750462	33.879140	-0.037061	-1025001.000000	0.000000	0.000000	0.000000	12.793733	-1.051341	12.750462	1.000000	2.648104	1543393484.530449	2.648104
0.205920	-0.118306	0.687060	12.792122	-1.049355	12.749009	33.574724	-0.039022	-1025001.000000	0.000000	0.000000	0.000000	12.792122	-1.049355	12.749009	1.000000	2.624641	1543393484.554449	2.624641
0.038449	-0.120404	0.546633	12.791646	-1.049513	12.748518	33.473271	-0.039687	-1025001.000000	0.000000	0.000000	0.000000	12.791646	-1.049513	12.748518	1.000000	2.616807	1543393484.562449	2.616807
-0.133195	0.032053	0.444415	12.792385	-1.051139	12.749127	33.391805	-0.040345	-1025001.000000	0.000000	0.000000	0.000000	12.792385	-1.051139	12.749127	1.000000	2.610288	1543393484.570450	2.610288
-0.240888	-0.111999	0.653085	12.791976	-1.053541	12.748517	33.290390	-0.040986	-1025001.000000	0.000000	0.000000	0.000000	12.791976	-1.053541	12.748517	1.000000	2.602443	1543393484.578448	2.602443
0.144813	-0.066967	0.177687	12.790036	-1.052931	12.746622	33.087508	-0.042251	-1025001.000000	0.000000	0.000000	0.000000	12.790036	-1.052931	12.746622	1.000000	2.586975	1543393484.594451	2.586975
-0.026951	-0.063801	0.160236	12.790000	-1.053627	12.746528	32.986135	-0.042883	-1025001.000000	0.000000	0.000000	0.000000	12.790000	-1.053627	12.746528	1.000000	2.579057	1543393484.602448	2.579057
0.000842	-0.130808	0.249999	12.789433	-1.054059	12.745923	32.884691	-0.043512	-1025001.000000	0.000000	0.000000	0.000000	12.789433	-1.054059	12.745923	1.000000	2.571239	1543393484.610451	2.571239
-0.017483	-0.035367	0.450239	12.789637	-1.054716	12.746073	32.783317	-0.044135	-1025001.000000	0.000000	0.000000	0.000000	12.789637	-1.054716	12.746073	1.000000	2.563272	1543393484.618449	2.563272
-0.097050	-0.136669	0.379181	12.789457	-1.057464	12.745666	32.580535	-0.045354	-1025001.000000	0.000000	0.000000	0.000000	12.789457	-1.057464	12.745666	1.000000	2.547453	1543393484.634448	2.547453
-0.088777	-0.180820	0.370942	12.788490	-1.058593	12.744601	32.479151	-0.045949	-1025001.000000	0.000000	0.000000	0.000000	12.788490	-1.058593	12.744601	1.000000	2.539718	1543393484.642448	2.539718
-0.069555	-0.022351	0.617120	12.788798	-1.059692	12.744819	32.377707	-0.046534	-1025001.000000	0.000000	0.000000	0.000000	12.788798	-1.059692	12.744819	1.000000	2.531724	1543393484.650453	2.531724
0.123218	-0.038838	0.169351	12.788963	-1.059209	12.745024	32.265176	-0.047116	-1025001.000000	0.000000	0.000000	0.000000	12.788963	-1.059209	12.745024	1.000000	2.522892	1543393484.658448	2.522892
-0.046441	-0.034619	0.112450	12.789108	-1.059591	12.745139	32.062401	-0.048288	-1025001.000000	0.000000	0.000000	0.000000	12.789108	-1.059591	12.745139	1.000000	2.507008	1543393484.674447	2.507008
-0.014703	-0.018274	-0.287659	12.789419	-1.060192	12.745401	31.960973	-0.048867	-1025001.000000	0.000000	0.000000	0.000000	12.789419	-1.060192	12.745401	1.000000	2.499017	1543393484.682450	2.499017
0.005394	-0.035516	-0.406716	12.789590	-1.060614	12.745537	31.859587	-0.049442	-1025001.000000	0.000000	0.000000	0.000000	12.789590	-1.060614	12.745537	1.000000	2.491056	1543393484.690450	2.491056
-0.017929	0.004931	-0.248084	12.790091	-1.061260	12.745986	31.757975	-0.049954	-1025001.000000	0.000000	0.000000	0.000000	12.790091	-1.061260	12.745986	1.000000	2.483014	1543393484.698451	2.483014
0.077178	-0.004910	-0.494574	12.791357	-1.060546	12.747316	31.554764	-0.050982	-1025001.000000	0.000000	0.000000	0.000000	12.791357	-1.060546	12.747316	1.000000	2.466882	1543393484.714452	2.466882
-0.020685	-0.017630	-0.170590	12.791682	-1.061201	12.747587	31.453153	-0.051496	-1025001.000000	0.000000	0.000000	0.000000	12.791682	-1.061201	12.747587	1.000000	2.458876	1543393484.722453	2.458876
0.010895	-0.065747	0.050277	12.791630	-1.061589	12.747503	31.351624	-0.052005	-1025001.000000	0.000000	0.000000	0.000000	12.791630	-1.061589	12.747503	1.000000	2.450948	1543393484.730448	2.450948
-0.037286	-0.190133	0.456845	12.790596	-1.062306	12.746405	31.250013	-0.052510	-1025001.000000	0.000000	0.000000	0.000000	12.790596	-1.062306	12.746405	1.000000	2.443202	1543393484.738450	2.443202
0.010411	-0.001801	-0.096016	12.791223	-1.063356	12.746947	31.046859	-0.053505	-1025001.000000	0.000000	0.000000	0.000000	12.791223	-1.063356	12.746947	1.000000	2.427200	1543393484.754450	2.427200
0.076151	-0.077896	-0.263367	12.790768	-1.063842	12.746450	30.843761	-0.054484	-1025001.000000	0.000000	0.000000	0.000000	12.790768	-1.063842	12.746450	1.000000	2.411408	1543393484.770447	2.411408
0.110773	-0.113233	-0.411919	12.790323	-1.063367	12.746043	30.701329	-0.054975	-1025001.000000	0.000000	0.000000	0.000000	12.790323	-1.063367	12.746043	1.000000	2.400356	1543393484.778453	2.400356
0.041344	-0.017931	-0.622726	12.791520	-1.063940	12.747196	30.498364	-0.055956	-1025001.000000	0.000000	0.000000	0.000000	12.791520	-1.063940	12.747196	1.000000	2.384264	1543393484.794446	2.384264
0.007599	-0.059667	-0.090809	12.791027	-1.066735	12.746468	30.397123	-0.055349	-1025001.000000	0.000000	0.000000	0.000000	12.791027	-1.066735	12.746468	1.000000	2.376441	1543393484.802449	2.376441
0.002502	0.062316	0.188697	12.792001	-1.067282	12.747399	30.295604	-0.055736	-1025001.000000	0.000000	0.000000	0.000000	12.792001	-1.067282	12.747399	1.000000	2.368324	1543393484.810449	2.368324
-0.070544	-0.104488	-0.164961	12.791630	-1.068270	12.746945	30.194060	-0.056118	-1025001.000000	0.000000	0.000000	0.000000	12.791630	-1.068270	12.746945	1.000000	2.360454	1543393484.818451	2.360454
-0.169294	-0.092832	-0.114584	12.790104	-1.075319	12.744821	29.889589	-0.057157	-1025001.000000	0.000000	0.000000	0.000000	12.790104	-1.075319	12.744821	1.000000	2.336931	1543393484.842448	2.336931
-0.131209	-0.026345	0.255023	12.790368	-1.076883	12.744953	29.788123	-0.057471	-1025001.000000	0.000000	0.000000	0.000000	12.790368	-1.076883	12.744953	1.000000	2.328950	1543393484.850446	2.328950
-0.183332	-0.055615	-0.474887	12.790371	-1.078779	12.744796	29.742193	-0.057771	-1025001.000000	0.000000	0.000000	0.000000	12.790371	-1.078779	12.744796	1.000000	2.325358	1543393484.858444	2.325358
-0.168346	-0.002774	0.087675	12.790825	-1.080645	12.745093	29.640622	-0.058056	-1025001.000000	0.000000	0.000000	0.000000	12.790825	-1.080645	12.745093	1.000000	2.317335	1543393484.866450	2.317335
-0.137549	0.058272	0.089978	12.792142	-1.085816	12.745975	29.336110	-0.058830	-1025001.000000	0.000000	0.000000	0.000000	12.792142	-1.085816	12.745975	1.000000	2.293291	1543393484.890453	2.293291
0.010016	-0.035919	-0.217994	12.792315	-1.086213	12.746115	29.234646	-0.059065	-1025001.000000	0.000000	0.000000	0.000000	12.792315	-1.086213	12.746115	1.000000	2.285329	1543393484.898451	2.285329
0.232286	-0.074060	-0.290311	12.792338	-1.084262	12.746305	28.930222	-0.059496	-1025001.000000	0.000000	0.000000	0.000000	12.792338	-1.084262	12.746305	1.000000	2.261527	1543393484.922452	2.261527
0.099170	-0.069881	0.122101	12.792259	-1.083957	12.746251	28.828789	-0.059462	-1025001.000000	0.000000	0.000000	0.000000	12.792259	-1.083957	12.746251	1.000000	2.253612	1543393484.930451	2.253612
0.036755	0.018568	0.098177	12.792882	-1.084207	12.746856	28.727309	-0.059429	-1025001.000000	0.000000	0.000000	0.000000	12.792882	-1.084207	12.746856	1.000000	2.245570	1543393484.938454	2.245570
0.053940	-0.141536	0.318774	12.792276	-1.084351	12.746235	28.524451	-0.059360	-1025001.000000	0.000000	0.000000	0.000000	12.792276	-1.084351	12.746235	1.000000	2.229818	1543393484.954453	2.229818
0.202148	-0.101402	-0.012404	12.791940	-1.083189	12.745997	28.423045	-0.059329	-1025001.000000	0.000000	0.000000	0.000000	12.791940	-1.083189	12.745997	1.000000	2.221949	1543393484.962452	2.221949
