auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.172634	-0.098532	0.068706	12.803312	-1.111731	12.754954	58.783541	-0.010141	-1025001.000000	0.374367	-0.374176	0.011964	12.764317	-0.737555	12.742990	1.000000	4.605302	1543456845.230434	4.591276
0.127726	-0.091180	0.037300	12.803080	-1.111029	12.754782	58.681000	-0.010520	-1025001.000000	0.374367	-0.374176	0.011964	12.764105	-0.736853	12.742818	1.000000	4.597345	1543456845.238438	4.583350
0.043051	0.037945	-0.016018	12.803929	-1.110812	12.755653	58.475980	-0.011285	-1025001.000000	0.374367	-0.374176	0.011964	12.764962	-0.736636	12.743690	1.000000	4.580976	1543456845.254441	4.567034
0.087562	-0.052210	-0.209601	12.804440	-1.110919	12.756157	58.271026	-0.012049	-1025001.000000	0.374367	-0.374176	0.011964	12.765471	-0.736743	12.744194	1.000000	4.564737	1543456845.270438	4.550845
0.143764	-0.037355	-0.320757	12.804630	-1.110082	12.756421	58.168555	-0.012435	-1025001.000000	0.374367	-0.374176	0.011964	12.765686	-0.735906	12.744457	1.000000	4.556634	1543456845.278436	4.542775
0.118668	-0.037195	0.020751	12.805076	-1.108711	12.756987	57.963546	-0.013227	-1025001.000000	0.374367	-0.374176	0.011964	12.766173	-0.734535	12.745024	1.000000	4.540401	1543456845.294437	4.526607
0.020589	-0.126784	-0.212238	12.804554	-1.108806	12.756455	57.861035	-0.013628	-1025001.000000	0.374367	-0.374176	0.011964	12.765647	-0.734630	12.744492	1.000000	4.532558	1543456845.302438	4.518786
0.030351	-0.080151	-0.081764	12.804409	-1.108873	12.756304	57.758555	-0.014027	-1025001.000000	0.374367	-0.374176	0.011964	12.765500	-0.734697	12.744340	1.000000	4.524582	1543456845.310437	4.510833
0.049394	0.024150	-0.325796	12.805092	-1.108829	12.756993	57.656023	-0.014427	-1025001.000000	0.374367	-0.374176	0.011964	12.766186	-0.734652	12.745030	1.000000	4.516308	1543456845.318440	4.502586
0.103269	0.047496	-0.321344	12.805964	-1.108372	12.757908	57.553484	-0.014830	-1025001.000000	0.374367	-0.374176	0.011964	12.767073	-0.734196	12.745945	1.000000	4.507962	1543456845.326443	4.494272
0.194382	0.045479	-0.255825	12.807438	-1.105356	12.759649	57.307546	-0.015667	-1025001.000000	0.235821	-0.234004	0.029217	12.760217	-0.871352	12.730432	1.000000	4.491111	1543456845.342441	4.474552
0.106902	-0.118987	-0.160935	12.806982	-1.104777	12.759242	57.205081	-0.016098	-1025001.000000	0.235821	-0.234004	0.029217	12.759772	-0.870773	12.730025	1.000000	4.483237	1543456845.350440	4.466710
0.144013	-0.105362	-0.131714	12.806635	-1.103917	12.758969	57.102644	-0.016536	-1025001.000000	0.235821	-0.234004	0.029217	12.759440	-0.869912	12.729751	1.000000	4.475325	1543456845.358437	4.458833
0.205123	0.044831	-0.023500	12.808393	-1.101592	12.760933	56.897623	-0.017437	-1025001.000000	0.235821	-0.234004	0.029217	12.761242	-0.867587	12.731716	1.000000	4.458627	1543456845.374442	4.442214
0.060223	-0.008924	-0.170344	12.808819	-1.101458	12.761373	56.795139	-0.017898	-1025001.000000	0.235821	-0.234004	0.029217	12.761672	-0.867454	12.732156	1.000000	4.450447	1543456845.382442	4.434065
0.126504	0.075963	-0.240903	12.809926	-1.100846	12.762536	56.692636	-0.018363	-1025001.000000	0.235821	-0.234004	0.029217	12.762791	-0.866842	12.733319	1.000000	4.442025	1543456845.390443	4.425680
0.035516	-0.162474	0.134942	12.807731	-1.097764	12.760599	56.385220	-0.019817	-1025001.000000	0.235821	-0.234004	0.029217	12.760649	-0.863760	12.731382	1.000000	4.418680	1543456845.414440	4.402436
0.106874	-0.032590	-0.240522	12.807968	-1.097234	12.760882	56.282807	-0.020299	-1025001.000000	0.235821	-0.234004	0.029217	12.760895	-0.863230	12.731665	1.000000	4.410569	1543456845.422436	4.394359
0.043907	-0.073675	0.542818	12.811177	-1.094939	12.764300	54.799506	-0.022062	-1025001.000000	0.597393	-0.557959	-0.213450	12.988855	-0.536980	12.977750	1.000000	4.218964	1543456845.542443	4.277476
0.120075	-0.167829	0.074886	12.810337	-1.094253	12.763516	54.697256	-0.021925	-1025001.000000	0.597393	-0.557959	-0.213450	12.988043	-0.536294	12.976967	1.000000	4.211355	1543456845.550440	4.269775
0.045914	-0.106665	0.454458	12.809993	-1.094245	12.763172	54.594948	-0.021791	-1025001.000000	0.597393	-0.557959	-0.213450	12.987699	-0.536287	12.976622	1.000000	4.203589	1543456845.558442	4.261903
