auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.063862	0.273423	0.039065	0.195742	0.009514	-0.195511	25.313939	0.182421	-102901.000000	0.000000	0.000000	0.000000	0.195742	0.009514	-0.195511	0.000000	129.323033	1543394753.635053	129.323033
0.051991	0.300285	-0.009662	0.198629	0.009775	-0.198389	25.315520	0.182371	-102901.000000	0.000000	0.000000	0.000000	0.198629	0.009775	-0.198389	0.000000	127.451088	1543394753.643052	127.451088
0.042567	0.276056	0.041835	0.201325	0.010093	-0.201071	25.287014	0.182320	-102901.000000	0.000000	0.000000	0.000000	0.201325	0.010093	-0.201071	1.000000	125.603180	1543394753.651054	125.603180
0.044327	0.208330	-0.025287	0.203476	0.010377	-0.203211	25.288638	0.182271	-102901.000000	0.000000	0.000000	0.000000	0.203476	0.010377	-0.203211	1.000000	124.283039	1543394753.659056	124.283039
0.060128	0.184027	-0.002707	0.205434	0.010521	-0.205164	25.290277	0.182221	-102901.000000	0.000000	0.000000	0.000000	0.205434	0.010521	-0.205164	1.000000	123.106727	1543394753.667054	123.106727
0.084956	0.236961	-0.021352	0.209910	0.010472	-0.209649	25.293606	0.182119	-102901.000000	0.000000	0.000000	0.000000	0.209910	0.010472	-0.209649	1.000000	120.497448	1543394753.683054	120.497448
0.066888	0.247811	0.038201	0.212379	0.010584	-0.212115	25.295299	0.182065	-102901.000000	0.000000	0.000000	0.000000	0.212379	0.010584	-0.212115	1.000000	119.104457	1543394753.691053	119.104457
0.051948	0.261219	0.001397	0.214955	0.010826	-0.214682	25.297013	0.182012	-102901.000000	0.000000	0.000000	0.000000	0.214955	0.010826	-0.214682	1.000000	117.685312	1543394753.699054	117.685312
0.056202	0.252400	0.020801	0.220129	0.011253	-0.219841	25.300502	0.181904	-102901.000000	0.000000	0.000000	0.000000	0.220129	0.011253	-0.219841	1.000000	114.934882	1543394753.715054	114.934882
0.082253	0.231773	0.078495	0.224870	0.011342	-0.224584	25.304070	0.181794	-102901.000000	0.000000	0.000000	0.000000	0.224870	0.011342	-0.224584	1.000000	112.527368	1543394753.731053	112.527368
0.077087	0.236952	-0.042083	0.227250	0.011379	-0.226965	25.274283	0.181737	-102901.000000	0.185246	-0.078273	-0.167897	0.107361	0.089651	-0.059068	1.000000	235.413772	1543394753.739051	111.217841
0.054864	0.240874	0.032486	0.234215	0.011798	-0.233918	25.279832	0.181560	-102901.000000	0.185246	-0.078273	-0.167897	0.111676	0.090071	-0.066021	1.000000	226.367852	1543394753.763055	107.934221
