auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
-0.077446	0.027939	0.121927	12.776771	-1.047259	12.733779	155.059492	0.097364	-1025501.000000	0.815810	-0.083096	0.811567	11.961136	-0.964163	11.922213	1.000000	12.963610	1542953921.875096	12.136047
-0.126682	-0.068839	0.100287	12.776064	-1.048634	12.732956	154.957779	0.097157	-1025501.000000	0.815810	-0.083096	0.811567	11.960426	-0.965538	11.921390	1.000000	12.955874	1542953921.883097	12.128757
-0.113955	0.057523	-0.059509	12.776364	-1.049917	12.733152	154.856076	0.096959	-1025501.000000	0.815810	-0.083096	0.811567	11.960725	-0.966821	11.921585	1.000000	12.947048	1542953921.891097	12.120512
0.131023	0.164563	-0.055063	12.778803	-1.049676	12.735619	154.550152	0.096227	-1025501.000000	0.815810	-0.083096	0.811567	11.963165	-0.966580	11.924053	1.000000	12.918835	1542953921.915097	12.094259
0.123327	0.202323	-0.258718	12.780192	-1.049069	12.737063	154.448012	0.095915	-1025501.000000	0.815810	-0.083096	0.811567	11.964554	-0.965973	11.925496	1.000000	12.908798	1542953921.923095	12.084952
0.205295	0.046468	-0.134861	12.780311	-1.047779	12.737289	154.345826	0.095595	-1025501.000000	0.815810	-0.083096	0.811567	11.964675	-0.964683	11.925722	1.000000	12.900126	1542953921.931096	12.076844
0.184771	0.023669	-0.190479	12.780254	-1.046630	12.737326	154.243656	0.095265	-1025501.000000	0.815810	-0.083096	0.811567	11.964620	-0.963535	11.925759	1.000000	12.891647	1542953921.939096	12.068903
0.115689	0.013847	-0.255266	12.780141	-1.046015	12.737263	154.141460	0.094928	-1025501.000000	0.815810	-0.083096	0.811567	11.964507	-0.962919	11.925696	1.000000	12.883227	1542953921.947098	12.061014
-0.026641	-0.036316	-0.367895	12.779011	-1.046378	12.736099	153.937156	0.094251	-1025501.000000	0.815810	-0.083096	0.811567	11.963377	-0.963282	11.924532	1.000000	12.867367	1542953921.963096	12.046093
-0.100278	0.258083	-0.340637	12.782244	-1.048602	12.739160	155.072542	0.093595	-1025501.000000	1.321341	-0.134183	1.314510	11.461186	-0.914418	11.424650	1.000000	13.530235	1542953921.979097	12.131871
