auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.046915	0.880086	-0.050180	7.949849	-0.705431	7.918489	72.887988	0.109100	-204901.000000	0.227198	-0.211768	0.082300	7.851724	-0.493664	7.836189	1.000000	9.283055	1543388239.432974	9.168474
0.019007	0.821198	-0.213085	7.964096	-0.707227	7.932633	72.760516	0.109497	-204901.000000	0.227198	-0.211768	0.082300	7.865952	-0.495460	7.850333	1.000000	9.250058	1543388239.448975	9.136067
0.059926	0.815601	-0.204704	7.978324	-0.708510	7.946803	72.632842	0.109900	-204901.000000	0.227198	-0.211768	0.082300	7.880175	-0.496743	7.864503	1.000000	9.217161	1543388239.464973	9.103772
0.109083	0.843029	-0.068010	7.992232	-0.709505	7.960676	72.504896	0.110304	-204901.000000	0.227198	-0.211768	0.082300	7.894084	-0.497738	7.878376	1.000000	9.184713	1543388239.480977	9.071921
0.078424	0.849567	-0.202373	8.007250	-0.710609	7.975656	72.376758	0.110703	-204901.000000	0.227198	-0.211768	0.082300	7.909103	-0.498842	7.893356	1.000000	9.151070	1543388239.496976	9.038903
0.086464	0.802778	-0.041339	8.014154	-0.711068	7.982547	72.312582	0.110902	-204901.000000	0.227198	-0.211768	0.082300	7.916009	-0.499301	7.900247	1.000000	9.134980	1543388239.504978	9.023108
0.088634	0.888457	-0.071718	8.027316	-0.715871	7.995332	72.184410	0.112920	-204901.000000	0.227198	-0.211768	0.082300	7.929073	-0.504103	7.913032	1.000000	9.103765	1543388239.520978	8.992347
0.151135	0.805964	-0.048676	8.034246	-0.715817	8.002295	72.102128	0.113197	-204901.000000	0.364816	-0.334347	0.145955	7.865595	-0.381470	7.856339	1.000000	9.166773	1543388239.528978	8.974349
0.134704	0.707212	-0.078619	8.054134	-0.715992	8.022246	71.908883	0.114004	-204901.000000	0.364816	-0.334347	0.145955	7.885532	-0.381645	7.876291	1.000000	9.119091	1543388239.552975	8.928195
0.061465	0.670759	0.159304	8.059972	-0.716539	8.028058	71.844383	0.114267	-204901.000000	0.364816	-0.334347	0.145955	7.891364	-0.382192	7.882103	1.000000	9.104179	1543388239.560972	8.913726
0.108102	0.740778	0.071473	8.066377	-0.716772	8.034468	71.779785	0.114528	-204901.000000	0.364816	-0.334347	0.145955	7.897777	-0.382425	7.888513	1.000000	9.088606	1543388239.568975	8.898640
0.115495	0.748502	0.182532	8.086872	-0.717072	8.055018	71.585723	0.115291	-204901.000000	0.364816	-0.334347	0.145955	7.918317	-0.382725	7.909062	1.000000	9.040522	1543388239.592977	8.852090
0.025389	0.735519	0.135054	8.100113	-0.718533	8.068181	71.456131	0.115789	-204901.000000	0.364816	-0.334347	0.145955	7.931536	-0.384186	7.922226	1.000000	9.009117	1543388239.608972	8.821621
-0.079088	0.757034	0.109837	8.119037	-0.722579	8.086819	71.261281	0.116568	-204901.000000	0.000000	0.000000	0.000000	8.119037	-0.722579	8.086819	1.000000	8.777061	1543388239.632975	8.777061
-0.122591	0.728675	0.300402	8.125334	-0.724626	8.092958	71.196237	0.116845	-204901.000000	0.000000	0.000000	0.000000	8.125334	-0.724626	8.092958	1.000000	8.762254	1543388239.640975	8.762254
-0.097131	0.684640	0.400154	8.131275	-0.726432	8.098761	71.131144	0.117134	-204901.000000	0.000000	0.000000	0.000000	8.131275	-0.726432	8.098761	1.000000	8.747846	1543388239.648975	8.747846
0.136389	0.609111	0.216900	8.147542	-0.727465	8.115000	70.935576	0.118019	-204901.000000	0.000000	0.000000	0.000000	8.147542	-0.727465	8.115000	1.000000	8.706378	1543388239.672977	8.706378
0.132296	0.853293	-0.175921	8.175441	-0.728894	8.142883	70.674144	0.119171	-204901.000000	0.000000	0.000000	0.000000	8.175441	-0.728894	8.142883	1.000000	8.644689	1543388239.704978	8.644689
0.191999	0.777424	-0.264711	8.182142	-0.728511	8.149646	70.608648	0.119450	-204901.000000	0.000000	0.000000	0.000000	8.182142	-0.728511	8.149646	1.000000	8.629604	1543388239.712978	8.629604
0.144170	0.583839	-0.152267	8.192520	-0.727722	8.160136	70.514525	0.026446	-205101.000000	0.000000	0.000000	0.000000	8.192520	-0.727722	8.160136	1.000000	8.607183	1543388239.728974	8.607183
-0.016037	0.648211	-0.210003	8.209967	-0.729405	8.177501	70.317696	0.120795	-204901.000000	0.000000	0.000000	0.000000	8.209967	-0.729405	8.177501	1.000000	8.564918	1543388239.752970	8.564918
0.012903	0.722885	-0.214189	8.216230	-0.730403	8.183700	70.252086	0.121091	-204901.000000	0.000000	0.000000	0.000000	8.216230	-0.730403	8.183700	1.000000	8.550404	1543388239.760970	8.550404
-0.040963	0.635789	0.022210	8.228006	-0.732851	8.195304	70.120722	0.121697	-204901.000000	0.000000	0.000000	0.000000	8.228006	-0.732851	8.195304	1.000000	8.522201	1543388239.776970	8.522201
0.029738	0.699743	-0.271912	8.239726	-0.734791	8.206897	69.989147	0.122324	-204901.000000	0.000000	0.000000	0.000000	8.239726	-0.734791	8.206897	1.000000	8.494111	1543388239.792973	8.494111
0.148029	0.583529	-0.044094	8.250776	-0.734857	8.217986	69.857411	0.122953	-204901.000000	0.000000	0.000000	0.000000	8.250776	-0.734857	8.217986	1.000000	8.466768	1543388239.808973	8.466768
0.053324	0.614239	-0.234881	8.267321	-0.735882	8.234505	69.659467	0.123874	-204901.000000	0.000000	0.000000	0.000000	8.267321	-0.735882	8.234505	1.000000	8.425881	1543388239.832975	8.425881
0.061958	0.664564	-0.235251	8.273121	-0.736450	8.240277	69.593400	0.124182	-204901.000000	0.000000	0.000000	0.000000	8.273121	-0.736450	8.240277	1.000000	8.411989	1543388239.840975	8.411989
0.170255	0.658862	-0.482836	8.280147	-0.736152	8.247358	69.527306	0.125871	-204901.000000	0.000000	0.000000	0.000000	8.280147	-0.736152	8.247358	1.000000	8.396869	1543388239.848980	8.396869
0.216147	0.605556	-0.072808	8.290484	-0.734607	8.257873	69.394826	0.126379	-204901.000000	0.000000	0.000000	0.000000	8.290484	-0.734607	8.257873	1.000000	8.370420	1543388239.864979	8.370420
0.220867	0.605396	-0.010925	8.301591	-0.733108	8.269157	69.262183	0.126848	-204901.000000	0.000000	0.000000	0.000000	8.301591	-0.733108	8.269157	1.000000	8.343243	1543388239.880977	8.343243
0.088229	0.599004	0.013689	8.311702	-0.733130	8.279306	69.129358	0.127289	-204901.000000	0.000000	0.000000	0.000000	8.311702	-0.733130	8.279306	1.000000	8.317112	1543388239.896977	8.317112
