auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.082255	0.886593	-0.059748	2.379135	2.378542	0.053133	42.443233	0.326545	-202701.000000	1.221633	-0.355058	-1.168897	2.994315	2.733600	1.222030	1.000000	14.174604	1543475286.481529	17.839773
0.087315	0.892939	-0.012753	2.386740	2.386149	0.053095	42.433720	0.326047	-202701.000000	1.221633	-0.355058	-1.168897	3.001246	2.741207	1.221993	1.000000	14.138700	1543475286.489528	17.778949
0.088839	0.916429	-0.033283	2.394529	2.393941	0.053048	42.424186	0.325546	-202701.000000	1.221633	-0.355058	-1.168897	3.008346	2.748999	1.221946	1.000000	14.102164	1543475286.497526	17.717135
0.149596	0.937999	-0.001943	2.410318	2.409753	0.052193	42.405042	0.324530	-202701.000000	1.221633	-0.355058	-1.168897	3.022456	2.764811	1.221090	1.000000	14.029996	1543475286.513529	17.593130
0.139964	0.980782	0.000237	2.418986	2.418374	0.054388	42.394672	0.324748	-202701.000000	1.221633	-0.355058	-1.168897	3.031229	2.773432	1.223285	1.000000	13.985966	1543475286.521527	17.525803
0.120762	1.006365	-0.033559	2.427499	2.426896	0.054103	42.384974	0.324302	-202701.000000	1.221633	-0.355058	-1.168897	3.038914	2.781954	1.223000	1.000000	13.947409	1543475286.529529	17.460345
0.112429	0.967300	-0.049830	2.444202	2.443609	0.053833	42.365508	0.323397	-202701.000000	1.221633	-0.355058	-1.168897	3.054113	2.798667	1.222731	1.000000	13.871626	1543475286.545528	17.333065
0.130639	0.934984	0.024712	2.452148	2.451565	0.053461	42.355739	0.322937	-202701.000000	1.221633	-0.355058	-1.168897	3.061256	2.806622	1.222358	1.000000	13.836065	1543475286.553528	17.272916
0.133518	0.897066	-0.033490	2.459785	2.459213	0.053054	42.345950	0.322471	-202701.000000	1.221633	-0.355058	-1.168897	3.068107	2.814270	1.221952	1.000000	13.801978	1543475286.561528	17.215307
0.142166	0.875974	-0.012779	2.467256	2.466696	0.052576	42.212336	0.321999	-202701.000000	1.217400	-0.493249	-1.113000	3.181170	2.959945	1.165576	1.000000	13.269439	1543475286.569528	17.109022
0.131722	0.892812	0.010784	2.490035	2.489501	0.051534	42.182744	0.320551	-202701.000000	1.217400	-0.493249	-1.113000	3.202021	2.982750	1.164534	1.000000	13.173787	1543475286.593527	16.940625
0.100969	0.935648	0.027006	2.505735	2.505211	0.051240	42.162714	0.319770	-202701.000000	1.217400	-0.493249	-1.113000	3.216553	2.998460	1.164240	1.000000	13.108043	1543475286.609527	16.826489
0.081735	0.954080	0.082793	2.513842	2.513319	0.051267	42.152660	0.319374	-202701.000000	1.217400	-0.493249	-1.113000	3.224123	3.006568	1.164267	1.000000	13.074149	1543475286.617531	16.768224
0.049860	0.907891	0.137247	2.529565	2.529031	0.051974	42.132488	0.318582	-202701.000000	1.217400	-0.493249	-1.113000	3.239034	3.022280	1.164974	1.000000	13.007733	1543475286.633529	16.656022
0.063620	0.891283	0.099493	2.537165	2.536630	0.052136	42.122366	0.318185	-202701.000000	1.217400	-0.493249	-1.113000	3.246183	3.029878	1.165136	1.000000	12.975968	1543475286.641528	16.602138
0.050861	0.890685	0.116692	2.544766	2.544227	0.052400	42.112215	0.317786	-202701.000000	1.217400	-0.493249	-1.113000	3.253370	3.037476	1.165400	1.000000	12.944182	1543475286.649531	16.548558
-0.000049	0.883755	0.112191	2.559999	2.559442	0.053434	42.091848	0.316992	-202701.000000	1.217400	-0.493249	-1.113000	3.267949	3.052691	1.166434	1.000000	12.880204	1543475286.665531	16.442131
-0.011380	0.852057	0.129861	2.567288	2.566716	0.054190	42.081626	0.316598	-202701.000000	1.217400	-0.493249	-1.113000	3.275015	3.059965	1.167190	1.000000	12.849294	1543475286.673531	16.391468
-0.008149	0.921678	0.136504	2.582675	2.582075	0.055666	41.741773	0.315821	-202701.000000	1.601664	-0.680696	-1.449821	3.593350	3.262771	1.505486	1.000000	11.616394	1543475286.689531	16.162223
0.037017	0.877825	0.148842	2.605819	2.605196	0.056987	41.710663	0.314671	-202701.000000	1.601664	-0.680696	-1.449821	3.614907	3.285892	1.506808	1.000000	11.538515	1543475286.713529	16.006739
0.024834	0.889932	0.100302	2.612617	2.612080	0.052936	41.700234	0.314235	-202701.000000	1.601664	-0.680696	-1.449821	3.619483	3.292776	1.502757	1.000000	11.521049	1543475286.721528	15.961100
0.046602	0.895665	0.028988	2.620246	2.619706	0.053230	41.690000	0.313641	-202701.000000	1.601664	-0.680696	-1.449821	3.626543	3.300402	1.503051	1.000000	11.495796	1543475286.729528	15.910718
