auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.102608	-0.072314	0.138409	12.807689	-1.084219	12.761715	114.857356	0.000012	-1025001.000000	0.000000	0.000000	0.000000	12.807689	-1.084219	12.761715	1.000000	8.967844	1543457700.958843	8.967844
0.115523	-0.036171	0.030218	12.808246	-1.083257	12.762356	114.652721	-0.000031	-1025001.000000	0.000000	0.000000	0.000000	12.808246	-1.083257	12.762356	1.000000	8.951477	1543457700.974848	8.951477
0.037503	-0.083109	-0.087236	12.809007	-1.083055	12.763136	114.448201	-0.000086	-1025001.000000	0.000000	0.000000	0.000000	12.809007	-1.083055	12.763136	1.000000	8.934978	1543457700.990843	8.934978
0.108278	-0.030290	-0.048801	12.808687	-1.082175	12.762890	114.243648	-0.000148	-1025001.000000	0.000000	0.000000	0.000000	12.808687	-1.082175	12.762890	1.000000	8.919232	1543457701.006841	8.919232
0.099501	-0.084139	0.123644	12.810064	-1.085803	12.763964	114.036587	0.000795	-1025001.000000	0.000000	0.000000	0.000000	12.810064	-1.085803	12.763964	1.000000	8.902109	1543457701.022844	8.902109
0.184508	-0.062152	-0.215573	12.810082	-1.084689	12.764077	113.934314	0.000866	-1025001.000000	0.000000	0.000000	0.000000	12.810082	-1.084689	12.764077	1.000000	8.894112	1543457701.030841	8.894112
0.200663	-0.066947	-0.307249	12.810062	-1.083438	12.764163	113.831992	0.000928	-1025001.000000	0.000000	0.000000	0.000000	12.810062	-1.083438	12.764163	1.000000	8.886139	1543457701.038842	8.886139
0.064738	-0.131219	0.074157	12.809605	-1.082687	12.763768	113.525044	0.001087	-1025001.000000	0.000000	0.000000	0.000000	12.809605	-1.082687	12.763768	1.000000	8.862494	1543457701.062843	8.862494
0.116271	-0.151764	0.261824	12.808915	-1.082086	12.763127	113.974950	0.001137	-1025001.000000	0.000000	0.000000	0.000000	12.808915	-1.082086	12.763127	1.000000	8.898095	1543457701.070841	8.898095
0.058191	-0.138370	0.230638	12.808331	-1.081955	12.762551	113.872625	0.001183	-1025001.000000	0.000000	0.000000	0.000000	12.808331	-1.081955	12.762551	1.000000	8.890512	1543457701.078843	8.890512
-0.055791	-0.037927	0.147903	12.808771	-1.083176	12.762890	113.565708	0.001330	-1025001.000000	0.000000	0.000000	0.000000	12.808771	-1.083176	12.762890	1.000000	8.866245	1543457701.102845	8.866245
