auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.048951	-0.079649	0.005695	0.000973	0.000972	0.000040	68.629400	-0.228432	-103701.000000	0.000000	0.000000	0.000000	0.000973	0.000972	0.000040	0.000000	70553.867708	1543481451.074719	70553.867708
0.052212	-0.069493	0.076917	0.001251	0.001250	0.000035	68.629430	-0.228421	-103701.000000	0.000000	0.000000	0.000000	0.001251	0.001250	0.000035	0.000000	54879.113144	1543481451.090721	54879.113144
0.059172	-0.063265	-0.061991	0.001288	0.001287	0.000052	68.629446	-0.228415	-103701.000000	0.000000	0.000000	0.000000	0.001288	0.001287	0.000052	0.000000	53272.431874	1543481451.098724	53272.431874
0.050808	-0.041485	-0.025063	0.000363	0.000233	-0.000279	68.629514	-0.228360	-103701.000000	0.000000	0.000000	0.000000	0.000363	0.000233	-0.000279	0.000000	188961.489764	1543481451.122721	188961.489764
0.051109	-0.028073	0.074877	0.000316	-0.000028	-0.000314	68.629522	-0.228342	-103701.000000	0.000000	0.000000	0.000000	0.000316	-0.000028	-0.000314	1.000000	217511.048754	1543481451.130723	217511.048754
0.064261	-0.046592	-0.020936	0.000282	-0.000127	-0.000252	68.629530	-0.228324	-103701.000000	0.000000	0.000000	0.000000	0.000282	-0.000127	-0.000252	1.000000	243111.733947	1543481451.138722	243111.733947
0.059409	-0.069211	0.002119	0.000237	-0.000050	-0.000231	68.629538	-0.228306	-103701.000000	0.000000	0.000000	0.000000	0.000237	-0.000050	-0.000231	1.000000	290095.986583	1543481451.146726	290095.986583
0.058047	-0.057347	0.072915	0.000229	-0.000075	-0.000216	68.629545	-0.228289	-103701.000000	0.000000	0.000000	0.000000	0.000229	-0.000075	-0.000216	1.000000	299604.997998	1543481451.154726	299604.997998
0.048587	-0.084414	-0.010087	0.000311	0.000124	-0.000285	68.629553	-0.228271	-103701.000000	0.000000	0.000000	0.000000	0.000311	0.000124	-0.000285	1.000000	220890.620151	1543481451.162721	220890.620151
0.061188	-0.074122	0.002802	0.000348	0.000241	-0.000251	68.734259	-0.228253	-103701.000000	0.000000	0.000000	0.000000	0.000348	0.000241	-0.000251	1.000000	197656.464705	1543481451.170726	197656.464705
0.082850	-0.038836	0.020355	0.000086	0.000078	-0.000037	68.734266	-0.228236	-103701.000000	0.000000	0.000000	0.000000	0.000086	0.000078	-0.000037	1.000000	800819.673434	1543481451.178723	800819.673434
0.048122	-0.081547	0.020751	0.000438	0.000419	-0.000129	68.734287	-0.228188	-103701.000000	0.000000	0.000000	0.000000	0.000438	0.000419	-0.000129	1.000000	156950.151384	1543481451.202721	156950.151384
0.032086	-0.052908	0.022750	0.000483	0.000359	-0.000323	68.734296	-0.228171	-103701.000000	0.000000	0.000000	0.000000	0.000483	0.000359	-0.000323	1.000000	142241.177968	1543481451.210721	142241.177968
0.057916	-0.064916	0.011777	0.000413	0.000159	-0.000381	68.734315	-0.228134	-103701.000000	0.000000	0.000000	0.000000	0.000413	0.000159	-0.000381	1.000000	166453.486830	1543481451.226726	166453.486830
0.050920	-0.078293	0.010891	0.000653	0.000459	-0.000465	68.734335	-0.228096	-103701.000000	0.000000	0.000000	0.000000	0.000653	0.000459	-0.000465	1.000000	105250.582901	1543481451.242721	105250.582901
0.055414	-0.063658	0.005694	0.000683	0.000491	-0.000475	68.734346	-0.228076	-103701.000000	0.000000	0.000000	0.000000	0.000683	0.000491	-0.000475	1.000000	100647.359110	1543481451.250726	100647.359110
0.047873	-0.069571	0.007889	0.000815	0.000591	-0.000561	68.734369	-0.228037	-103701.000000	0.000000	0.000000	0.000000	0.000815	0.000591	-0.000561	1.000000	84346.789811	1543481451.266721	84346.789811
0.048293	-0.032180	0.029574	0.000706	0.000178	-0.000684	68.734393	-0.227996	-103701.000000	0.000000	0.000000	0.000000	0.000706	0.000178	-0.000684	1.000000	97299.185073	1543481451.282723	97299.185073
