auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.031911	-0.122658	-0.004128	0.010110	0.005250	-0.008640	394.258649	0.910688	-1025501.000000	0.000000	0.000000	0.000000	0.010110	0.005250	-0.008640	0.000000	38998.196880	1543371750.891052	38998.196880
0.082500	-0.129022	-0.012371	0.011208	0.007491	-0.008337	394.257661	0.912396	-1025501.000000	0.000000	0.000000	0.000000	0.011208	0.007491	-0.008337	0.000000	35177.712960	1543371750.899047	35177.712960
0.064468	-0.084989	0.047751	0.011520	0.007845	-0.008436	394.257741	0.912150	-1025501.000000	0.000000	0.000000	0.000000	0.011520	0.007845	-0.008436	0.000000	34224.760392	1543371750.907046	34224.760392
0.011849	-0.056855	0.025449	0.011411	0.007756	-0.008370	394.257895	0.911742	-1025501.000000	0.000000	0.000000	0.000000	0.011411	0.007756	-0.008370	0.000000	34549.829054	1543371750.923052	34549.829054
0.016033	-0.013640	0.073700	0.011040	0.007694	-0.007918	394.257965	0.911582	-1025501.000000	0.000000	0.000000	0.000000	0.011040	0.007694	-0.007918	0.000000	35710.244686	1543371750.931054	35710.244686
0.011107	-0.029296	-0.008962	0.010743	0.007599	-0.007593	394.258033	0.911423	-1025501.000000	0.000000	0.000000	0.000000	0.010743	0.007599	-0.007593	0.000000	36700.650727	1543371750.939054	36700.650727
0.069800	-0.068569	0.068378	0.011058	0.008166	-0.007456	394.258164	0.911102	-1025501.000000	0.000000	0.000000	0.000000	0.011058	0.008166	-0.007456	1.000000	35652.317098	1543371750.955049	35652.317098
0.047919	-0.113866	-0.022601	0.011458	0.008400	-0.007794	394.258231	0.910938	-1025501.000000	0.000000	0.000000	0.000000	0.011458	0.008400	-0.007794	1.000000	34407.852393	1543371750.963047	34407.852393
0.030187	-0.120691	0.047110	0.011800	0.008494	-0.008191	394.258301	0.910772	-1025501.000000	0.000000	0.000000	0.000000	0.011800	0.008494	-0.008191	1.000000	33410.340370	1543371750.971049	33410.340370
0.004259	-0.065468	0.047949	0.011681	0.008360	-0.008159	394.581444	0.910607	-1025501.000000	0.000000	0.000000	0.000000	0.011681	0.008360	-0.008159	1.000000	33779.093702	1543371750.979044	33779.093702
-0.009805	-0.057836	-0.015164	0.011006	0.007711	-0.007853	394.581583	0.910284	-1025501.000000	0.000000	0.000000	0.000000	0.011006	0.007711	-0.007853	1.000000	35851.314576	1543371750.995049	35851.314576
0.034556	-0.085836	0.024221	0.011293	0.007959	-0.008012	394.581721	0.909963	-1025501.000000	0.000000	0.000000	0.000000	0.011293	0.007959	-0.008012	1.000000	34940.362900	1543371751.011052	34940.362900
0.024345	-0.116605	0.004616	0.011061	0.008037	-0.007600	394.580745	0.911793	-1025501.000000	0.000000	0.000000	0.000000	0.011061	0.008037	-0.007600	1.000000	35671.862395	1543371751.019049	35671.862395
0.047490	-0.127222	0.023299	0.011538	0.008272	-0.008044	394.580813	0.911584	-1025501.000000	0.000000	0.000000	0.000000	0.011538	0.008272	-0.008044	1.000000	34198.246580	1543371751.027050	34198.246580
0.011990	-0.060035	0.016266	0.011632	0.008313	-0.008136	394.580955	0.911163	-1025501.000000	0.000000	0.000000	0.000000	0.011632	0.008313	-0.008136	1.000000	33922.185638	1543371751.043049	33922.185638
0.022635	-0.039649	0.046835	0.011462	0.008315	-0.007889	394.581024	0.910953	-1025501.000000	0.000000	0.000000	0.000000	0.011462	0.008315	-0.007889	1.000000	34425.401913	1543371751.051052	34425.401913
0.024433	-0.012156	0.034848	0.011149	0.008320	-0.007422	394.581091	0.910742	-1025501.000000	0.000000	0.000000	0.000000	0.011149	0.008320	-0.007422	1.000000	35390.684710	1543371751.059054	35390.684710
0.040220	-0.069884	-0.014881	0.011049	0.008478	-0.007085	394.581217	0.910319	-1025501.000000	0.000000	0.000000	0.000000	0.011049	0.008478	-0.007085	1.000000	35712.703721	1543371751.075051	35712.703721
0.053518	-0.069444	0.012390	0.011236	0.008738	-0.007064	394.581279	0.910106	-1025501.000000	0.000000	0.000000	0.000000	0.011236	0.008738	-0.007064	1.000000	35116.959480	1543371751.083049	35116.959480
0.047277	-0.096234	0.022308	0.011531	0.008959	-0.007260	394.937721	0.909891	-1025501.000000	0.000000	0.000000	0.000000	0.011531	0.008959	-0.007260	1.000000	34249.157147	1543371751.091048	34249.157147
0.059903	-0.143378	-0.036567	0.012156	0.009299	-0.007829	394.937788	0.909673	-1025501.000000	0.000000	0.000000	0.000000	0.012156	0.009299	-0.007829	1.000000	32489.763238	1543371751.099047	32489.763238
0.017894	-0.062258	0.011807	0.012558	0.009667	-0.008016	394.937929	0.909232	-1025501.000000	0.000000	0.000000	0.000000	0.012558	0.009667	-0.008016	1.000000	31448.766824	1543371751.115047	31448.766824
-0.010964	-0.082240	-0.019987	0.012436	0.009416	-0.008124	394.938000	0.909012	-1025501.000000	0.000000	0.000000	0.000000	0.012436	0.009416	-0.008124	1.000000	31757.323006	1543371751.123049	31757.323006
0.027665	-0.067478	0.086631	0.012458	0.009469	-0.008096	394.938071	0.908793	-1025501.000000	0.000000	0.000000	0.000000	0.012458	0.009469	-0.008096	1.000000	31700.527094	1543371751.131052	31700.527094
0.044996	-0.048196	0.021281	0.012479	0.009652	-0.007910	394.938141	0.908572	-1025501.000000	0.000000	0.000000	0.000000	0.012479	0.009652	-0.007910	1.000000	31647.576298	1543371751.139052	31647.576298
0.057453	-0.112202	0.086810	0.013102	0.010159	-0.008273	394.938283	0.908127	-1025501.000000	0.000000	0.000000	0.000000	0.013102	0.010159	-0.008273	1.000000	30144.095020	1543371751.147052	30144.095020
