auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.074626	-0.043235	-0.010058	0.010514	0.009412	0.004687	30.557467	0.515274	-1025501.000000	0.000000	0.000000	0.000000	0.010514	0.009412	0.004687	0.000000	2906.356442	1543307398.752499	2906.356442
0.057025	-0.024257	0.001364	0.010675	0.009471	0.004926	30.557463	0.515227	-1025501.000000	0.000000	0.000000	0.000000	0.010675	0.009471	0.004926	0.000000	2862.431574	1543307398.760498	2862.431574
0.040757	-0.033535	0.014484	0.010536	0.009180	0.005171	30.557451	0.515136	-1025501.000000	0.000000	0.000000	0.000000	0.010536	0.009180	0.005171	0.000000	2900.252025	1543307398.776499	2900.252025
0.053551	-0.027222	-0.000272	0.010671	0.009214	0.005384	30.557443	0.515090	-1025501.000000	0.000000	0.000000	0.000000	0.010671	0.009214	0.005384	0.000000	2863.467420	1543307398.784497	2863.467420
0.030736	-0.032974	-0.045647	0.010622	0.009066	0.005535	30.557433	0.515045	-1025501.000000	0.000000	0.000000	0.000000	0.010622	0.009066	0.005535	0.000000	2876.720252	1543307398.792499	2876.720252
0.040096	-0.045895	-0.033883	0.010597	0.009003	0.005590	30.557423	0.515001	-1025501.000000	0.000000	0.000000	0.000000	0.010597	0.009003	0.005590	0.000000	2883.635379	1543307398.800499	2883.635379
0.048250	-0.073111	0.008804	0.010534	0.009024	0.005435	30.557413	0.514957	-1025501.000000	0.000000	0.000000	0.000000	0.010534	0.009024	0.005435	1.000000	2900.766962	1543307398.808499	2900.766962
0.021184	-0.090921	-0.032319	0.009962	0.008692	0.004866	30.557398	0.514872	-1025501.000000	0.000000	0.000000	0.000000	0.009962	0.008692	0.004866	1.000000	3067.544515	1543307398.824496	3067.544515
0.030119	-0.082343	0.004760	0.009743	0.008575	0.004625	30.557394	0.514831	-1025501.000000	0.000000	0.000000	0.000000	0.009743	0.008575	0.004625	1.000000	3136.387181	1543307398.832496	3136.387181
0.019229	-0.087168	-0.008869	0.009430	0.008374	0.004337	30.557392	0.514792	-1025501.000000	0.000000	0.000000	0.000000	0.009430	0.008374	0.004337	1.000000	3240.288863	1543307398.840495	3240.288863
0.017639	-0.074118	0.025090	0.008480	0.007431	0.004087	30.571486	0.516937	-1025501.000000	0.000000	0.000000	0.000000	0.008480	0.007431	0.004087	1.000000	3605.022815	1543307398.864497	3605.022815
0.004202	-0.038461	0.069583	0.008225	0.007082	0.004183	30.571452	0.516887	-1025501.000000	0.000000	0.000000	0.000000	0.008225	0.007082	0.004183	1.000000	3717.038990	1543307398.872497	3717.038990
