auto-a-x	auto-a-y	auto-a-z	auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
0.065347	-0.013487	0.021144	0.022445	0.009668	0.020256	32.606871	0.316094	-1025501.000000	0.000000	0.000000	0.000000	0.022445	0.009668	0.020256	0.000000	1452.725505	1543307845.480706	1452.725505
0.030651	-0.035235	0.028860	0.023107	0.009689	0.020977	32.606563	0.315872	-1025501.000000	0.000000	0.000000	0.000000	0.023107	0.009689	0.020977	0.000000	1411.140711	1543307845.504706	1411.140711
0.025387	-0.030998	0.004857	0.016487	0.006969	0.014941	32.607358	0.318298	-1025501.000000	0.000000	0.000000	0.000000	0.016487	0.006969	0.014941	0.000000	1977.815231	1543307845.512706	1977.815231
0.040070	-0.050910	-0.005804	0.016492	0.006899	0.014980	32.607443	0.318286	-1025501.000000	0.000000	0.000000	0.000000	0.016492	0.006899	0.014980	1.000000	1977.121445	1543307845.520707	1977.121445
0.044031	-0.081093	-0.006410	0.016304	0.006880	0.014781	32.607528	0.318274	-1025501.000000	0.000000	0.000000	0.000000	0.016304	0.006880	0.014781	1.000000	2000.017539	1543307845.528707	2000.017539
0.055547	-0.065962	-0.005817	0.015830	0.007083	0.014157	32.607796	0.318237	-1025501.000000	0.000000	0.000000	0.000000	0.015830	0.007083	0.014157	1.000000	2059.873631	1543307845.552704	2059.873631
0.061358	-0.038856	-0.028012	0.016003	0.007173	0.014305	32.606566	0.318223	-1025501.000000	0.000000	0.000000	0.000000	0.016003	0.007173	0.014305	1.000000	2037.572774	1543307845.560706	2037.572774
0.068745	-0.032247	0.011441	0.016254	0.007320	0.014512	32.606655	0.318209	-1025501.000000	0.000000	0.000000	0.000000	0.016254	0.007320	0.014512	1.000000	2006.078872	1543307845.568706	2006.078872
0.062972	-0.031696	0.029003	0.016645	0.007538	0.014840	32.606830	0.318176	-1025501.000000	0.000000	0.000000	0.000000	0.016645	0.007538	0.014840	1.000000	1958.997830	1543307845.584704	1958.997830
0.064047	-0.007649	0.027281	0.017046	0.007632	0.015241	32.606915	0.318159	-1025501.000000	0.000000	0.000000	0.000000	0.017046	0.007632	0.015241	1.000000	1912.929014	1543307845.592709	1912.929014
0.049572	-0.014260	0.038792	0.017343	0.007616	0.015581	32.606996	0.318140	-1025501.000000	0.000000	0.000000	0.000000	0.017343	0.007616	0.015581	1.000000	1880.171716	1543307845.600706	1880.171716
0.035978	-0.031726	0.053078	0.017467	0.007503	0.015773	32.607076	0.318122	-1025501.000000	0.000000	0.000000	0.000000	0.017467	0.007503	0.015773	1.000000	1866.823552	1543307845.608707	1866.823552
0.060396	-0.075669	0.018078	0.017602	0.007625	0.015864	32.607308	0.318069	-1025501.000000	0.000000	0.000000	0.000000	0.017602	0.007625	0.015864	1.000000	1852.516125	1543307845.632707	1852.516125
0.065705	-0.097812	0.016205	0.017390	0.007791	0.015547	32.607387	0.318050	-1025501.000000	0.000000	0.000000	0.000000	0.017390	0.007791	0.015547	1.000000	1875.098659	1543307845.640705	1875.098659
0.067365	-0.076543	0.018816	0.017107	0.008175	0.015027	32.584719	0.318008	-1025501.000000	0.000000	0.000000	0.000000	0.017107	0.008175	0.015027	1.000000	1904.754364	1543307845.656705	1904.754364
0.062141	-0.070855	0.003016	0.017010	0.008434	0.014771	32.584891	0.317962	-1025501.000000	0.000000	0.000000	0.000000	0.017010	0.008434	0.014771	1.000000	1915.680191	1543307845.672704	1915.680191
0.065640	-0.047443	0.016644	0.017148	0.008567	0.014855	32.584923	0.317919	-1025501.000000	0.000000	0.000000	0.000000	0.017148	0.008567	0.014855	1.000000	1900.179592	1543307845.680704	1900.179592
0.064213	-0.015365	0.031453	0.018093	0.008865	0.015772	32.585006	0.317785	-1025501.000000	0.000000	0.000000	0.000000	0.018093	0.008865	0.015772	1.000000	1800.981395	1543307845.704705	1800.981395
0.049425	-0.026414	0.000287	0.018643	0.008880	0.016392	32.585049	0.317692	-1025501.000000	0.000000	0.000000	0.000000	0.018643	0.008880	0.016392	1.000000	1747.865785	1543307845.720707	1747.865785
0.055949	-0.046988	-0.012573	0.018739	0.008933	0.016473	32.585067	0.317645	-1025501.000000	0.000000	0.000000	0.000000	0.018739	0.008933	0.016473	1.000000	1738.882007	1543307845.728707	1738.882007
0.054027	-0.072394	0.011326	0.018658	0.008989	0.016351	32.585086	0.317598	-1025501.000000	0.000000	0.000000	0.000000	0.018658	0.008989	0.016351	1.000000	1746.399263	1543307845.736707	1746.399263
0.053009	-0.086349	-0.020930	0.018244	0.009035	0.015850	32.585129	0.317503	-1025501.000000	0.000000	0.000000	0.000000	0.018244	0.009035	0.015850	1.000000	1786.058976	1543307845.752704	1786.058976
0.062458	-0.070285	-0.009603	0.018216	0.009155	0.015749	32.575918	0.317455	-1025501.000000	0.000000	0.000000	0.000000	0.018216	0.009155	0.015749	1.000000	1788.271343	1543307845.760705	1788.271343
0.066560	-0.081424	-0.010598	0.018155	0.009441	0.015507	32.575968	0.317356	-1025501.000000	0.000000	0.000000	0.000000	0.018155	0.009441	0.015507	1.000000	1794.291728	1543307845.776707	1794.291728
0.066410	-0.017822	0.035605	0.016500	0.009418	0.013548	32.577050	0.319659	-1025501.000000	0.000000	0.000000	0.000000	0.016500	0.009418	0.013548	1.000000	1974.373210	1543307845.792705	1974.373210
0.053106	-0.001748	0.036736	0.016866	0.009421	0.013990	32.577167	0.319583	-1025501.000000	0.000000	0.000000	0.000000	0.016866	0.009421	0.013990	1.000000	1931.491236	1543307845.800709	1931.491236
0.020395	-0.037130	0.041928	0.017329	0.008918	0.014858	32.577501	0.319357	-1025501.000000	0.000000	0.000000	0.000000	0.017329	0.008918	0.014858	1.000000	1879.946104	1543307845.824707	1879.946104
0.030027	-0.068553	0.023829	0.017116	0.008656	0.014765	32.577717	0.319213	-1025501.000000	0.000000	0.000000	0.000000	0.017116	0.008656	0.014765	1.000000	1903.385023	1543307845.840707	1903.385023
