a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.047920	-0.075653	-0.031995	14.509500	0.000000	4.641462	16.452000	0.515331	470939.760256	4398699.911437	0.010281	0.009200	0.004588	0.574468	1543307398.744497
0.074626	-0.043235	-0.010058	14.506500	0.000000	4.641334	16.420500	0.515274	470939.760313	4398699.911435	0.010514	0.009412	0.004687	0.574468	1543307398.752499
0.057025	-0.024257	0.001364	14.506500	0.000000	4.641292	16.420500	0.515227	470939.760360	4398699.911442	0.010675	0.009471	0.004926	0.574468	1543307398.760498
0.040757	-0.033535	0.014484	14.508000	0.000000	4.641070	16.403999	0.515136	470939.760450	4398699.911460	0.010536	0.009180	0.005171	0.574468	1543307398.776499
0.053551	-0.027222	-0.000272	14.655000	0.000000	4.640974	16.308001	0.515090	470939.760495	4398699.911471	0.010671	0.009214	0.005384	0.574468	1543307398.784497
0.030736	-0.032974	-0.045647	14.655000	0.000000	4.641058	16.308001	0.515045	470939.760539	4398699.911483	0.010622	0.009066	0.005535	0.574468	1543307398.792499
0.040096	-0.045895	-0.033883	14.655000	0.000000	4.641144	16.308001	0.515001	470939.760582	4398699.911496	0.010597	0.009003	0.005590	0.574468	1543307398.800499
0.048250	-0.073111	0.008804	14.541000	1.000000	4.641283	16.308001	0.514957	470939.760625	4398699.911509	0.010534	0.009024	0.005435	0.574468	1543307398.808499
0.021184	-0.090921	-0.032319	14.541000	1.000000	4.641332	16.308001	0.514872	470939.760709	4398699.911529	0.009962	0.008692	0.004866	0.574468	1543307398.824496
0.030119	-0.082343	0.004760	19.660500	1.000000	4.641233	16.341000	0.514831	470939.760749	4398699.911536	0.009743	0.008575	0.004625	0.574468	1543307398.832496
0.019229	-0.087168	-0.008869	19.660500	1.000000	4.641088	16.341000	0.514792	470939.760788	4398699.911541	0.009430	0.008374	0.004337	0.574468	1543307398.840495
0.017639	-0.074118	0.025090	19.660500	1.000000	4.644236	16.356001	0.516937	470939.758665	4398699.911194	0.008480	0.007431	0.004087	0.574468	1543307398.864497
0.004202	-0.038461	0.069583	19.660500	1.000000	4.644138	16.500000	0.516887	470939.758712	4398699.911232	0.008225	0.007082	0.004183	0.574468	1543307398.872497
0.027367	-0.045403	0.095038	19.660500	1.000000	4.643887	16.500000	0.516839	470939.758757	4398699.911270	0.008118	0.006924	0.004239	0.574468	1543307398.880497
0.023605	-0.054904	0.071188	19.660500	1.000000	4.643682	16.564501	0.516793	470939.758800	4398699.911308	0.007950	0.006740	0.004216	0.574468	1543307398.888497
0.038407	-0.023949	0.036599	19.660500	1.000000	4.643188	16.564501	0.516705	470939.758882	4398699.911386	0.007838	0.006375	0.004559	0.574468	1543307398.904497
0.058250	-0.048286	0.049688	19.660500	1.000000	4.642893	16.725000	0.516630	470939.758951	4398699.911458	0.007939	0.006463	0.004611	0.574468	1543307398.912497
0.053075	-0.062054	0.053708	19.660500	1.000000	4.642588	16.725000	0.516554	470939.759021	4398699.911530	0.007949	0.006519	0.004549	0.574468	1543307398.920497
0.067404	-0.085478	0.011748	19.660500	1.000000	4.642492	16.677000	0.516478	470939.759092	4398699.911601	0.007966	0.006701	0.004307	0.553191	1543307398.928494
0.080515	-0.067708	0.062221	19.660500	1.000000	4.642419	16.677000	0.516319	470939.759240	4398699.911737	0.008345	0.007313	0.004020	0.553191	1543307398.944496
0.085208	-0.086574	0.000803	19.660500	1.000000	4.642245	16.693501	0.516236	470939.759318	4398699.911804	0.008522	0.007638	0.003780	0.510638	1543307398.952497
0.102063	-0.054219	0.016647	19.660500	1.000000	4.642035	16.693501	0.516150	470939.759398	4398699.911870	0.008931	0.008077	0.003811	0.510638	1543307398.960499
0.090772	-0.015381	0.089680	19.660500	1.000000	4.642016	16.612499	0.516061	470939.759482	4398699.911937	0.009372	0.008405	0.004147	0.446809	1543307398.968497
0.083708	-0.010503	0.052839	19.660500	1.000000	4.641990	16.612499	0.515877	470939.759656	4398699.912078	0.010056	0.008845	0.004784	0.446809	1543307398.984500
0.089037	0.020084	0.039822	19.660500	1.000000	4.642084	16.677000	0.515781	470939.759746	4398699.912154	0.010610	0.009133	0.005399	0.382979	1543307398.992502
0.090270	-0.014050	0.001312	19.660500	1.000000	4.642105	16.677000	0.515583	470939.759931	4398699.912319	0.011481	0.009614	0.006276	0.382979	1543307399.008502
0.107034	-0.036175	-0.051997	19.660500	1.000000	4.642486	16.677000	0.517689	470939.757857	4398699.911842	0.009635	0.008703	0.004135	0.382979	1543307399.024500
0.104085	-0.058391	-0.051418	19.660500	1.000000	4.642576	16.677000	0.517601	470939.757944	4398699.911853	0.010045	0.009157	0.004131	0.276596	1543307399.032502
0.091520	-0.082604	0.001123	19.660500	1.000000	4.642835	16.564501	0.517510	470939.758035	4398699.911864	0.010307	0.009529	0.003928	0.276596	1543307399.040502
0.070393	-0.099809	-0.060409	19.660500	1.000000	4.643209	16.468500	0.517417	470939.758127	4398699.911872	0.010374	0.009741	0.003570	0.127660	1543307399.048494
0.087167	-0.083393	-0.014861	19.660500	1.000000	4.643443	16.468500	0.517226	470939.758318	4398699.911882	0.010735	0.010282	0.003083	0.127660	1543307399.064500
0.070980	-0.063061	-0.028272	19.660500	1.000000	4.643539	16.500000	0.517128	470939.758416	4398699.911885	0.010903	0.010476	0.003020	0.000000	1543307399.072500
0.048821	-0.047574	0.022631	19.660500	1.000000	4.643638	16.500000	0.517029	470939.758516	4398699.911888	0.010926	0.010486	0.003069	-0.170213	1543307399.080500
0.053469	-0.077629	0.017972	19.660500	1.000000	4.643851	16.420500	0.516929	470939.758615	4398699.911890	0.010939	0.010552	0.002882	-0.170213	1543307399.088500
0.035769	-0.004237	0.006281	19.660500	1.000000	4.644096	16.420500	0.516731	470939.758814	4398699.911895	0.010919	0.010395	0.003341	-0.170213	1543307399.104502
0.042148	-0.039365	-0.012989	19.660500	1.000000	4.644238	16.468500	0.516632	470939.758913	4398699.911901	0.010905	0.010344	0.003450	-0.340426	1543307399.112499
0.027864	-0.073668	0.080848	19.660500	1.000000	4.644277	16.468500	0.516534	470939.759010	4398699.911906	0.010721	0.010207	0.003281	-0.340426	1543307399.120499
0.015999	-0.106106	-0.008432	19.660500	1.000000	4.644192	16.468500	0.516438	470939.759107	4398699.911909	0.010387	0.009992	0.002840	-0.510638	1543307399.128497
0.013765	-0.078959	0.043744	19.660500	1.000000	4.644250	16.468500	0.516250	470939.759295	4398699.911906	0.009901	0.009642	0.002250	-0.510638	1543307399.144497
-0.009942	-0.089926	-0.030628	19.660500	1.000000	4.644172	16.387501	0.516160	470939.759386	4398699.911901	0.009407	0.009208	0.001921	-0.617021	1543307399.152497
0.013968	-0.100435	-0.003978	19.660500	1.000000	4.643893	16.387501	0.516073	470939.759474	4398699.911893	0.009102	0.008973	0.001524	-0.617021	1543307399.160497
0.030301	-0.096899	0.036685	19.660500	1.000000	4.643639	16.483500	0.515987	470939.759561	4398699.911882	0.008945	0.008868	0.001168	-0.744681	1543307399.168497
-0.000229	-0.064808	0.007249	19.660500	1.000000	4.643061	16.483500	0.515823	470939.759729	4398699.911854	0.008219	0.008188	0.000713	-0.744681	1543307399.184500
0.025063	-0.035926	0.045843	19.660500	1.000000	4.642811	16.452000	0.515744	470939.759809	4398699.911838	0.008046	0.008002	0.000841	-0.872340	1543307399.192500
0.011469	-0.027717	0.074146	19.660500	1.000000	4.642736	16.452000	0.515667	470939.759887	4398699.911824	0.007772	0.007704	0.001027	-0.872340	1543307399.200500
0.009022	-0.019381	0.024016	19.660500	1.000000	4.642608	16.372499	0.515593	470939.759963	4398699.911812	0.007488	0.007378	0.001276	-0.936170	1543307399.208499
0.041760	-0.061550	0.041107	19.660500	1.000000	4.642384	16.372499	0.515447	470939.760111	4398699.911790	0.007399	0.007283	0.001306	-0.936170	1543307399.224499
0.043432	-0.054146	0.025857	19.660500	1.000000	4.642337	16.435499	0.515374	470939.760185	4398699.911779	0.007370	0.007255	0.001299	-1.021277	1543307399.232500
0.056058	-0.046471	0.009204	19.660500	1.000000	4.642202	16.435499	0.515302	470939.760258	4398699.911768	0.007447	0.007321	0.001361	-1.021277	1543307399.240497
0.043323	-0.076558	0.009813	19.660500	1.000000	4.642115	16.372499	0.515229	470939.760332	4398699.911757	0.007400	0.007306	0.001175	-1.106383	1543307399.248497
0.052981	-0.091769	-0.042063	19.660500	1.000000	4.641941	16.372499	0.515126	470939.760444	4398699.911656	0.007291	0.007272	0.000524	-1.106383	1543307399.264495
0.066112	-0.079084	0.007922	19.660500	1.000000	4.641839	16.403999	0.515074	470939.760500	4398699.911603	0.007448	0.007440	0.000332	-1.106383	1543307399.272497
0.041823	-0.056943	0.035831	19.660500	1.000000	4.641818	16.276501	0.515022	470939.760557	4398699.911548	0.007408	0.007402	0.000302	-1.212766	1543307399.280493
0.042925	-0.054924	-0.041162	19.660500	1.000000	4.641710	16.276501	0.514970	470939.760614	4398699.911493	0.007373	0.007367	0.000286	-1.340425	1543307399.288494
0.054283	-0.035739	0.062646	19.660500	1.000000	4.641941	16.437000	0.514864	470939.760729	4398699.911386	0.007579	0.007558	0.000565	-1.340425	1543307399.304497
0.045092	-0.032598	0.004148	19.660500	1.000000	4.642054	16.437000	0.514811	470939.760787	4398699.911334	0.007563	0.007528	0.000730	-1.446808	1543307399.312497
0.058620	0.003485	0.042382	19.660500	1.000000	4.642308	16.437000	0.514757	470939.760845	4398699.911285	0.007678	0.007584	0.001194	-1.446808	1543307399.320499
0.047264	-0.000507	0.040909	19.660500	1.000000	4.642611	16.485001	0.514703	470939.760903	4398699.911239	0.007724	0.007553	0.001619	-1.446808	1543307399.328499
0.056806	-0.052602	0.013892	19.660500	1.000000	4.642870	16.485001	0.514595	470939.761018	4398699.911153	0.007731	0.007522	0.001783	-1.446808	1543307399.344497
0.061638	-0.067077	-0.003195	19.660500	1.000000	4.643070	16.485001	0.514540	470939.761077	4398699.911110	0.007829	0.007646	0.001684	-1.617021	1543307399.352495
0.049357	-0.061687	-0.002179	19.660500	1.000000	4.643792	16.485001	0.516736	470939.758911	4398699.910658	0.007447	0.007163	0.002038	-1.617021	1543307399.360497
0.078214	-0.074320	-0.044584	19.660500	1.000000	4.643651	16.452000	0.516655	470939.758993	4398699.910645	0.007658	0.007421	0.001889	-1.680851	1543307399.368502
0.052665	-0.066138	0.055722	19.660500	1.000000	4.644073	16.452000	0.516488	470939.759163	4398699.910617	0.008042	0.007889	0.001560	-1.680851	1543307399.384497
0.033853	-0.068054	-0.004418	14.613000	1.000000	4.644207	23.322001	0.516404	470939.759248	4398699.910601	0.007923	0.007792	0.001435	-1.744681	1543307399.392497
0.052175	-0.056119	0.053135	14.613000	1.000000	4.644207	23.322001	0.516320	470939.759334	4398699.910584	0.007963	0.007836	0.001420	-1.744681	1543307399.400499
0.039434	-0.035585	0.085745	14.593500	1.000000	4.644118	23.634001	0.516236	470939.759419	4398699.910568	0.007922	0.007767	0.001561	-1.765957	1543307399.408497
0.050266	-0.020323	0.021496	14.593500	1.000000	4.643605	23.634001	0.516057	470939.759592	4398699.910653	0.007786	0.007542	0.001931	-1.765957	1543307399.424498
0.070735	-0.009940	0.067077	14.565000	1.000000	4.643482	23.754000	0.515968	470939.759678	4398699.910699	0.008040	0.007705	0.002297	-1.787234	1543307399.432502
0.050763	-0.031006	-0.001700	14.565000	1.000000	4.643214	23.754000	0.515877	470939.759765	4398699.910747	0.008107	0.007719	0.002478	-1.787234	1543307399.440500
0.067292	-0.049776	0.000859	14.538000	1.000000	4.642819	23.877001	0.515785	470939.759853	4398699.910795	0.008270	0.007876	0.002521	-1.787234	1543307399.448499
