a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.044865	-0.041674	0.007483	14.509500	0.000000	4.465588	16.291500	0.457456	470939.515403	4398703.592813	0.007668	0.007041	0.003037	2.170213	1543307639.848611
0.050899	-0.099500	-0.006523	14.509500	0.000000	4.465351	16.291500	0.457269	470939.515589	4398703.592840	0.007551	0.007123	0.002505	2.170213	1543307639.864611
0.060921	-0.094034	-0.011661	14.484000	0.000000	4.465308	16.226999	0.457174	470939.515683	4398703.592850	0.007583	0.007259	0.002194	2.170213	1543307639.872611
0.062067	-0.084742	0.014069	14.484000	0.000000	4.465354	16.226999	0.457079	470939.515777	4398703.592857	0.007654	0.007399	0.001959	2.170213	1543307639.880609
0.067531	-0.085517	0.001460	14.523000	0.000000	4.465325	16.308001	0.456983	470939.515874	4398703.592863	0.007775	0.007582	0.001721	2.170213	1543307639.888609
0.055670	-0.046716	0.005236	14.523000	0.000000	4.465372	16.308001	0.456787	470939.516070	4398703.592870	0.007963	0.007797	0.001617	2.170213	1543307639.904611
0.049526	-0.038042	0.020988	14.548500	1.000000	4.465254	16.243500	0.456696	470939.516159	4398703.592890	0.008001	0.007808	0.001747	2.170213	1543307639.912611
0.044294	-0.034412	0.037769	14.548500	1.000000	4.465128	16.243500	0.456606	470939.516248	4398703.592912	0.008006	0.007777	0.001904	2.170213	1543307639.920608
0.050294	-0.019618	0.016703	19.660500	1.000000	4.465007	16.243500	0.456515	470939.516337	4398703.592935	0.008082	0.007783	0.002181	2.170213	1543307639.928614
0.039957	-0.040971	0.030019	19.660500	1.000000	4.465054	16.243500	0.456335	470939.516514	4398703.592987	0.008100	0.007697	0.002523	2.170213	1543307639.944612
0.047909	-0.047853	0.004170	19.660500	1.000000	4.465225	16.243500	0.456244	470939.516602	4398703.593015	0.008119	0.007700	0.002574	2.170213	1543307639.952611
0.045217	-0.052290	0.026541	19.660500	1.000000	4.465353	16.243500	0.456154	470939.516690	4398703.593042	0.008110	0.007686	0.002588	2.170213	1543307639.960611
0.035564	-0.078342	0.015044	19.660500	1.000000	4.465404	16.387501	0.456064	470939.516778	4398703.593069	0.007977	0.007611	0.002388	2.170213	1543307639.968611
0.067336	-0.089720	0.012338	19.660500	1.000000	4.465445	16.387501	0.455885	470939.516955	4398703.593115	0.008057	0.007866	0.001744	2.170213	1543307639.984611
0.060542	-0.084972	0.001327	19.660500	1.000000	4.465538	16.548000	0.455793	470939.517045	4398703.593135	0.008134	0.007993	0.001506	2.170213	1543307639.992609
0.065476	-0.087074	-0.007627	19.660500	1.000000	4.465718	16.548000	0.455701	470939.517136	4398703.593153	0.008256	0.008161	0.001253	2.170213	1543307640.000609
0.069225	-0.046827	0.044432	19.660500	1.000000	4.465632	16.548000	0.455607	470939.517229	4398703.593170	0.008441	0.008336	0.001326	2.170213	1543307640.008609
0.059813	-0.020892	0.037952	19.660500	1.000000	4.465624	16.596001	0.457461	470939.515421	4398703.592535	0.007890	0.007887	-0.000228	2.148936	1543307640.024614
0.064388	-0.011301	0.075676	19.660500	1.000000	4.465675	16.564501	0.457348	470939.515537	4398703.592505	0.008004	0.008003	0.000127	2.148936	1543307640.032613
0.054059	-0.013943	0.009006	19.660500	1.000000	4.465632	16.564501	0.457233	470939.515655	4398703.592477	0.008048	0.008035	0.000452	2.148936	1543307640.040613
0.040056	-0.017049	0.048161	19.660500	1.000000	4.465536	16.548000	0.457118	470939.515772	4398703.592452	0.007994	0.007959	0.000745	2.085106	1543307640.048613
0.036830	-0.060516	0.020018	19.660500	1.000000	4.465504	16.548000	0.457004	470939.515888	4398703.592428	0.007913	0.007883	0.000688	2.085106	1543307640.056611
0.047335	-0.059817	0.007760	19.660500	1.000000	4.465956	16.708500	0.456777	470939.516120	4398703.592380	0.007908	0.007875	0.000724	2.021277	1543307640.072610
0.056432	-0.105656	-0.010264	19.660500	1.000000	4.466081	16.708500	0.456663	470939.516237	4398703.592355	0.007988	0.007982	0.000318	2.021277	1543307640.080611
0.068189	-0.102257	0.014634	19.660500	1.000000	4.466130	16.660500	0.456548	470939.516354	4398703.592326	0.008182	0.008182	-0.000053	1.914894	1543307640.088608
0.070024	-0.069851	-0.021753	19.660500	1.000000	4.466150	16.660500	0.456314	470939.516594	4398703.592263	0.008565	0.008559	-0.000324	1.914894	1543307640.104611
0.064031	-0.062813	0.055184	19.660500	1.000000	4.466274	16.483500	0.456195	470939.516716	4398703.592231	0.008711	0.008703	-0.000382	1.765957	1543307640.112606
0.061955	-0.050804	0.012878	19.660500	1.000000	4.466311	16.483500	0.456075	470939.516840	4398703.592198	0.008828	0.008821	-0.000346	1.765957	1543307640.120606
0.051859	-0.035766	0.021334	19.660500	1.000000	4.466370	16.483500	0.455954	470939.516963	4398703.592166	0.008852	0.008850	-0.000197	1.489362	1543307640.128608
0.032671	-0.013529	0.057692	19.660500	1.000000	4.466325	16.483500	0.455591	470939.517335	4398703.592080	0.008743	0.008726	0.000543	1.489362	1543307640.152613
0.028879	-0.038347	0.022357	19.660500	1.000000	4.466400	16.483500	0.455471	470939.517457	4398703.592055	0.008599	0.008573	0.000658	1.489362	1543307640.160611
0.041288	-0.057805	-0.001989	19.660500	1.000000	4.466509	16.435499	0.455352	470939.517578	4398703.592031	0.008553	0.008530	0.000625	1.255319	1543307640.168608
0.037801	-0.070802	0.018725	19.660500	1.000000	4.466416	16.435499	0.455233	470939.517700	4398703.592005	0.008483	0.008469	0.000487	1.255319	1543307640.176608
0.054024	-0.072471	0.006367	19.660500	1.000000	4.466450	16.308001	0.455024	470939.517915	4398703.591942	0.008534	0.008534	0.000051	1.042553	1543307640.192609
0.046346	-0.083353	-0.026982	19.660500	1.000000	4.466475	16.308001	0.454933	470939.518010	4398703.591905	0.008548	0.008546	-0.000184	1.042553	1543307640.200606
0.047765	-0.101457	-0.015968	19.660500	1.000000	4.466498	16.372499	0.454841	470939.518105	4398703.591865	0.008599	0.008581	-0.000562	0.829787	1543307640.208609
0.058379	-0.077756	0.034430	19.660500	1.000000	4.466443	16.372499	0.454750	470939.518200	4398703.591823	0.008720	0.008688	-0.000743	0.829787	1543307640.216609
0.045353	-0.027011	0.046522	19.660500	1.000000	4.466429	16.483500	0.454565	470939.518392	4398703.591738	0.008696	0.008682	-0.000493	0.638298	1543307640.232610
0.053010	-0.029463	0.050621	19.660500	1.000000	4.466438	16.483500	0.454473	470939.518488	4398703.591698	0.008722	0.008718	-0.000291	0.638298	1543307640.240609
0.040942	-0.028152	0.015727	19.660500	1.000000	4.466438	16.483500	0.454380	470939.518584	4398703.591660	0.008655	0.008654	-0.000088	0.489362	1543307640.248609
0.048939	-0.026540	0.031006	19.660500	1.000000	4.466363	16.483500	0.454196	470939.518775	4398703.591589	0.008590	0.008579	0.000438	0.489362	1543307640.264611
0.051948	-0.056174	0.031464	19.660500	1.000000	4.466127	16.579500	0.454104	470939.518870	4398703.591556	0.008632	0.008621	0.000425	0.361702	1543307640.272611
0.041736	-0.092916	-0.006173	19.660500	1.000000	4.465988	16.579500	0.454012	470939.518965	4398703.591521	0.008604	0.008603	0.000112	0.361702	1543307640.280611
0.050566	-0.097926	0.003668	19.660500	1.000000	4.466706	16.372499	0.456052	470939.516965	4398703.590956	0.007732	0.007730	-0.000161	0.276596	1543307640.288610
