a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.053913	-0.075093	0.005894	14.658000	0.000000	-174.619022	16.212000	0.005352	470797.991258	4399244.845934	0.007413	-0.007396	0.000499	0.170213	1543459862.511836
0.080748	-0.090778	0.093198	14.607000	0.000000	-174.618717	16.180500	0.005312	470797.991214	4399244.845972	0.007650	-0.007618	0.000695	0.170213	1543459862.519835
0.066730	-0.107767	0.007803	14.607000	0.000000	-174.618449	16.180500	0.005271	470797.991170	4399244.846012	0.007800	-0.007731	0.001039	0.170213	1543459862.527833
0.087698	-0.068397	0.073278	14.599500	0.000000	-174.618321	16.195499	0.005186	470797.991077	4399244.846098	0.008228	-0.008130	0.001263	0.170213	1543459862.543833
0.047139	-0.062167	0.021861	14.599500	0.000000	-174.618263	16.195499	0.005141	470797.991029	4399244.846142	0.008152	-0.008055	0.001258	0.170213	1543459862.551833
0.014257	-0.041180	0.002469	14.592000	0.000000	-174.618369	16.164000	0.005099	470797.990982	4399244.846185	0.007779	-0.007699	0.001111	0.170213	1543459862.559837
0.045203	-0.048923	-0.000562	14.592000	0.000000	-174.618467	16.164000	0.005058	470797.990938	4399244.846226	0.007661	-0.007595	0.001003	0.170213	1543459862.567836
0.073996	-0.083495	-0.041315	14.664000	1.000000	-174.618899	16.164000	0.005011	470797.990893	4399244.846210	0.007989	-0.007907	0.001141	0.170213	1543459862.583833
0.089634	-0.099211	-0.028118	14.664000	1.000000	-174.619209	16.164000	0.004986	470797.990868	4399244.846204	0.008311	-0.008192	0.001401	0.170213	1543459862.591836
0.095398	-0.088073	0.062721	19.660500	1.000000	-174.619460	16.132500	0.004958	470797.990840	4399244.846199	0.008667	-0.008525	0.001565	0.170213	1543459862.599831
0.060331	-0.071388	-0.009964	19.660500	1.000000	-174.619529	16.132500	0.004929	470797.990812	4399244.846196	0.008711	-0.008558	0.001626	0.170213	1543459862.607831
0.041080	-0.032067	0.080613	19.660500	1.000000	-174.619494	16.147499	0.004873	470797.990756	4399244.846186	0.008363	-0.008270	0.001241	0.170213	1543459862.623838
0.036390	-0.041694	0.005757	19.660500	1.000000	-174.619370	16.147499	0.004847	470797.990730	4399244.846179	0.008163	-0.008091	0.001081	0.170213	1543459862.631838
0.065542	-0.068405	-0.015222	19.660500	1.000000	-174.619228	16.115999	0.004821	470797.990704	4399244.846172	0.008238	-0.008162	0.001113	0.170213	1543459862.639835
0.115649	-0.091460	0.062257	19.660500	1.000000	-174.619045	16.115999	0.004792	470797.990677	4399244.846165	0.008754	-0.008659	0.001289	0.170213	1543459862.647836
0.055210	-0.079100	0.013414	19.660500	1.000000	-174.619404	16.324499	0.006650	470797.992548	4399244.846079	0.009180	-0.008664	0.003033	0.170213	1543459862.663833
