a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.037256	-0.064963	0.063637	14.613000	0.000000	92.997395	16.468500	0.166277	470834.120139	4399223.054715	0.000387	-0.000354	0.000157	0.829787	1543474404.681119
0.031337	-0.062407	0.040672	14.613000	0.000000	92.997371	16.468500	0.166287	470834.120127	4399223.054705	0.000360	-0.000355	-0.000060	0.829787	1543474404.689117
0.042576	-0.073938	-0.074208	14.539500	0.000000	92.997356	16.453501	0.166298	470834.120115	4399223.054694	0.000322	-0.000268	-0.000178	0.829787	1543474404.697120
0.076034	-0.089452	0.011402	14.539500	0.000000	92.997431	16.453501	0.166319	470834.120095	4399223.054672	0.000115	0.000077	0.000085	0.829787	1543474404.713118
0.069519	-0.100653	-0.047528	14.539500	0.000000	92.997432	16.453501	0.166328	470834.120087	4399223.054663	0.000414	0.000366	0.000193	0.829787	1543474404.721114
0.070228	-0.083893	0.047350	14.539500	0.000000	92.992098	16.453501	0.167021	470834.120423	4399223.053983	0.001463	0.001388	-0.000464	0.829787	1543474404.729116
0.055439	-0.043577	0.049941	14.620500	1.000000	92.992208	16.501499	0.167062	470834.120454	4399223.053943	0.001323	0.001226	-0.000496	0.829787	1543474404.737118
0.055365	-0.007024	0.051165	14.620500	1.000000	92.992148	16.501499	0.167147	470834.120509	4399223.053860	0.000865	0.000350	-0.000792	0.829787	1543474404.753123
0.079903	-0.024230	0.065278	14.398500	1.000000	92.992288	16.548000	0.167189	470834.120531	4399223.053819	0.000637	0.000022	-0.000637	0.829787	1543474404.761123
0.043398	-0.038666	-0.013999	14.398500	1.000000	92.992394	16.548000	0.167232	470834.120551	4399223.053777	0.000784	-0.000174	-0.000765	0.829787	1543474404.769120
0.027783	-0.077329	0.046279	19.660500	1.000000	92.992399	16.500000	0.167275	470834.120571	4399223.053734	0.001005	-0.000055	-0.001004	0.829787	1543474404.777121
0.037580	-0.078489	-0.043820	19.660500	1.000000	92.992260	16.500000	0.167367	470834.120615	4399223.053644	0.001319	0.000257	-0.001294	0.829787	1543474404.793120
0.043748	-0.115040	-0.028398	19.660500	1.000000	92.992068	16.485001	0.167415	470834.120640	4399223.053598	0.001541	0.000672	-0.001387	0.829787	1543474404.801120
0.064625	-0.117040	0.054231	19.660500	1.000000	92.992086	16.485001	0.167463	470834.120668	4399223.053551	0.001710	0.001093	-0.001315	0.829787	1543474404.809118
0.069148	-0.070404	-0.029059	19.660500	1.000000	92.991899	16.452000	0.167510	470834.120697	4399223.053505	0.001673	0.001141	-0.001224	0.829787	1543474404.817117
0.078153	-0.065178	0.066848	19.660500	1.000000	92.992001	16.452000	0.167601	470834.120756	4399223.053415	0.001413	0.001053	-0.000942	0.829787	1543474404.833120
0.052662	-0.039507	0.065363	19.660500	1.000000	92.992217	16.580999	0.167646	470834.120785	4399223.053372	0.001318	0.000860	-0.000998	0.829787	1543474404.841121
0.033466	-0.006814	-0.014132	19.660500	1.000000	92.992226	16.580999	0.167692	470834.120811	4399223.053327	0.001288	0.000414	-0.001219	0.829787	1543474404.849121
0.064517	-0.055394	0.068112	19.660500	1.000000	92.992101	16.580999	0.167785	470834.120856	4399223.053236	0.001179	0.000122	-0.001173	0.829787	1543474404.865120
0.035723	-0.058331	-0.004417	19.660500	1.000000	92.992032	16.580999	0.167832	470834.120878	4399223.053190	0.001357	0.000087	-0.001355	0.829787	1543474404.873121
0.059314	-0.075560	0.018204	19.660500	1.000000	92.991881	16.564501	0.167879	470834.120900	4399223.053143	0.001353	0.000178	-0.001342	0.829787	1543474404.881120
0.077151	-0.071667	0.030372	19.660500	1.000000	92.991791	16.564501	0.167926	470834.120922	4399223.053097	0.001210	0.000232	-0.001188	0.829787	1543474404.889120
0.049845	-0.070356	-0.041536	19.660500	1.000000	92.991853	16.677000	0.167973	470834.120945	4399223.053051	0.001283	0.000287	-0.001250	0.829787	1543474404.897119
0.073523	-0.075682	0.058634	19.660500	1.000000	92.991827	16.677000	0.168056	470834.121002	4399223.052971	0.001204	0.000413	-0.001131	0.829787	1543474404.913120
0.061685	-0.066919	-0.020594	19.660500	1.000000	92.991787	16.677000	0.168092	470834.121036	4399223.052936	0.001184	0.000435	-0.001101	0.808511	1543474404.921118
0.060487	-0.054472	0.003523	19.660500	1.000000	92.991770	16.677000	0.168127	470834.121069	4399223.052902	0.001145	0.000359	-0.001087	0.808511	1543474404.929120
0.025656	-0.050733	-0.009014	19.660500	1.000000	92.992213	16.917000	0.168200	470834.121134	4399223.052832	0.001416	0.000138	-0.001410	0.787234	1543474404.945121
0.039621	-0.070504	0.026867	19.660500	1.000000	92.992388	16.917000	0.168239	470834.121165	4399223.052794	0.001569	0.000197	-0.001556	0.787234	1543474404.953121
0.050506	-0.066358	0.004628	19.660500	1.000000	92.992525	16.900499	0.168317	470834.121231	4399223.052719	0.001612	0.000346	-0.001575	0.744681	1543474404.969118
0.060730	-0.062384	0.035058	19.660500	1.000000	92.992555	16.900499	0.168397	470834.121296	4399223.052642	0.001690	0.000273	-0.001668	0.744681	1543474404.985119
0.046707	-0.047560	0.015725	19.660500	1.000000	92.992767	16.773001	0.168437	470834.121328	4399223.052602	0.001773	0.000146	-0.001767	0.702128	1543474404.993120
0.041685	-0.035387	0.008928	19.660500	1.000000	92.993002	16.564501	0.168479	470834.121359	4399223.052562	0.001913	-0.000075	-0.001911	0.638298	1543474405.001123
0.063119	-0.052288	0.018726	19.660500	1.000000	92.993158	16.564501	0.168520	470834.121388	4399223.052522	0.001885	-0.000171	-0.001878	0.638298	1543474405.009121
0.052752	-0.057023	0.041558	19.660500	1.000000	92.993332	16.420500	0.169129	470834.121627	4399223.051922	0.001941	-0.000595	-0.001847	0.531915	1543474405.017121
0.067639	-0.102061	-0.007832	19.660500	1.000000	92.993483	16.420500	0.169184	470834.121652	4399223.051868	0.001782	-0.000284	-0.001760	0.531915	1543474405.033119
0.044911	-0.091855	0.058133	19.660500	1.000000	92.993653	16.387501	0.169211	470834.121667	4399223.051842	0.001857	-0.000056	-0.001856	0.446809	1543474405.041118
0.034173	-0.082033	-0.036672	19.660500	1.000000	92.993690	16.387501	0.169239	470834.121684	4399223.051814	0.002041	0.000099	-0.002039	0.446809	1543474405.049116
0.058821	-0.083738	0.012697	19.660500	1.000000	92.993384	16.387501	0.169268	470834.121702	4399223.051786	0.002042	0.000257	-0.002026	0.446809	1543474405.057121
0.041051	-0.048105	-0.035013	19.660500	1.000000	92.993241	16.531500	0.169326	470834.121739	4399223.051730	0.002087	0.000182	-0.002079	0.382979	1543474405.073115
0.038428	-0.019172	0.040925	19.660500	1.000000	92.993225	16.531500	0.169356	470834.121756	4399223.051700	0.002264	-0.000169	-0.002257	0.297872	1543474405.081123
0.046382	-0.030008	0.087424	19.660500	1.000000	92.993212	16.531500	0.169387	470834.121770	4399223.051670	0.002408	-0.000436	-0.002369	0.297872	1543474405.089120
0.027779	-0.041730	0.005213	19.660500	1.000000	92.993241	16.531500	0.169455	470834.121793	4399223.051603	0.003026	-0.000774	-0.002925	0.297872	1543474405.105123
0.055512	-0.075874	0.056120	19.660500	1.000000	92.993234	16.531500	0.169491	470834.121804	4399223.051567	0.003021	-0.000679	-0.002944	0.297872	1543474405.113121
0.051539	-0.105281	-0.010501	19.660500	1.000000	92.993365	16.627501	0.169527	470834.121817	4399223.051532	0.002999	-0.000345	-0.002979	0.234043	1543474405.121117
0.060634	-0.107425	-0.021381	19.660500	1.000000	92.993449	16.627501	0.169537	470834.121801	4399223.051521	0.002941	0.000001	-0.002941	0.234043	1543474405.129121
0.034235	-0.092370	0.034758	19.660500	1.000000	92.993812	16.677000	0.169557	470834.121779	4399223.051500	0.003147	0.000582	-0.003093	0.212766	1543474405.145116
0.050006	-0.088722	-0.044156	19.660500	1.000000	92.993794	16.677000	0.169568	470834.121770	4399223.051489	0.003242	0.000784	-0.003146	0.212766	1543474405.153116
0.078960	-0.060878	0.045115	19.660500	1.000000	92.993757	16.483500	0.169579	470834.121763	4399223.051478	0.003076	0.000750	-0.002983	0.170213	1543474405.161121
0.059901	-0.013152	0.088175	19.660500	1.000000	92.993713	16.483500	0.169589	470834.121753	4399223.051467	0.003013	0.000343	-0.002994	0.170213	1543474405.169120
0.031180	-0.031705	-0.037009	19.660500	1.000000	92.993722	16.516500	0.169600	470834.121741	4399223.051456	0.003223	0.000097	-0.003222	0.148936	1543474405.177123
0.060281	-0.034243	0.087409	19.660500	1.000000	92.993631	16.516500	0.169625	470834.121712	4399223.051430	0.003329	-0.000285	-0.003317	0.148936	1543474405.193121
0.041548	-0.045682	-0.064635	19.660500	1.000000	92.993648	16.356001	0.169638	470834.121696	4399223.051416	0.003482	-0.000423	-0.003456	0.106383	1543474405.201121
0.042396	-0.079032	0.059114	19.660500	1.000000	92.993618	16.356001	0.169652	470834.121679	4399223.051401	0.003590	-0.000297	-0.003578	0.106383	1543474405.209118
0.063488	-0.106223	0.025741	19.660500	1.000000	92.992150	16.468500	0.170368	470834.121974	4399223.050696	0.004513	0.000677	-0.004462	0.042553	1543474405.217116
0.062014	-0.096636	-0.006043	19.660500	1.000000	92.992459	16.468500	0.170476	470834.122005	4399223.050590	0.004491	0.001130	-0.004347	0.042553	1543474405.233116
0.047107	-0.106155	0.015449	19.660500	1.000000	92.992416	16.677000	0.170529	470834.122024	4399223.050537	0.004657	0.001472	-0.004418	0.000000	1543474405.241116
0.017918	-0.065550	0.009516	19.660500	1.000000	92.992312	16.677000	0.170585	470834.122044	4399223.050482	0.004972	0.001502	-0.004739	0.000000	1543474405.249118
0.086817	-0.048529	0.050370	19.660500	1.000000	92.992171	16.677000	0.170698	470834.122084	4399223.050371	0.004746	0.001250	-0.004579	-0.021277	1543474405.265119
0.051005	-0.048407	-0.000781	19.660500	1.000000	92.992346	16.677000	0.170754	470834.122102	4399223.050316	0.004778	0.001128	-0.004642	-0.021277	1543474405.273121
0.039415	-0.050548	0.019032	19.660500	1.000000	92.992396	16.627501	0.170810	470834.122119	4399223.050260	0.004908	0.001028	-0.004799	-0.063830	1543474405.281121
0.062970	-0.047568	0.075221	19.660500	1.000000	92.992474	16.627501	0.170867	470834.122135	4399223.050204	0.004853	0.000894	-0.004770	-0.063830	1543474405.289121
0.056497	-0.072175	-0.008364	19.660500	1.000000	92.992551	16.643999	0.170924	470834.122151	4399223.050148	0.004875	0.000961	-0.004779	-0.085106	1543474405.297120
0.059936	-0.061675	0.017125	19.660500	1.000000	92.992171	16.643999	0.171038	470834.122185	4399223.050034	0.004953	0.001049	-0.004841	-0.085106	1543474405.313118
0.059742	-0.068611	-0.022357	14.523000	1.000000	92.992049	25.518000	0.171095	470834.122202	4399223.049978	0.004946	0.001086	-0.004825	-0.106383	1543474405.321121
0.059331	-0.057082	0.002767	14.523000	1.000000	92.992012	25.518000	0.171153	470834.122219	4399223.049921	0.004928	0.001030	-0.004819	-0.106383	1543474405.329118
0.045697	-0.066976	-0.004354	14.470500	1.000000	92.991970	26.016001	0.171267	470834.122252	4399223.049808	0.004965	0.001035	-0.004856	-0.148936	1543474405.345119
0.036721	-0.049447	-0.005700	14.470500	1.000000	92.991898	26.016001	0.171325	470834.122269	4399223.049751	0.005118	0.000928	-0.005033	-0.148936	1543474405.353121
0.080587	-0.046578	0.023162	14.466000	1.000000	92.991865	26.515499	0.171383	470834.122284	4399223.049693	0.004925	0.000780	-0.004863	-0.148936	1543474405.361121
0.087201	-0.053426	0.033473	14.466000	1.000000	92.992073	26.515499	0.171440	470834.122299	4399223.049637	0.004686	0.000683	-0.004636	-0.148936	1543474405.369121
0.040638	-0.082656	0.045807	14.517000	1.000000	92.992437	27.079500	0.171553	470834.122328	4399223.049525	0.005017	0.000920	-0.004932	-0.170213	1543474405.385120
0.056063	-0.066920	0.106745	14.517000	1.000000	92.992644	27.079500	0.171611	470834.122344	4399223.049467	0.005040	0.000944	-0.004951	-0.170213	1543474405.393119
0.032457	-0.058653	-0.023873	14.508000	1.000000	92.992687	27.583500	0.171670	470834.122360	4399223.049409	0.005238	0.000913	-0.005158	-0.170213	1543474405.401119
0.044843	-0.052764	-0.011084	14.508000	1.000000	92.992612	27.583500	0.171731	470834.122376	4399223.049349	0.005334	0.000829	-0.005269	-0.170213	1543474405.409121
0.062690	-0.061440	-0.021798	14.553000	1.000000	92.992438	27.883499	0.171879	470834.122432	4399223.049203	0.005224	0.000668	-0.005181	-0.191489	1543474405.425116
0.069784	-0.082519	-0.013235	14.553000	1.000000	92.992287	27.883499	0.171953	470834.122460	4399223.049131	0.005145	0.000811	-0.005080	-0.191489	1543474405.433121
0.062617	-0.089578	0.091608	14.577000	1.000000	92.992245	28.180500	0.172025	470834.122489	4399223.049059	0.005138	0.001013	-0.005037	-0.191489	1543474405.441121
0.027955	-0.081189	-0.013860	14.577000	1.000000	92.992325	28.180500	0.172099	470834.122520	4399223.048986	0.005398	0.001164	-0.005271	-0.191489	1543474405.449119
0.059370	-0.082343	0.080822	14.479500	1.000000	92.992401	28.485001	0.172252	470834.122586	4399223.048836	0.005679	0.001449	-0.005491	-0.191489	1543474405.465121
0.055318	-0.082722	-0.002474	14.479500	1.000000	92.992435	28.485001	0.172328	470834.122620	4399223.048761	0.005734	0.001601	-0.005506	-0.191489	1543474405.473117
0.043522	-0.083187	-0.041311	14.523000	1.000000	92.992333	28.794001	0.172405	470834.122656	4399223.048685	0.005884	0.001762	-0.005614	-0.212766	1543474405.481121
0.077817	-0.052702	0.017817	14.523000	1.000000	92.992428	28.794001	0.172560	470834.122729	4399223.048534	0.005677	0.001755	-0.005399	-0.212766	1543474405.497118
0.066224	-0.015303	-0.031899	14.500500	1.000000	92.992468	29.071501	0.172635	470834.122764	4399223.048460	0.005525	0.001363	-0.005355	-0.212766	1543474405.505121
0.066837	-0.013382	0.002660	14.500500	1.000000	92.992441	29.071501	0.173206	470834.122986	4399223.047898	0.003523	0.000088	-0.003522	-0.212766	1543474405.513122
0.075651	-0.027911	0.029424	14.557500	1.000000	92.992415	29.644501	0.173209	470834.122981	4399223.047894	0.003405	-0.000208	-0.003399	-0.212766	1543474405.521123
0.057890	-0.007411	0.010346	14.557500	1.000000	92.992395	29.644501	0.173211	470834.122974	4399223.047892	0.003488	-0.000660	-0.003425	-0.212766	1543474405.529123
0.033684	0.019697	-0.023820	14.526000	1.000000	92.992314	29.964001	0.173219	470834.122945	4399223.047883	0.004262	-0.001871	-0.003829	-0.212766	1543474405.545122
0.017975	0.052216	-0.047151	14.526000	1.000000	92.992448	29.964001	0.173225	470834.122922	4399223.047876	0.005036	-0.002782	-0.004198	-0.212766	1543474405.553122
0.063730	0.066839	-0.135265	14.520000	1.000000	92.992375	30.243000	0.173233	470834.122891	4399223.047867	0.005685	-0.003827	-0.004204	-0.212766	1543474405.561123
0.109689	0.074796	-0.065382	14.520000	1.000000	92.992331	30.243000	0.173239	470834.122851	4399223.047859	0.006276	-0.004957	-0.003849	-0.212766	1543474405.569122
0.063271	0.107226	-0.120216	14.524500	1.000000	92.992618	30.517500	0.173246	470834.122743	4399223.047847	0.008439	-0.007517	-0.003835	-0.234043	1543474405.585119
0.083553	0.165331	-0.005514	14.524500	1.000000	92.992733	30.517500	0.173249	470834.122671	4399223.047842	0.010076	-0.009361	-0.003728	-0.234043	1543474405.593122
0.060088	0.221681	-0.059831	14.497500	1.000000	92.992920	30.774000	0.173250	470834.122583	4399223.047837	0.012256	-0.011643	-0.003830	-0.234043	1543474405.601119
0.042537	0.266788	-0.148359	14.497500	1.000000	92.993018	30.774000	0.173253	470834.122474	4399223.047830	0.014853	-0.014279	-0.004088	-0.234043	1543474405.609123
0.030907	0.330253	-0.049344	14.502000	1.000000	92.993467	31.017000	0.173197	470834.122144	4399223.047872	0.020945	-0.020403	-0.004733	-0.234043	1543474405.625123
0.028690	0.339053	-0.137458	14.502000	1.000000	92.993498	31.017000	0.173171	470834.121941	4399223.047890	0.024160	-0.023609	-0.005133	-0.234043	1543474405.633119
0.044445	0.302706	-0.073541	14.496000	1.000000	92.993607	31.195499	0.173124	470834.121461	4399223.047917	0.030146	-0.029617	-0.005623	-0.255319	1543474405.649119
0.038757	0.318686	-0.162592	14.496000	1.000000	92.993651	31.195499	0.173102	470834.121185	4399223.047928	0.033201	-0.032667	-0.005933	-0.255319	1543474405.657120
0.060699	0.350381	-0.063506	14.473500	1.000000	92.993605	31.378500	0.173059	470834.120558	4399223.047945	0.039584	-0.039105	-0.006144	-0.255319	1543474405.673122
0.012961	0.407962	-0.109567	14.473500	1.000000	92.993712	31.378500	0.173039	470834.120203	4399223.047951	0.043376	-0.042856	-0.006699	-0.255319	1543474405.681119
0.019009	0.455066	-0.051945	14.473500	1.000000	92.993745	31.378500	0.173021	470834.119817	4399223.047953	0.047542	-0.046989	-0.007227	-0.255319	1543474405.689122
0.045649	0.545132	-0.052928	14.452500	1.000000	92.993369	31.618500	0.172982	470834.118448	4399223.047935	0.061305	-0.060707	-0.008542	-0.255319	1543474405.713121
0.062014	0.535031	-0.020820	14.452500	1.000000	92.993228	31.618500	0.172972	470834.117917	4399223.047924	0.066081	-0.065497	-0.008761	-0.255319	1543474405.721122
