a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.042644	-0.038437	0.016855	14.643000	0.000000	-175.500903	16.533001	-0.050028	470801.268421	4399164.077710	0.005442	0.002986	-0.004549	0.234043	1543395309.571322
0.043230	-0.060506	0.014673	14.688000	0.000000	-175.500779	16.564501	-0.049999	470801.268451	4399164.077693	0.005529	0.003158	-0.004538	0.234043	1543395309.579321
0.057027	-0.062819	0.039955	14.688000	0.000000	-175.500529	16.564501	-0.049970	470801.268482	4399164.077676	0.005546	0.003218	-0.004517	0.234043	1543395309.587321
0.083718	-0.083843	0.000356	14.616000	0.000000	-175.500154	16.564501	-0.049913	470801.268541	4399164.077644	0.005195	0.002928	-0.004292	0.234043	1543395309.603322
0.077645	-0.087090	0.039239	14.616000	0.000000	-175.500207	16.564501	-0.049887	470801.268569	4399164.077630	0.004961	0.002808	-0.004090	0.234043	1543395309.611316
0.072618	-0.060720	0.025987	19.660500	1.000000	-175.497478	16.516500	-0.049766	470801.268657	4399164.078015	0.004954	0.002839	-0.004059	0.234043	1543395309.619316
0.060973	-0.021807	0.028581	19.660500	1.000000	-175.497515	16.516500	-0.049739	470801.268685	4399164.078005	0.005239	0.002894	-0.004368	0.234043	1543395309.627323
0.038139	-0.028990	-0.002926	19.660500	1.000000	-175.497772	16.516500	-0.049683	470801.268744	4399164.077976	0.005998	0.003314	-0.004999	0.234043	1543395309.643323
0.064416	-0.052552	0.012002	19.660500	1.000000	-175.497736	16.516500	-0.049653	470801.268776	4399164.077959	0.006057	0.003322	-0.005064	0.234043	1543395309.651320
0.080501	-0.078449	-0.018159	19.660500	1.000000	-175.497704	16.580999	-0.049624	470801.268807	4399164.077943	0.005872	0.003186	-0.004932	0.234043	1543395309.659321
0.085021	-0.086615	0.009740	19.660500	1.000000	-175.497800	16.580999	-0.049569	470801.268864	4399164.077915	0.005277	0.002808	-0.004468	0.234043	1543395309.675319
0.066945	-0.066410	-0.022257	19.660500	1.000000	-175.497868	16.580999	-0.049543	470801.268892	4399164.077902	0.005227	0.002787	-0.004422	0.234043	1543395309.683319
0.042613	-0.049225	0.044270	19.660500	1.000000	-175.497785	16.564501	-0.049516	470801.268920	4399164.077890	0.005393	0.002970	-0.004501	0.234043	1543395309.691319
0.042425	-0.028970	-0.022440	19.660500	1.000000	-175.497771	16.660500	-0.049488	470801.268949	4399164.077877	0.005701	0.003169	-0.004739	0.234043	1543395309.699321
0.078571	-0.077412	0.004032	19.660500	1.000000	-175.497679	16.660500	-0.049398	470801.269043	4399164.077828	0.005907	0.003260	-0.004926	0.234043	1543395309.723321
0.087879	-0.063694	0.065690	19.660500	1.000000	-175.497793	16.660500	-0.049370	470801.269073	4399164.077812	0.005798	0.003073	-0.004917	0.234043	1543395309.731319
0.075397	-0.061839	-0.000127	19.660500	1.000000	-175.497850	16.629000	-0.049342	470801.269102	4399164.077796	0.005751	0.002987	-0.004914	0.234043	1543395309.739316
0.055253	-0.059804	0.017872	19.660500	1.000000	-175.497840	16.629000	-0.049314	470801.269131	4399164.077780	0.005793	0.003063	-0.004916	0.234043	1543395309.747320
0.042554	-0.054096	-0.036461	19.660500	1.000000	-175.497482	16.756500	-0.049256	470801.269193	4399164.077746	0.006177	0.003428	-0.005138	0.255319	1543395309.763321
0.059116	-0.066013	0.065057	19.660500	1.000000	-175.497197	16.741501	-0.049129	470801.269325	4399164.077689	0.005648	0.003507	-0.004427	0.297872	1543395309.795319
