a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.082936	-0.037671	0.048834	14.383500	0.000000	5.610238	16.660500	-0.121674	470813.113019	4399161.680990	0.009308	0.009043	0.002204	0.063830	1543388694.337193
0.056278	-0.099577	-0.044743	14.416500	0.000000	5.610360	16.677000	-0.121962	470813.113301	4399161.681073	0.009101	0.008889	0.001954	0.063830	1543388694.353190
0.095951	-0.094361	0.060613	14.416500	0.000000	5.610349	16.677000	-0.122107	470813.113443	4399161.681111	0.009310	0.009152	0.001710	0.063830	1543388694.361191
0.106757	-0.093786	0.073788	14.431500	0.000000	5.610392	16.725000	-0.122254	470813.113587	4399161.681147	0.009614	0.009500	0.001478	0.063830	1543388694.369186
0.077434	-0.054730	0.045678	14.431500	0.000000	5.610067	16.725000	-0.122553	470813.113881	4399161.681216	0.009873	0.009782	0.001338	0.063830	1543388694.385189
0.070556	-0.010980	0.074461	19.660500	1.000000	5.609923	16.725000	-0.122703	470813.114029	4399161.681253	0.009930	0.009777	0.001737	0.063830	1543388694.393191
0.043093	0.006490	0.024514	19.660500	1.000000	5.609898	16.677000	-0.122853	470813.114176	4399161.681292	0.009802	0.009539	0.002253	0.063830	1543388694.401191
0.048704	-0.017097	0.009071	19.660500	1.000000	5.609970	16.677000	-0.123001	470813.114322	4399161.681335	0.009715	0.009364	0.002586	0.063830	1543388694.409193
0.071473	-0.049539	0.002457	19.660500	1.000000	5.610429	16.677000	-0.123308	470813.114619	4399161.681456	0.009897	0.009436	0.002987	0.063830	1543388694.425191
0.085246	-0.101631	-0.016773	19.660500	1.000000	5.610507	16.549500	-0.123463	470813.114769	4399161.681516	0.009983	0.009618	0.002675	0.063830	1543388694.433190
0.103783	-0.120255	0.040413	19.660500	1.000000	5.610446	16.549500	-0.123619	470813.114921	4399161.681573	0.010209	0.009963	0.002230	0.063830	1543388694.441187
0.070171	-0.092399	-0.018144	19.660500	1.000000	5.610434	16.564501	-0.123777	470813.115075	4399161.681628	0.010212	0.010019	0.001978	0.063830	1543388694.449186
0.049280	-0.026543	-0.016599	19.660500	1.000000	5.610502	16.629000	-0.124243	470813.115529	4399161.681787	0.009717	0.009472	0.002169	0.063830	1543388694.473191
0.052948	-0.034276	-0.029289	19.660500	1.000000	5.610513	16.629000	-0.124320	470813.115605	4399161.681805	0.009639	0.009344	0.002368	0.063830	1543388694.481193
0.103250	-0.073744	-0.002670	19.660500	1.000000	5.610381	16.804501	-0.124475	470813.115757	4399161.681842	0.010071	0.009810	0.002278	0.063830	1543388694.497187
0.086327	-0.058596	-0.016651	19.660500	1.000000	5.610276	16.804501	-0.124555	470813.115836	4399161.681860	0.010231	0.009967	0.002309	0.063830	1543388694.505188
0.068456	-0.060771	0.069580	19.660500	1.000000	5.610350	16.965000	-0.123160	470813.114469	4399161.681478	0.006988	0.006786	0.001668	0.063830	1543388694.513186
0.020697	-0.018327	-0.005783	19.660500	1.000000	5.610379	16.965000	-0.123180	470813.114487	4399161.681494	0.006612	0.006283	0.002060	0.063830	1543388694.529193
0.088167	-0.086319	-0.020216	19.660500	1.000000	5.610367	16.965000	-0.123193	470813.114499	4399161.681512	0.006502	0.006234	0.001847	0.063830	1543388694.545191
0.070505	-0.127660	0.001935	19.660500	1.000000	5.610056	16.997999	-0.123208	470813.114513	4399161.681524	0.006537	0.006428	0.001187	0.063830	1543388694.561186
0.086445	-0.140697	0.027052	19.660500	1.000000	5.609965	16.789499	-0.123217	470813.114522	4399161.681525	0.006675	0.006652	0.000565	0.063830	1543388694.569186
0.071148	-0.054809	0.060594	19.660500	1.000000	5.609849	16.789499	-0.123226	470813.114531	4399161.681523	0.006714	0.006686	0.000615	0.063830	1543388694.577185
0.052180	-0.032048	0.072468	19.660500	1.000000	5.608329	16.789499	-0.120507	470813.111875	4399161.680667	0.005373	0.005319	0.000757	0.063830	1543388694.593193
0.078362	-0.013965	0.111767	19.660500	1.000000	5.608410	16.789499	-0.120555	470813.111925	4399161.680654	0.005498	0.005379	0.001139	0.063830	1543388694.601191
0.091110	-0.036610	-0.077644	19.660500	1.000000	5.608545	16.804501	-0.120605	470813.111976	4399161.680644	0.005718	0.005556	0.001348	0.063830	1543388694.609193
0.106467	-0.105024	0.099390	19.660500	1.000000	5.608638	16.804501	-0.120711	470813.112084	4399161.680620	0.006334	0.006283	0.000794	0.063830	1543388694.625186
0.075803	-0.068016	-0.027410	19.660500	1.000000	5.608614	16.741501	-0.120767	470813.112142	4399161.680605	0.006408	0.006365	0.000741	0.063830	1543388694.633186
0.082005	-0.067138	0.039558	19.660500	1.000000	5.608819	16.725000	-0.120881	470813.112259	4399161.680575	0.006618	0.006585	0.000656	0.042553	1543388694.649189
