a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.073117	0.199691	0.037535	14.733000	0.000000	-176.823522	16.485001	0.182521	470797.909052	4399247.958825	0.190776	0.009371	-0.190546	-0.936170	1543394753.619055
0.063862	0.273423	0.039065	14.662500	0.000000	-176.823921	16.485001	0.182421	470797.909211	4399247.955730	0.195742	0.009514	-0.195511	-0.936170	1543394753.635053
0.051991	0.300285	-0.009662	14.662500	0.000000	-176.824223	16.485001	0.182371	470797.909292	4399247.954151	0.198629	0.009775	-0.198389	-0.936170	1543394753.643052
0.042567	0.276056	0.041835	14.731500	1.000000	-176.824548	16.485001	0.182320	470797.909375	4399247.952549	0.201325	0.010093	-0.201071	-0.936170	1543394753.651054
0.044327	0.208330	-0.025287	14.731500	1.000000	-176.824830	16.485001	0.182271	470797.909460	4399247.950928	0.203476	0.010377	-0.203211	-0.936170	1543394753.659056
0.060128	0.184027	-0.002707	23.523001	1.000000	-176.825089	16.485001	0.182221	470797.909548	4399247.949291	0.205434	0.010521	-0.205164	-0.936170	1543394753.667054
0.084956	0.236961	-0.021352	23.523001	1.000000	-176.825604	16.485001	0.182119	470797.909722	4399247.945966	0.209910	0.010472	-0.209649	-0.936170	1543394753.683054
0.066888	0.247811	0.038201	23.523001	1.000000	-176.825804	16.485001	0.182065	470797.909810	4399247.944275	0.212379	0.010584	-0.212115	-0.936170	1543394753.691053
0.051948	0.261219	0.001397	23.523001	1.000000	-176.826049	16.485001	0.182012	470797.909899	4399247.942564	0.214955	0.010826	-0.214682	-0.936170	1543394753.699054
0.056202	0.252400	0.020801	23.523001	1.000000	-176.826531	16.500000	0.181904	470797.910082	4399247.939079	0.220129	0.011253	-0.219841	-0.936170	1543394753.715054
0.082253	0.231773	0.078495	23.523001	1.000000	-176.827143	16.708500	0.181794	470797.910270	4399247.935516	0.224870	0.011342	-0.224584	-0.936170	1543394753.731053
0.077087	0.236952	-0.042083	23.523001	1.000000	-176.827424	16.708500	0.181737	470797.910363	4399247.933707	0.227250	0.011379	-0.226965	-0.936170	1543394753.739051
0.054864	0.240874	0.032486	23.523001	1.000000	-176.828476	16.693501	0.181560	470797.910649	4399247.928165	0.234215	0.011798	-0.233918	-0.936170	1543394753.763055
0.046170	0.184456	0.050654	23.523001	1.000000	-176.828836	16.677000	0.181501	470797.910747	4399247.926282	0.236177	0.012046	-0.235870	-0.936170	1543394753.771054
0.083038	-0.027928	0.204095	23.523001	1.000000	-176.829041	16.677000	0.181384	470797.910946	4399247.922486	0.237651	0.012022	-0.237346	-0.936170	1543394753.787053
0.083199	-0.186133	0.248254	23.523001	1.000000	-176.829427	16.677000	0.181260	470797.911139	4399247.918692	0.236069	0.011508	-0.235788	-0.936170	1543394753.803051
0.057330	-0.204560	0.171311	23.523001	1.000000	-176.829454	16.643999	0.181135	470797.911327	4399247.914929	0.233855	0.011368	-0.233578	-0.936170	1543394753.819051
0.081353	-0.464490	0.267649	23.523001	1.000000	-176.829439	16.708500	0.181010	470797.911511	4399247.911222	0.228557	0.010869	-0.228298	-0.936170	1543394753.835051
0.092370	-0.775163	0.352781	23.523001	1.000000	-176.829816	16.917000	0.180881	470797.911682	4399247.907637	0.218407	0.009672	-0.218193	-0.957447	1543394753.851051
