a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.011577	-0.077399	0.041752	14.637000	0.000000	5.056111	16.115999	0.378419	470939.449423	4398705.359015	0.003554	0.002722	-0.002285	0.000000	1543456643.742339
0.046404	-0.043835	0.028743	14.659500	0.000000	5.055931	16.147499	0.378216	470939.449630	4398705.358966	0.003375	0.002644	-0.002097	0.000000	1543456643.758341
0.020660	-0.046113	0.079365	14.659500	0.000000	5.055797	16.147499	0.378015	470939.449835	4398705.358922	0.002932	0.002360	-0.001739	0.000000	1543456643.774341
0.055449	-0.065534	-0.000169	14.685000	0.000000	5.055710	16.164000	0.377916	470939.449937	4398705.358901	0.003057	0.002484	-0.001783	0.000000	1543456643.782341
0.040013	-0.041153	0.071139	14.685000	0.000000	5.055574	16.164000	0.377815	470939.450039	4398705.358881	0.002966	0.002470	-0.001642	0.000000	1543456643.790343
0.062713	-0.055241	0.019531	14.620500	1.000000	5.055360	16.164000	0.377614	470939.450245	4398705.358842	0.003079	0.002686	-0.001505	0.000000	1543456643.806339
0.007875	-0.035090	-0.013257	19.660500	1.000000	5.055545	16.068001	0.377412	470939.450451	4398705.358808	0.002564	0.002317	-0.001098	0.000000	1543456643.822343
0.042288	-0.091685	-0.012724	19.660500	1.000000	5.056043	16.084499	0.377214	470939.450651	4398705.358774	0.002711	0.002228	-0.001543	0.000000	1543456643.838339
0.033810	-0.088802	0.010451	19.660500	1.000000	5.056027	16.084499	0.377116	470939.450751	4398705.358753	0.002832	0.002197	-0.001788	0.000000	1543456643.846336
0.064946	-0.058500	0.017426	19.660500	1.000000	5.056003	16.068001	0.376918	470939.450954	4398705.358709	0.003157	0.002501	-0.001928	0.000000	1543456643.862339
0.016723	-0.022383	-0.043643	19.660500	1.000000	5.055722	15.859500	0.376830	470939.451043	4398705.358701	0.002544	0.002168	-0.001330	0.000000	1543456643.878341
0.042443	-0.072766	0.043270	19.660500	1.000000	5.055759	15.859500	0.376787	470939.451086	4398705.358699	0.002625	0.002196	-0.001439	0.000000	1543456643.886341
0.059580	-0.062548	-0.038816	19.660500	1.000000	5.055909	16.195499	0.376699	470939.451175	4398705.358693	0.002851	0.002419	-0.001509	0.000000	1543456643.902344
