a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.044115	-0.059004	-0.015353	14.526000	0.000000	3.995882	16.228500	0.388505	470939.521524	4398704.359416	0.006806	0.006718	-0.001087	0.531915	1543371581.562972
0.034409	-0.092208	0.017822	14.526000	0.000000	3.995790	16.228500	0.388508	470939.521518	4398704.359453	0.006963	0.006848	-0.001259	0.531915	1543371581.570972
0.049204	-0.104520	0.030648	14.526000	0.000000	3.995855	16.212000	0.388510	470939.521513	4398704.359488	0.007265	0.007104	-0.001521	0.531915	1543371581.578974
0.015454	-0.034636	-0.039949	14.530500	0.000000	3.995806	16.115999	0.388512	470939.521502	4398704.359594	0.007159	0.007083	-0.001038	0.531915	1543371581.602974
0.035529	-0.032482	0.053370	19.660500	1.000000	3.995857	16.068001	0.388513	470939.521498	4398704.359633	0.007226	0.007189	-0.000732	0.531915	1543371581.610977
0.033678	-0.105807	-0.023089	19.660500	1.000000	3.995767	16.068001	0.388511	470939.521493	4398704.359713	0.007489	0.007429	-0.000947	0.531915	1543371581.626972
0.031373	-0.110859	0.000534	19.660500	1.000000	3.995922	16.068001	0.388505	470939.521494	4398704.359784	0.007920	0.007745	-0.001657	0.531915	1543371581.642970
0.044565	-0.101629	0.002337	19.660500	1.000000	3.995768	16.051500	0.388501	470939.521495	4398704.359816	0.008185	0.007962	-0.001899	0.531915	1543371581.650970
0.042950	-0.063418	0.051192	19.660500	1.000000	3.995663	16.051500	0.388494	470939.521499	4398704.359847	0.008349	0.008145	-0.001836	0.531915	1543371581.658970
-0.034674	-0.035362	0.039391	19.660500	1.000000	3.995633	16.115999	0.388485	470939.521503	4398704.359914	0.007530	0.007411	-0.001336	0.531915	1543371581.674974
0.003532	-0.025394	0.045661	19.660500	1.000000	3.995600	16.115999	0.388485	470939.521500	4398704.359951	0.007325	0.007257	-0.000992	0.531915	1543371581.682974
0.018086	-0.040066	0.011673	19.660500	1.000000	3.995489	16.195499	0.388484	470939.521498	4398704.359990	0.007268	0.007228	-0.000756	0.531915	1543371581.690974
0.027981	-0.086061	0.006744	19.660500	1.000000	3.995425	16.195499	0.388484	470939.521495	4398704.360030	0.007356	0.007303	-0.000883	0.531915	1543371581.698974
0.060556	-0.101926	0.025054	19.660500	1.000000	3.995491	16.435499	0.388482	470939.521494	4398704.360068	0.007729	0.007647	-0.001118	0.531915	1543371581.706974
0.036449	-0.101489	0.011212	19.660500	1.000000	3.995345	16.435499	0.388469	470939.521500	4398704.360140	0.008376	0.008240	-0.001504	0.531915	1543371581.722969
0.007836	-0.089942	-0.005120	19.660500	1.000000	3.995450	16.291500	0.388462	470939.521505	4398704.360173	0.008326	0.008157	-0.001674	0.531915	1543371581.730970
0.001299	-0.039032	0.009338	19.660500	1.000000	3.995639	16.291500	0.388455	470939.521509	4398704.360207	0.008121	0.007992	-0.001440	0.531915	1543371581.738974
-0.004964	-0.034136	-0.008627	19.660500	1.000000	3.995652	16.435499	0.388455	470939.521505	4398704.360250	0.007863	0.007775	-0.001171	0.531915	1543371581.746974
0.093795	-0.074163	0.036071	19.660500	1.000000	3.995482	16.435499	0.388452	470939.521501	4398704.360340	0.008663	0.008588	-0.001142	0.531915	1543371581.762975
0.051480	-0.086990	0.023082	19.660500	1.000000	3.995401	16.420500	0.388445	470939.521504	4398704.360384	0.008941	0.008852	-0.001263	0.510638	1543371581.770972
0.008941	-0.106305	0.009600	19.660500	1.000000	3.995325	16.420500	0.388438	470939.521508	4398704.360427	0.008925	0.008787	-0.001562	0.510638	1543371581.778969
0.017460	-0.031114	0.025199	19.660500	1.000000	3.995195	16.468500	0.388424	470939.521516	4398704.360510	0.008928	0.008822	-0.001370	0.510638	1543371581.794972
0.002295	-0.013924	-0.007234	19.660500	1.000000	3.995110	16.468500	0.388417	470939.521519	4398704.360554	0.008702	0.008652	-0.000935	0.510638	1543371581.802974
0.023646	-0.027569	0.009445	19.660500	1.000000	3.995200	16.468500	0.388410	470939.521521	4398704.360602	0.008680	0.008660	-0.000597	0.510638	1543371581.810977
0.020183	-0.047624	0.060728	19.660500	1.000000	3.995426	16.468500	0.388404	470939.521524	4398704.360652	0.008662	0.008652	-0.000420	0.510638	1543371581.818977
