a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.026617	-0.084837	-0.005450	14.545500	0.000000	5.066891	16.324499	0.394014	470939.533372	4398704.148186	0.007923	0.006803	0.004061	1.170213	1543372155.115231
0.004119	-0.045169	0.016461	14.569500	0.000000	5.066933	16.341000	0.393765	470939.533609	4398704.148333	0.007764	0.006336	0.004487	1.170213	1543372155.139233
0.067842	-0.090924	0.052567	14.529000	1.000000	5.067082	16.292999	0.393519	470939.533844	4398704.148481	0.008009	0.006917	0.004037	1.170213	1543372155.163236
0.026915	-0.087078	0.040203	19.660500	1.000000	5.067244	16.308001	0.393434	470939.533926	4398704.148528	0.007976	0.006957	0.003900	1.170213	1543372155.171231
0.009262	-0.019980	-0.002350	19.660500	1.000000	5.067157	16.372499	0.393185	470939.534165	4398704.148669	0.007791	0.006400	0.004444	1.170213	1543372155.195236
0.011623	-0.040200	-0.008490	19.660500	1.000000	5.067041	16.372499	0.393103	470939.534242	4398704.148721	0.007830	0.006284	0.004671	1.170213	1543372155.203236
0.043139	-0.053581	0.083941	19.660500	1.000000	5.067037	16.533001	0.393022	470939.534319	4398704.148774	0.008032	0.006429	0.004814	1.170213	1543372155.211239
0.070287	-0.068912	0.011997	19.660500	1.000000	5.067047	16.533001	0.392939	470939.534398	4398704.148828	0.008355	0.006801	0.004853	1.170213	1543372155.219236
0.046977	-0.135244	0.037553	19.660500	1.000000	5.067052	16.483500	0.392764	470939.534565	4398704.148931	0.008440	0.007368	0.004117	1.170213	1543372155.235231
0.030898	-0.097700	0.044109	19.660500	1.000000	5.067157	16.483500	0.392675	470939.534650	4398704.148978	0.008406	0.007447	0.003898	1.170213	1543372155.243231
0.002915	-0.045048	-0.010840	19.660500	1.000000	5.067119	16.516500	0.392586	470939.534735	4398704.149025	0.008332	0.007265	0.004079	1.170213	1543372155.251234
0.010721	-0.051544	-0.017981	19.660500	1.000000	5.067083	16.516500	0.392499	470939.534820	4398704.149073	0.008299	0.007149	0.004215	1.170213	1543372155.259236
0.032915	-0.063019	-0.001247	19.660500	1.000000	5.067446	16.596001	0.392239	470939.535068	4398704.149224	0.008374	0.007043	0.004531	1.170213	1543372155.283234
0.055513	-0.084177	0.068089	19.660500	1.000000	5.067525	16.500000	0.392151	470939.535152	4398704.149275	0.008551	0.007309	0.004439	1.148936	1543372155.291234
0.046087	-0.081694	0.012972	19.660500	1.000000	5.067417	16.500000	0.392062	470939.535237	4398704.149325	0.008672	0.007498	0.004358	1.148936	1543372155.299232
0.024316	-0.040195	0.041966	19.660500	1.000000	5.067206	16.500000	0.391881	470939.535410	4398704.149427	0.008853	0.007509	0.004690	1.106383	1543372155.315239
0.015810	-0.028053	0.053497	19.660500	1.000000	5.067263	16.725000	0.391791	470939.535496	4398704.149481	0.008955	0.007418	0.005016	1.106383	1543372155.323234
0.014762	-0.033552	-0.047741	19.660500	1.000000	5.067282	16.677000	0.391701	470939.535582	4398704.149537	0.009037	0.007322	0.005297	1.063830	1543372155.331236
0.030714	-0.066278	0.034381	19.660500	1.000000	5.067250	16.677000	0.391612	470939.535667	4398704.149595	0.009101	0.007377	0.005330	1.063830	1543372155.339237
0.044983	-0.112991	0.045868	19.660500	1.000000	5.067232	16.485001	0.391239	470939.536023	4398704.149813	0.009448	0.008343	0.004434	0.872340	1543372155.371231
0.011162	-0.020568	0.018297	19.660500	1.000000	5.067246	16.485001	0.391048	470939.536206	4398704.149915	0.009365	0.008059	0.004770	0.872340	1543372155.387234
0.028162	-0.024818	0.055332	19.660500	1.000000	5.067325	16.485001	0.390856	470939.536389	4398704.150029	0.009935	0.008159	0.005668	0.744681	1543372155.403239
0.026193	-0.055116	0.001405	19.660500	1.000000	5.067404	16.437000	0.390775	470939.536466	4398704.150081	0.010011	0.008170	0.005786	0.574468	1543372155.411239
0.063636	-0.069498	0.024495	19.660500	1.000000	5.067447	16.437000	0.390693	470939.536544	4398704.150133	0.010291	0.008490	0.005816	0.574468	1543372155.419234
0.030914	-0.096706	0.050171	19.660500	1.000000	5.067459	16.339500	0.390434	470939.536792	4398704.150286	0.010517	0.009114	0.005248	0.382979	1543372155.443230
-0.003192	-0.060547	0.035939	19.660500	1.000000	5.067540	16.548000	0.390346	470939.536875	4398704.150334	0.010355	0.008895	0.005301	0.191489	1543372155.451234
-0.007191	-0.055832	-0.035927	19.660500	1.000000	5.067275	16.548000	0.390261	470939.536957	4398704.150383	0.010183	0.008639	0.005390	0.191489	1543372155.459236
0.045330	-0.082626	0.048654	19.660500	1.000000	5.067304	16.356001	0.390091	470939.537119	4398704.150482	0.010344	0.008849	0.005356	0.021277	1543372155.475237
0.037014	-0.090661	-0.003986	19.660500	1.000000	5.067258	16.356001	0.390005	470939.537202	4398704.150531	0.010369	0.008971	0.005198	0.021277	1543372155.483234
0.055192	-0.098341	0.070525	19.660500	1.000000	5.067148	16.452000	0.389828	470939.537372	4398704.150622	0.010600	0.009474	0.004754	-0.170213	1543372155.499234
0.023047	-0.041963	0.027049	19.660500	1.000000	5.067030	16.452000	0.389737	470939.537460	4398704.150667	0.010680	0.009451	0.004974	-0.276596	1543372155.507237
0.010393	-0.008326	0.057272	19.660500	1.000000	5.067128	16.452000	0.391165	470939.535996	4398704.151038	0.009195	0.007706	0.005016	-0.276596	1543372155.523236
0.019327	-0.024426	0.031485	19.660500	1.000000	5.067156	16.435499	0.391105	470939.536055	4398704.151052	0.009341	0.007641	0.005374	-0.361702	1543372155.531239
0.029368	-0.089171	-0.030727	19.660500	1.000000	5.067041	16.435499	0.391045	470939.536114	4398704.151067	0.009305	0.007701	0.005223	-0.361702	1543372155.539237
0.037523	-0.118288	0.022403	19.660500	1.000000	5.066913	16.356001	0.390922	470939.536235	4398704.151090	0.009176	0.008037	0.004429	-0.361702	1543372155.555232
0.036328	-0.108857	-0.025308	19.660500	1.000000	5.067057	16.356001	0.390860	470939.536298	4398704.151097	0.009149	0.008167	0.004125	-0.361702	1543372155.563231
0.041939	-0.094328	0.014844	19.660500	1.000000	5.067032	16.435499	0.390796	470939.536361	4398704.151102	0.009216	0.008331	0.003941	-0.446809	1543372155.571231
0.016921	-0.051069	0.047957	19.660500	1.000000	5.067019	16.435499	0.390732	470939.536425	4398704.151107	0.009220	0.008266	0.004085	-0.446809	1543372155.579236
-0.013763	-0.049850	0.023301	19.660500	1.000000	5.067046	16.339500	0.390610	470939.536546	4398704.151122	0.008753	0.007538	0.004449	-0.510638	1543372155.595236
