a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.061918	-0.105043	0.062588	14.460000	0.000000	4.173774	16.276501	0.320353	470939.634339	4398703.819280	0.006716	0.006165	0.002665	1.702128	1543374641.988380
0.030950	-0.082199	0.004760	14.442000	0.000000	4.173138	16.276501	0.321687	470939.633026	4398703.818961	0.004385	0.004057	0.001664	1.702128	1543374642.028380
0.046435	-0.102589	0.036161	14.442000	0.000000	4.173115	16.276501	0.321674	470939.633040	4398703.818955	0.004434	0.004197	0.001431	1.702128	1543374642.044380
0.034371	-0.127522	-0.032682	14.587500	1.000000	4.173078	16.308001	0.321660	470939.633054	4398703.818947	0.004367	0.004253	0.000992	1.702128	1543374642.052378
0.043028	-0.118768	-0.030586	14.587500	1.000000	4.172999	16.308001	0.321646	470939.633070	4398703.818935	0.004418	0.004373	0.000628	1.702128	1543374642.060380
0.050772	-0.081693	0.048632	14.565000	1.000000	4.172880	16.308001	0.321631	470939.633086	4398703.818922	0.004570	0.004535	0.000565	1.702128	1543374642.068381
0.029928	-0.034456	-0.044333	14.565000	1.000000	4.172512	16.308001	0.321599	470939.633120	4398703.818897	0.004610	0.004507	0.000971	1.702128	1543374642.084383
0.031252	-0.006097	0.056385	19.660500	1.000000	4.172309	16.276501	0.321583	470939.633136	4398703.818889	0.004715	0.004470	0.001501	1.702128	1543374642.092383
0.044154	-0.080483	-0.025198	19.660500	1.000000	4.177071	16.292999	0.323032	470939.631722	4398703.818417	0.004439	0.004310	0.001063	1.702128	1543374642.108383
0.063580	-0.103661	0.011077	19.660500	1.000000	4.177118	16.292999	0.322959	470939.631801	4398703.818344	0.005056	0.005011	0.000675	1.702128	1543374642.124380
0.029073	-0.100549	-0.041390	19.660500	1.000000	4.177184	16.403999	0.322920	470939.631843	4398703.818305	0.005028	0.005008	0.000448	1.702128	1543374642.132380
0.036863	-0.059975	0.007314	19.660500	1.000000	4.177229	16.564501	0.322882	470939.631885	4398703.818265	0.005076	0.005046	0.000550	1.702128	1543374642.140382
0.027191	-0.035967	0.076184	19.660500	1.000000	4.177415	16.564501	0.322843	470939.631927	4398703.818227	0.005064	0.004994	0.000839	1.702128	1543374642.148380
