a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.043184	-0.070135	0.018352	14.545500	0.000000	4.663085	16.051500	0.518749	470939.517453	4398702.820366	0.009100	-0.004268	-0.008037	0.765957	1543457675.582828
0.030694	-0.044901	0.030110	14.491500	0.000000	4.662932	16.083000	0.518765	470939.517447	4398702.820234	0.009038	-0.004408	-0.007890	0.765957	1543457675.590831
0.021047	-0.027323	0.052172	14.491500	0.000000	4.662990	16.083000	0.518783	470939.517440	4398702.820104	0.008910	-0.004635	-0.007609	0.765957	1543457675.598830
0.034466	-0.018569	0.000922	14.563500	0.000000	4.663064	16.099501	0.518802	470939.517432	4398702.819977	0.008675	-0.004764	-0.007251	0.765957	1543457675.606833
0.053689	-0.090146	0.023322	14.563500	0.000000	4.663108	16.099501	0.518840	470939.517414	4398702.819726	0.008647	-0.004664	-0.007282	0.765957	1543457675.622831
0.064606	-0.113494	-0.010432	14.548500	0.000000	4.663024	16.099501	0.518859	470939.517406	4398702.819599	0.008880	-0.004490	-0.007661	0.765957	1543457675.630833
0.056378	-0.110960	0.009699	14.548500	0.000000	4.662896	16.099501	0.518876	470939.517400	4398702.819468	0.009144	-0.004383	-0.008025	0.765957	1543457675.638831
0.035934	-0.078812	-0.027172	14.508000	1.000000	4.662885	16.099501	0.518911	470939.517386	4398702.819200	0.009578	-0.004503	-0.008454	0.765957	1543457675.654828
0.032398	-0.039644	0.007279	14.508000	1.000000	4.662855	16.099501	0.518930	470939.517379	4398702.819065	0.009474	-0.004634	-0.008264	0.765957	1543457675.662833
0.033320	-0.040693	0.041713	19.660500	1.000000	4.662899	16.068001	0.518949	470939.517370	4398702.818932	0.009377	-0.004755	-0.008082	0.765957	1543457675.670831
0.040701	-0.061797	-0.034326	19.660500	1.000000	4.662804	16.068001	0.518949	470939.517373	4398702.818902	0.009388	-0.004807	-0.008065	0.765957	1543457675.678831
0.057910	-0.089223	-0.007921	19.660500	1.000000	4.662841	16.179001	0.518949	470939.517378	4398702.818843	0.009485	-0.004673	-0.008254	0.765957	1543457675.694825
0.055878	-0.091659	0.011597	19.660500	1.000000	4.662909	16.179001	0.518948	470939.517381	4398702.818811	0.009624	-0.004582	-0.008464	0.765957	1543457675.702828
0.047745	-0.069811	0.060513	19.660500	1.000000	4.663014	16.035000	0.518946	470939.517385	4398702.818778	0.009653	-0.004568	-0.008504	0.765957	1543457675.710828
0.025455	-0.040178	0.043164	19.660500	1.000000	4.662772	16.275000	0.518946	470939.517391	4398702.818712	0.009720	-0.004890	-0.008400	0.765957	1543457675.726830
0.041236	-0.058071	-0.022793	19.660500	1.000000	4.662580	16.275000	0.518950	470939.517393	4398702.818652	0.009469	-0.005073	-0.007996	0.765957	1543457675.742831
0.061723	-0.095832	-0.007590	19.660500	1.000000	4.662619	16.275000	0.518952	470939.517393	4398702.818622	0.009601	-0.004934	-0.008236	0.744681	1543457675.750834
