a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.052571	-0.008120	0.008915	14.424000	0.000000	3.897873	16.564501	0.600438	470939.370476	4398703.610584	0.017637	0.016769	0.005463	0.851064	1543393592.210503
0.073052	-0.038391	0.017731	14.424000	0.000000	3.897954	16.564501	0.600454	470939.370461	4398703.610573	0.017771	0.016854	0.005635	0.851064	1543393592.218498
0.072156	-0.101232	0.017068	14.424000	0.000000	3.898032	16.564501	0.600484	470939.370433	4398703.610548	0.017801	0.017074	0.005032	0.851064	1543393592.234495
0.063591	-0.086908	-0.001202	14.512500	0.000000	3.898034	16.533001	0.600498	470939.370420	4398703.610532	0.017772	0.017109	0.004811	0.851064	1543393592.242496
0.040502	-0.069941	0.001080	14.491500	0.000000	3.898113	16.629000	0.600513	470939.370407	4398703.610515	0.017593	0.016950	0.004712	0.851064	1543393592.250496
0.035188	-0.044486	0.058223	14.491500	0.000000	3.898192	16.629000	0.600440	470939.370477	4398703.610538	0.017417	0.016738	0.004816	0.851064	1543393592.258496
0.052392	-0.014209	0.019091	14.527500	0.000000	3.898400	16.612499	0.600299	470939.370615	4398703.610591	0.017368	0.016479	0.005485	0.851064	1543393592.274503
0.061158	-0.046854	0.073918	14.527500	0.000000	3.898475	16.612499	0.600229	470939.370683	4398703.610620	0.017397	0.016476	0.005585	0.851064	1543393592.282501
0.078233	-0.076481	0.030506	14.598000	1.000000	3.898547	16.660500	0.600159	470939.370751	4398703.610649	0.017496	0.016624	0.005456	0.851064	1543393592.290499
0.086404	-0.064494	0.086281	14.598000	1.000000	3.898658	16.660500	0.600087	470939.370821	4398703.610678	0.017688	0.016834	0.005429	0.851064	1543393592.298501
0.059622	-0.036645	0.041644	19.660500	1.000000	3.898560	16.596001	0.599940	470939.370963	4398703.610736	0.017853	0.016913	0.005715	0.851064	1543393592.314499
0.057727	-0.027021	0.061659	19.660500	1.000000	3.898466	16.596001	0.599867	470939.371034	4398703.610768	0.017897	0.016872	0.005971	0.851064	1543393592.322501
0.070299	-0.017413	0.000330	19.660500	1.000000	3.898521	16.597500	0.599793	470939.371106	4398703.610802	0.018059	0.016921	0.006309	0.851064	1543393592.330503
0.078133	-0.032933	0.062667	19.660500	1.000000	3.898619	16.597500	0.599718	470939.371177	4398703.610838	0.018253	0.017046	0.006529	0.851064	1543393592.338501
0.120094	-0.097422	-0.000285	19.660500	1.000000	3.899227	16.597500	0.601360	470939.369631	4398703.609615	0.015120	0.014571	0.004038	0.851064	1543393592.354504
0.109653	-0.084798	-0.023740	19.660500	1.000000	3.899004	16.677000	0.601438	470939.369560	4398703.609523	0.015904	0.015484	0.003630	0.851064	1543393592.370499
0.094003	-0.055932	0.036786	19.660500	1.000000	3.899108	16.677000	0.601472	470939.369530	4398703.609476	0.016169	0.015746	0.003674	0.851064	1543393592.378501
0.073530	-0.003315	-0.026073	19.660500	1.000000	3.899242	16.677000	0.601537	470939.369472	4398703.609387	0.016549	0.015929	0.004489	0.851064	1543393592.394503
0.082784	-0.011361	0.039420	19.660500	1.000000	3.899257	16.677000	0.601567	470939.369445	4398703.609348	0.016802	0.016077	0.004883	0.851064	1543393592.402506
0.090720	-0.075734	-0.021465	19.660500	1.000000	3.899373	16.868999	0.601596	470939.369419	4398703.609310	0.017001	0.016319	0.004766	0.829787	1543393592.410503
0.098896	-0.098123	-0.009698	19.660500	1.000000	3.899471	16.868999	0.601558	470939.369459	4398703.609285	0.017231	0.016640	0.004475	0.829787	1543393592.418504
0.061006	-0.059150	0.014153	19.660500	1.000000	3.899745	16.900499	0.601432	470939.369593	4398703.609202	0.017660	0.017145	0.004235	0.808511	1543393592.442499
0.048006	-0.051250	-0.061612	19.660500	1.000000	3.899748	16.997999	0.601389	470939.369638	4398703.609173	0.017561	0.017030	0.004287	0.744681	1543393592.450499
0.041038	-0.039264	-0.016671	19.660500	1.000000	3.899843	16.997999	0.601347	470939.369682	4398703.609146	0.017430	0.016856	0.004434	0.744681	1543393592.458501
0.066110	-0.074990	-0.038085	19.660500	1.000000	3.900040	16.948500	0.601266	470939.369768	4398703.609093	0.017372	0.016802	0.004412	0.659574	1543393592.474501
0.085495	-0.062195	0.042601	19.660500	1.000000	3.899951	16.756500	0.601224	470939.369812	4398703.609066	0.017561	0.017000	0.004402	0.553191	1543393592.482504
0.086994	-0.072406	-0.002178	19.660500	1.000000	3.899850	16.756500	0.601181	470939.369857	4398703.609039	0.017744	0.017212	0.004309	0.553191	1543393592.490501
0.065715	-0.083116	-0.008301	19.660500	1.000000	3.899773	16.756500	0.601138	470939.369904	4398703.609010	0.017745	0.017261	0.004119	0.404255	1543393592.498497
0.047983	-0.051266	0.060226	19.660500	1.000000	3.899678	16.756500	0.601094	470939.369950	4398703.608981	0.017656	0.017154	0.004176	0.404255	1543393592.506499
0.028976	-0.022914	0.022910	19.660500	1.000000	3.899487	16.756500	0.602539	470939.368585	4398703.607947	0.014073	0.013409	0.004271	0.404255	1543393592.522504
0.043262	-0.057601	0.027376	19.660500	1.000000	3.899500	16.740000	0.602586	470939.368539	4398703.607930	0.013938	0.013266	0.004274	0.234043	1543393592.530501
0.059331	-0.099040	-0.048123	19.660500	1.000000	3.899505	16.740000	0.602635	470939.368492	4398703.607912	0.013846	0.013270	0.003952	0.234043	1543393592.538501
0.059701	-0.110048	0.018425	19.660500	1.000000	3.899506	16.708500	0.602731	470939.368399	4398703.607867	0.013729	0.013343	0.003230	-0.021277	1543393592.554496
0.036762	-0.091392	-0.001901	19.660500	1.000000	3.899246	16.708500	0.602780	470939.368352	4398703.607841	0.013494	0.013166	0.002959	-0.021277	1543393592.562496
0.012791	-0.040746	0.066457	19.660500	1.000000	3.899087	16.708500	0.602832	470939.368302	4398703.607814	0.013140	0.012774	0.003081	-0.021277	1543393592.570496
0.011551	-0.015597	0.025076	19.660500	1.000000	3.899024	16.708500	0.602886	470939.368250	4398703.607788	0.012816	0.012356	0.003402	-0.191489	1543393592.578501
0.035584	-0.026415	0.060173	19.660500	1.000000	3.899089	16.756500	0.603002	470939.368137	4398703.607746	0.012502	0.011827	0.004054	-0.361702	1543393592.594501
0.047105	-0.055813	0.038874	19.660500	1.000000	3.899105	16.756500	0.603062	470939.368078	4398703.607728	0.012403	0.011715	0.004074	-0.361702	1543393592.602499
0.058062	-0.087702	0.056065	19.660500	1.000000	3.899220	16.516500	0.603123	470939.368019	4398703.607708	0.012325	0.011709	0.003846	-0.468085	1543393592.610498
0.059395	-0.095682	0.046322	19.660500	1.000000	3.899299	16.516500	0.603184	470939.367959	4398703.607687	0.012246	0.011718	0.003555	-0.468085	1543393592.618498
0.055306	-0.082846	0.044587	19.660500	1.000000	3.899203	16.564501	0.603245	470939.367900	4398703.607663	0.012162	0.011687	0.003363	-0.574468	1543393592.626496
0.060873	-0.033294	0.037774	19.660500	1.000000	3.899001	16.564501	0.603368	470939.367780	4398703.607615	0.012152	0.011625	0.003540	-0.574468	1543393592.642501
0.079903	-0.020480	0.059516	19.660500	1.000000	3.899040	16.548000	0.603429	470939.367721	4398703.607594	0.012374	0.011757	0.003860	-0.638298	1543393592.650501
0.135500	-0.079214	0.030673	19.660500	1.000000	3.899046	16.597500	0.603595	470939.367559	4398703.607539	0.013827	0.013210	0.004085	-0.638298	1543393592.674504
0.139110	-0.078993	0.011149	19.660500	1.000000	3.899135	16.597500	0.603641	470939.367514	4398703.607520	0.014401	0.013843	0.003968	-0.638298	1543393592.682499
0.129371	-0.048346	0.023944	19.660500	1.000000	3.899277	16.629000	0.603683	470939.367474	4398703.607501	0.014954	0.014383	0.004091	-0.723404	1543393592.690499
0.106331	-0.027056	0.000303	19.660500	1.000000	3.899528	16.629000	0.603721	470939.367438	4398703.607484	0.015361	0.014726	0.004371	-0.723404	1543393592.698504
0.106927	-0.019582	-0.000208	19.660500	1.000000	3.900221	16.677000	0.603789	470939.367371	4398703.607457	0.016116	0.015303	0.005053	-0.787234	1543393592.714506
0.110186	-0.056803	-0.024247	19.660500	1.000000	3.900584	16.677000	0.603819	470939.367342	4398703.607446	0.016498	0.015691	0.005097	-0.851064	1543393592.722504
0.109885	-0.091521	-0.026187	19.660500	1.000000	3.900810	16.548000	0.603845	470939.367316	4398703.607435	0.016814	0.016095	0.004864	-0.851064	1543393592.730504
0.108708	-0.117392	0.005924	19.660500	1.000000	3.900996	16.548000	0.603869	470939.367294	4398703.607420	0.017089	0.016506	0.004425	-0.851064	1543393592.738502
0.100771	-0.120268	-0.045700	19.660500	1.000000	3.901278	16.612499	0.603794	470939.367366	4398703.607464	0.017310	0.016852	0.003956	-0.936170	1543393592.746498
0.037687	-0.058275	0.002997	19.660500	1.000000	3.901702	16.612499	0.603640	470939.367513	4398703.607546	0.017211	0.016796	0.003756	-0.936170	1543393592.762497
0.014589	-0.025276	-0.007730	19.660500	1.000000	3.901943	16.612499	0.603566	470939.367584	4398703.607588	0.016885	0.016404	0.004001	-1.085106	1543393592.770504
0.017108	-0.017629	0.046457	19.660500	1.000000	3.901944	16.645500	0.603494	470939.367653	4398703.607631	0.016601	0.016032	0.004310	-1.085106	1543393592.778504
0.044839	-0.075430	0.071835	19.660500	1.000000	3.901781	16.645500	0.603357	470939.367783	4398703.607721	0.016241	0.015695	0.004174	-1.191489	1543393592.794502
0.053836	-0.093824	-0.013767	19.660500	1.000000	3.901762	16.645500	0.603290	470939.367847	4398703.607763	0.016130	0.015654	0.003892	-1.191489	1543393592.802499
0.037086	-0.095322	-0.016145	19.660500	1.000000	3.901581	16.645500	0.603224	470939.367910	4398703.607804	0.015890	0.015480	0.003589	-1.276596	1543393592.810502
