a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.068866	-0.037980	0.031157	14.443500	0.000000	-86.720229	16.500000	0.123148	470771.628316	4399210.988152	0.014102	0.008518	-0.011238	0.297872	1543475212.721494
0.066247	-0.041176	0.041197	14.443500	0.000000	-86.720258	16.500000	0.123134	470771.628317	4399210.988138	0.014224	0.008666	-0.011280	0.297872	1543475212.729495
0.058187	-0.083226	0.028313	14.487000	0.000000	-86.720365	16.483500	0.123105	470771.628321	4399210.988109	0.014209	0.008554	-0.011345	0.297872	1543475212.745496
0.064266	-0.099160	-0.039433	14.487000	0.000000	-86.720509	16.483500	0.123091	470771.628320	4399210.988095	0.014062	0.008227	-0.011404	0.297872	1543475212.753494
0.077081	-0.081170	0.011931	14.514000	1.000000	-86.720591	16.420500	0.123075	470771.628318	4399210.988079	0.014084	0.008056	-0.011553	0.297872	1543475212.761495
0.064343	-0.105357	-0.033559	14.514000	1.000000	-86.720644	16.420500	0.123059	470771.628313	4399210.988063	0.013924	0.007680	-0.011614	0.297872	1543475212.769493
0.064364	-0.087913	-0.021144	19.660500	1.000000	-86.720776	16.387501	0.123043	470771.628306	4399210.988046	0.013840	0.007445	-0.011667	0.297872	1543475212.777494
0.058509	-0.068509	-0.059956	19.660500	1.000000	-86.720958	16.387501	0.123009	470771.628291	4399210.988012	0.013792	0.007387	-0.011647	0.297872	1543475212.793493
0.065111	-0.036567	0.057401	19.660500	1.000000	-86.721041	16.403999	0.122993	470771.628283	4399210.987995	0.013917	0.007574	-0.011676	0.297872	1543475212.801494
0.047675	-0.017102	0.073775	19.660500	1.000000	-86.721180	16.403999	0.122976	470771.628277	4399210.987979	0.014003	0.007909	-0.011556	0.297872	1543475212.809493
0.054146	-0.042531	-0.042236	19.660500	1.000000	-86.721297	16.420500	0.122960	470771.628274	4399210.987963	0.014032	0.008029	-0.011508	0.297872	1543475212.817495
0.058031	-0.050799	-0.010624	19.660500	1.000000	-86.721305	16.420500	0.122930	470771.628269	4399210.987932	0.014114	0.008263	-0.011443	0.297872	1543475212.833492
0.067266	-0.071057	-0.006371	19.660500	1.000000	-86.721297	16.466999	0.122914	470771.628268	4399210.987916	0.014112	0.008166	-0.011510	0.297872	1543475212.841495
0.071752	-0.103853	-0.049248	19.660500	1.000000	-86.721390	16.611000	0.122882	470771.628259	4399210.987883	0.013959	0.007595	-0.011712	0.297872	1543475212.857492
0.087707	-0.085222	-0.017453	19.660500	1.000000	-86.721424	16.611000	0.122845	470771.628242	4399210.987845	0.014058	0.007131	-0.012115	0.297872	1543475212.873493
0.070605	-0.071203	0.026566	19.660500	1.000000	-86.721458	16.660500	0.122824	470771.628231	4399210.987824	0.014091	0.007039	-0.012207	0.297872	1543475212.881492
0.060478	-0.054220	0.039666	19.660500	1.000000	-86.721487	16.660500	0.122803	470771.628220	4399210.987803	0.014113	0.007079	-0.012209	0.297872	1543475212.889493
0.057531	-0.067858	-0.018557	19.660500	1.000000	-86.721627	16.708500	0.122782	470771.628209	4399210.987782	0.014064	0.007001	-0.012198	0.297872	1543475212.897493
0.060707	-0.039086	0.029142	19.660500	1.000000	-86.721432	16.708500	0.122742	470771.628186	4399210.987740	0.014070	0.007138	-0.012125	0.297872	1543475212.913494
0.062426	-0.057320	0.017157	19.660500	1.000000	-86.721319	16.708500	0.122655	470771.628240	4399210.987655	0.014095	0.007151	-0.012146	0.297872	1543475212.921495
0.071254	-0.065163	0.026003	19.660500	1.000000	-86.721197	16.708500	0.122567	470771.628293	4399210.987570	0.014154	0.007108	-0.012240	0.297872	1543475212.929496
0.067126	-0.083567	0.032573	19.660500	1.000000	-86.721162	16.596001	0.122390	470771.628397	4399210.987396	0.014176	0.006804	-0.012436	0.255319	1543475212.945492
0.059104	-0.066678	0.017192	19.660500	1.000000	-86.721486	16.596001	0.122197	470771.628500	4399210.987208	0.014197	0.006615	-0.012562	0.255319	1543475212.961492
0.051953	-0.067183	0.040661	19.660500	1.000000	-86.721625	16.596001	0.122095	470771.628553	4399210.987107	0.014112	0.006548	-0.012501	0.212766	1543475212.969495
0.063042	-0.091950	0.018335	19.660500	1.000000	-86.721889	16.579500	0.121993	470771.628603	4399210.987007	0.014029	0.006286	-0.012542	0.106383	1543475212.977495
0.060122	-0.125043	0.022644	19.660500	1.000000	-86.722008	16.579500	0.121788	470771.628696	4399210.986806	0.013663	0.005295	-0.012595	0.106383	1543475212.993493
0.071819	-0.121789	0.024060	19.660500	1.000000	-86.722010	16.740000	0.121582	470771.628771	4399210.986603	0.013468	0.004275	-0.012771	0.021277	1543475213.009493
0.072029	-0.134185	0.027674	19.660500	1.000000	-86.721867	16.660500	0.122318	470771.629083	4399210.987351	0.009731	0.002208	-0.009477	-0.063830	1543475213.017492
0.077816	-0.097526	0.030319	19.660500	1.000000	-86.721755	16.660500	0.122321	470771.629022	4399210.987352	0.009838	0.001398	-0.009738	-0.063830	1543475213.033493
