a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.045424	-0.098073	0.014991	14.503500	0.000000	6.043419	16.308001	-0.059171	470940.095861	4398702.838174	0.007803	0.005652	0.005380	0.446809	1543373703.243943
0.025579	-0.109377	0.011648	14.503500	0.000000	6.043241	16.308001	-0.059169	470940.095857	4398702.838194	0.007609	0.005661	0.005084	0.446809	1543373703.251941
0.015842	-0.076150	-0.011728	14.560500	0.000000	6.043156	16.291500	-0.059166	470940.095852	4398702.838212	0.007509	0.005563	0.005043	0.446809	1543373703.259943
0.024066	-0.040925	0.025919	14.560500	0.000000	6.043312	16.291500	-0.059157	470940.095840	4398702.838252	0.007675	0.005374	0.005479	0.446809	1543373703.275942
0.035239	-0.062321	-0.011048	14.527500	1.000000	6.043215	16.308001	-0.059153	470940.095834	4398702.838274	0.007768	0.005419	0.005566	0.446809	1543373703.283946
0.037964	-0.083599	0.013253	14.527500	1.000000	6.043100	16.308001	-0.059149	470940.095828	4398702.838296	0.007771	0.005504	0.005485	0.446809	1543373703.291945
0.049886	-0.094174	0.000181	19.660500	1.000000	6.042998	16.372499	-0.059146	470940.095824	4398702.838317	0.007799	0.005693	0.005331	0.446809	1543373703.299948
0.053890	-0.098191	0.024041	19.660500	1.000000	6.042938	16.372499	-0.059145	470940.095821	4398702.838336	0.007844	0.005918	0.005148	0.446809	1543373703.307943
0.022669	-0.037790	0.042528	19.660500	1.000000	6.043025	16.403999	-0.059144	470940.095817	4398702.838374	0.007977	0.005946	0.005318	0.446809	1543373703.323945
0.012780	-0.005235	0.017738	19.660500	1.000000	6.043108	16.403999	-0.059144	470940.095815	4398702.838396	0.008206	0.005765	0.005840	0.446809	1543373703.331945
0.015665	-0.042549	0.079540	19.660500	1.000000	6.043357	16.324499	-0.059138	470940.095805	4398702.838452	0.008458	0.005410	0.006501	0.446809	1543373703.347948
0.043853	-0.058650	0.018329	19.660500	1.000000	6.043388	16.324499	-0.059135	470940.095799	4398702.838482	0.008624	0.005522	0.006624	0.446809	1543373703.355943
0.051473	-0.089036	-0.026207	19.660500	1.000000	6.043206	16.356001	-0.059133	470940.095795	4398702.838512	0.008666	0.005718	0.006511	0.446809	1543373703.363948
0.051331	-0.136372	0.019107	19.660500	1.000000	6.043065	16.356001	-0.059133	470940.095792	4398702.838540	0.008469	0.005955	0.006022	0.446809	1543373703.371945
0.020319	-0.043829	0.020793	19.660500	1.000000	6.042745	16.564501	-0.059158	470940.095809	4398702.838643	0.008235	0.005717	0.005927	0.446809	1543373703.411945
0.043138	-0.044060	-0.000928	19.660500	1.000000	6.042569	16.516500	-0.059180	470940.095830	4398702.838654	0.008472	0.005810	0.006165	0.446809	1543373703.419948
0.041807	-0.091821	0.014074	19.660500	1.000000	6.042386	16.516500	-0.059202	470940.095851	4398702.838667	0.008455	0.005933	0.006023	0.446809	1543373703.427945
0.024628	-0.033614	0.000397	19.660500	1.000000	6.042192	16.356001	-0.059275	470940.095922	4398702.838695	0.008495	0.006137	0.005874	0.446809	1543373703.451946
0.009459	-0.033989	0.025209	19.660500	1.000000	6.041934	16.323000	-0.059321	470940.095966	4398702.838722	0.008725	0.005764	0.006549	0.425532	1543373703.467948
