a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.056267	-0.102186	-0.004176	14.577000	0.000000	4.645201	16.341000	0.301051	470939.616108	4398704.276331	0.005486	0.005326	-0.001313	2.978723	1543373258.819743
0.061788	-0.098776	0.006787	14.502000	0.000000	4.645162	16.276501	0.301022	470939.616138	4398704.276314	0.005818	0.005619	-0.001509	2.978723	1543373258.827743
0.020360	-0.103343	0.025547	14.502000	0.000000	4.644717	16.276501	0.300963	470939.616201	4398704.276275	0.006052	0.005673	-0.002106	2.978723	1543373258.843738
0.013085	-0.059723	0.007484	14.575500	1.000000	4.644738	16.260000	0.300934	470939.616232	4398704.276253	0.005909	0.005552	-0.002024	2.978723	1543373258.851740
0.014952	-0.053467	0.053232	19.660500	1.000000	4.644855	16.228500	0.300879	470939.616290	4398704.276214	0.005492	0.005229	-0.001680	2.978723	1543373258.867743
0.060917	-0.077322	0.015641	19.660500	1.000000	4.645032	16.228500	0.300824	470939.616348	4398704.276176	0.005832	0.005579	-0.001698	2.978723	1543373258.883743
0.064762	-0.076802	0.032038	19.660500	1.000000	4.644991	16.276501	0.300794	470939.616380	4398704.276158	0.006127	0.005882	-0.001718	2.978723	1543373258.891737
0.043301	-0.084364	0.002017	19.660500	1.000000	4.644988	16.276501	0.300762	470939.616414	4398704.276138	0.006284	0.006017	-0.001812	2.978723	1543373258.899740
0.016301	-0.060356	0.046723	19.660500	1.000000	4.644918	16.468500	0.300730	470939.616447	4398704.276119	0.006171	0.005923	-0.001732	2.978723	1543373258.907740
0.021445	-0.031945	0.004050	19.660500	1.000000	4.644644	16.468500	0.300577	470939.616608	4398704.276035	0.005810	0.005696	-0.001147	2.978723	1543373258.923743
0.029116	-0.039702	0.033422	19.660500	1.000000	4.644537	16.452000	0.300501	470939.616687	4398704.275997	0.005759	0.005689	-0.000893	2.978723	1543373258.931746
0.036227	-0.093657	-0.024193	19.660500	1.000000	4.644530	16.452000	0.300424	470939.616767	4398704.275959	0.005871	0.005774	-0.001066	2.978723	1543373258.939743
0.042475	-0.119376	-0.005992	19.660500	1.000000	4.644601	16.500000	0.300347	470939.616848	4398704.275919	0.006097	0.005924	-0.001439	2.978723	1543373258.947743
0.037505	-0.105693	0.007309	19.660500	1.000000	4.644574	16.500000	0.300190	470939.617013	4398704.275830	0.006532	0.006206	-0.002039	2.978723	1543373258.963741
0.021352	-0.093456	0.040068	19.660500	1.000000	4.644467	16.516500	0.300111	470939.617096	4398704.275783	0.006560	0.006173	-0.002220	2.978723	1543373258.971734
0.017571	-0.055451	-0.018065	19.660500	1.000000	4.644432	16.516500	0.300032	470939.617179	4398704.275736	0.006436	0.006084	-0.002101	2.978723	1543373258.979738
0.028851	-0.051537	0.045758	19.660500	1.000000	4.644775	16.483500	0.299799	470939.617424	4398704.275607	0.006040	0.005907	-0.001262	2.978723	1543373259.003744
0.044750	-0.055054	0.059376	19.660500	1.000000	4.644727	16.579500	0.302219	470939.614972	4398704.275885	0.003377	0.003369	0.000232	2.957447	1543373259.011744
0.057273	-0.078744	-0.039273	19.660500	1.000000	4.644719	16.579500	0.302176	470939.615016	4398704.275886	0.003617	0.003612	0.000191	2.957447	1543373259.019740
0.051036	-0.098353	0.053608	19.660500	1.000000	4.644826	16.579500	0.302131	470939.615061	4398704.275885	0.003819	0.003819	-0.000008	2.872340	1543373259.027740
0.018678	-0.039409	-0.004519	19.660500	1.000000	4.645058	16.579500	0.302101	470939.615087	4398704.275942	0.003832	0.003831	0.000118	2.872340	1543373259.043741
0.011505	-0.032599	0.007580	19.660500	1.000000	4.645270	16.452000	0.302086	470939.615099	4398704.275973	0.003702	0.003679	0.000416	2.765957	1543373259.051742
0.017410	-0.070174	-0.020703	19.660500	1.000000	4.645339	16.452000	0.302073	470939.615109	4398704.276005	0.003622	0.003598	0.000419	2.765957	1543373259.059741
0.033851	-0.086454	0.030086	19.660500	1.000000	4.645390	16.452000	0.302059	470939.615120	4398704.276037	0.003672	0.003660	0.000302	2.638298	1543373259.067743
0.028499	-0.065295	0.015809	19.660500	1.000000	4.645030	16.643999	0.301994	470939.615177	4398704.276145	0.004316	0.004287	-0.000502	2.446809	1543373259.099738
