a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
-0.017093	-0.060962	0.041720	14.536500	0.000000	5.177080	16.308001	0.242287	470939.811825	4398702.614036	0.009602	0.009213	0.002705	0.255319	1543373966.484062
-0.028720	-0.035289	-0.043855	14.482500	0.000000	5.177061	16.387501	0.242213	470939.811897	4398702.614058	0.009213	0.008725	0.002959	0.255319	1543373966.492067
-0.001097	-0.041000	0.006969	14.482500	0.000000	5.176994	16.387501	0.242143	470939.811966	4398702.614083	0.009043	0.008462	0.003189	0.255319	1543373966.500068
0.020390	-0.063844	0.083228	14.493000	0.000000	5.176759	16.339500	0.244034	470939.810124	4398702.613410	0.008055	0.007902	0.001563	0.255319	1543373966.508067
0.046799	-0.097498	0.020510	14.493000	1.000000	5.176278	16.339500	0.243860	470939.810302	4398702.613369	0.008173	0.008076	0.001251	0.255319	1543373966.524070
0.050365	-0.078174	0.120280	14.493000	1.000000	5.176200	16.339500	0.243771	470939.810393	4398702.613347	0.008344	0.008254	0.001223	0.255319	1543373966.532065
0.032722	-0.069842	-0.031752	14.493000	1.000000	5.176022	16.339500	0.243681	470939.810485	4398702.613325	0.008374	0.008281	0.001246	0.255319	1543373966.540063
0.034008	-0.081860	0.017803	19.660500	1.000000	5.175752	16.356001	0.243592	470939.810577	4398702.613302	0.008411	0.008328	0.001176	0.255319	1543373966.548067
0.021335	-0.061066	0.005507	19.660500	1.000000	5.175633	16.324499	0.243320	470939.810854	4398702.613239	0.008441	0.008296	0.001559	0.255319	1543373966.572067
0.046963	-0.124423	0.063413	19.660500	1.000000	5.175512	16.324499	0.247258	470939.807015	4398702.611878	0.007343	0.007326	0.000499	0.255319	1543373966.580067
0.051234	-0.130305	0.005056	19.660500	1.000000	5.175547	16.452000	0.247149	470939.807126	4398702.611858	0.007545	0.007545	0.000054	0.255319	1543373966.588065
0.050940	-0.099022	-0.001945	19.660500	1.000000	5.175357	16.452000	0.246929	470939.807351	4398702.611814	0.007928	0.007922	-0.000292	0.255319	1543373966.604065
0.040403	-0.060601	0.053982	19.660500	1.000000	5.175436	16.452000	0.246817	470939.807465	4398702.611790	0.008008	0.008006	-0.000189	0.255319	1543373966.612065
0.014278	-0.015903	0.016761	19.660500	1.000000	5.175451	16.452000	0.246705	470939.807579	4398702.611769	0.007852	0.007848	0.000251	0.255319	1543373966.620065
0.007714	-0.048628	-0.035220	19.660500	1.000000	5.175447	16.677000	0.246594	470939.807692	4398702.611750	0.007672	0.007660	0.000426	0.255319	1543373966.628067
0.021150	-0.085199	0.012434	19.660500	1.000000	5.175778	16.900499	0.246375	470939.807915	4398702.611713	0.007533	0.007530	0.000229	0.255319	1543373966.644065
0.053977	-0.093718	-0.092991	19.660500	1.000000	5.175768	16.900499	0.246265	470939.808027	4398702.611692	0.007742	0.007741	0.000077	0.255319	1543373966.652067
