a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.051847	-0.057798	-0.005965	14.697000	0.000000	-170.797878	16.164000	0.103928	470779.504791	4399405.613170	0.002978	-0.002763	0.001111	0.425532	1543459245.871554
0.098285	-0.079498	0.063655	14.670000	0.000000	-170.798036	16.228500	0.103848	470779.504710	4399405.613166	0.003348	-0.003134	0.001178	0.425532	1543459245.879554
0.096264	-0.080161	-0.022620	14.670000	0.000000	-170.797977	16.228500	0.103765	470779.504627	4399405.613163	0.003701	-0.003482	0.001254	0.425532	1543459245.887548
0.058137	-0.099517	0.048592	14.671500	0.000000	-170.798152	16.260000	0.103594	470779.504455	4399405.613161	0.004100	-0.003734	0.001694	0.425532	1543459245.903547
0.023155	-0.066067	0.022449	14.671500	0.000000	-170.798308	16.260000	0.103531	470779.504391	4399405.613159	0.003906	-0.003491	0.001751	0.425532	1543459245.911552
0.021262	-0.023812	-0.029147	15.117000	0.000000	-170.798457	16.260000	0.103470	470779.504330	4399405.613157	0.003502	-0.003174	0.001478	0.425532	1543459245.919552
0.074249	-0.055684	-0.020077	15.117000	0.000000	-170.798425	16.260000	0.103410	470779.504270	4399405.613153	0.003596	-0.003318	0.001388	0.425532	1543459245.927554
0.053111	-0.077782	-0.006549	14.733000	1.000000	-170.798294	16.260000	0.103285	470779.504145	4399405.613146	0.003963	-0.003622	0.001607	0.425532	1543459245.943553
0.053081	-0.103161	-0.008899	14.733000	1.000000	-170.798303	16.260000	0.103222	470779.504082	4399405.613145	0.004133	-0.003660	0.001920	0.425532	1543459245.951552
0.073319	-0.092770	0.072582	14.733000	1.000000	-170.798152	16.260000	0.103159	470779.504017	4399405.613146	0.004398	-0.003851	0.002124	0.425532	1543459245.959549
0.051970	-0.034706	0.007245	14.733000	1.000000	-170.798166	16.260000	0.103095	470779.503952	4399405.613146	0.004242	-0.003794	0.001898	0.425532	1543459245.967552
0.044686	-0.011762	0.082193	19.660500	1.000000	-170.798295	16.228500	0.102969	470779.503827	4399405.613140	0.003569	-0.003398	0.001093	0.425532	1543459245.983554
0.038061	-0.025738	0.047520	19.660500	1.000000	-170.798141	16.228500	0.102908	470779.503766	4399405.613132	0.003323	-0.003223	0.000813	0.425532	1543459245.991554
0.066687	-0.086829	0.044355	19.660500	1.000000	-170.797913	16.212000	0.102787	470779.503647	4399405.613115	0.003372	-0.003231	0.000964	0.425532	1543459246.007549
0.068869	-0.100504	-0.062076	19.660500	1.000000	-170.797981	16.243500	0.104290	470779.505229	4399405.612657	0.003332	-0.003283	0.000569	0.425532	1543459246.023549
0.079351	-0.058796	0.044644	19.660500	1.000000	-170.798049	16.243500	0.104197	470779.505138	4399405.612631	0.003512	-0.003476	0.000497	0.425532	1543459246.031551
0.048736	-0.045365	0.066800	19.660500	1.000000	-170.797916	16.197001	0.104103	470779.505047	4399405.612604	0.003431	-0.003413	0.000358	0.425532	1543459246.039549
0.014872	-0.048439	0.020279	19.660500	1.000000	-170.797753	16.197001	0.104011	470779.504958	4399405.612577	0.003095	-0.003081	0.000287	0.425532	1543459246.047552
0.052891	-0.068207	0.069468	19.660500	1.000000	-170.797627	16.403999	0.103831	470779.504784	4399405.612519	0.002857	-0.002853	0.000148	0.425532	1543459246.063552
0.058172	-0.075123	0.022628	19.660500	1.000000	-170.797886	16.403999	0.103777	470779.504732	4399405.612506	0.002907	-0.002898	0.000233	0.425532	1543459246.071554
0.079286	-0.067222	0.055064	19.660500	1.000000	-170.798216	16.580999	0.103723	470779.504679	4399405.612493	0.003110	-0.003102	0.000227	0.404255	1543459246.079550
0.050303	-0.055482	-0.008738	19.660500	1.000000	-170.798697	16.677000	0.103551	470779.504511	4399405.612453	0.003370	-0.003369	0.000072	0.404255	1543459246.103552
0.053238	-0.061807	0.002566	19.660500	1.000000	-170.798772	16.533001	0.103493	470779.504454	4399405.612438	0.003357	-0.003357	0.000057	0.382979	1543459246.111554
0.067138	-0.088421	-0.098299	19.660500	1.000000	-170.798843	16.533001	0.103379	470779.504343	4399405.612411	0.003418	-0.003405	0.000292	0.382979	1543459246.127550
0.104757	-0.098484	0.034581	19.660500	1.000000	-170.798861	16.292999	0.103255	470779.504221	4399405.612390	0.004488	-0.004433	0.000703	0.340426	1543459246.143550
0.059006	-0.094573	-0.045320	19.660500	1.000000	-170.798953	16.292999	0.103190	470779.504156	4399405.612382	0.004602	-0.004505	0.000940	0.276596	1543459246.151547
