a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.037891	-0.015728	0.033026	14.601000	0.000000	-171.376816	16.132500	-0.281039	470779.377857	4399403.714706	0.003661	-0.001440	0.003366	3.297872	1543458979.271432
0.062269	-0.061202	-0.001186	14.601000	0.000000	-171.376758	16.132500	-0.281054	470779.377843	4399403.714699	0.003655	-0.001495	0.003335	3.297872	1543458979.279432
0.080427	-0.084139	0.024452	14.626500	0.000000	-171.376726	16.164000	-0.281070	470779.377828	4399403.714693	0.003869	-0.001723	0.003464	3.297872	1543458979.287432
0.075001	-0.098095	0.002987	14.626500	0.000000	-171.376449	16.164000	-0.281106	470779.377793	4399403.714685	0.004427	-0.002154	0.003867	3.297872	1543458979.303427
0.023873	-0.065893	0.012396	14.527500	1.000000	-171.376454	16.147499	-0.281143	470779.377755	4399403.714683	0.004534	-0.001891	0.004120	3.297872	1543458979.319432
0.024963	-0.047403	0.017312	19.660500	1.000000	-171.376334	16.147499	-0.281159	470779.377739	4399403.714683	0.004345	-0.001636	0.004026	3.297872	1543458979.327432
0.068363	-0.073437	0.035816	19.660500	1.000000	-171.376209	16.147499	-0.281189	470779.377709	4399403.714680	0.004387	-0.001677	0.004054	3.297872	1543458979.343432
0.081990	-0.074226	0.014851	19.660500	1.000000	-171.376121	16.147499	-0.281205	470779.377693	4399403.714680	0.004523	-0.001904	0.004103	3.297872	1543458979.351431
0.077636	-0.078877	0.007434	19.660500	1.000000	-171.376089	16.147499	-0.281223	470779.377675	4399403.714680	0.004692	-0.002103	0.004194	3.297872	1543458979.359429
0.061090	-0.076892	0.052443	19.660500	1.000000	-171.376153	16.084499	-0.281242	470779.377656	4399403.714680	0.004808	-0.002171	0.004289	3.297872	1543458979.367429
0.034328	-0.034321	0.041611	19.660500	1.000000	-171.376466	16.084499	-0.281279	470779.377618	4399403.714681	0.004475	-0.001922	0.004041	3.297872	1543458979.383432
0.027082	-0.034548	0.019368	19.660500	1.000000	-171.376432	16.243500	-0.281296	470779.377602	4399403.714679	0.004189	-0.001668	0.003842	3.297872	1543458979.391432
0.043870	-0.052654	0.003698	19.660500	1.000000	-171.376322	16.243500	-0.281311	470779.377587	4399403.714677	0.004079	-0.001567	0.003766	3.297872	1543458979.399432
0.063608	-0.080988	0.005304	19.660500	1.000000	-171.376281	16.308001	-0.281326	470779.377572	4399403.714674	0.004229	-0.001657	0.003891	3.297872	1543458979.407430
0.081464	-0.110250	0.016277	19.660500	1.000000	-171.376319	16.308001	-0.281384	470779.377512	4399403.714681	0.005014	-0.002148	0.004530	3.297872	1543458979.423430
0.061666	-0.087078	0.011635	19.660500	1.000000	-171.376350	16.324499	-0.281415	470779.377480	4399403.714688	0.005207	-0.002230	0.004706	3.297872	1543458979.431424
0.049175	-0.050142	0.037015	19.660500	1.000000	-171.376323	16.324499	-0.281428	470779.377462	4399403.714725	0.005090	-0.002171	0.004604	3.297872	1543458979.439430
0.040178	-0.038356	0.038228	19.660500	1.000000	-171.376290	16.324499	-0.281439	470779.377446	4399403.714762	0.004862	-0.002026	0.004420	3.297872	1543458979.447430
0.042332	-0.048316	0.019772	19.660500	1.000000	-171.376310	16.324499	-0.281459	470779.377417	4399403.714830	0.004488	-0.001682	0.004160	3.297872	1543458979.463432
0.061025	-0.065766	0.035883	19.660500	1.000000	-171.376167	16.435499	-0.281468	470779.377403	4399403.714863	0.004514	-0.001735	0.004168	3.276596	1543458979.471432
0.079892	-0.083361	0.011597	19.660500	1.000000	-171.376119	16.435499	-0.281478	470779.377388	4399403.714897	0.004717	-0.001957	0.004291	3.276596	1543458979.479429
0.084983	-0.090394	0.032932	19.660500	1.000000	-171.376137	16.420500	-0.281489	470779.377372	4399403.714932	0.004990	-0.002230	0.004465	3.255319	1543458979.487430
0.047117	-0.054880	0.008836	19.660500	1.000000	-171.376000	16.420500	-0.281516	470779.377335	4399403.715006	0.005144	-0.002296	0.004604	3.255319	1543458979.503429
0.037693	-0.070974	-0.038500	19.660500	1.000000	-171.375913	16.483500	-0.280597	470779.378293	4399403.714787	0.004334	-0.001157	0.004177	3.212766	1543458979.519432
0.058777	-0.080399	0.039551	19.660500	1.000000	-171.375804	16.612499	-0.280598	470779.378287	4399403.714816	0.004469	-0.001209	0.004302	3.042553	1543458979.527430
0.084506	-0.107682	-0.055621	19.660500	1.000000	-171.375829	16.308001	-0.280604	470779.378272	4399403.714879	0.005077	-0.001697	0.004785	2.914894	1543458979.543430
0.088428	-0.101461	0.079641	19.660500	1.000000	-171.375317	16.308001	-0.279713	470779.379208	4399403.714616	0.005280	-0.002018	0.004879	2.914894	1543458979.551427
0.074605	-0.079896	-0.020038	19.660500	1.000000	-171.375391	16.308001	-0.279740	470779.379176	4399403.714649	0.005444	-0.002192	0.004983	2.914894	1543458979.559425
