a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.050935	-0.038647	-0.005664	14.695500	0.000000	-171.570283	16.036501	-0.155476	470779.368948	4399404.706514	0.009409	-0.009121	-0.002310	0.042553	1543458263.679104
0.063714	-0.062523	0.041232	14.695500	0.000000	-171.570331	16.036501	-0.155572	470779.368903	4399404.706140	0.009457	-0.009121	-0.002501	0.042553	1543458263.695104
0.078383	-0.064019	0.007313	14.770500	0.000000	-171.570360	16.115999	-0.155621	470779.368879	4399404.705953	0.009632	-0.009296	-0.002521	0.042553	1543458263.703103
0.076951	-0.067115	0.048605	14.770500	0.000000	-171.570411	16.115999	-0.155671	470779.368854	4399404.705765	0.009795	-0.009466	-0.002516	0.042553	1543458263.711104
0.067699	-0.076231	0.030819	14.670000	0.000000	-171.570411	16.147499	-0.155723	470779.368828	4399404.705578	0.009876	-0.009573	-0.002427	0.042553	1543458263.719096
0.048725	-0.031739	0.045826	14.670000	0.000000	-171.570551	16.147499	-0.155827	470779.368774	4399404.705202	0.009914	-0.009524	-0.002752	0.042553	1543458263.735101
0.043481	-0.045512	-0.000225	14.680500	1.000000	-171.570432	16.164000	-0.155878	470779.368749	4399404.705012	0.009832	-0.009401	-0.002878	0.042553	1543458263.743104
0.054084	-0.050847	0.038741	14.680500	1.000000	-171.570324	16.164000	-0.155929	470779.368723	4399404.704822	0.009831	-0.009370	-0.002975	0.042553	1543458263.751104
0.063693	-0.062810	0.001151	14.728500	1.000000	-171.570162	16.115999	-0.155980	470779.368698	4399404.704630	0.009889	-0.009427	-0.002988	0.042553	1543458263.759104
0.070070	-0.094003	-0.037056	14.728500	1.000000	-171.570012	16.115999	-0.156032	470779.368672	4399404.704440	0.009959	-0.009568	-0.002761	0.042553	1543458263.767101
0.071971	-0.087204	0.038848	19.660500	1.000000	-171.569878	16.084499	-0.156139	470779.368616	4399404.704065	0.010161	-0.009898	-0.002297	0.042553	1543458263.783095
0.062518	-0.058538	-0.001062	19.660500	1.000000	-171.569849	16.084499	-0.156193	470779.368587	4399404.703879	0.010212	-0.009940	-0.002342	0.042553	1543458263.791099
0.043565	-0.047899	0.022548	19.660500	1.000000	-171.569882	16.068001	-0.156247	470779.368558	4399404.703693	0.010123	-0.009822	-0.002449	0.042553	1543458263.799104
0.055134	-0.030395	0.008461	19.660500	1.000000	-171.569665	16.068001	-0.156354	470779.368503	4399404.703316	0.010033	-0.009621	-0.002846	0.042553	1543458263.815104
0.064254	-0.031374	0.011307	19.660500	1.000000	-171.569551	16.164000	-0.156407	470779.368476	4399404.703125	0.010135	-0.009646	-0.003108	0.042553	1543458263.823104
0.068865	-0.071893	0.036109	19.660500	1.000000	-171.569470	16.164000	-0.156460	470779.368448	4399404.702933	0.010225	-0.009757	-0.003056	0.042553	1543458263.831101
0.078560	-0.100311	0.016406	19.660500	1.000000	-171.569422	16.099501	-0.156515	470779.368419	4399404.702742	0.010360	-0.009977	-0.002789	0.042553	1543458263.839096
