a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.065885	-0.062045	0.048800	14.541000	0.000000	-87.505007	16.468500	0.147656	470768.208261	4399214.385781	0.020564	0.020158	0.004068	-0.638298	1543476614.824433
0.060568	-0.044626	0.023155	14.661000	0.000000	-87.504878	16.468500	0.147633	470768.208648	4399214.385773	0.020649	0.020247	0.004053	-0.638298	1543476614.832433
0.051366	-0.033501	0.030624	14.661000	0.000000	-87.504739	16.468500	0.147609	470768.209035	4399214.385765	0.020834	0.020423	0.004115	-0.638298	1543476614.840434
0.055246	-0.040272	0.056096	14.589000	0.000000	-87.504737	16.500000	0.147586	470768.209423	4399214.385757	0.020964	0.020550	0.004145	-0.638298	1543476614.848435
0.048909	-0.072008	0.043332	14.589000	0.000000	-87.504843	16.500000	0.147541	470768.210202	4399214.385743	0.020940	0.020500	0.004270	-0.638298	1543476614.864434
0.067516	-0.074151	-0.005536	14.664000	1.000000	-87.504802	16.597500	0.147519	470768.210590	4399214.385736	0.020778	0.020352	0.004187	-0.638298	1543476614.872435
0.063477	-0.083569	0.004181	14.664000	1.000000	-87.504720	16.597500	0.147496	470768.210976	4399214.385729	0.020549	0.020129	0.004134	-0.638298	1543476614.880434
0.062247	-0.102293	0.002398	14.620500	1.000000	-87.504667	16.564501	0.147473	470768.211360	4399214.385721	0.020173	0.019755	0.004084	-0.638298	1543476614.888434
0.076971	-0.080653	-0.000111	14.620500	1.000000	-87.504619	16.564501	0.147449	470768.211742	4399214.385712	0.019948	0.019559	0.003924	-0.638298	1543476614.896433
0.051785	-0.045834	-0.007771	19.660500	1.000000	-87.504227	16.516500	0.147400	470768.212504	4399214.385694	0.019990	0.019599	0.003934	-0.638298	1543476614.912434
0.046010	-0.052916	0.035907	19.660500	1.000000	-87.504162	16.516500	0.147391	470768.212823	4399214.385698	0.020029	0.019619	0.004033	-0.638298	1543476614.920435
0.045120	-0.070643	0.046438	19.660500	1.000000	-87.504208	16.437000	0.147383	470768.213140	4399214.385702	0.019931	0.019498	0.004133	-0.638298	1543476614.928432
0.046366	-0.064729	0.065121	19.660500	1.000000	-87.504214	16.437000	0.147369	470768.213774	4399214.385714	0.019790	0.019321	0.004287	-0.638298	1543476614.944435
0.056503	-0.081354	-0.001781	19.660500	1.000000	-87.504194	16.403999	0.147363	470768.214089	4399214.385721	0.019587	0.019111	0.004291	-0.638298	1543476614.952434
0.058373	-0.077443	0.044679	19.660500	1.000000	-87.504100	16.403999	0.147391	470768.214241	4399214.385754	0.019419	0.018940	0.004282	-0.638298	1543476614.960434
0.055012	-0.058657	0.048875	19.660500	1.000000	-87.504183	16.580999	0.147419	470768.214393	4399214.385788	0.019403	0.018918	0.004308	-0.638298	1543476614.968432
0.048565	-0.062856	0.054727	19.660500	1.000000	-87.504294	16.580999	0.147474	470768.214695	4399214.385856	0.019294	0.018794	0.004368	-0.638298	1543476614.984432
0.051966	-0.057513	-0.011248	19.660500	1.000000	-87.504248	16.660500	0.147503	470768.214845	4399214.385890	0.019284	0.018772	0.004415	-0.638298	1543476614.992433
0.050814	-0.059526	0.032120	19.660500	1.000000	-87.504224	16.660500	0.147561	470768.215144	4399214.385961	0.019203	0.018659	0.004538	-0.638298	1543476615.008433
0.053550	-0.074937	-0.047007	19.660500	1.000000	-87.504247	16.708500	0.147182	470768.215626	4399214.385600	0.020137	0.019763	0.003861	-0.638298	1543476615.016435
0.058093	-0.076143	0.006698	19.660500	1.000000	-87.504305	16.756500	0.147206	470768.215994	4399214.385640	0.019737	0.019335	0.003964	-0.617021	1543476615.032432
0.067086	-0.068215	-0.027009	19.660500	1.000000	-87.504361	16.756500	0.147219	470768.216176	4399214.385659	0.019619	0.019231	0.003886	-0.617021	1543476615.040432
0.068102	-0.067907	0.022249	19.660500	1.000000	-87.504439	16.804501	0.147230	470768.216357	4399214.385678	0.019511	0.019136	0.003802	-0.617021	1543476615.048434
0.042640	-0.032111	0.033334	19.660500	1.000000	-87.504503	16.804501	0.147253	470768.216718	4399214.385715	0.019596	0.019208	0.003884	-0.617021	1543476615.064432
0.029606	-0.018631	0.002320	19.660500	1.000000	-87.504444	16.981501	0.147266	470768.216901	4399214.385735	0.019923	0.019491	0.004124	-0.595745	1543476615.072434
0.028398	-0.049835	0.036408	19.660500	1.000000	-87.505327	16.981501	0.146733	470768.217806	4399214.385238	0.021994	0.021697	0.003602	-0.595745	1543476615.080434
0.036094	-0.080980	0.067094	19.660500	1.000000	-87.505370	16.965000	0.146714	470768.218094	4399214.385230	0.021822	0.021493	0.003772	-0.574468	1543476615.088434
0.060318	-0.147539	0.042662	19.660500	1.000000	-87.505518	16.900499	0.146662	470768.218935	4399214.385212	0.019893	0.019525	0.003809	-0.531915	1543476615.112432
0.059595	-0.139309	-0.026646	19.660500	1.000000	-87.505698	16.900499	0.146645	470768.219204	4399214.385205	0.019222	0.018850	0.003766	-0.531915	1543476615.120432
0.059083	-0.111294	0.031021	19.660500	1.000000	-87.505783	16.804501	0.146627	470768.219468	4399214.385199	0.018783	0.018407	0.003740	-0.510638	1543476615.128432
0.052964	-0.124881	0.037520	19.660500	1.000000	-87.505837	16.804501	0.146593	470768.219985	4399214.385185	0.017723	0.017327	0.003725	-0.510638	1543476615.144432
0.057123	-0.099887	0.039584	19.660500	1.000000	-87.505806	16.804501	0.146576	470768.220238	4399214.385178	0.017378	0.016976	0.003719	-0.468085	1543476615.152432
0.055491	-0.097793	0.082463	19.660500	1.000000	-87.505829	16.804501	0.146559	470768.220488	4399214.385171	0.017058	0.016646	0.003728	-0.468085	1543476615.160435
0.060812	-0.100342	0.044841	19.660500	1.000000	-87.505972	16.548000	0.146542	470768.220736	4399214.385164	0.016706	0.016293	0.003693	-0.446809	1543476615.168433
0.075872	-0.116421	0.021825	19.660500	1.000000	-87.506089	16.548000	0.146506	470768.221222	4399214.385148	0.015842	0.015472	0.003405	-0.446809	1543476615.184432
0.078001	-0.157460	-0.028803	19.660500	1.000000	-87.506079	16.548000	0.146487	470768.221458	4399214.385138	0.015005	0.014658	0.003208	-0.404255	1543476615.192432
0.069486	-0.180004	0.007063	19.660500	1.000000	-87.506000	16.548000	0.146466	470768.221687	4399214.385126	0.014008	0.013666	0.003074	-0.404255	1543476615.200432
0.073272	-0.156805	-0.040064	19.660500	1.000000	-87.505917	16.580999	0.146445	470768.221908	4399214.385113	0.013181	0.012855	0.002915	-0.404255	1543476615.208431
0.055982	-0.126132	0.019190	19.660500	1.000000	-87.505513	16.580999	0.146399	470768.222335	4399214.385085	0.011977	0.011660	0.002738	-0.404255	1543476615.224431
0.054391	-0.122204	-0.047138	19.660500	1.000000	-87.505358	16.596001	0.146376	470768.222542	4399214.385070	0.011450	0.011117	0.002742	-0.361702	1543476615.232432
0.049805	-0.111754	-0.003076	19.660500	1.000000	-87.505274	16.596001	0.146354	470768.222745	4399214.385056	0.011021	0.010663	0.002788	-0.361702	1543476615.240433
0.046622	-0.133636	0.004110	19.660500	1.000000	-87.505189	16.420500	0.146332	470768.222943	4399214.385042	0.010431	0.010033	0.002852	-0.340426	1543476615.248434
0.066496	-0.156955	-0.021203	19.660500	1.000000	-87.505184	16.420500	0.146311	470768.223136	4399214.385028	0.009622	0.009221	0.002748	-0.340426	1543476615.256434
0.067219	-0.171606	-0.015226	19.660500	1.000000	-87.504960	16.564501	0.146265	470768.223502	4399214.384997	0.007964	0.007555	0.002519	-0.319149	1543476615.272432
0.059710	-0.171055	0.008237	19.660500	1.000000	-87.504897	16.564501	0.146242	470768.223674	4399214.384981	0.007075	0.006631	0.002466	-0.319149	1543476615.280433
0.055405	-0.141825	0.009130	19.660500	1.000000	-87.504539	16.485001	0.146219	470768.223840	4399214.384964	0.006428	0.005940	0.002457	-0.297872	1543476615.288435
0.040720	-0.144710	0.045692	19.660500	1.000000	-87.504172	16.485001	0.146173	470768.224155	4399214.384931	0.005156	0.004475	0.002562	-0.297872	1543476615.304435
0.050968	-0.125937	0.005025	19.660500	1.000000	-87.504162	16.564501	0.146152	470768.224304	4399214.384916	0.004691	0.003908	0.002594	-0.276596	1543476615.312435
0.050877	-0.132782	0.015379	19.660500	1.000000	-87.504122	16.564501	0.146130	470768.224448	4399214.384900	0.004208	0.003289	0.002626	-0.276596	1543476615.320434
0.050363	-0.158110	0.029497	19.660500	1.000000	-87.504101	16.516500	0.146110	470768.224587	4399214.384885	0.003624	0.002469	0.002653	-0.255319	1543476615.328435
0.046092	-0.176794	0.010178	19.660500	1.000000	-87.503813	16.516500	0.146070	470768.224842	4399214.384855	0.002734	0.000511	0.002686	-0.255319	1543476615.344435
0.040675	-0.187956	0.003561	19.660500	1.000000	-87.503815	16.533001	0.146051	470768.224957	4399214.384841	0.002834	-0.000555	0.002779	-0.234043	1543476615.352435
0.046031	-0.182490	0.032694	19.660500	1.000000	-87.503659	16.533001	0.146033	470768.225064	4399214.384827	0.003239	-0.001571	0.002832	-0.234043	1543476615.360431
0.054774	-0.147053	0.003199	19.660500	1.000000	-87.503677	16.435499	0.146015	470768.225164	4399214.384814	0.003648	-0.002306	0.002827	-0.212766	1543476615.368431
0.066719	-0.115334	0.012660	19.660500	1.000000	-87.503827	16.435499	0.145998	470768.225260	4399214.384800	0.003902	-0.002781	0.002737	-0.212766	1543476615.376432
0.048651	-0.075664	-0.001567	14.592000	1.000000	-87.503785	16.435499	0.145961	470768.225443	4399214.384771	0.004204	-0.003209	0.002716	-0.191489	1543476615.392434
0.046721	-0.049445	0.022832	14.592000	1.000000	-87.503855	16.435499	0.145944	470768.225533	4399214.384757	0.004231	-0.003163	0.002810	-0.191489	1543476615.400433
0.046268	-0.018289	0.018297	14.718000	1.000000	-87.503916	21.761999	0.145927	470768.225624	4399214.384744	0.004092	-0.002869	0.002918	-0.170213	1543476615.408434
0.062037	-0.045588	-0.015989	14.718000	1.000000	-87.503804	21.761999	0.145919	470768.225757	4399214.384741	0.003897	-0.002568	0.002932	-0.170213	1543476615.424434
0.053828	-0.063677	-0.023339	14.650500	1.000000	-87.503820	21.962999	0.145915	470768.225824	4399214.384740	0.003966	-0.002639	0.002961	-0.148936	1543476615.432434
0.061552	-0.071147	-0.041636	14.650500	1.000000	-87.503779	21.962999	0.145911	470768.225891	4399214.384739	0.004029	-0.002770	0.002926	-0.148936	1543476615.440433
0.072102	-0.053946	-0.031979	14.625000	1.000000	-87.503679	22.167000	0.145907	470768.225956	4399214.384737	0.003939	-0.002759	0.002812	-0.148936	1543476615.448435
0.062549	-0.023526	-0.001709	14.625000	1.000000	-87.503896	22.167000	0.145895	470768.226091	4399214.384731	0.003546	-0.002325	0.002678	-0.148936	1543476615.464435
0.061726	-0.020822	0.012668	14.629500	1.000000	-87.503949	22.357500	0.145889	470768.226162	4399214.384727	0.003357	-0.002047	0.002661	-0.148936	1543476615.472435
0.070991	0.002733	0.007893	14.629500	1.000000	-87.503781	22.357500	0.145911	470768.226147	4399214.384748	0.003022	-0.001577	0.002578	-0.148936	1543476615.480435
0.042610	0.016816	0.074363	14.619000	1.000000	-87.503421	22.540501	0.145954	470768.226133	4399214.384791	0.002781	-0.000315	0.002763	-0.127660	1543476615.496434
0.048524	0.028010	0.059509	14.694000	1.000000	-87.503247	22.738501	0.145999	470768.226138	4399214.384836	0.003117	0.000947	0.002969	-0.127660	1543476615.512433
0.052890	-0.008614	0.080708	14.694000	1.000000	-87.503067	22.738501	0.145608	470768.226421	4399214.384456	0.002564	0.000878	0.002409	-0.127660	1543476615.520432
0.058883	-0.038135	0.050314	14.697000	1.000000	-87.502965	22.927500	0.145619	470768.226411	4399214.384467	0.002619	0.001022	0.002411	-0.106383	1543476615.528435
0.058512	-0.047828	0.042865	14.697000	1.000000	-87.502995	22.927500	0.145640	470768.226394	4399214.384487	0.002719	0.001211	0.002434	-0.106383	1543476615.544431
0.055948	-0.052035	0.051263	14.601000	1.000000	-87.502834	23.127001	0.145651	470768.226386	4399214.384498	0.002752	0.001243	0.002455	-0.106383	1543476615.552431
0.050160	-0.042314	0.054758	14.601000	1.000000	-87.505045	23.127001	0.145132	470768.227015	4399214.384004	0.003722	0.003250	0.001814	-0.106383	1543476615.560432
0.055754	-0.044420	0.061274	14.622000	1.000000	-87.505041	23.322001	0.145091	470768.227180	4399214.383969	0.003958	0.003474	0.001897	-0.106383	1543476615.576429
0.047201	-0.047618	0.039032	14.622000	1.000000	-87.504976	23.322001	0.145071	470768.227264	4399214.383953	0.004056	0.003536	0.001988	-0.106383	1543476615.584432
0.051768	-0.038802	0.035930	14.719500	1.000000	-87.504802	23.509501	0.145052	470768.227348	4399214.383936	0.004201	0.003670	0.002046	-0.106383	1543476615.592431
0.060093	-0.035264	0.044547	14.719500	1.000000	-87.504681	23.509501	0.145032	470768.227434	4399214.383921	0.004344	0.003836	0.002039	-0.106383	1543476615.600432
0.057158	-0.052077	0.010065	14.719500	1.000000	-87.504504	23.509501	0.145013	470768.227520	4399214.383905	0.004371	0.003862	0.002047	-0.106383	1543476615.608433
