a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.130591	0.057195	0.060798	13.599000	0.000000	2.976446	15.880500	-0.004880	470939.862230	4398705.016725	0.051652	0.004849	0.051424	-0.510638	1542943731.978478
0.161779	0.162728	0.071424	13.599000	0.000000	2.976449	15.880500	-0.005042	470939.862331	4398705.017470	0.053815	0.006172	0.053460	-0.510638	1542943731.994478
0.119556	0.158328	0.078583	13.579500	0.000000	2.976450	15.820500	-0.005226	470939.862451	4398705.018251	0.056155	0.007057	0.055710	-0.510638	1542943732.010477
0.051329	0.108032	-0.015060	13.573500	0.000000	2.976310	15.844500	-0.004072	470939.862134	4398705.008037	0.049816	0.005213	0.049542	-0.510638	1542943732.018474
0.013026	-0.033018	0.009792	13.573500	0.000000	2.976266	15.844500	-0.004132	470939.862137	4398705.008724	0.049225	0.004326	0.049035	-0.510638	1542943732.034477
-0.026103	-0.057607	-0.087818	13.590000	0.000000	2.976160	15.808500	-0.004155	470939.862133	4398705.009063	0.048517	0.003587	0.048384	-0.510638	1542943732.042479
-0.033706	-0.075266	-0.037178	13.590000	0.000000	2.976112	15.808500	-0.004172	470939.862122	4398705.009395	0.047671	0.002791	0.047589	-0.510638	1542943732.050478
0.022341	-0.060846	-0.010633	13.638000	1.000000	2.976346	15.844500	-0.004183	470939.862107	4398705.009722	0.046995	0.002435	0.046932	-0.510638	1542943732.058477
0.102943	0.051748	0.054924	13.638000	1.000000	2.977031	15.844500	-0.004203	470939.862073	4398705.010370	0.047182	0.002596	0.047110	-0.510638	1542943732.074478
0.146030	0.084876	0.061670	13.755000	1.000000	2.977082	15.844500	-0.004217	470939.862060	4398705.010697	0.047774	0.003162	0.047669	-0.510638	1542943732.082473
0.156939	0.157469	0.107504	13.755000	1.000000	2.976991	15.844500	-0.004236	470939.862051	4398705.011032	0.048960	0.003783	0.048814	-0.510638	1542943732.090476
0.156504	0.193503	0.053353	19.660500	1.000000	2.976802	15.760500	-0.004260	470939.862048	4398705.011377	0.050438	0.004389	0.050247	-0.510638	1542943732.098477
0.080223	0.117558	0.060457	19.660500	1.000000	2.976662	15.760500	-0.004324	470939.862052	4398705.012095	0.052424	0.004964	0.052188	-0.510638	1542943732.114476
0.014095	0.053984	-0.049242	19.660500	1.000000	2.976417	15.760500	-0.004355	470939.862054	4398705.012462	0.052639	0.004499	0.052447	-0.510638	1542943732.122475
0.011234	-0.032560	-0.055758	19.660500	1.000000	2.976209	15.760500	-0.004383	470939.862052	4398705.012828	0.052170	0.004046	0.052013	-0.510638	1542943732.130476
0.011528	-0.038118	-0.013334	19.660500	1.000000	2.976270	15.772500	-0.004408	470939.862046	4398705.013191	0.051659	0.003594	0.051534	-0.510638	1542943732.138481
0.030145	-0.091015	-0.033684	19.660500	1.000000	2.976555	15.772500	-0.004444	470939.862024	4398705.013903	0.050196	0.002815	0.050117	-0.510638	1542943732.154479
0.086063	-0.035925	0.058468	19.660500	1.000000	2.976878	15.844500	-0.004459	470939.862011	4398705.014251	0.049773	0.002952	0.049685	-0.510638	1542943732.162478
0.123717	0.073073	0.034035	19.660500	1.000000	2.977175	15.844500	-0.004477	470939.862000	4398705.014598	0.050251	0.003347	0.050140	-0.510638	1542943732.170476
0.146146	0.119868	0.034566	19.660500	1.000000	2.977314	15.892500	-0.004499	470939.861993	4398705.014952	0.051128	0.003902	0.050979	-0.510638	1542943732.178477
0.137204	0.173425	0.071644	19.660500	1.000000	2.977147	15.892500	-0.004557	470939.861991	4398705.015681	0.053471	0.004920	0.053244	-0.510638	1542943732.194473
0.127234	0.186305	0.039432	19.660500	1.000000	2.976805	15.832500	-0.004593	470939.861996	4398705.016061	0.054865	0.005297	0.054608	-0.510638	1542943732.202478
0.094106	0.142463	0.071822	19.660500	1.000000	2.976526	15.832500	-0.004632	470939.862003	4398705.016451	0.055872	0.005425	0.055608	-0.531915	1542943732.210477
0.037239	0.080852	-0.048593	19.660500	1.000000	2.976487	15.760500	-0.004670	470939.862009	4398705.016846	0.056325	0.005133	0.056091	-0.531915	1542943732.218477
0.005338	-0.078295	-0.051819	19.660500	1.000000	2.976394	15.760500	-0.004736	470939.862010	4398705.017635	0.055277	0.004070	0.055127	-0.531915	1542943732.234479
0.016300	-0.070187	-0.063847	19.660500	1.000000	2.976508	15.748500	-0.004763	470939.862005	4398705.018022	0.054518	0.003674	0.054394	-0.553191	1542943732.242476
0.012337	-0.040841	-0.006781	19.660500	1.000000	2.976712	15.748500	-0.004785	470939.861997	4398705.018404	0.053990	0.003229	0.053893	-0.553191	1542943732.250479
0.041453	-0.055932	-0.060230	19.660500	1.000000	2.976845	15.820500	-0.004805	470939.861986	4398705.018781	0.053369	0.003027	0.053283	-0.595745	1542943732.258477
0.158551	0.118818	0.100763	19.660500	1.000000	2.976942	15.820500	-0.004850	470939.861968	4398705.019535	0.054399	0.003987	0.054253	-0.595745	1542943732.274479
0.185618	0.123084	0.047715	19.660500	1.000000	2.976869	15.868500	-0.004881	470939.861967	4398705.019921	0.055347	0.004855	0.055134	-0.638298	1542943732.282475
0.188268	0.165603	0.169273	19.660500	1.000000	2.976799	15.868500	-0.004919	470939.861974	4398705.020316	0.056647	0.005719	0.056358	-0.638298	1542943732.290478
0.090171	0.132927	0.043330	19.660500	1.000000	2.976424	15.832500	-0.005012	470939.861999	4398705.021133	0.058861	0.006297	0.058524	-0.702128	1542943732.306478
0.047515	0.079779	0.049994	19.660500	1.000000	2.976195	15.832500	-0.005058	470939.862008	4398705.021598	0.059315	0.006080	0.059003	-0.702128	1542943732.314478
-0.010920	0.019268	-0.041369	19.660500	1.000000	2.976074	15.868500	-0.005102	470939.862013	4398705.022064	0.059223	0.005428	0.058974	-0.787234	1542943732.322476
-0.022037	-0.048012	-0.054139	19.660500	1.000000	2.975944	15.868500	-0.005139	470939.862013	4398705.022527	0.058592	0.004715	0.058402	-0.787234	1542943732.330478
0.011127	-0.100713	-0.042095	19.660500	1.000000	2.975860	15.856500	-0.005172	470939.862008	4398705.022985	0.057583	0.004289	0.057423	-0.893617	1542943732.338476
0.024717	-0.053924	-0.019780	19.660500	1.000000	2.976110	15.856500	-0.005226	470939.861988	4398705.023879	0.056023	0.003514	0.055912	-0.893617	1542943732.354479
0.073777	0.003282	0.011365	19.660500	1.000000	2.976328	15.868500	-0.005249	470939.861975	4398705.024320	0.055901	0.003540	0.055789	-0.978723	1542943732.362478
0.113657	0.081777	0.048816	19.660500	1.000000	2.976465	15.868500	-0.005274	470939.861964	4398705.024763	0.056441	0.003850	0.056310	-0.978723	1542943732.370479
0.139994	0.163292	0.057468	19.660500	1.000000	2.976380	15.868500	-0.005303	470939.861956	4398705.025212	0.057657	0.004336	0.057493	-1.063830	1542943732.378478
0.127851	0.177779	0.075945	19.660500	1.000000	2.976211	15.868500	-0.005375	470939.861952	4398705.026142	0.060339	0.005286	0.060107	-1.063830	1542943732.394477
0.090570	0.173817	0.021918	19.660500	1.000000	2.976062	15.760500	-0.005416	470939.861954	4398705.026622	0.061590	0.005376	0.061355	-1.127660	1542943732.402478
0.063349	0.103341	-0.054011	19.660500	1.000000	2.975818	15.760500	-0.005458	470939.861955	4398705.027110	0.062253	0.005284	0.062029	-1.127660	1542943732.410476
0.028504	0.027082	-0.030140	19.660500	1.000000	2.979632	15.772500	-0.004468	470939.861855	4398705.016263	0.053902	0.006173	0.053548	-1.191489	1542943732.418478
-0.002594	-0.095890	-0.108145	19.660500	1.000000	2.979364	15.772500	-0.004711	470939.862048	4398705.016875	0.052494	0.005078	0.052248	-1.191489	1542943732.434480
0.031077	-0.108956	-0.020650	19.660500	1.000000	2.979354	15.820500	-0.004826	470939.862139	4398705.017171	0.051437	0.004812	0.051211	-1.234043	1542943732.442477
0.062449	-0.048684	0.007155	19.660500	1.000000	2.979532	15.820500	-0.004939	470939.862229	4398705.017460	0.050891	0.004770	0.050667	-1.234043	1542943732.450479
0.126298	0.075592	0.114142	19.660500	1.000000	2.979693	15.856500	-0.005168	470939.862410	4398705.018035	0.051268	0.005236	0.051000	-1.276596	1542943732.466479
0.179371	0.147951	0.143040	19.660500	1.000000	2.979721	15.856500	-0.005288	470939.862507	4398705.018329	0.052425	0.006037	0.052076	-1.276596	1542943732.474474
0.186196	0.186181	0.092818	19.660500	1.000000	2.979525	15.868500	-0.005416	470939.862610	4398705.018633	0.053903	0.006880	0.053462	-1.297872	1542943732.482475
0.110044	0.144300	0.066458	19.660500	1.000000	2.979094	15.868500	-0.005689	470939.862832	4398705.019270	0.056240	0.007765	0.055702	-1.297872	1542943732.498477
0.030926	0.055632	-0.038702	19.660500	1.000000	2.978352	15.808500	-0.005968	470939.863057	4398705.019937	0.057330	0.007297	0.056864	-1.319149	1542943732.514478
0.009606	-0.028762	-0.033899	19.660500	1.000000	2.978211	15.892500	-0.004844	470939.862778	4398705.009612	0.049951	0.005154	0.049684	-1.361702	1542943732.522476
-0.002938	-0.086880	-0.082437	19.660500	1.000000	2.978371	15.892500	-0.004913	470939.862824	4398705.009893	0.049027	0.004613	0.048809	-1.425532	1542943732.530479
0.029577	-0.112979	-0.060171	19.660500	1.000000	2.978505	15.808500	-0.004978	470939.862867	4398705.010165	0.047936	0.004340	0.047739	-1.425532	1542943732.538477
0.074161	0.018274	0.039565	19.660500	1.000000	2.979086	15.808500	-0.005105	470939.862952	4398705.010693	0.047178	0.004410	0.046971	-1.425532	1542943732.554478
0.082037	0.075503	0.013906	19.660500	1.000000	2.979194	15.796500	-0.005169	470939.862994	4398705.010957	0.047639	0.004472	0.047429	-1.468085	1542943732.562479
0.128561	0.100080	0.051124	19.660500	1.000000	2.979129	15.796500	-0.005236	470939.863039	4398705.011225	0.048351	0.004893	0.048102	-1.468085	1542943732.570478
0.162798	0.175767	0.142851	19.660500	1.000000	2.978879	15.736500	-0.005307	470939.863088	4398705.011502	0.049706	0.005550	0.049395	-1.510638	1542943732.578476
0.133086	0.157930	0.032039	19.660500	1.000000	2.978500	15.736500	-0.005468	470939.863201	4398705.012088	0.052507	0.006684	0.052079	-1.510638	1542943732.594478
