a_x	a_y	a_z	brake	drive-status	front	gun	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.048951	-0.079649	0.005695	14.620500	0.000000	88.801576	16.468500	470837.281172	4399134.755809	0.000973	0.000972	0.000040	0.978723	1543481451.074719
0.052212	-0.069493	0.076917	14.587500	0.000000	88.801560	16.500000	470837.281221	4399134.755797	0.001251	0.001250	0.000035	0.978723	1543481451.090721
0.059172	-0.063265	-0.061991	14.587500	0.000000	88.801480	16.500000	470837.281247	4399134.755791	0.001288	0.001287	0.000052	0.978723	1543481451.098724
0.050808	-0.041485	-0.025063	14.587500	0.000000	88.801839	16.500000	470837.281285	4399134.755734	0.000363	0.000233	-0.000279	0.978723	1543481451.122721
0.051109	-0.028073	0.074877	14.574000	1.000000	88.801850	16.533001	470837.281266	4399134.755716	0.000316	-0.000028	-0.000314	0.978723	1543481451.130723
0.064261	-0.046592	-0.020936	14.574000	1.000000	88.801896	16.533001	470837.281246	4399134.755699	0.000282	-0.000127	-0.000252	0.978723	1543481451.138722
0.059409	-0.069211	0.002119	19.660500	1.000000	88.802042	16.533001	470837.281225	4399134.755682	0.000237	-0.000050	-0.000231	0.978723	1543481451.146726
0.058047	-0.057347	0.072915	19.660500	1.000000	88.802267	16.533001	470837.281205	4399134.755665	0.000229	-0.000075	-0.000216	0.978723	1543481451.154726
0.048587	-0.084414	-0.010087	19.660500	1.000000	88.802371	16.533001	470837.281185	4399134.755648	0.000311	0.000124	-0.000285	0.978723	1543481451.162721
0.061188	-0.074122	0.002802	19.660500	1.000000	88.802341	16.485001	470837.281167	4399134.755630	0.000348	0.000241	-0.000251	0.978723	1543481451.170726
0.082850	-0.038836	0.020355	19.660500	1.000000	88.802366	16.629000	470837.281148	4399134.755614	0.000086	0.000078	-0.000037	0.978723	1543481451.178723
0.048122	-0.081547	0.020751	19.660500	1.000000	88.801915	16.629000	470837.281093	4399134.755568	0.000438	0.000419	-0.000129	0.978723	1543481451.202721
0.032086	-0.052908	0.022750	19.660500	1.000000	88.801833	16.629000	470837.281077	4399134.755551	0.000483	0.000359	-0.000323	0.978723	1543481451.210721
0.057916	-0.064916	0.011777	19.660500	1.000000	88.802062	16.773001	470837.281040	4399134.755515	0.000413	0.000159	-0.000381	0.978723	1543481451.226726
0.050920	-0.078293	0.010891	19.660500	1.000000	88.801946	16.773001	470837.281005	4399134.755478	0.000653	0.000459	-0.000465	0.978723	1543481451.242721
0.055414	-0.063658	0.005694	19.660500	1.000000	88.801915	16.852501	470837.280989	4399134.755459	0.000683	0.000491	-0.000475	0.978723	1543481451.250726
0.047873	-0.069571	0.007889	19.660500	1.000000	88.801822	16.820999	470837.280958	4399134.755420	0.000815	0.000591	-0.000561	0.978723	1543481451.266721
0.048293	-0.032180	0.029574	19.660500	1.000000	88.801701	16.820999	470837.280924	4399134.755380	0.000706	0.000178	-0.000684	0.978723	1543481451.282723
0.046046	-0.041410	0.010740	19.660500	1.000000	88.801699	16.756500	470837.280905	4399134.755359	0.000765	0.000030	-0.000765	1.000000	1543481451.290723
0.039278	-0.056658	0.005969	19.660500	1.000000	88.801631	16.660500	470837.280885	4399134.755338	0.000903	0.000003	-0.000903	1.021277	1543481451.298723
0.053928	-0.085633	0.012000	19.660500	1.000000	88.801321	16.660500	470837.280828	4399134.755268	0.001106	0.000326	-0.001057	1.021277	1543481451.322726
0.065862	-0.111777	-0.013026	19.660500	1.000000	88.801146	16.660500	470837.280813	4399134.755245	0.001242	0.000746	-0.000993	1.021277	1543481451.330726
0.065030	-0.073429	0.034719	19.660500	1.000000	88.800832	16.643999	470837.280789	4399134.755200	0.001406	0.001147	-0.000813	1.148936	1543481451.346724
0.062780	-0.058016	0.012397	19.660500	1.000000	88.800986	16.643999	470837.280778	4399134.755179	0.001368	0.001135	-0.000763	1.148936	1543481451.354723
0.052440	-0.010160	0.007172	19.660500	1.000000	88.800980	16.643999	470837.280766	4399134.755157	0.001080	0.000738	-0.000788	1.212766	1543481451.362726
0.049468	-0.000350	0.036140	19.660500	1.000000	88.800866	16.643999	470837.280750	4399134.755136	0.000874	0.000260	-0.000834	1.212766	1543481451.370724
0.044536	-0.050285	0.039523	19.660500	1.000000	88.800945	16.564501	470837.280732	4399134.755114	0.000945	0.000179	-0.000928	1.297872	1543481451.378724
0.053365	-0.083979	0.008863	19.660500	1.000000	88.800962	16.564501	470837.280674	4399134.755046	0.000984	0.000165	-0.000970	1.297872	1543481451.402723
0.061182	-0.096598	0.015610	19.660500	1.000000	88.800691	16.677000	470837.280641	4399134.755029	0.001046	0.000461	-0.000939	1.404255	1543481451.410724
0.056023	-0.082052	-0.017871	19.660500	1.000000	88.800476	16.629000	470837.280581	4399134.754998	0.001203	0.000823	-0.000878	1.489362	1543481451.426724
0.069882	-0.060251	0.026467	19.660500	1.000000	88.800576	16.629000	470837.280525	4399134.754968	0.001224	0.000988	-0.000723	1.489362	1543481451.442724
0.060686	-0.026857	0.002311	19.660500	1.000000	88.800486	16.677000	470837.280496	4399134.754953	0.000999	0.000727	-0.000685	1.595745	1543481451.450726
0.044053	-0.033142	0.020603	19.660500	1.000000	88.800263	16.564501	470837.280432	4399134.754924	0.000834	0.000135	-0.000823	1.680851	1543481451.466723
0.045333	-0.043606	0.034642	19.660500	1.000000	88.800255	16.564501	470837.280397	4399134.754909	0.000909	0.000001	-0.000909	1.680851	1543481451.474724
0.050843	-0.039163	0.043062	19.660500	1.000000	88.800096	16.612499	470837.280361	4399134.754893	0.000965	-0.000167	-0.000950	1.765957	1543481451.482722
0.058549	-0.092320	0.009265	19.660500	1.000000	88.800196	16.612499	470837.280288	4399134.754860	0.000973	0.000013	-0.000973	1.765957	1543481451.498723
0.057578	-0.100544	-0.011755	19.660500	1.000000	88.800224	16.564501	470837.280254	4399134.754844	0.001031	0.000343	-0.000972	1.808511	1543481451.506724
0.065093	-0.070488	-0.018392	19.660500	1.000000	88.800193	16.564501	470837.280342	4399134.754815	0.001509	0.001255	-0.000838	1.808511	1543481451.522724
0.053735	-0.051742	0.019302	19.660500	1.000000	88.800162	16.643999	470837.280370	4399134.754809	0.001468	0.001190	-0.000859	1.893617	1543481451.530725
0.056720	-0.046928	0.044771	19.660500	1.000000	88.799873	16.643999	470837.280396	4399134.754803	0.001381	0.001084	-0.000855	1.893617	1543481451.538724
0.061519	-0.033171	0.026486	19.660500	1.000000	88.799555	16.612499	470837.280446	4399134.754791	0.001076	0.000736	-0.000785	1.957447	1543481451.554726
0.055697	-0.052327	0.043321	19.660500	1.000000	88.799533	16.643999	470837.280491	4399134.754781	0.000947	0.000596	-0.000736	2.000000	1543481451.570726
0.054855	-0.064161	0.019078	19.660500	1.000000	88.799353	16.564501	470837.280514	4399134.754776	0.000980	0.000630	-0.000750	2.063830	1543481451.578724
0.070089	-0.065175	0.024308	19.660500	1.000000	88.798861	16.564501	470837.280585	4399134.754762	0.001028	0.000835	-0.000600	2.063830	1543481451.602724
0.058423	-0.054711	0.046766	19.660500	1.000000	88.796646	16.612499	470837.280560	4399134.754755	0.000572	-0.000353	-0.000450	2.106383	1543481451.618726
0.057934	-0.054603	0.019748	19.660500	1.000000	88.796572	16.564501	470837.280506	4399134.754755	0.000468	-0.000255	-0.000392	2.170213	1543481451.634726
0.052721	-0.054817	0.024812	19.660500	1.000000	88.796589	16.564501	470837.280479	4399134.754754	0.000515	-0.000296	-0.000422	2.170213	1543481451.642722
0.057297	-0.070413	-0.049444	19.660500	1.000000	88.796481	16.612499	470837.280452	4399134.754754	0.000467	-0.000204	-0.000420	2.212766	1543481451.650726
0.051605	-0.072331	0.058469	19.660500	1.000000	88.796328	16.612499	470837.280426	4399134.754753	0.000473	-0.000109	-0.000460	2.212766	1543481451.658724
0.076633	-0.059506	0.026538	19.660500	1.000000	88.796396	16.708500	470837.280376	4399134.754754	0.000192	0.000085	-0.000172	2.276596	1543481451.674726
0.068450	-0.045877	0.038953	19.660500	1.000000	88.796266	16.708500	470837.280352	4399134.754756	0.000078	-0.000026	-0.000074	2.276596	1543481451.682724
0.069426	-0.052560	-0.042025	19.660500	1.000000	88.796175	16.677000	470837.280326	4399134.754759	0.000080	-0.000075	0.000028	2.297872	1543481451.690726
0.057737	-0.043812	0.075442	19.660500	1.000000	88.796135	16.677000	470837.280300	4399134.754762	0.000213	-0.000209	0.000043	2.297872	1543481451.698726
0.043374	-0.035323	0.011352	19.660500	1.000000	88.795936	16.677000	470837.280244	4399134.754768	0.000616	-0.000609	-0.000093	2.319149	1543481451.714723
0.037778	-0.039766	0.033724	19.660500	1.000000	88.795935	16.677000	470837.280213	4399134.754769	0.000810	-0.000774	-0.000239	2.319149	1543481451.722723
0.040934	-0.058485	-0.018393	19.660500	1.000000	88.795957	16.677000	470837.280182	4399134.754770	0.000865	-0.000784	-0.000366	2.340425	1543481451.730723
