a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.060914	-0.057388	-0.007610	14.461500	0.000000	-169.858805	16.612499	0.401952	470779.493620	4399427.897910	0.012237	0.012132	-0.001596	-1.446808	1543479837.561956
0.055038	-0.043135	0.075908	14.472000	0.000000	-169.858976	16.564501	0.401922	470779.493595	4399427.897883	0.012293	0.012172	-0.001721	-1.446808	1543479837.569957
0.050929	-0.052853	-0.031848	14.472000	0.000000	-169.859147	16.564501	0.401892	470779.493571	4399427.897855	0.012365	0.012239	-0.001761	-1.446808	1543479837.577957
0.040086	-0.054370	0.017300	14.442000	0.000000	-169.859268	16.548000	0.401835	470779.493525	4399427.897800	0.012616	0.012502	-0.001692	-1.446808	1543479837.593956
0.044142	-0.067381	-0.004459	14.442000	0.000000	-169.859210	16.548000	0.401808	470779.493504	4399427.897772	0.012702	0.012600	-0.001609	-1.446808	1543479837.601954
0.054363	-0.072145	0.034055	14.472000	1.000000	-169.859225	16.533001	0.401781	470779.493482	4399427.897746	0.012697	0.012607	-0.001503	-1.446808	1543479837.609954
0.072091	-0.070069	0.001864	14.472000	1.000000	-169.859293	16.533001	0.401755	470779.493461	4399427.897720	0.012563	0.012481	-0.001438	-1.446808	1543479837.617953
0.052660	-0.067802	-0.001614	19.660500	1.000000	-169.859422	16.612499	0.401701	470779.493417	4399427.897670	0.012571	0.012509	-0.001243	-1.446808	1543479837.633952
0.062041	-0.052902	0.040753	19.660500	1.000000	-169.859501	16.612499	0.401674	470779.493395	4399427.897646	0.012550	0.012483	-0.001299	-1.446808	1543479837.641954
0.048020	-0.025454	0.057160	19.660500	1.000000	-169.859581	16.597500	0.401647	470779.493374	4399427.897621	0.012699	0.012604	-0.001552	-1.446808	1543479837.649954
0.055338	-0.017511	0.004912	19.660500	1.000000	-169.859616	16.597500	0.401621	470779.493353	4399427.897593	0.012821	0.012683	-0.001878	-1.446808	1543479837.657956
0.047036	-0.046390	0.020804	19.660500	1.000000	-169.859541	16.629000	0.401569	470779.493314	4399427.897532	0.013067	0.012886	-0.002169	-1.446808	1543479837.673957
0.054541	-0.068306	0.000760	19.660500	1.000000	-169.859427	16.629000	0.401543	470779.493295	4399427.897501	0.013069	0.012900	-0.002094	-1.446808	1543479837.681954
0.048280	-0.089050	0.045643	19.660500	1.000000	-169.859337	16.596001	0.401518	470779.493276	4399427.897471	0.013062	0.012931	-0.001846	-1.446808	1543479837.689954
0.051766	-0.104090	-0.035459	19.660500	1.000000	-169.859443	16.596001	0.401494	470779.493258	4399427.897443	0.013004	0.012919	-0.001484	-1.446808	1543479837.697952
0.049190	-0.074537	-0.006239	19.660500	1.000000	-169.859652	16.725000	0.401447	470779.493221	4399427.897395	0.013015	0.012968	-0.001109	-1.446808	1543479837.713952
0.050400	-0.080308	0.011258	19.660500	1.000000	-169.859672	16.725000	0.401425	470779.493203	4399427.897372	0.013030	0.012997	-0.000933	-1.446808	1543479837.721952
0.043436	-0.038288	0.052436	19.660500	1.000000	-169.859690	16.725000	0.401403	470779.493186	4399427.897350	0.013181	0.013137	-0.001078	-1.446808	1543479837.729954
0.035737	-0.017918	-0.018014	19.660500	1.000000	-169.859673	16.725000	0.401393	470779.493181	4399427.897326	0.013441	0.013371	-0.001372	-1.446808	1543479837.737954
0.037503	-0.031345	0.089267	19.660500	1.000000	-169.859427	16.788000	0.401377	470779.493177	4399427.897272	0.013884	0.013775	-0.001737	-1.446808	1543479837.753956
0.044693	-0.032293	-0.001046	19.660500	1.000000	-169.859394	16.788000	0.401370	470779.493177	4399427.897243	0.014051	0.013917	-0.001931	-1.446808	1543479837.761954
0.049494	-0.025313	-0.002491	19.660500	1.000000	-169.859444	16.852501	0.401364	470779.493179	4399427.897212	0.014202	0.014032	-0.002187	-1.446808	1543479837.769957
