a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.055195	-0.034813	0.033919	14.632500	0.000000	-170.462039	16.516500	1.368002	470775.902385	4399428.660918	0.012536	0.003809	-0.011944	1.191489	1543480302.434174
0.045118	-0.034578	0.036962	14.664000	0.000000	-170.462228	16.564501	1.367900	470775.902330	4399428.660751	0.012745	0.003936	-0.012122	1.191489	1543480302.442178
0.054484	-0.044580	0.014018	14.664000	0.000000	-170.462371	16.564501	1.367798	470775.902275	4399428.660583	0.012863	0.003977	-0.012233	1.191489	1543480302.450175
0.057113	-0.109840	-0.001199	14.677500	0.000000	-170.462317	16.580999	1.367596	470775.902167	4399428.660250	0.012282	0.003926	-0.011637	1.191489	1543480302.466175
0.058165	-0.087170	0.004174	14.677500	0.000000	-170.462313	16.580999	1.367495	470775.902112	4399428.660087	0.012059	0.003882	-0.011417	1.191489	1543480302.474173
0.059334	-0.061530	-0.005050	19.660500	1.000000	-170.462306	16.580999	1.367394	470775.902057	4399428.659925	0.012036	0.003864	-0.011399	1.191489	1543480302.482173
0.055523	-0.053055	0.072422	19.660500	1.000000	-170.462573	16.580999	1.367192	470775.901945	4399428.659602	0.012001	0.003775	-0.011392	1.191489	1543480302.498173
0.055106	-0.029668	-0.016090	19.660500	1.000000	-170.462604	16.533001	1.367090	470775.901889	4399428.659439	0.012235	0.003832	-0.011620	1.191489	1543480302.506175
0.048894	-0.012687	0.032719	19.660500	1.000000	-170.462586	16.533001	1.366989	470775.901834	4399428.659274	0.012614	0.003959	-0.011976	1.191489	1543480302.514178
0.050873	-0.036999	-0.026981	19.660500	1.000000	-170.462475	16.580999	1.366688	470775.901503	4399428.659326	0.010168	0.003920	-0.009382	1.191489	1543480302.530176
0.054957	-0.034039	0.039446	19.660500	1.000000	-170.462598	16.660500	1.366609	470775.901446	4399428.659245	0.010368	0.003970	-0.009578	1.191489	1543480302.538176
0.071895	-0.093677	-0.005045	19.660500	1.000000	-170.462832	16.708500	1.366450	470775.901329	4399428.659083	0.009949	0.003717	-0.009229	1.191489	1543480302.554175
0.067452	-0.061646	0.030948	19.660500	1.000000	-170.462878	16.708500	1.366369	470775.901269	4399428.659004	0.009911	0.003631	-0.009222	1.191489	1543480302.562173
0.076332	-0.064057	-0.044246	19.660500	1.000000	-170.462912	16.708500	1.366288	470775.901209	4399428.658924	0.009841	0.003477	-0.009206	1.191489	1543480302.570170
0.068017	-0.058812	0.020493	19.660500	1.000000	-170.462911	16.804501	1.366206	470775.901147	4399428.658845	0.009827	0.003392	-0.009223	1.191489	1543480302.578175
0.051593	-0.043558	0.013655	19.660500	1.000000	-170.462993	16.804501	1.366040	470775.901024	4399428.658684	0.010135	0.003476	-0.009521	1.191489	1543480302.594175
0.053951	-0.049490	0.008668	19.660500	1.000000	-170.463183	16.773001	1.365875	470775.900902	4399428.658520	0.010323	0.003593	-0.009678	1.191489	1543480302.610175
0.064590	-0.051850	0.035316	19.660500	1.000000	-170.463231	16.773001	1.365793	470775.900842	4399428.658436	0.010370	0.003543	-0.009746	1.191489	1543480302.618175
0.075043	-0.063730	0.036348	19.660500	1.000000	-170.463190	16.789499	1.365709	470775.900780	4399428.658353	0.010309	0.003395	-0.009733	1.170213	1543480302.626173
0.068745	-0.061199	0.016493	19.660500	1.000000	-170.463238	16.804501	1.365625	470775.900718	4399428.658270	0.010277	0.003301	-0.009732	1.127660	1543480302.634173
0.063865	-0.050452	0.008990	19.660500	1.000000	-170.463349	16.804501	1.365455	470775.900592	4399428.658102	0.010434	0.003243	-0.009917	1.127660	1543480302.650173
0.053585	-0.034629	0.019974	19.660500	1.000000	-170.463636	16.789499	1.365284	470775.900466	4399428.657929	0.010807	0.003310	-0.010288	1.085106	1543480302.666178
0.049836	-0.053431	-0.015336	19.660500	1.000000	-170.463880	16.789499	1.365198	470775.900404	4399428.657841	0.010861	0.003378	-0.010322	1.085106	1543480302.674176
0.059498	-0.058975	0.048615	19.660500	1.000000	-170.464028	16.804501	1.365113	470775.900341	4399428.657753	0.010860	0.003358	-0.010327	1.000000	1543480302.682175
