a_x	a_y	a_z	brake	drive-status	front	gun	keepline	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.136150	-0.118187	0.038030	14.668500	1.000000	-175.216080	27.760500	-0.001074	470797.851592	4399204.171378	9.823413	0.808654	-9.790072	0.148936	1543472920.632431
0.068450	-0.113247	0.078960	14.668500	1.000000	-175.217138	27.760500	-0.008864	470797.857725	4399204.093326	9.823000	0.808544	-9.789668	0.148936	1543472920.640428
0.012068	-0.143268	0.170008	14.718000	1.000000	-175.218246	27.760500	-0.015849	470797.863862	4399204.015250	9.822352	0.808858	-9.788991	0.170213	1543472920.648428
0.009127	-0.079659	0.203158	14.718000	1.000000	-175.220379	27.760500	-0.025213	470797.876140	4399203.859107	9.821799	0.809395	-9.788392	0.170213	1543472920.664428
0.027087	-0.083012	0.282319	14.719500	1.000000	-175.221711	27.865499	-0.028557	470797.882281	4399203.781058	9.821639	0.809624	-9.788213	0.191489	1543472920.672426
0.060815	-0.066221	0.295858	14.719500	1.000000	-175.222811	27.865499	-0.031902	470797.888425	4399203.702991	9.821614	0.809595	-9.788190	0.191489	1543472920.680426
0.063619	-0.072774	0.179070	14.697000	1.000000	-175.223804	27.865499	-0.035246	470797.894568	4399203.624931	9.821529	0.809545	-9.788109	0.212766	1543472920.688425
0.122883	-0.112224	0.109263	14.697000	1.000000	-175.225636	27.865499	-0.042161	470797.906849	4399203.468771	9.820985	0.808582	-9.787642	0.212766	1543472920.704428
0.098678	-0.140564	-0.040415	14.697000	1.000000	-175.226421	27.903000	-0.045801	470797.912983	4399203.390708	9.820346	0.808220	-9.787031	0.212766	1543472920.712428
0.101619	-0.100836	0.096191	14.697000	1.000000	-175.227173	27.903000	-0.046350	470797.919115	4399203.312633	9.820034	0.807852	-9.786748	0.212766	1543472920.720430
0.115954	-0.131649	-0.033635	14.671500	1.000000	-175.228037	27.982500	-0.046785	470797.925240	4399203.234617	9.819467	0.807358	-9.786220	0.234043	1543472920.728426
0.077175	-0.116554	0.029751	14.671500	1.000000	-175.228739	27.982500	-0.047223	470797.931368	4399203.156528	9.819025	0.807179	-9.785791	0.234043	1543472920.736430
0.027190	-0.010933	0.055917	14.668500	1.000000	-175.229269	28.018499	-0.048094	470797.943621	4399203.000426	9.819660	0.807754	-9.786381	0.255319	1543472920.752430
0.028648	-0.030575	0.144729	14.593500	1.000000	-175.229300	28.081499	-0.048957	470797.955883	4399202.844314	9.820226	0.808297	-9.786905	0.297872	1543472920.768430
0.028674	-0.119779	-0.083730	14.599500	1.000000	-175.229334	28.111500	-0.049813	470797.968152	4399202.688211	9.819659	0.808754	-9.786298	0.297872	1543472920.784429
0.112025	-0.102430	-0.054535	14.599500	1.000000	-175.229378	28.111500	-0.050240	470797.974290	4399202.610131	9.819325	0.808312	-9.785999	0.319149	1543472920.792432
0.208535	-0.126556	-0.093183	14.599500	1.000000	-175.229593	28.111500	-0.050674	470797.980419	4399202.532074	9.818798	0.807086	-9.785571	0.319149	1543472920.800433
0.178200	-0.086446	-0.029504	14.641500	1.000000	-175.229723	28.381500	-0.051116	470797.986538	4399202.454035	9.818595	0.806127	-9.785447	0.319149	1543472920.808432
0.151912	-0.002776	-0.113445	14.641500	1.000000	-175.229502	28.381500	-0.052019	470797.998760	4399202.297926	9.819425	0.804807	-9.786388	0.361702	1543472920.824433
0.151052	-0.028418	-0.018598	14.643000	1.000000	-175.228987	28.617001	-0.052479	470798.004862	4399202.219873	9.819687	0.804103	-9.786709	0.404255	1543472920.832433
0.177581	-0.117884	-0.266880	14.643000	1.000000	-175.228176	28.617001	-0.052946	470798.010958	4399202.141819	9.819221	0.803141	-9.786320	0.404255	1543472920.840433
0.189918	-0.139032	-0.053078	14.649000	1.000000	-175.227162	28.897499	-0.053420	470798.017044	4399202.063786	9.818598	0.802054	-9.785785	0.446809	1543472920.848431
0.018213	-0.104972	-0.142948	14.649000	1.000000	-175.224391	28.897499	-0.054381	470798.029206	4399201.907707	9.817744	0.801931	-9.784937	0.446809	1543472920.864430
-0.059912	-0.075388	0.167307	14.625000	1.000000	-175.223110	29.106001	-0.054860	470798.035291	4399201.829677	9.817638	0.802864	-9.784755	0.468085	1543472920.872429
-0.025839	-0.039387	0.035854	14.625000	1.000000	-175.221997	29.106001	-0.055345	470798.041385	4399201.751625	9.817813	0.803558	-9.784873	0.468085	1543472920.880430
0.045927	-0.036019	-0.029447	14.643000	1.000000	-175.220991	29.367001	-0.055826	470798.047480	4399201.673594	9.818012	0.803685	-9.785063	0.510638	1543472920.888429
0.033776	-0.028060	-0.054674	14.643000	1.000000	-175.218000	29.367001	-0.056789	470798.059676	4399201.517498	9.818263	0.804134	-9.785278	0.510638	1543472920.904430
0.009931	-0.066444	-0.072963	14.692500	1.000000	-175.216302	29.598000	-0.057267	470798.065778	4399201.439452	9.818217	0.804531	-9.785199	0.531915	1543472920.912430
-0.010285	-0.129190	-0.001355	14.692500	1.000000	-175.214509	29.598000	-0.057809	470798.071834	4399201.361214	9.817672	0.805044	-9.784609	0.531915	1543472920.920429
-0.021983	-0.148947	-0.062809	14.617500	1.000000	-175.212539	29.858999	-0.058345	470798.077895	4399201.282981	9.816964	0.805642	-9.783850	0.574468	1543472920.928428
0.044826	-0.118124	0.139527	14.617500	1.000000	-175.208359	29.858999	-0.059409	470798.090029	4399201.126511	9.815718	0.806255	-9.782550	0.574468	1543472920.944428
0.062308	-0.052372	0.132442	14.595000	1.000000	-175.206011	30.341999	-0.059939	470798.096099	4399201.048261	9.815796	0.806232	-9.782629	0.574468	1543472920.952430
0.013410	0.001266	0.227195	14.595000	1.000000	-175.203532	30.341999	-0.060469	470798.102171	4399200.970008	9.816307	0.806628	-9.783109	0.574468	1543472920.960432
0.031743	-0.038549	0.210169	14.673000	1.000000	-175.201223	30.562500	-0.060997	470798.108242	4399200.891793	9.816498	0.806853	-9.783282	0.617021	1543472920.968430
0.015255	-0.047910	0.195237	14.673000	1.000000	-175.196402	30.562500	-0.062050	470798.120392	4399200.735334	9.816472	0.807395	-9.783212	0.617021	1543472920.984429
0.054018	-0.093768	0.087168	14.667000	1.000000	-175.193933	30.880501	-0.062574	470798.126469	4399200.657107	9.816214	0.807413	-9.782952	0.659574	1543472920.992428
0.086365	-0.057674	-0.052413	14.667000	1.000000	-175.188400	30.880501	-0.063624	470798.138624	4399200.500648	9.815599	0.807158	-9.782356	0.659574	1543472921.008428
0.075916	-0.077447	0.076859	14.716500	1.000000	-175.182454	31.156500	-0.063890	470798.151702	4399200.342584	9.814787	0.812291	-9.781116	0.702128	1543472921.024429
0.066216	-0.036245	-0.013080	14.716500	1.000000	-175.179451	31.156500	-0.064159	470798.158033	4399200.264401	9.814986	0.812257	-9.781318	0.744681	1543472921.032430
0.056699	-0.053056	0.241625	14.716500	1.000000	-175.176187	31.156500	-0.064430	470798.164362	4399200.186234	9.815065	0.812270	-9.781396	0.744681	1543472921.040429
0.047787	-0.121098	0.298196	14.602500	1.000000	-175.172471	31.707001	-0.064699	470798.170693	4399200.108051	9.814600	0.812302	-9.780927	0.744681	1543472921.048430
0.035360	-0.029562	0.210694	14.602500	1.000000	-175.164943	31.707001	-0.065238	470798.183355	4399199.951711	9.814476	0.812511	-9.780785	0.744681	1543472921.064430
-0.041536	-0.032087	0.047235	14.622000	1.000000	-175.161150	31.936501	-0.065502	470798.189691	4399199.873528	9.814709	0.813334	-9.780951	0.765957	1543472921.072431
-0.085481	-0.017824	-0.109769	14.622000	1.000000	-175.157430	31.936501	-0.065759	470798.196032	4399199.795375	9.815050	0.814529	-9.781194	0.765957	1543472921.080429
-0.072711	0.010550	0.160243	14.692500	1.000000	-175.153678	32.120998	-0.066008	470798.202386	4399199.717181	9.815633	0.815622	-9.781688	0.765957	1543472921.088431
0.034745	-0.015822	0.085600	14.692500	1.000000	-175.145962	32.120998	-0.066487	470798.215108	4399199.560833	9.815993	0.816499	-9.781976	0.765957	1543472921.104430
