front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
-1.461173	470937.039829	4398735.175802	0.000000	0.000000	0.000000	1543309067.375449	3.218912	1.730417	2.013100
-1.464120	470937.098816	4398734.630145	0.000000	0.000000	0.000000	1543309067.470713	2.109297	1.727385	2.012016
-1.464403	470937.046795	4398735.173291	0.000000	0.000000	0.000000	1543309067.570290	3.212887	1.721891	2.012165
-1.469483	470937.161963	4398735.160409	0.000000	0.000000	0.000000	1543309067.673268	3.135626	1.939783	2.020415
-1.470790	470937.095866	4398734.680394	0.000000	0.000000	0.000000	1543309067.767624	2.193186	1.730346	2.013289
-1.470337	470937.129434	4398734.783141	0.000000	0.000000	0.000000	1543309067.867897	2.335544	1.767999	2.012931
-1.469232	470937.091324	4398735.234186	0.000000	0.000000	0.000000	1543309067.971367	3.166544	1.779502	2.012914
-1.466244	470937.087961	4398735.277939	0.000000	0.000000	0.000000	1543309068.065432	3.184082	1.778491	2.012830
-1.461538	470936.989807	4398735.307529	0.352813	-0.047375	0.349618	1543309068.166364	3.170732	1.823118	2.012068
-1.460481	470937.009464	4398735.393157	0.343869	-0.044617	0.340962	1543309068.270587	3.196480	1.876506	2.011729
-1.460586	470937.016168	4398735.467236	0.328196	-0.020477	0.327556	1543309068.366973	3.265338	1.768663	2.011204
-1.461061	470937.120483	4398735.608945	0.578338	-0.002875	0.578331	1543309068.468152	3.219040	1.999239	2.020847
-1.456134	470936.940772	4398735.690507	0.699718	-0.054237	0.697613	1543309068.570147	3.234179	1.785962	2.022426
-1.452855	470936.976869	4398735.900229	0.996328	-0.034221	0.995740	1543309068.667518	3.233656	1.786475	2.024054
-1.447933	470936.875830	4398736.283404	1.894964	-0.216855	1.882515	1543309068.866872	3.216654	1.740986	2.040579
1.653053	470936.911548	4398736.525344	2.456273	-0.202116	2.447943	1543309068.966105	3.216601	1.786780	2.054324
1.659967	470936.842964	4398736.805183	2.753277	-0.245091	2.742347	1543309069.065908	3.178057	1.865001	2.064357
1.653690	470936.873572	4398737.100780	2.790635	-0.231086	2.781050	1543309069.165941	3.228045	1.806290	1.871106
1.661312	470936.827817	4398737.439145	3.379302	-0.305249	3.365488	1543309069.275178	3.219943	1.790927	1.887712
1.640770	470936.772168	4398738.233223	3.753417	-0.263012	3.744191	1543309069.469067	3.093770	1.783031	1.901695
1.643134	470936.758892	4398738.630192	4.123227	-0.297923	4.112450	1543309069.567054	3.092548	1.800359	1.907698
1.665628	470936.687707	4398739.080984	4.436473	-0.419605	4.416585	1543309069.667383	3.127001	1.794908	1.908412
1.657627	470936.648385	4398739.535673	4.507217	-0.391029	4.490223	1543309069.770566	3.132787	1.781524	1.766736
1.640499	470936.681057	4398739.472528	4.899470	-0.341608	4.887547	1543309069.868890	2.044538	1.822673	1.795787
1.658371	470936.555648	4398740.484781	4.971988	-0.434394	4.952976	1543309069.971827	3.112415	1.792756	1.932640
1.670601	470936.514564	4398741.024551	5.304925	-0.528417	5.278542	1543309070.066550	3.151173	1.745206	1.945014
1.660707	470936.475605	4398741.556296	5.477385	-0.492304	5.455216	1543309070.171305	3.138429	1.837193	1.955417
1.654161	470936.442329	4398742.096479	5.560632	-0.463450	5.541285	1543309070.274263	3.113451	1.829687	1.969906
1.681189	470936.370059	4398742.634347	5.917552	-0.651436	5.881586	1543309070.370940	3.106083	1.854242	1.969527
1.679404	470936.299111	4398743.250991	6.075033	-0.658731	6.039213	1543309070.468065	3.179228	1.715346	1.982309
1.657891	470936.278010	4398743.832922	6.168890	-0.537421	6.145436	1543309070.569553	3.158085	1.813520	1.996262
1.663553	470936.211918	4398744.012820	6.255942	-0.579138	6.229078	1543309070.668735	2.297097	1.750462	1.994561
1.667294	470936.083901	4398745.048614	6.433709	-0.619535	6.403811	1543309070.768968	3.181163	1.925622	2.006054
1.667463	470936.059066	4398745.676151	6.533399	-0.630414	6.502913	1543309070.870500	3.201926	1.884213	1.994319
1.664820	470935.978508	4398746.237423	6.625387	-0.621995	6.596126	1543309070.966985	3.159317	1.734892	1.829169
1.673778	470935.834267	4398747.617716	6.891138	-0.707421	6.854731	1543309071.166984	3.185054	1.648674	1.880351
1.675353	470935.771932	4398748.337905	6.919000	-0.721965	6.881230	1543309071.266720	3.126145	2.094658	1.996675
1.676802	470935.660822	4398749.006936	7.170571	-0.758497	7.130341	1543309071.365379	3.124038	1.986802	1.999179
1.652952	470935.660376	4398749.712393	7.269020	-0.597146	7.244451	1543309071.468209	3.127710	1.831999	1.992852
1.666387	470935.659764	4398749.890582	7.366844	-0.702334	7.333288	1543309071.566803	2.019555	1.868758	1.985994
1.673291	470935.572909	4398750.468931	7.521088	-0.769353	7.481635	1543309071.666308	1.807462	1.744115	1.983297
1.657325	470935.483031	4398751.480322	7.693227	-0.665513	7.664388	1543309071.765608	2.371976	1.872250	1.983479
1.673237	470935.411648	4398752.185979	7.789869	-0.796380	7.749053	1543309071.866660	2.270663	1.746755	1.988902
1.670359	470935.331728	4398752.817734	7.900731	-0.785517	7.861584	1543309071.968168	2.051138	1.734202	1.991794
1.662984	470935.343442	4398753.388363	7.858893	-0.723864	7.825486	1543309072.066774	1.806041	1.758602	1.757887
1.658264	470935.223740	4398754.125805	7.975786	-0.697024	7.945271	1543309072.168077	1.796129	1.723065	1.766878
1.661910	470935.195146	4398754.910005	8.079151	-0.735107	8.045638	1543309072.266258	1.760723	1.923415	1.796560
1.666982	470935.104095	4398755.725410	8.037138	-0.771899	7.999985	1543309072.367161	1.819030	1.809730	1.811953
1.658189	470935.049963	4398756.539710	8.146737	-0.711527	8.115605	1543309072.466630	1.868088	1.897659	1.830005
1.659493	470934.954621	4398757.378122	8.273300	-0.733230	8.240745	1543309072.570244	1.903853	1.779904	1.833112
1.658630	470934.898121	4398758.113392	8.453184	-0.741867	8.420568	1543309072.669429	1.653872	1.866802	1.871073
1.642898	470934.866975	4398758.820713	8.449069	-0.609794	8.427035	1543309072.772538	1.470957	1.762498	1.888402
1.661534	470934.819186	4398759.624493	8.512882	-0.771083	8.477888	1543309072.869947	1.448441	1.762575	1.897709
1.664951	470934.633058	4398760.402821	8.497337	-0.799528	8.459639	1543309072.975358	1.422715	1.687718	1.972163
1.660651	470934.541081	4398761.180885	8.478422	-0.761891	8.444119	1543309073.066212	1.426503	1.807869	1.947953
1.652469	470934.560265	4398762.007379	8.484580	-0.692987	8.456232	1543309073.168552	1.416206	1.645131	1.922172
1.654786	470934.457364	4398762.837796	8.365181	-0.701436	8.335721	1543309073.268067	1.404479	1.663766	1.929056
1.637640	470934.383901	4398764.473078	8.583173	-0.572483	8.564060	1543309073.470031	1.419712	1.682915	1.954737
1.635889	470934.273488	4398765.307385	8.578309	-0.557330	8.560185	1543309073.570063	1.420954	1.832542	1.956200
1.647179	470934.220252	4398766.173177	8.628552	-0.657384	8.603474	1543309073.667751	1.501213	1.687963	2.013319
1.661631	470934.083764	4398767.364923	8.671077	-0.785714	8.635406	1543309073.769983	2.176584	1.751849	2.065044
1.631700	470934.106503	4398767.888824	8.615304	-0.525592	8.599257	1543309073.869767	1.560370	1.794049	2.077701
1.664521	470933.913614	4398769.053527	8.612248	-0.804367	8.574602	1543309073.971660	2.241879	1.768260	2.088128
1.658077	470933.861164	4398769.834717	8.599807	-0.749521	8.567082	1543309074.065435	2.122050	1.722618	1.794787
1.647935	470933.739806	4398771.485380	8.604270	-0.661772	8.578783	1543309074.267819	2.078742	1.664349	1.860371
1.620336	470933.760104	4398772.361561	8.581181	-0.425719	8.570614	1543309074.374609	2.162655	1.833084	1.866009
1.638381	470933.647084	4398772.986791	8.610410	-0.580831	8.590797	1543309074.468813	1.774219	1.814614	1.834170
1.664737	470933.559034	4398773.653714	8.490775	-0.795597	8.453419	1543309074.570004	1.460599	1.598445	2.062001
1.644039	470933.497146	4398774.509049	8.452327	-0.619528	8.429592	1543309074.668053	1.499949	1.681736	2.078026
1.643993	470933.451300	4398775.666811	8.471489	-0.619921	8.448776	1543309074.773663	2.106158	1.684639	1.867329
1.641977	470933.436773	4398775.984427	8.476001	-0.602896	8.454532	1543309074.868401	1.042625	1.770535	1.838836
1.655873	470933.318823	4398776.818296	8.529664	-0.724290	8.498857	1543309074.969554	1.078323	1.689590	1.840500
1.645544	470933.312094	4398777.624881	8.483010	-0.634118	8.459276	1543309075.066864	0.993759	1.666836	1.842841
1.651827	470933.118623	4398778.944628	8.393698	-0.679410	8.366156	1543309075.179012	2.022235	1.700240	1.856260
1.635245	470933.173279	4398779.716006	8.383281	-0.541043	8.365804	1543309075.266302	1.889576	1.794621	1.845948
1.637962	470933.092174	4398780.563891	8.384258	-0.562837	8.365345	1543309075.369752	1.927084	1.807915	1.847888
1.642934	470932.981823	4398781.545190	8.392273	-0.604849	8.370448	1543309075.467079	2.220548	1.691607	1.877186
1.643324	470932.993364	4398781.806026	8.387315	-0.607679	8.365273	1543309075.577590	1.060633	1.771439	1.842642
1.634389	470932.887293	4398783.212776	8.350738	-0.530894	8.333845	1543309075.676097	2.216613	1.771317	1.840106
1.647601	470932.826996	4398784.100107	8.339501	-0.639223	8.314967	1543309075.777880	2.313011	1.756051	1.840256
1.658424	470932.731357	4398784.813170	8.276901	-0.723766	8.245195	1543309075.867630	2.124777	1.683208	1.838506
1.643603	470932.785836	4398785.102870	8.277954	-0.602605	8.255991	1543309075.979774	1.039321	1.747684	1.834492
1.629974	470932.659104	4398785.999706	8.532961	-0.504972	8.518006	1543309076.069098	1.186306	1.749960	1.828557
1.646908	470932.559506	4398787.337505	8.228590	-0.625000	8.204820	1543309076.178070	2.239033	1.788465	1.825442
1.655104	470932.545727	4398788.157469	8.214516	-0.691455	8.185363	1543309076.268835	2.229972	1.760706	1.822435
1.664276	470932.363940	4398788.683180	8.183725	-0.763500	8.148032	1543309076.371658	1.696932	1.661812	1.835829
1.655742	470932.324713	4398789.392715	8.147256	-0.691406	8.117866	1543309076.469507	1.505363	1.778872	2.063350
1.662286	470932.281223	4398790.189779	8.146416	-0.743767	8.112392	1543309076.580809	1.470385	1.741558	2.041898
1.656219	470932.191361	4398791.056295	8.205566	-0.700221	8.175634	1543309076.671083	1.525276	1.774878	2.060521
