front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
-1.471431	470912.719391	4399004.380423	0.568184	-0.058814	0.565132	1543372466.250500	1.360763	0.484000	1.071813
-1.471192	470912.631399	4399005.229013	0.951292	-0.098303	0.946199	1543372466.347078	1.181790	0.486100	1.172350
0.081998	470912.545560	4399006.089331	1.355194	-0.138153	1.348134	1543372466.449505	1.116709	0.486864	1.208909
0.096520	470912.411331	4399007.410169	1.769356	-0.179774	1.760200	1543372466.550998	1.062475	0.487500	1.239375
0.096445	470912.333500	4399008.220244	1.995629	-0.200435	1.985538	1543372466.651511	1.016585	0.488038	1.265154
0.382104	470911.859719	4399012.953970	2.000062	-0.199896	1.990048	1543372466.852698	0.874980	0.489700	1.344700
-0.182810	470911.510947	4399016.459287	2.000183	-0.199049	1.990254	1543372467.061355	0.738620	0.491300	1.421300
0.146705	470911.141136	4399020.216871	2.000125	-0.197483	1.990352	1543372467.154626	0.602260	0.492900	1.497900
0.123421	470910.978420	4399021.887738	2.000064	-0.196527	1.990385	1543372467.257444	0.602260	0.492900	1.497900
0.362911	470910.815527	4399023.565319	2.000063	-0.195706	1.990465	1543372467.361417	0.602260	0.492900	1.497900
0.365776	470910.547024	4399026.321742	2.000123	-0.195097	1.990586	1543372467.460912	0.534517	0.494164	1.537678
0.202405	470910.251455	4399029.335435	2.000124	-0.195203	1.990576	1543372467.551023	0.466519	0.495157	1.576593
0.141422	470909.969567	4399032.200689	2.000063	-0.195439	1.990491	1543372467.749166	0.466519	0.495157	1.576593
0.115781	470909.731926	4399034.587368	2.000123	-0.196233	1.990474	1543372467.854179	0.466519	0.495157	1.576593
0.104309	470909.487504	4399037.047658	2.000124	-0.196674	1.990431	1543372467.947387	0.466519	0.495157	1.576593
0.099315	470908.926942	4399042.591803	2.000389	-0.199218	1.990444	1543372468.456624	0.466519	0.495157	1.576593
0.097986	470908.749238	4399044.333311	2.000067	-0.199916	1.990050	1543372468.555909	0.466519	0.495157	1.576593
0.096432	470908.483830	4399046.910452	2.000120	-0.201141	1.989980	1543372468.658881	0.469786	0.498624	1.587646
0.095695	470908.226847	4399049.447918	2.000120	-0.201319	1.989963	1543372468.752544	0.473053	0.502091	1.598700
0.095498	470908.132398	4399050.379268	2.000062	-0.201368	1.989899	1543372468.853231	0.473053	0.502091	1.598700
0.095365	470908.087912	4399050.848009	2.000061	-0.200659	1.989969	1543372468.944852	0.473120	0.502163	1.598929
0.095189	470908.048987	4399051.360347	1.995445	-0.197075	1.985689	1543372469.053993	0.473865	0.502953	1.601446
0.095072	470908.038924	4399051.555042	1.942889	-0.189383	1.933637	1543372469.146771	0.473865	0.502953	1.601446
