front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
-1.336228	470795.531455	4399239.247202	0.000000	0.000000	0.000000	1543459415.525843	4.544440	1.651120	1.464460
-1.338927	470795.527034	4399239.277290	0.000000	0.000000	0.000000	1543459415.623970	4.544440	1.651120	1.464460
-1.338512	470795.525162	4399239.301209	0.000000	0.000000	0.000000	1543459415.724557	4.544440	1.651120	1.464460
-1.339725	470795.506147	4399239.497442	0.000000	0.000000	0.000000	1543459415.827817	4.544440	1.651120	1.464460
-1.336577	470795.498604	4399239.557155	0.000000	0.000000	0.000000	1543459415.923767	4.544440	1.651120	1.464460
-1.336747	470795.537680	4399239.176527	0.000000	0.000000	0.000000	1543459416.028920	4.544440	1.651120	1.464460
-1.337486	470795.540843	4399239.136976	0.000000	0.000000	0.000000	1543459416.124203	4.544440	1.651120	1.464460
-1.340925	470795.535793	4399239.202565	0.000000	0.000000	0.000000	1543459416.224998	4.544440	1.651120	1.464460
-1.337039	470795.528130	4399239.258172	0.000000	0.000000	0.000000	1543459416.326977	4.544440	1.651120	1.464460
-1.337903	470795.522579	4399239.325917	0.000000	0.000000	0.000000	1543459416.424187	4.544440	1.651120	1.464460
-1.340986	470795.525427	4399239.306071	0.000000	0.000000	0.000000	1543459416.524984	4.544440	1.651120	1.464460
-1.335522	470795.543084	4399239.126462	0.000000	0.000000	0.000000	1543459416.628094	4.544440	1.651120	1.464460
-1.336929	470795.563573	4399238.920623	0.000000	0.000000	0.000000	1543459416.729456	4.544440	1.651120	1.464460
-1.339296	470795.585576	4399238.705376	0.000000	0.000000	0.000000	1543459416.833365	4.544440	1.651120	1.464460
-1.338791	470795.590949	4399238.636135	0.000000	0.000000	0.000000	1543459416.930868	4.544440	1.651120	1.464460
-1.335204	470795.687105	4399237.654535	0.000000	0.000000	0.000000	1543459417.027795	4.544440	1.651120	1.464460
-1.336813	470795.738871	4399237.155292	0.000000	0.000000	0.000000	1543459417.125505	4.544440	1.651120	1.464460
-1.332077	470795.810097	4399236.452725	0.000000	0.000000	0.000000	1543459417.226174	4.544440	1.651120	1.464460
-1.340392	470795.838192	4399236.216577	0.000000	0.000000	0.000000	1543459417.327572	4.544440	1.651120	1.464460
-1.335639	470795.941698	4399235.207835	0.000000	0.000000	0.000000	1543459417.430189	4.544440	1.651120	1.464460
-1.332237	470795.971598	4399234.895295	0.000000	0.000000	0.000000	1543459417.523958	4.544440	1.651120	1.464460
-1.334933	470796.052387	4399234.126232	1.249093	0.123752	-1.242948	1543459417.631371	4.544440	1.651120	1.464460
-1.334611	470796.096215	4399233.704088	1.428663	0.142339	-1.421554	1543459417.725086	4.544440	1.651120	1.464460
-1.335448	470796.185971	4399232.820922	1.628800	0.162661	-1.620658	1543459417.836564	4.544440	1.651120	1.464460
-1.332120	470796.222028	4399232.456957	1.711329	0.170784	-1.702786	1543459417.927661	4.544440	1.651120	1.464460
-1.334876	470796.293306	4399231.773009	1.838864	0.184263	-1.829609	1543459418.037057	4.544440	1.651120	1.464460
-1.331682	470796.326249	4399231.454562	1.898928	0.190539	-1.889344	1543459418.125680	4.544440	1.651120	1.464460
-1.334706	470796.409334	4399230.694132	2.042904	0.206769	-2.032413	1543459418.241914	4.544440	1.651120	1.464460
-1.331514	470796.441943	4399230.388135	2.022132	0.204431	-2.011772	1543459418.326972	4.544440	1.651120	1.464460
-1.331848	470796.487845	4399230.017244	2.121927	0.217477	-2.110753	1543459418.435465	4.544440	1.651120	1.464460
-1.335197	470796.495467	4399230.025211	2.079347	0.215511	-2.068148	1543459418.530416	4.544440	1.651120	1.464460
-1.335055	470796.537199	4399229.710643	2.090188	0.219161	-2.078666	1543459418.630205	4.544440	1.651120	1.464460
-1.334250	470796.529509	4399229.819953	1.424216	0.205540	-1.409307	1543459418.727136	4.544440	1.651120	1.464460
-1.330608	470796.542582	4399229.824591	0.500532	0.023915	-0.499960	1543459418.836542	4.544440	1.651120	1.464460
-1.336418	470796.553001	4399229.853575	0.206723	0.013848	-0.206258	1543459418.926702	4.544440	1.651120	1.464460
-1.334467	470796.565930	4399229.913983	0.000000	0.000000	0.000000	1543459419.041425	4.544440	1.651120	1.464460
-1.330750	470796.588266	4399229.726025	0.000000	0.000000	0.000000	1543459419.129982	4.544440	1.651120	1.464460
-1.329803	470796.680007	4399228.935784	0.000000	0.000000	0.000000	1543459419.240594	4.544440	1.651120	1.464460
-1.332577	470796.699925	4399228.797640	0.000000	0.000000	0.000000	1543459419.337022	4.544440	1.651120	1.464460
-1.336654	470796.677852	4399229.155902	0.000000	0.000000	0.000000	1543459419.440341	4.544440	1.651120	1.464460
-1.329915	470796.642291	4399229.609195	0.000000	0.000000	0.000000	1543459419.541868	4.544440	1.651120	1.464460
