front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
0.065683	470912.751869	4399034.987625	1.550715	-0.126678	1.545532	1543373017.211926	0.593737	0.493000	1.502687
0.077707	470912.668660	4399035.998273	1.948550	-0.159358	1.942023	1543373017.308443	0.579533	0.493167	1.510667
0.090541	470912.413676	4399039.079256	2.000038	-0.164371	1.993272	1543373017.509071	0.551125	0.493500	1.526625
0.093081	470912.191291	4399041.802300	2.000110	-0.163705	1.993399	1543373017.621830	0.538950	0.493643	1.533464
0.093745	470912.084623	4399043.117475	2.000057	-0.163154	1.993391	1543373017.706700	0.534080	0.493700	1.536200
0.094681	470911.806403	4399046.545398	2.000110	-0.162336	1.993511	1543373017.907061	0.465900	0.494500	1.574500
0.094775	470911.614413	4399048.959993	2.000111	-0.160765	1.993639	1543373018.007092	0.465900	0.494500	1.574500
0.094835	470911.525153	4399050.065837	2.000057	-0.160768	1.993585	1543373018.105649	0.465900	0.494500	1.574500
0.094865	470911.442224	4399051.109094	2.000056	-0.160324	1.993620	1543373018.208834	0.465900	0.494500	1.574500
0.094850	470911.241436	4399053.584957	2.000110	-0.160873	1.993629	1543373018.307389	0.465900	0.494500	1.574500
0.094847	470911.144972	4399054.791110	2.000057	-0.160584	1.993600	1543373018.404691	0.465900	0.494500	1.574500
0.094933	470910.962853	4399057.063318	2.000109	-0.160273	1.993677	1543373018.507489	0.465900	0.494500	1.574500
0.094994	470910.895746	4399057.903025	2.000056	-0.160128	1.993636	1543373018.606899	0.465900	0.494500	1.574500
0.095187	470910.742775	4399059.763517	2.000109	-0.161229	1.993600	1543373018.711094	0.465900	0.494500	1.574500
0.095293	470910.657075	4399060.787843	2.000056	-0.162143	1.993473	1543373018.806030	0.465900	0.494500	1.574500
0.095430	470910.556320	4399062.010215	2.000109	-0.162557	1.993492	1543373018.907461	0.465900	0.494500	1.574500
0.095583	470910.480125	4399062.940227	2.000109	-0.162660	1.993484	1543373019.009279	0.465900	0.494500	1.574500
0.095981	470910.383005	4399064.065972	2.000108	-0.164262	1.993351	1543373019.208978	0.465900	0.494500	1.574500
0.096104	470910.345628	4399064.499024	2.000056	-0.164798	1.993255	1543373019.310480	0.465900	0.494500	1.574500
0.096220	470910.317231	4399064.814156	2.000054	-0.165512	1.993194	1543373019.407357	0.465900	0.494500	1.574500
0.096445	470910.272102	4399065.303740	2.000107	-0.166849	1.993136	1543373019.510822	0.465900	0.494500	1.574500
0.096528	470910.237273	4399065.697983	2.000108	-0.167396	1.993090	1543373019.616051	0.465900	0.494500	1.574500
0.096494	470910.225083	4399065.865981	2.000055	-0.166848	1.993083	1543373019.709489	0.465900	0.494500	1.574500
0.096427	470910.183396	4399066.396601	2.000054	-0.166096	1.993145	1543373019.808810	0.465900	0.494500	1.574500
0.096354	470910.076037	4399067.779401	2.000106	-0.164120	1.993361	1543373019.910749	0.465900	0.494500	1.574500
0.096320	470910.017226	4399068.526521	2.000055	-0.163391	1.993369	1543373020.005608	0.465900	0.494500	1.574500
0.096210	470909.904899	4399069.900391	2.000000	-0.163316	1.993321	1543373020.114184	0.465900	0.494500	1.574500
0.096134	470909.842649	4399070.674424	2.000000	-0.163029	1.993344	1543373020.213036	0.467105	0.495778	1.578578
0.095904	470909.701483	4399072.473981	2.000000	-0.161645	1.993457	1543373020.405515	0.467105	0.495778	1.578578
0.095816	470909.639264	4399073.317793	2.000000	-0.160125	1.993580	1543373020.508487	0.465900	0.494500	1.574500
0.095806	470909.612067	4399073.663120	2.000000	-0.159990	1.993590	1543373020.610294	0.465900	0.494500	1.574500
0.095853	470909.560556	4399074.386447	2.000000	-0.158396	1.993718	1543373020.709106	0.465900	0.494500	1.574500
