front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
0.024198	470845.446631	4399226.894916	0.000000	0.000000	0.000000	1543477275.444933	3.826467	1.805631	1.667386
0.024879	470844.782510	4399226.727192	0.000000	0.000000	0.000000	1543477275.537932	2.454716	1.600417	1.759346
0.027115	470844.835950	4399226.902556	0.000000	0.000000	0.000000	1543477275.648357	2.527467	1.763945	1.668240
0.020175	470844.744441	4399226.852503	0.000000	0.000000	0.000000	1543477275.735132	2.443910	1.843385	1.668014
0.027767	470845.692196	4399226.866351	0.000000	0.000000	0.000000	1543477275.843586	4.301166	1.632002	1.759407
0.029879	470845.115895	4399226.904548	0.000000	0.000000	0.000000	1543477275.944878	3.152589	1.779940	1.666178
0.033031	470844.790148	4399226.843978	0.000000	0.000000	0.000000	1543477276.045388	2.509575	1.631541	1.759638
0.026381	470844.749412	4399226.908747	0.000000	0.000000	0.000000	1543477276.140689	2.417128	1.737098	1.666897
0.029631	470845.302262	4399226.915803	0.000000	0.000000	0.000000	1543477276.247206	3.523407	1.757634	1.668172
0.028402	470844.804569	4399226.904364	0.000000	0.000000	0.000000	1543477276.357788	2.535492	1.755096	1.666614
0.036552	470845.717316	4399226.868770	0.000000	0.000000	0.000000	1543477276.439303	4.371480	1.660642	1.760511
0.039878	470845.510200	4399226.837029	0.000000	0.000000	0.000000	1543477276.538699	3.926637	1.723284	1.760126
0.035614	470845.572089	4399226.844546	0.000000	0.000000	0.000000	1543477276.644064	4.013518	1.695974	1.808695
0.039163	470844.860324	4399226.856193	0.000000	0.000000	0.000000	1543477276.760554	2.432031	1.771099	1.657716
0.036734	470845.361605	4399226.908934	0.000000	0.000000	0.000000	1543477276.845263	3.311617	1.988491	1.654687
0.042552	470845.280312	4399226.811093	0.000000	0.000000	0.000000	1543477276.947103	3.301628	1.923416	1.660502
0.059704	470844.420162	4399226.725357	0.000000	0.000000	0.000000	1543477277.046953	1.565310	1.657078	0.469456
0.061766	470843.832641	4399226.875403	0.000000	0.000000	0.000000	1543477277.158811	0.375270	1.525271	0.437582
0.063606	470843.871371	4399226.814969	0.000000	0.000000	0.000000	1543477277.244242	0.456696	1.628236	0.435536
0.069374	470844.085171	4399226.656643	0.000000	0.000000	0.000000	1543477277.361156	0.642735	1.236552	0.430668
0.068918	470844.928327	4399226.832928	0.000000	0.000000	0.000000	1543477277.451401	2.284599	1.454219	1.250750
0.064440	470844.989639	4399226.709698	0.000000	0.000000	0.000000	1543477277.560192	2.193281	1.505907	1.217021
0.057677	470844.845804	4399226.707255	0.000000	0.000000	0.000000	1543477277.644366	2.425643	1.497818	1.216962
0.051405	470844.374468	4399226.817742	0.000000	0.000000	0.000000	1543477277.766557	1.484841	1.630734	1.218967
0.053529	470844.404704	4399226.816905	0.000000	0.000000	0.000000	1543477277.841435	1.576823	1.623048	1.219133
0.050434	470844.837866	4399226.748131	0.000000	0.000000	0.000000	1543477277.952329	2.444601	1.508410	1.212005
0.055436	470844.235892	4399226.767044	0.000000	0.000000	0.000000	1543477278.045332	1.226132	1.397386	1.211044
0.042834	470845.232241	4399226.814409	0.000000	0.000000	0.000000	1543477278.365733	1.721202	1.595524	1.208563
0.040292	470845.280096	4399226.968597	0.000000	0.000000	0.000000	1543477278.445783	1.660207	1.886125	1.790530
0.053937	470844.868483	4399227.000472	0.000000	0.000000	0.000000	1543477278.544113	2.486278	2.007540	1.791995
0.052602	470844.910182	4399226.832093	0.000000	0.000000	0.000000	1543477278.647042	2.409141	1.869703	1.787122
0.060958	470845.051174	4399226.909147	0.000000	0.000000	0.000000	1543477278.737467	2.123537	1.968191	1.792323
0.060193	470845.781706	4399226.889117	0.000000	0.000000	0.000000	1543477278.846070	2.056199	1.857398	1.780189
0.063710	470844.894673	4399226.912007	0.000000	0.000000	0.000000	1543477278.944466	2.419112	1.957311	1.774595
0.065986	470845.519274	4399226.897057	0.000000	0.000000	0.000000	1543477279.059189	1.180184	1.848112	1.764926
0.060548	470845.534414	4399226.899495	0.000000	0.000000	0.000000	1543477279.185341	1.138564	1.840765	1.759195
0.062254	470845.960604	4399227.032262	0.000000	0.000000	0.000000	1543477279.280031	1.799304	1.844463	1.843029
0.054852	470845.134210	4399226.867974	0.000000	0.000000	0.000000	1543477279.351279	3.268910	1.823401	1.837368
0.060685	470845.135002	4399226.873326	0.000000	0.000000	0.000000	1543477279.443410	3.351847	1.814161	1.730181
0.053213	470844.986926	4399226.867797	0.000000	0.000000	0.000000	1543477279.538788	3.407611	1.814227	1.814709
0.056984	470844.867014	4399226.847011	0.000000	0.000000	0.000000	1543477279.645283	3.358576	1.798727	1.804375
0.054761	470844.594812	4399226.846669	0.000000	0.000000	0.000000	1543477279.734367	3.270483	1.614460	1.786090
0.049764	470844.360740	4399226.768728	0.000000	0.000000	0.000000	1543477279.850214	3.246584	1.600696	1.767303
0.054577	470844.108507	4399226.808246	0.000000	0.000000	0.000000	1543477279.944588	3.361725	1.680596	1.666451
0.050617	470843.778076	4399226.784261	0.000000	0.000000	0.000000	1543477280.050514	3.401987	1.585268	1.728253
0.056285	470843.417807	4399226.813312	0.000000	0.000000	0.000000	1543477280.131515	3.453658	1.636508	1.700297
0.054972	470843.092257	4399226.883139	0.135121	-0.135052	-0.004305	1543477280.245764	3.443980	1.818078	1.695260
0.052384	470842.689194	4399226.748938	0.233286	-0.232867	-0.013981	1543477280.335232	3.393252	1.685619	1.658756
-3.090034	470842.348567	4399226.813816	3.897397	-3.892216	-0.200905	1543477280.446419	3.555470	1.825824	1.654401
-3.110486	470841.928257	4399226.746510	4.360646	-4.358519	-0.136199	1543477280.539322	3.564796	1.689236	1.635646
-3.134785	470841.601876	4399226.779651	4.549693	-4.549582	-0.031689	1543477280.648626	3.705008	1.731312	1.640172
3.134586	470840.961984	4399226.675545	4.951444	-4.951325	0.034345	1543477280.736955	3.470000	1.672820	1.842808
3.129755	470840.542020	4399226.650185	5.149622	-5.149263	0.060777	1543477280.846217	3.694640	1.670784	1.827000
3.134500	470839.849141	4399226.713798	5.351800	-5.351665	0.037976	1543477280.941971	3.527767	1.811833	1.825493
-3.138139	470839.198943	4399226.664789	6.052653	-6.052618	-0.020553	1543477281.046444	3.355499	1.802207	1.805239
-3.131956	470838.526126	4399226.641111	6.271329	-6.271040	-0.060194	1543477281.134447	3.371919	1.722765	1.816250
-3.120049	470838.088069	4399226.646042	6.705900	-6.704353	-0.144054	1543477281.258487	3.943203	1.708509	1.811363
-3.116437	470837.120292	4399226.608312	7.156629	-7.154366	-0.179950	1543477281.343998	3.598301	1.748020	1.783840
-3.114475	470836.618636	4399226.633586	7.382704	-7.379990	-0.200169	1543477281.447196	4.009709	1.794549	1.755203
-3.110009	470835.890017	4399226.552459	7.845441	-7.841533	-0.247605	1543477281.564098	4.162386	1.666044	1.713125
-3.103464	470834.815872	4399226.530287	8.094539	-8.088666	-0.308284	1543477281.655027	3.684756	1.733874	1.680288
-3.100471	470833.325329	4399226.536889	8.490328	-8.483146	-0.349149	1543477281.846498	4.025680	1.850130	1.810506
-3.098911	470832.408624	4399226.586183	8.920597	-8.912475	-0.380593	1543477281.961328	3.845410	2.009541	1.838097
-3.101426	470830.613105	4399226.463033	8.841041	-8.833920	-0.354784	1543477282.177104	3.792639	1.879655	1.879419
-3.102724	470829.867800	4399226.353675	9.001879	-8.995070	-0.350060	1543477282.259075	4.134069	1.692385	1.888075
-3.102913	470828.928837	4399226.355711	8.948098	-8.941394	-0.346327	1543477282.354371	4.113154	1.790081	1.894887
-3.098999	470828.089906	4399226.358092	8.932575	-8.924460	-0.380655	1543477282.448946	4.167534	1.845586	1.884948
-3.097686	470827.132389	4399226.299961	8.747400	-8.738993	-0.383431	1543477282.568249	4.079793	1.771976	1.873945
-3.102614	470826.216446	4399226.263265	8.858060	-8.851339	-0.344998	1543477282.646636	4.038688	1.764426	1.850415
-3.098718	470825.403270	4399226.230919	8.951389	-8.943213	-0.382513	1543477282.747057	4.198600	1.798499	2.054966
-3.093069	470824.487685	4399226.221998	9.038365	-9.027792	-0.437055	1543477282.848116	4.212098	1.853769	2.047426
-3.094846	470823.547886	4399226.114658	9.112359	-9.102456	-0.424704	1543477282.959712	4.197754	1.748905	2.031991
-3.094843	470822.705603	4399226.166411	9.186893	-9.176884	-0.428725	1543477283.049874	4.330933	1.965134	2.064658
-3.088580	470821.796447	4399226.097833	9.248827	-9.235892	-0.488967	1543477283.154204	4.347260	2.033861	1.893078
-3.082464	470820.866633	4399226.008625	9.260022	-9.243883	-0.546473	1543477283.244022	4.185715	1.956741	1.890174
-3.076758	470820.038486	4399225.926174	9.310618	-9.291052	-0.603295	1543477283.358205	4.391953	1.923268	1.911247
-3.069473	470819.230679	4399225.875394	9.268040	-9.243944	-0.667872	1543477283.450830	4.444840	2.056105	1.933206
-3.064372	470818.219906	4399225.758287	11.411439	-11.377390	-0.880878	1543477283.553293	4.214143	1.880403	1.967123
-3.059629	470817.479106	4399225.777467	11.767493	-11.727948	-0.963911	1543477283.651129	4.520282	2.044503	1.989177
-3.056693	470816.479020	4399225.705646	12.415375	-12.370605	-1.053399	1543477283.758955	4.316247	2.053932	2.002509
-3.056956	470815.727017	4399225.588623	12.552936	-12.507887	-1.062534	1543477283.851467	4.481803	1.857660	2.008242
-3.064072	470814.006879	4399225.572126	9.022150	-8.994932	-0.700277	1543477284.054857	4.521088	2.019964	2.056858
-3.067110	470813.109342	4399225.533016	8.974849	-8.949872	-0.669102	1543477284.146833	4.446105	2.078337	2.072961
-3.072101	470812.331753	4399225.493970	8.864925	-8.843453	-0.616632	1543477284.246005	4.618400	2.004000	2.078617
0.028556	470811.489044	4399225.323127	8.802521	-8.788493	-0.496759	1543477284.337317	4.633393	1.779791	2.099361
0.011609	470810.653933	4399225.409649	8.738666	-8.725405	-0.481247	1543477284.451898	4.535167	1.979401	2.086360
0.008218	470809.817118	4399225.377399	8.691053	-8.679845	-0.441239	1543477284.540565	4.637655	2.048782	2.092339
0.020375	470808.989496	4399225.357958	8.671518	-8.661929	-0.407677	1543477284.634781	4.702245	1.990517	2.079591
0.036642	470808.060318	4399225.348001	8.654817	-8.645955	-0.391549	1543477284.739012	4.568341	1.944018	2.064024
0.028670	470807.278791	4399225.317248	8.688806	-8.680946	-0.369486	1543477284.841670	4.740790	1.937794	2.041333
0.028903	470806.389020	4399225.342038	8.659946	-8.653714	-0.328479	1543477284.940213	4.731679	2.058853	2.035426
0.054755	470805.574724	4399225.329480	8.671385	-8.663146	-0.377921	1543477285.044302	4.629787	2.089942	2.092892
0.049619	470804.689854	4399225.292728	8.666406	-8.657376	-0.395519	1543477285.138404	4.620809	2.082970	2.067445
0.017364	470803.872468	4399225.252910	8.631663	-8.626014	-0.312251	1543477285.249430	4.696921	1.953022	2.053902
0.030853	470802.989291	4399225.244788	8.668560	-8.663444	-0.297794	1543477285.331280	4.661349	2.014780	2.036305
0.059356	470802.125831	4399225.223937	8.692435	-8.684544	-0.370315	1543477285.443038	4.707691	2.022397	2.083025
0.047831	470801.298496	4399225.182135	8.624101	-8.615604	-0.382725	1543477285.530395	4.785460	1.999631	2.087939
0.044600	470800.424386	4399225.129543	8.628477	-8.619915	-0.384292	1543477285.640471	4.685541	1.843646	2.088805
0.054820	470799.604310	4399225.082361	8.654242	-8.644283	-0.415064	1543477285.731928	4.765033	1.832359	2.092443
0.055570	470798.749023	4399225.063554	8.639710	-8.628729	-0.435468	1543477285.846280	4.807203	1.838896	2.090284
0.049459	470797.859802	4399225.006912	8.602739	-8.591948	-0.430764	1543477285.933204	4.746156	1.823930	2.079025
