front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
-1.474486	470910.729757	4399053.010793	0.243706	-0.018167	0.243028	1543373718.943560	4.124690	1.490740	1.385660
-1.474345	470910.713163	4399053.223086	0.330339	-0.024961	0.329395	1543373719.034789	4.124690	1.490740	1.385660
-1.474098	470910.696637	4399053.440577	0.426967	-0.032288	0.425744	1543373719.138663	4.124690	1.490740	1.385660
-1.473310	470910.663419	4399053.871763	0.000000	0.000000	0.000000	1543373719.240736	4.124690	1.490740	1.385660
-1.472845	470910.644471	4399054.123627	0.000000	0.000000	0.000000	1543373719.333584	4.124690	1.490740	1.385660
-1.471946	470910.599800	4399054.691259	0.000000	0.000000	0.000000	1543373719.438028	4.124690	1.490740	1.385660
-1.470278	470910.529346	4399055.745662	1.218248	-0.088702	1.215015	1543373719.741205	4.124690	1.490740	1.385660
-1.470212	470910.497456	4399056.174342	1.339930	-0.097809	1.336355	1543373719.837311	4.124690	1.490740	1.385660
-1.470220	470910.474881	4399056.488214	1.440214	-0.104961	1.436385	1543373719.934975	4.124690	1.490740	1.385660
-1.470458	470910.411702	4399057.279271	1.648685	-0.122344	1.644139	1543373720.036628	4.124690	1.490740	1.385660
-1.471066	470910.362453	4399057.904212	1.813347	-0.135672	1.808264	1543373720.140586	4.124690	1.490740	1.385660
-1.471427	470910.336714	4399058.262598	1.909224	-0.142419	1.903905	1543373720.238180	4.124690	1.490740	1.385660
-1.471777	470910.306173	4399058.649494	2.010829	-0.150599	2.005181	1543373720.335997	4.124690	1.490740	1.385660
-1.472506	470910.225615	4399059.658228	2.180870	-0.165029	2.174617	1543373720.436990	4.124690	1.490740	1.385660
-1.472898	470910.210276	4399059.907349	2.220531	-0.166815	2.214256	1543373720.534542	4.124690	1.490740	1.385660
-1.473598	470910.151389	4399060.655525	2.323213	-0.175341	2.316586	1543373720.637896	4.124690	1.490740	1.385660
-1.473891	470910.012384	4399062.514380	2.461242	-0.185283	2.454258	1543373720.837892	4.124690	1.490740	1.385660
-1.474045	470909.877045	4399064.212746	2.751320	-0.209057	2.743366	1543373720.938994	4.124690	1.490740	1.385660
-1.474110	470909.804345	4399065.237507	2.933287	-0.221481	2.924914	1543373721.039250	4.124690	1.490740	1.385660
-1.473969	470909.666678	4399067.113397	3.269572	-0.245733	3.260324	1543373721.137257	4.124690	1.490740	1.385660
-1.473832	470909.601863	4399067.942553	3.432182	-0.258523	3.422431	1543373721.239467	4.124690	1.490740	1.385660
-1.473255	470909.495401	4399069.413786	3.571891	-0.267922	3.561829	1543373721.438652	4.124690	1.490740	1.385660
-1.472941	470909.470291	4399069.774788	3.602224	-0.269693	3.592114	1543373721.537876	4.124690	1.490740	1.385660
-1.472197	470909.422987	4399070.490710	3.602259	-0.268183	3.592262	1543373721.638855	4.124690	1.490740	1.385660
-1.471788	470909.400069	4399070.900244	3.585984	-0.265189	3.576165	1543373721.734540	4.124690	1.490740	1.385660
-1.471179	470909.410681	4399071.036627	3.403937	-0.247132	3.394954	1543373721.838282	4.124690	1.490740	1.385660
-1.470978	470909.470457	4399070.360249	3.200251	-0.229936	3.191980	1543373721.934178	4.124690	1.490740	1.385660
-1.470800	470909.581748	4399069.190724	2.806637	-0.195825	2.799797	1543373722.039696	4.124690	1.490740	1.385660
-1.470858	470909.544008	4399069.824468	2.815035	-0.194906	2.808279	1543373722.138647	4.124690	1.490740	1.385660
-1.470961	470909.520166	4399070.145982	2.843494	-0.197169	2.836649	1543373722.236871	4.124690	1.490740	1.385660
-1.471157	470909.481416	4399070.692391	2.879105	-0.199803	2.872164	1543373722.338255	4.124690	1.490740	1.385660
-1.471615	470909.455185	4399071.168256	2.859775	-0.197069	2.852977	1543373722.437333	4.124690	1.490740	1.385660
-1.471904	470909.418251	4399071.695829	2.889245	-0.199173	2.882371	1543373722.536177	4.124690	1.490740	1.385660
-1.472498	470909.377830	4399072.277486	2.890063	-0.199270	2.883185	1543373722.638255	4.124690	1.490740	1.385660
-1.472843	470909.362438	4399072.546361	2.867184	-0.197069	2.860404	1543373722.743911	4.124690	1.490740	1.385660
-1.473571	470909.330642	4399073.055039	2.854500	-0.195558	2.847793	1543373722.837267	4.124690	1.490740	1.385660
-1.473898	470909.303778	4399073.462172	2.859541	-0.195679	2.852838	1543373722.935683	4.124690	1.490740	1.385660
-1.474629	470909.278582	4399074.125905	2.804990	-0.188093	2.798676	1543373723.135704	4.124690	1.490740	1.385660
-1.474874	470909.254620	4399074.530177	2.739981	-0.183110	2.733855	1543373723.238085	4.124690	1.490740	1.385660
-1.475056	470909.246893	4399074.682337	2.664690	-0.177608	2.658764	1543373723.337971	4.124690	1.490740	1.385660
-1.475233	470909.233075	4399074.967554	2.550672	-0.169025	2.545065	1543373723.441136	4.124690	1.490740	1.385660
-1.475401	470909.215983	4399075.166254	2.553929	-0.169946	2.548268	1543373723.536881	4.124690	1.490740	1.385660
-1.475714	470909.207951	4399075.293380	2.452271	-0.163115	2.446840	1543373723.640572	4.124690	1.490740	1.385660
-1.475862	470909.190786	4399075.539182	2.405571	-0.160150	2.400234	1543373723.745952	4.124690	1.490740	1.385660
-1.476144	470909.170334	4399075.793704	2.363821	-0.158011	2.358534	1543373723.839494	4.124690	1.490740	1.385660
-1.476256	470909.163492	4399075.909949	2.326162	-0.155331	2.320970	1543373723.937585	4.124690	1.490740	1.385660
-1.476501	470909.135141	4399076.316398	2.286730	-0.152904	2.281612	1543373724.042971	4.124690	1.490740	1.385660
-1.476775	470909.103233	4399076.750805	2.282109	-0.153112	2.276967	1543373724.137687	4.124690	1.490740	1.385660
-1.477040	470909.073989	4399077.119570	2.265813	-0.152851	2.260652	1543373724.337966	4.124690	1.490740	1.385660
-1.477226	470909.032666	4399077.622468	2.303317	-0.156740	2.297977	1543373724.439666	4.124690	1.490740	1.385660
-1.477194	470908.996019	4399078.116167	2.310328	-0.157793	2.304933	1543373724.536569	4.124690	1.490740	1.385660
-1.477068	470908.975500	4399078.412120	2.308244	-0.157709	2.302850	1543373724.640527	4.124690	1.490740	1.385660
-1.476877	470908.963652	4399078.566962	2.308463	-0.157958	2.303053	1543373724.737432	4.124690	1.490740	1.385660
-1.476446	470908.945749	4399078.852847	2.247475	-0.153471	2.242229	1543373724.842136	4.124690	1.490740	1.385660
-1.475992	470908.935395	4399078.984544	2.214465	-0.151462	2.209279	1543373724.938656	4.124690	1.490740	1.385660
-1.475775	470908.933257	4399079.009927	2.190502	-0.149903	2.185367	1543373725.039369	4.124690	1.490740	1.385660
-1.475590	470908.935152	4399078.964807	2.153485	-0.147599	2.148421	1543373725.143548	4.124690	1.490740	1.385660
-1.471622	470909.103698	4399076.918370	0.000000	0.000000	0.000000	1543373725.242634	4.124690	1.490740	1.385660
-1.472576	470909.133215	4399076.633492	0.000000	0.000000	0.000000	1543373725.340521	4.124690	1.490740	1.385660
-1.470615	470909.242708	4399075.258399	0.000000	0.000000	0.000000	1543373725.537432	4.124690	1.490740	1.385660
-1.472754	470909.225964	4399075.370660	0.000000	0.000000	0.000000	1543373725.647164	4.124690	1.490740	1.385660
-1.474290	470909.203236	4399075.596970	0.000000	0.000000	0.000000	1543373725.841295	4.124690	1.490740	1.385660
-1.474862	470909.182061	4399075.871464	0.000000	0.000000	0.000000	1543373725.937789	4.124690	1.490740	1.385660
-1.470114	470909.166949	4399076.086436	0.000000	0.000000	0.000000	1543373726.041766	4.124690	1.490740	1.385660
-1.468179	470909.309403	4399074.458075	0.000000	0.000000	0.000000	1543373726.145784	4.124690	1.490740	1.385660
-1.464321	470909.402328	4399073.386486	0.000000	0.000000	0.000000	1543373726.240600	4.124690	1.490740	1.385660
-1.460597	470909.507769	4399072.205737	0.000000	0.000000	0.000000	1543373726.352050	4.124690	1.490740	1.385660
-1.464906	470909.593412	4399071.153993	0.000000	0.000000	0.000000	1543373726.440479	4.124690	1.490740	1.385660
-1.466271	470909.618024	4399070.808274	0.000000	0.000000	0.000000	1543373726.539414	4.124690	1.490740	1.385660
-1.458168	470909.657420	4399070.380426	0.000000	0.000000	0.000000	1543373726.637365	4.124690	1.490740	1.385660
-1.461577	470909.666306	4399070.242033	0.000000	0.000000	0.000000	1543373726.738725	4.124690	1.490740	1.385660
-1.466198	470909.708864	4399069.802098	0.000000	0.000000	0.000000	1543373726.837252	4.124690	1.490740	1.385660
-1.461163	470909.729381	4399069.597498	0.000000	0.000000	0.000000	1543373726.935706	4.124690	1.490740	1.385660
-1.463559	470909.759339	4399069.251638	0.000000	0.000000	0.000000	1543373727.038496	4.124690	1.490740	1.385660
