front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
0.037765	470773.770272	4399211.057590	0.000000	0.000000	0.000000	1543474301.048378	4.058779	2.045774	1.970428
0.034135	470773.821046	4399211.151383	0.000000	0.000000	0.000000	1543474301.154376	3.863843	2.040063	1.969839
0.037543	470773.879191	4399211.070172	0.000000	0.000000	0.000000	1543474301.251708	3.824685	1.870389	1.970910
0.038215	470773.786093	4399211.081333	0.000000	0.000000	0.000000	1543474301.371024	3.998339	1.903474	1.970428
0.038413	470773.972848	4399211.063906	0.000000	0.000000	0.000000	1543474301.453544	3.603825	2.041528	1.970647
0.035676	470773.831856	4399211.089148	0.000000	0.000000	0.000000	1543474301.553761	3.889813	1.915802	1.970973
0.032699	470773.820612	4399211.148942	0.000000	0.000000	0.000000	1543474301.660648	3.845660	2.041744	1.971631
0.036675	470773.744662	4399211.054125	0.261875	0.017465	-0.261291	1543474301.763416	4.045939	2.042362	1.970520
0.036954	470773.953695	4399211.092395	0.000000	0.000000	0.000000	1543474301.860095	3.582226	1.919215	1.970991
0.039197	470773.867838	4399211.075655	0.000000	0.000000	0.000000	1543474301.958909	3.787888	1.881308	1.970888
0.039838	470773.786403	4399211.086961	0.000000	0.000000	0.000000	1543474302.061203	3.921845	1.911255	1.972537
0.047786	470773.947828	4399211.064430	0.000000	0.000000	0.000000	1543474302.168698	3.665606	2.043754	1.979448
0.050150	470773.782989	4399211.144951	0.000000	0.000000	0.000000	1543474302.256764	3.999055	1.852716	1.982335
0.045649	470773.836325	4399211.095971	0.000000	0.000000	0.000000	1543474302.357022	3.956342	1.929001	1.996284
0.045869	470773.782218	4399211.147064	0.000000	0.000000	0.000000	1543474302.453945	4.017360	1.855664	2.010414
0.041735	470773.762440	4399211.139987	0.000000	0.000000	0.000000	1543474302.571029	4.048108	1.798418	2.022899
0.041306	470773.928792	4399211.207199	0.000000	0.000000	0.000000	1543474302.657549	3.770123	1.679688	2.033329
0.044292	470773.833064	4399211.153240	0.000000	0.000000	0.000000	1543474302.751841	3.930970	1.771944	2.035046
0.043684	470773.735440	4399211.111531	0.000000	0.000000	0.000000	1543474302.856892	4.080633	1.865455	1.688706
0.040793	470773.714388	4399211.113082	0.000000	0.000000	0.000000	1543474302.972461	4.106126	1.849437	1.685752
0.038474	470774.145792	4399211.169941	0.000000	0.000000	0.000000	1543474303.068026	3.322203	1.749092	1.683772
0.036481	470773.899117	4399211.095306	0.000000	0.000000	0.000000	1543474303.159721	3.816635	1.826292	1.684171
0.037729	470774.153373	4399211.128635	0.000000	0.000000	0.000000	1543474303.258303	3.308934	1.779661	1.678617
0.041268	470773.787548	4399211.131480	0.000000	0.000000	0.000000	1543474303.373792	4.117882	1.785122	1.667874
0.040617	470773.838817	4399211.116980	0.000000	0.000000	0.000000	1543474303.457670	4.044066	1.873947	1.680993
0.038417	470773.778388	4399211.159734	0.000000	0.000000	0.000000	1543474303.560207	4.125534	1.745219	1.662803
0.037040	470773.903890	4399211.094800	0.000000	0.000000	0.000000	1543474303.653171	3.987316	1.875165	1.889600
0.041062	470773.982317	4399211.092648	0.000000	0.000000	0.000000	1543474303.772402	3.928928	1.808991	1.894887
0.041940	470773.933952	4399211.144577	0.000000	0.000000	0.000000	1543474303.859294	4.100516	1.803984	1.899079
0.041668	470774.115367	4399211.117721	0.000000	0.000000	0.000000	1543474303.957333	3.889931	1.834911	1.903715
0.041075	470774.155421	4399211.116504	0.000000	0.000000	0.000000	1543474304.058485	3.909924	1.847116	1.910700
0.040372	470774.156780	4399211.189835	0.000000	0.000000	0.000000	1543474304.177311	4.064998	1.676840	1.923002
0.041900	470774.336052	4399211.134710	0.000000	0.000000	0.000000	1543474304.261013	3.999072	1.865704	1.924116
0.041164	470774.431661	4399211.122140	0.000000	0.000000	0.000000	1543474304.364665	3.854967	1.854511	1.911345
0.038022	470774.468697	4399211.170711	0.000000	0.000000	0.000000	1543474304.458199	4.015109	1.742839	1.897141
0.035115	470774.637972	4399211.173625	0.272034	0.272031	0.001287	1543474304.573494	3.926176	1.723540	1.891397
0.036140	470774.813711	4399211.178396	0.421864	0.421711	0.011368	1543474304.662293	3.887002	1.728818	1.888038
0.035899	470774.874643	4399211.122537	0.545041	0.465213	-0.283983	1543474304.773558	4.028891	1.863616	1.881444
0.033773	470774.928127	4399211.160311	0.529489	0.496111	-0.185019	1543474304.868020	4.052323	1.805146	1.876773
0.035761	470775.314915	4399211.112181	1.265416	1.252774	-0.178427	1543474304.973004	3.691560	1.890859	1.874946
0.038430	470775.273066	4399211.146802	1.330928	1.325086	-0.124563	1543474305.060143	4.004244	1.840127	1.863491
0.043691	470775.454127	4399211.159382	1.339818	1.339417	0.032745	1543474305.167882	4.006939	1.878920	1.838658
0.040779	470775.683676	4399211.150777	1.423602	1.418788	-0.116973	1543474305.259235	3.902360	1.815348	1.816810
0.037364	470775.800552	4399211.161205	1.114306	1.114305	0.001595	1543474305.371248	3.958642	1.810670	1.908259
0.033968	470776.006303	4399211.123172	1.696619	1.694519	-0.084383	1543474305.457345	3.960682	1.867121	1.906120
0.030524	470776.262582	4399211.201307	1.696933	1.695600	-0.067244	1543474305.561450	3.850152	1.877746	1.900186
0.032070	470776.295693	4399211.131163	0.911672	0.911556	-0.014574	1543474305.658107	4.132401	1.966200	1.895875
0.026495	470776.673455	4399211.238865	1.198867	1.197509	0.057038	1543474305.769606	3.864462	1.836332	1.881920
0.027189	470776.854036	4399211.231753	2.168498	2.166376	0.095894	1543474305.859452	3.895643	1.801226	1.851316
0.028889	470777.112029	4399211.259034	2.163644	2.157299	0.165579	1543474305.964658	3.881297	1.737858	1.839593
0.027815	470777.208389	4399211.192426	2.126894	2.126431	0.044362	1543474306.059860	4.218415	1.937081	1.833888
0.027980	470777.575372	4399211.255722	2.131942	2.131914	-0.010992	1543474306.172398	3.896291	1.819542	1.821228
0.027181	470777.825442	4399211.268358	1.919395	1.918097	0.070589	1543474306.258100	4.012747	1.797242	2.066407
0.029117	470778.161673	4399211.209672	2.116425	2.115535	0.061358	1543474306.358247	3.920990	1.945490	2.046721
0.029207	470778.292570	4399211.206476	2.043189	2.043066	0.022357	1543474306.455886	4.219004	1.969576	2.034011
0.086679	470778.697668	4399211.287163	2.292791	2.284240	0.197829	1543474306.573865	4.028807	2.066716	2.018838
0.117661	470778.971248	4399211.344496	3.472985	3.448977	0.407660	1543474306.656478	4.030344	2.046491	1.980561
0.069930	470779.249538	4399211.309021	2.593073	2.586656	0.182306	1543474306.761086	4.184100	2.100219	2.080182
0.055160	470779.583316	4399211.302069	3.507605	3.502266	0.193451	1543474306.855695	4.105199	2.026220	2.066063
0.131023	470779.969786	4399211.436272	2.683120	2.660318	0.349062	1543474306.973788	3.904459	2.071136	2.063338
0.075665	470780.183388	4399211.438053	4.223683	4.211549	0.319930	1543474307.058648	4.238180	1.890996	2.063302
0.088828	470780.541562	4399211.462248	2.835027	2.823881	0.251142	1543474307.158012	4.091807	1.888615	1.891852
