front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
-0.716200	470907.149260	4399063.886113	0.303569	0.230550	-0.197486	1543374991.035928	0.306542	0.593466	0.343957
-0.969381	470907.017436	4399063.860905	0.311735	0.177014	-0.256603	1543374991.142317	0.010000	0.010000	0.338179
1.564565	470907.072139	4399063.835254	0.311594	0.176672	-0.256666	1543374991.537169	0.205874	0.468334	0.316386
1.522487	470907.106502	4399063.783668	0.311275	0.176479	-0.256413	1543374991.639160	0.231010	0.360936	0.308648
1.544789	470907.178484	4399063.675978	0.000000	0.000000	0.000000	1543374991.742002	0.076894	0.249982	0.299909
1.554765	470907.100773	4399063.955636	0.000000	0.000000	0.000000	1543374991.842650	0.010000	0.010000	0.277069
1.570816	470907.207947	4399063.854012	0.000000	0.000000	0.000000	1543374991.940484	0.299813	0.326473	0.286326
1.576954	470907.170735	4399063.929635	0.000000	0.000000	0.000000	1543374992.043434	0.131664	0.408580	0.274972
1.610854	470907.148123	4399063.736862	0.000000	0.000000	0.000000	1543374992.240389	0.012425	0.153462	0.300728
1.634657	470907.186336	4399063.907495	0.000000	0.000000	0.000000	1543374992.338851	0.217183	0.193092	0.296446
1.626371	470907.144140	4399064.031926	0.000000	0.000000	0.000000	1543374992.441495	0.650901	0.486932	0.271775
1.626245	470907.143934	4399063.839517	0.000000	0.000000	0.000000	1543374992.536164	0.232630	0.363272	0.280993
1.640327	470907.159991	4399063.925598	0.000000	0.000000	0.000000	1543374992.639275	0.288729	0.265792	0.471767
1.684439	470907.178096	4399063.888025	0.000000	0.000000	0.000000	1543374992.742501	0.224380	0.268230	0.455605
1.659911	470907.168589	4399063.910373	0.000000	0.000000	0.000000	1543374992.842528	0.302143	0.426807	0.199579
1.679280	470907.161644	4399063.848989	0.000000	0.000000	0.000000	1543374992.939105	0.190733	0.302909	0.458894
1.669032	470907.226227	4399063.942036	0.000000	0.000000	0.000000	1543374993.043005	0.249773	0.238623	0.444254
1.623917	470907.191951	4399063.880967	0.000000	0.000000	0.000000	1543374993.140380	0.260975	0.300218	0.435740
1.571133	470907.154587	4399063.924663	0.000000	0.000000	0.000000	1543374993.242677	0.321676	0.395950	0.417920
1.607229	470907.150678	4399063.909488	0.000000	0.000000	0.000000	1543374993.339082	0.287329	0.505368	0.237928
1.672532	470907.107208	4399064.016932	0.000000	0.000000	0.000000	1543374993.438177	0.221268	0.196541	0.399906
1.723412	470907.139204	4399063.890298	0.000000	0.000000	0.000000	1543374993.542897	0.339266	0.437317	0.383854
1.785815	470907.125023	4399063.879923	0.000000	0.000000	0.000000	1543374993.644159	0.299387	0.460218	0.366179
1.845759	470907.110907	4399063.896175	0.000000	0.000000	0.000000	1543374993.740777	0.375355	0.412197	0.346964
1.914211	470907.125091	4399063.920166	0.000000	0.000000	0.000000	1543374993.940310	0.369736	0.484944	0.339210
1.852314	470907.126626	4399063.858787	0.000000	0.000000	0.000000	1543374994.140577	0.308485	0.343647	0.422801
1.805925	470907.080440	4399063.874665	0.000000	0.000000	0.000000	1543374994.240259	0.375349	0.342622	0.389735
1.786014	470907.090455	4399063.960925	0.000000	0.000000	0.000000	1543374994.339526	0.382068	0.432410	0.487315
0.617437	470907.143144	4399063.945295	0.000000	0.000000	0.000000	1543374994.540666	0.407156	0.382850	0.493004
2.080058	470907.112417	4399063.918529	0.000000	0.000000	0.000000	1543374994.638501	0.380784	0.462377	0.529302
1.644229	470907.150031	4399063.919754	0.000000	0.000000	0.000000	1543374994.739813	0.389018	0.395514	0.421558
1.447256	470907.069322	4399063.976860	0.000000	0.000000	0.000000	1543374994.939839	0.411951	0.426042	0.422730
1.245378	470907.083212	4399063.984786	0.000000	0.000000	0.000000	1543374995.040021	0.397301	0.403085	0.437122
1.251403	470907.090544	4399063.919775	0.000000	0.000000	0.000000	1543374995.140529	0.450875	0.497132	0.485358
-0.459965	470907.114604	4399063.880296	0.000000	0.000000	0.000000	1543374995.240802	0.437007	0.357320	0.492478
1.866684	470907.051445	4399064.024854	0.000000	0.000000	0.000000	1543374995.338149	0.515302	0.459120	0.485777
1.916170	470907.086610	4399063.960049	0.000000	0.000000	0.000000	1543374995.442424	0.447118	0.390709	0.485217
1.597138	470907.077352	4399064.022320	0.000000	0.000000	0.000000	1543374995.539727	0.491151	0.463109	0.514126
2.092531	470907.064965	4399063.946880	0.000000	0.000000	0.000000	1543374995.641201	0.345888	0.407033	0.528600
0.725001	470907.067592	4399063.944855	0.000000	0.000000	0.000000	1543374995.745333	0.366537	0.401640	0.505050
0.921441	470906.983587	4399063.962739	0.000000	0.000000	0.000000	1543374995.839162	0.343201	0.573524	0.492562
1.568257	470906.959867	4399063.917249	0.000000	0.000000	0.000000	1543374995.938591	0.052744	0.328593	0.233631
1.636371	470907.010040	4399063.896816	0.000000	0.000000	0.000000	1543374996.139041	0.080521	0.272167	0.305556
1.503710	470907.073465	4399063.926123	0.000000	0.000000	0.000000	1543374996.237881	0.175164	0.370110	0.417022
1.495206	470907.010731	4399063.894565	0.000000	0.000000	0.000000	1543374996.342197	0.090641	0.196057	0.376524
1.646843	470907.076148	4399063.862334	0.000000	0.000000	0.000000	1543374996.442648	0.157303	0.121117	0.353406
1.461309	470907.036550	4399063.745606	0.000000	0.000000	0.000000	1543374996.544920	0.492942	0.226851	0.407278
1.310073	470907.070980	4399063.858996	0.000000	0.000000	0.000000	1543374996.641025	0.222633	0.224864	0.440412
1.204558	470907.095318	4399063.947895	0.000000	0.000000	0.000000	1543374996.739615	0.180257	0.219841	0.448203
1.562104	470907.037521	4399063.903926	0.000000	0.000000	0.000000	1543374996.939931	0.076332	0.191739	0.417237
1.109067	470907.054263	4399063.885275	0.000000	0.000000	0.000000	1543374997.041692	0.233035	0.233449	0.422324
1.694056	470907.019206	4399063.900352	0.000000	0.000000	0.000000	1543374997.137711	0.051266	0.226609	0.343851
0.597090	470907.062469	4399063.909956	0.000000	0.000000	0.000000	1543374997.244534	0.269236	0.096488	0.377541
1.457970	470907.038773	4399063.919090	0.000000	0.000000	0.000000	1543374997.343932	0.138802	0.242998	0.199709
0.568158	470907.077388	4399063.929120	0.000000	0.000000	0.000000	1543374997.443214	0.241987	0.073199	0.255163
0.618995	470907.025428	4399063.907154	0.000000	0.000000	0.000000	1543374997.541685	0.332520	0.181648	0.272014
0.669801	470907.036984	4399063.956169	0.000000	0.000000	0.000000	1543374997.641750	0.232903	0.125125	0.238412
0.703641	470907.026719	4399063.925804	0.000000	0.000000	0.000000	1543374997.743487	0.190361	0.133678	0.285432
0.677219	470907.033296	4399064.006258	0.000000	0.000000	0.000000	1543374997.841371	0.138286	0.148344	0.385345
0.686146	470907.036528	4399063.999195	0.000000	0.000000	0.000000	1543374997.941507	0.265594	0.170920	0.281742
0.632741	470907.011628	4399063.891681	0.000000	0.000000	0.000000	1543374998.047324	0.155145	0.133196	0.152426
0.662293	470907.036265	4399063.936380	0.000000	0.000000	0.000000	1543374998.141510	0.307988	0.100433	0.164575
0.728933	470907.067556	4399063.970888	0.000000	0.000000	0.000000	1543374998.238633	0.228191	0.085860	0.351482
0.851071	470907.054949	4399064.006422	0.000000	0.000000	0.000000	1543374998.440612	0.204634	0.083627	0.381771
0.885970	470907.037854	4399063.986570	0.000000	0.000000	0.000000	1543374998.538974	0.159790	0.133198	0.189629
0.981164	470907.021515	4399063.923626	0.000000	0.000000	0.000000	1543374998.748127	0.251671	0.132318	0.205805
