front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
1.718758	470784.545656	4399368.744299	13.503625	1.013062	-13.465570	1543460255.842656	12.000000	2.200000	2.000000
1.718778	470784.653198	4399367.549219	13.510530	0.800105	-13.486817	1543460255.939015	12.000000	2.200000	2.000000
1.718757	470784.877439	4399365.159146	13.505962	1.025502	-13.466972	1543460256.039064	12.000000	2.200000	2.000000
1.718754	470784.770117	4399364.144253	13.512612	0.744822	-13.492069	1543460256.155635	12.000000	2.200000	2.000000
1.718756	470784.862983	4399363.147493	13.511773	0.749983	-13.490943	1543460256.230384	12.000000	2.200000	2.000000
1.718763	470785.262724	4399360.973954	13.502445	1.058842	-13.460865	1543460256.340133	12.000000	2.200000	2.000000
1.718754	470785.355407	4399359.977779	13.504200	1.069636	-13.461772	1543460256.444534	12.000000	2.200000	2.000000
1.718719	470785.562831	4399357.787343	13.507566	0.981849	-13.471834	1543460256.554682	12.000000	2.200000	2.000000
1.718734	470785.652326	4399356.790731	13.504077	1.069897	-13.461628	1543460256.637912	12.000000	2.200000	2.000000
1.718741	470785.744741	4399355.793969	13.504284	1.072263	-13.461647	1543460256.739821	12.000000	2.200000	2.000000
1.718739	470785.928570	4399353.800991	13.503595	1.089805	-13.459547	1543460256.842658	12.000000	2.200000	2.000000
1.718751	470786.037355	4399352.605218	13.505816	1.039900	-13.465722	1543460256.957650	12.000000	2.200000	2.000000
1.718738	470786.112217	4399351.808671	13.505741	1.038829	-13.465730	1543460257.044503	12.000000	2.200000	2.000000
1.718721	470786.299029	4399349.816268	13.506424	0.996511	-13.469612	1543460257.139809	4.400000	1.800000	2.000000
1.718711	470786.393343	4399348.820125	13.504173	1.074537	-13.461354	1543460257.239009	4.400000	1.800000	2.000000
1.718717	470786.594439	4399346.629068	13.504516	1.045520	-13.463984	1543460257.360401	4.400000	1.800000	2.000000
1.718719	470786.667427	4399345.832329	13.505746	1.038515	-13.465759	1543460257.440332	4.400000	1.800000	2.000000
1.718724	470786.758737	4399344.836736	13.505270	1.061419	-13.463495	1543460257.539451	4.400000	1.800000	2.000000
1.718830	470786.933184	4399342.843615	13.505643	1.037246	-13.465754	1543460257.639362	4.400000	1.800000	2.000000
