front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
-1.493103	470794.669944	4399275.926481	0.000000	0.000000	0.000000	1543394924.142129	0.629115	0.447483	1.234525
-1.492695	470794.654339	4399275.920922	0.000000	0.000000	0.000000	1543394924.240940	0.575866	0.469732	1.238248
-1.494817	470794.651538	4399275.912644	0.000000	0.000000	0.000000	1543394924.334215	0.561525	0.471573	1.238049
-1.512560	470794.677973	4399275.933256	0.000000	0.000000	0.000000	1543394924.536073	0.620098	0.431282	1.373271
-1.510951	470794.693955	4399275.926081	0.000000	0.000000	0.000000	1543394924.646399	0.523916	0.395018	1.390964
-1.512799	470794.700274	4399275.913194	0.000000	0.000000	0.000000	1543394924.760428	0.595243	0.473726	1.430541
-1.527606	470794.717980	4399275.950750	0.000000	0.000000	0.000000	1543394924.935419	0.681722	0.521857	1.257576
-1.534351	470794.663237	4399275.892892	0.000000	0.000000	0.000000	1543394925.048892	0.557625	0.452436	1.350150
-1.532712	470794.752268	4399275.928971	0.000000	0.000000	0.000000	1543394925.160134	0.611604	0.556851	1.366290
-1.531533	470794.688953	4399275.919692	0.000000	0.000000	0.000000	1543394925.238464	0.631856	0.417562	1.371650
-1.536283	470794.759577	4399275.927406	0.000000	0.000000	0.000000	1543394925.330922	0.645693	0.639316	1.361361
-1.545231	470794.779149	4399275.960278	0.000000	0.000000	0.000000	1543394925.440717	0.618665	0.593413	1.370497
-1.546125	470794.693567	4399275.887315	0.000000	0.000000	0.000000	1543394925.555714	0.529218	0.390509	1.366964
-1.541169	470794.743387	4399275.893928	0.000000	0.000000	0.000000	1543394925.631068	0.528488	0.605311	1.363628
-1.539411	470794.760480	4399275.793935	0.000000	0.000000	0.000000	1543394925.742022	0.571815	0.496059	1.364943
-1.537869	470794.694212	4399275.744127	0.000000	0.000000	0.000000	1543394925.840514	0.548182	0.449716	1.367476
-1.542751	470794.681843	4399275.710133	0.000000	0.000000	0.000000	1543394925.935703	0.563217	0.424304	1.366504
-1.535768	470794.694475	4399275.545331	0.988425	0.103457	-0.982996	1543394926.036325	0.597035	0.515373	1.370270
-1.429275	470794.730327	4399275.423231	0.992386	0.139559	-0.982524	1543394926.149108	0.583028	0.447699	1.369511
-1.685915	470794.695040	4399275.336921	0.992612	-0.111534	-0.986325	1543394926.241600	0.634997	0.488292	1.376683
-1.608276	470794.718055	4399275.229550	0.997701	-0.038162	-0.996971	1543394926.333448	0.553893	0.452152	1.373339
-1.521096	470794.712298	4399275.083592	0.999507	0.048732	-0.998318	1543394926.436413	0.592135	0.396948	1.361271
-1.458525	470794.723397	4399274.971409	0.994931	0.110989	-0.988721	1543394926.532312	0.598353	0.417145	1.357891
-1.456328	470794.717630	4399274.872068	0.996150	0.113916	-0.989615	1543394926.640417	0.578624	0.469174	1.356174
-1.448946	470794.724962	4399274.800666	0.995775	0.121047	-0.988391	1543394926.760798	0.611066	0.469574	1.355746
-1.466271	470794.741696	4399274.723645	0.995952	0.104085	-0.990498	1543394926.832671	0.587882	0.436679	1.353451
-1.408837	470794.766113	4399274.676068	0.989934	0.159123	-0.977062	1543394926.932290	0.682691	0.517842	1.344260
-1.461221	470794.759103	4399274.529082	0.895390	0.098427	-0.889964	1543394927.040286	0.559182	0.448934	1.342485
-1.434709	470794.768968	4399274.476136	0.992154	0.134410	-0.983007	1543394927.140614	0.626463	0.464378	1.333009
