front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
0.074056	470798.452633	4399295.569947	0.227198	-0.211768	0.082300	1543388239.441494	1.811828	0.488660	0.411500
0.097136	470799.364760	4399295.663290	0.364816	-0.334347	0.145955	1543388239.540451	0.225098	0.045873	0.382496
0.097136	470799.364760	4399295.663290	0.000000	0.000000	0.000000	1543388239.636835	0.225098	0.045873	0.382496
0.131846	470799.286669	4399295.691381	0.000000	0.000000	0.000000	1543388239.737305	0.010000	0.010000	0.361197
0.131846	470799.286669	4399295.691381	0.000000	0.000000	0.000000	1543388239.835961	0.010000	0.010000	0.361197
0.131846	470799.286669	4399295.691381	0.000000	0.000000	0.000000	1543388239.931119	0.010000	0.010000	0.361197
-1.469260	470797.608639	4399309.364439	0.000000	0.000000	0.000000	1543388240.033106	0.470000	0.470000	0.800000
-1.469506	470797.567379	4399309.606953	0.000000	0.000000	0.000000	1543388240.138125	0.470000	0.470000	0.800000
-1.469832	470797.538892	4399309.953358	0.000000	0.000000	0.000000	1543388240.239642	0.470000	0.470000	0.800000
-1.440609	470797.528897	4399310.146272	0.000000	0.000000	0.000000	1543388240.735123	0.470000	0.470000	0.800000
-1.449592	470797.553823	4399309.902230	0.000000	0.000000	0.000000	1543388240.847595	0.470000	0.470000	0.800000
-1.455826	470797.591901	4399309.554254	0.000000	0.000000	0.000000	1543388240.933409	0.470000	0.470000	0.800000
