front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
-1.496836	470794.737590	4399236.391580	1.728274	0.187917	-1.718028	1543475041.584842	4.718412	1.630737	1.924016
-1.494759	470794.769444	4399236.189447	1.726409	0.205627	-1.714119	1543475041.699367	4.741081	1.672032	1.923621
-1.496151	470794.788986	4399235.980538	1.803531	0.211611	-1.791073	1543475041.781892	4.773430	1.693478	1.924590
-1.498234	470794.787798	4399235.734247	1.752652	0.139799	-1.747068	1543475041.890346	4.641494	1.669516	1.921006
-1.500445	470794.813561	4399235.539484	1.800661	0.183232	-1.791314	1543475041.984017	4.696302	1.740672	1.921310
-1.501329	470794.816092	4399235.297664	1.835378	0.158894	-1.828488	1543475042.091109	4.678038	1.718802	1.918234
-1.500367	470794.910434	4399235.197777	1.902868	0.214311	-1.890761	1543475042.184267	4.872405	1.941052	1.919237
-1.502624	470794.844529	4399234.851035	1.935523	0.133527	-1.930911	1543475042.291172	4.591061	1.733145	1.917620
-1.502059	470794.833354	4399234.628446	1.982753	0.177821	-1.974763	1543475042.378392	4.676727	1.742687	2.087215
-1.501527	470794.857117	4399234.422592	2.026239	0.172519	-2.018882	1543475042.503253	4.666909	1.766228	1.930740
-1.499820	470794.866083	4399234.129873	2.053268	0.138313	-2.048604	1543475042.585533	4.643357	1.793516	2.085580
-1.500632	470794.919402	4399233.937094	2.061736	0.108313	-2.058889	1543475042.688941	4.716203	1.738594	1.929325
-1.502189	470794.923483	4399233.694071	2.349708	0.140796	-2.345485	1543475042.780967	4.620278	1.757626	1.937939
-1.502820	470795.091854	4399233.471008	2.258412	0.074751	-2.257174	1543475042.906714	4.651773	2.067025	1.943102
-1.504411	470794.942005	4399233.231692	2.210034	0.001056	-2.210034	1543475042.991830	4.680418	1.756729	1.950038
-1.506194	470794.958801	4399233.006754	2.112608	0.083011	-2.110976	1543475043.090442	4.738722	1.718543	1.956967
-1.504344	470794.990614	4399232.770498	2.089308	0.145889	-2.084208	1543475043.191953	4.693170	1.687125	1.962353
-1.502614	470795.078707	4399232.530986	2.230137	0.229196	-2.218328	1543475043.305718	4.774925	1.898991	1.967967
-1.501565	470795.203023	4399232.266096	2.243069	0.281190	-2.225374	1543475043.395266	4.645509	1.916117	1.973577
-1.497577	470795.144976	4399232.026886	2.248236	0.214196	-2.238010	1543475043.484126	4.646907	1.812994	1.977409
-1.496188	470795.103567	4399231.794312	2.234928	0.209279	-2.225108	1543475043.600378	4.748295	1.628394	1.990234
-1.494527	470795.167286	4399231.540698	2.306929	0.206167	-2.297698	1543475043.710421	4.733179	1.761004	1.993959
-1.500266	470795.194934	4399231.253504	2.601412	0.184063	-2.594892	1543475043.792615	4.571744	1.867611	1.997104
-1.499467	470795.153717	4399231.027900	2.475424	0.176734	-2.469107	1543475043.891429	4.708005	1.718227	2.000046
-1.499905	470795.249594	4399230.815569	2.517672	0.178736	-2.511319	1543475043.990425	4.748188	1.838990	2.000138
-1.507714	470795.265972	4399230.501629	2.646260	0.166978	-2.640987	1543475044.102145	4.678484	1.877712	1.998972
-1.491378	470795.281331	4399230.283669	2.633271	0.208428	-2.625010	1543475044.192805	4.700341	2.017254	1.999389
-1.488938	470795.303018	4399230.003033	2.634681	0.215304	-2.625869	1543475044.294650	4.705957	2.003682	1.996163
-1.468891	470795.228588	4399229.781011	2.616438	0.266045	-2.602877	1543475044.403057	4.802275	1.872560	1.998865
-1.469337	470795.189399	4399229.657516	2.414863	0.195232	-2.406958	1543475044.507511	4.975399	1.687452	2.008461
-1.513845	470795.275998	4399229.234080	2.448650	0.140285	-2.444628	1543475044.608140	4.605777	1.735416	2.011460
-1.524554	470795.347014	4399229.018132	2.451336	0.113376	-2.448713	1543475044.693665	4.643850	1.811499	2.011369
-1.520912	470795.371410	4399228.772836	2.382141	0.174153	-2.375767	1543475044.804866	4.614925	1.770156	2.009647
-1.515990	470795.390290	4399228.699509	2.367483	0.038085	-2.367177	1543475044.904822	4.951283	1.765672	2.007703
-1.501108	470795.422834	4399228.349083	2.492409	0.172516	-2.486432	1543475045.012057	4.804124	1.834691	2.005353
-1.506755	470795.536539	4399228.078940	2.458314	0.157784	-2.453245	1543475045.094592	4.675848	2.048223	2.006842
-1.467674	470795.422603	4399227.855223	2.805678	0.287976	-2.790860	1543475045.207851	4.760238	1.824121	2.010452
-1.472428	470795.575007	4399227.661726	2.354468	0.171329	-2.348226	1543475045.311133	4.785574	2.035848	2.012238
-1.507874	470795.492611	4399227.399267	2.480643	0.156036	-2.475731	1543475045.421225	4.718178	1.768426	2.010777
-1.512400	470795.482434	4399227.129676	2.426971	0.141926	-2.422817	1543475045.502506	4.713532	1.881613	2.008015
-1.510130	470795.495008	4399226.897928	2.344918	0.149887	-2.340123	1543475045.601374	4.708221	1.821051	2.005793
-1.517620	470795.670474	4399226.632204	2.419228	0.128647	-2.415805	1543475045.710953	4.692669	2.041932	2.025810
-1.508317	470795.580020	4399226.424465	2.476307	0.154223	-2.471500	1543475045.818906	4.691203	1.816547	2.028852
-1.490519	470795.721153	4399226.249721	2.524850	0.202250	-2.516737	1543475045.905069	4.717281	2.107336	2.022499
-1.468073	470795.578218	4399226.018422	2.552696	0.261578	-2.539258	1543475046.002528	4.743091	1.747436	2.017097
-1.478439	470795.581135	4399225.744214	2.747766	0.254006	-2.736000	1543475046.103925	4.639537	1.740706	2.016380
-1.469039	470795.615214	4399225.542705	2.786614	0.282750	-2.772232	1543475046.220328	4.716497	1.733280	2.013324
-1.496621	470795.657667	4399225.308839	2.708181	0.201158	-2.700700	1543475046.305152	4.738541	1.732448	2.021187
-1.500268	470795.783435	4399225.095930	2.766532	0.194708	-2.759671	1543475046.405405	4.720676	2.084315	2.015427
-1.518163	470795.685368	4399224.858200	2.570312	0.135641	-2.566731	1543475046.510371	4.782166	1.801858	2.007898
-1.515302	470795.713499	4399224.649635	2.379641	0.179736	-2.372844	1543475046.633631	4.737338	1.885050	2.001768
