front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
-1.547008	470810.235854	4399198.223819	0.000000	0.000000	0.000000	1543481257.770889	4.071904	0.758067	1.822025
-1.547359	470810.102329	4399196.985189	0.000000	0.000000	0.000000	1543481257.874073	1.663479	0.649646	1.890202
-1.551387	470810.140649	4399198.283375	0.000000	0.000000	0.000000	1543481257.967959	4.237695	0.778806	1.822005
-1.549829	470810.095177	4399198.229835	0.000000	0.000000	0.000000	1543481258.071093	4.245694	0.904415	1.820857
-1.545305	470810.096532	4399198.218691	0.000000	0.000000	0.000000	1543481258.178540	4.243528	0.928741	1.820453
-1.541502	470810.095182	4399198.218889	0.000000	0.000000	0.000000	1543481258.268974	4.240220	0.940183	1.821768
-1.538954	470810.081331	4399196.915352	0.000000	0.000000	0.000000	1543481258.370963	1.560248	0.653793	1.821720
-1.545274	470810.208514	4399197.735029	0.000000	0.000000	0.000000	1543481258.471380	3.055092	0.768700	1.821494
-1.548965	470810.183435	4399198.275981	0.000000	0.000000	0.000000	1543481258.576929	4.145463	0.716467	1.821557
-1.545287	470810.132875	4399198.247616	0.000000	0.000000	0.000000	1543481258.669907	4.253583	0.816193	1.821442
-1.552268	470810.093795	4399197.367280	0.000000	0.000000	0.000000	1543481258.773457	2.386548	0.526482	1.446133
-1.555299	470810.086160	4399197.361601	0.000000	0.000000	0.000000	1543481258.872212	2.354149	0.649110	1.912169
-1.551354	470810.023759	4399198.294070	0.000000	0.000000	0.000000	1543481258.971783	4.147690	0.998094	1.821821
-1.546648	470809.863435	4399197.365688	0.000000	0.000000	0.000000	1543481259.179389	2.400849	1.019339	1.100158
-1.548001	470810.040735	4399197.398789	0.000000	0.000000	0.000000	1543481259.280099	2.428106	0.627479	1.099455
-1.546850	470810.095950	4399197.286874	0.000000	0.000000	0.000000	1543481259.373690	2.083394	0.477048	0.722234
-1.552940	470809.797570	4399197.838730	0.000000	0.000000	0.000000	1543481259.479494	3.112728	1.580775	0.794802
-1.555254	470810.090409	4399197.001401	0.000000	0.000000	0.000000	1543481259.578847	1.626540	0.604902	1.486236
-1.555743	470810.166197	4399198.396805	0.000000	0.000000	0.000000	1543481259.680896	4.075389	0.767068	1.485162
-1.549120	470810.171846	4399197.077835	0.000000	0.000000	0.000000	1543481259.774895	1.498898	0.728551	1.486032
-1.548336	470809.797194	4399198.409055	0.000000	0.000000	0.000000	1543481259.881951	4.223889	1.483151	1.582012
-1.544883	470810.149619	4399197.121923	0.000000	0.000000	0.000000	1543481259.972944	1.593514	0.708392	1.107567
-1.545406	470810.243738	4399197.161838	0.000000	0.000000	0.000000	1543481260.074527	1.526254	0.437641	1.483085
-1.545643	470810.237210	4399197.193986	0.000000	0.000000	0.000000	1543481260.179794	1.575259	0.538579	1.481381
-1.549905	470809.804002	4399197.198221	0.000000	0.000000	0.000000	1543481260.268494	1.612808	1.258695	1.492846
-1.548155	470809.848045	4399197.351450	0.000000	0.000000	0.000000	1543481260.471410	1.542377	1.538540	1.480355
