front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
-1.510682	470903.604351	4399096.384704	0.000000	0.000000	0.000000	1543371750.885489	4.544440	1.651120	1.464460
-1.510683	470903.575222	4399096.706461	0.000000	0.000000	0.000000	1543371750.995701	4.544440	1.651120	1.464460
-1.510692	470903.542029	4399097.061292	0.000000	0.000000	0.000000	1543371751.098364	4.544440	1.651120	1.464460
-1.510691	470903.509621	4399097.419560	0.000000	0.000000	0.000000	1543371751.194329	4.544440	1.651120	1.464460
-1.510694	470903.471383	4399097.815003	0.000000	0.000000	0.000000	1543371751.294313	4.544440	1.651120	1.464460
-1.510692	470903.460636	4399097.935091	0.000000	0.000000	0.000000	1543371751.395847	4.544440	1.651120	1.464460
-1.510712	470903.449349	4399098.071928	0.000000	0.000000	0.000000	1543371751.496831	4.544440	1.651120	1.464460
-1.510689	470903.443544	4399098.131040	0.000000	0.000000	0.000000	1543371751.594017	4.544440	1.651120	1.464460
-1.510671	470903.437683	4399098.204406	0.000000	0.000000	0.000000	1543371751.688377	4.544440	1.651120	1.464460
-1.510670	470903.437056	4399098.223555	0.000000	0.000000	0.000000	1543371751.797708	4.544440	1.651120	1.464460
-1.510667	470903.431997	4399098.265222	0.000000	0.000000	0.000000	1543371751.888747	4.544440	1.651120	1.464460
-1.510652	470903.428614	4399098.294353	0.000000	0.000000	0.000000	1543371751.995188	4.544440	1.651120	1.464460
-1.510635	470903.422977	4399098.343517	0.000000	0.000000	0.000000	1543371752.097266	4.544440	1.651120	1.464460
-1.510635	470903.416812	4399098.378364	0.000000	0.000000	0.000000	1543371752.199176	4.544440	1.651120	1.464460
-1.510648	470903.437415	4399098.127935	0.000000	0.000000	0.000000	1543371752.298616	4.544440	1.651120	1.464460
-1.510668	470903.479104	4399097.669833	0.000000	0.000000	0.000000	1543371752.397190	4.544440	1.651120	1.464460
-1.510751	470903.556082	4399096.811458	0.000000	0.000000	0.000000	1543371752.497015	4.544440	1.651120	1.464460
-1.510820	470903.598148	4399096.351734	0.000000	0.000000	0.000000	1543371752.595241	4.544440	1.651120	1.464460
-1.511010	470903.753531	4399094.696374	0.000000	0.000000	0.000000	1543371752.694487	4.544440	1.651120	1.464460
-1.511127	470903.821252	4399093.979249	0.000000	0.000000	0.000000	1543371752.796901	4.544440	1.651120	1.464460
-1.511431	470903.903516	4399093.117074	0.000000	0.000000	0.000000	1543371752.897192	4.544440	1.651120	1.464460
-1.511593	470903.926152	4399092.863599	0.000000	0.000000	0.000000	1543371752.995347	4.544440	1.651120	1.464460
-1.511939	470903.937713	4399092.752149	0.000000	0.000000	0.000000	1543371753.094794	4.544440	1.651120	1.464460
-1.512140	470903.935761	4399092.774735	0.000000	0.000000	0.000000	1543371753.198106	4.544440	1.651120	1.464460
-1.512541	470903.916779	4399092.930212	0.000000	0.000000	0.000000	1543371753.297513	4.544440	1.651120	1.464460
-1.512763	470903.907156	4399093.016841	0.000000	0.000000	0.000000	1543371753.399676	4.544440	1.651120	1.464460
-1.513201	470903.954113	4399092.481420	0.000000	0.000000	0.000000	1543371753.501971	4.544440	1.651120	1.464460
-1.513379	470903.966367	4399092.346833	0.000000	0.000000	0.000000	1543371753.601837	4.544440	1.651120	1.464460
-1.513769	470903.966973	4399092.353572	0.000000	0.000000	0.000000	1543371753.696074	4.544440	1.651120	1.464460
-1.513995	470903.959990	4399092.420451	0.000000	0.000000	0.000000	1543371753.799009	4.544440	1.651120	1.464460
-1.514705	470903.992080	4399092.056483	0.000000	0.000000	0.000000	1543371753.995691	4.544440	1.651120	1.464460
-1.515161	470903.983966	4399092.139964	0.000000	0.000000	0.000000	1543371754.095055	4.544440	1.651120	1.464460
-1.515590	470903.972445	4399092.244857	0.000000	0.000000	0.000000	1543371754.196070	4.544440	1.651120	1.464460
-1.517069	470903.921336	4399092.746406	0.000000	0.000000	0.000000	1543371754.398050	4.544440	1.651120	1.464460
-1.518252	470903.884458	4399093.143483	0.000000	0.000000	0.000000	1543371754.499610	4.544440	1.651120	1.464460
-1.518933	470903.862407	4399093.353430	0.000000	0.000000	0.000000	1543371754.596732	4.544440	1.651120	1.464460
-1.520455	470903.863342	4399093.303180	0.000000	0.000000	0.000000	1543371754.697202	4.544440	1.651120	1.464460
-1.523107	470903.835728	4399093.509642	0.000000	0.000000	0.000000	1543371754.896833	4.544440	1.651120	1.464460
-1.526336	470903.931110	4399092.499605	0.000000	0.000000	0.000000	1543371755.095777	4.544440	1.651120	1.464460
-1.527493	470903.925924	4399092.626147	0.000000	0.000000	0.000000	1543371755.195752	4.544440	1.651120	1.464460
-1.529925	470903.912808	4399092.772978	0.000000	0.000000	0.000000	1543371755.300893	4.544440	1.651120	1.464460
-1.531207	470903.909947	4399092.830960	0.000000	0.000000	0.000000	1543371755.398135	4.544440	1.651120	1.464460
-1.532964	470903.902516	4399092.952762	0.000000	0.000000	0.000000	1543371755.495901	4.544440	1.651120	1.464460
-1.537802	470903.833515	4399093.824661	0.000000	0.000000	0.000000	1543371755.704437	4.544440	1.651120	1.464460
-1.539311	470903.836241	4399093.864273	0.000000	0.000000	0.000000	1543371755.797050	4.544440	1.651120	1.464460
-1.543533	470903.839543	4399094.019339	0.000000	0.000000	0.000000	1543371755.996343	4.544440	1.651120	1.464460
-1.546091	470903.834672	4399094.187203	0.000000	0.000000	0.000000	1543371756.097933	4.544440	1.651120	1.464460
-1.547258	470903.819659	4399094.417698	0.000000	0.000000	0.000000	1543371756.196778	4.544440	1.651120	1.464460
-1.549356	470903.771287	4399095.112837	0.000000	0.000000	0.000000	1543371756.398118	4.544440	1.651120	1.464460
-1.550661	470903.741741	4399095.645276	0.000000	0.000000	0.000000	1543371756.497068	4.544440	1.651120	1.464460
-1.550894	470903.750654	4399095.612287	0.000000	0.000000	0.000000	1543371756.596706	4.544440	1.651120	1.464460
-1.550589	470903.740342	4399096.019041	0.000000	0.000000	0.000000	1543371756.695985	4.544440	1.651120	1.464460
-1.549997	470903.745855	4399096.093673	0.000000	0.000000	0.000000	1543371756.796371	4.544440	1.651120	1.464460
-1.548022	470903.775615	4399096.102919	0.000000	0.000000	0.000000	1543371756.897485	4.544440	1.651120	1.464460
-1.545038	470903.784175	4399096.229033	0.000000	0.000000	0.000000	1543371756.997712	4.544440	1.651120	1.464460
-1.543156	470903.800738	4399096.218401	0.000000	0.000000	0.000000	1543371757.096147	4.544440	1.651120	1.464460
-1.536204	470903.880251	4399095.690031	0.000000	0.000000	0.000000	1543371757.297443	4.544440	1.651120	1.464460
-1.533538	470903.911209	4399095.474038	0.000000	0.000000	0.000000	1543371757.401290	4.544440	1.651120	1.464460
-1.527923	470903.961791	4399095.046283	0.000000	0.000000	0.000000	1543371757.501771	4.544440	1.651120	1.464460
