front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
-1.116424	470777.574484	4399490.747945	0.000000	0.000000	0.000000	1543458651.447663	2.077568	0.425314	0.537416
-1.117681	470777.424704	4399490.706608	0.000000	0.000000	0.000000	1543458651.548834	2.073394	0.134269	0.534930
-1.107127	470777.552342	4399490.750286	0.000000	0.000000	0.000000	1543458651.648042	2.105804	0.419166	0.557731
-1.106047	470777.656985	4399490.729891	0.000000	0.000000	0.000000	1543458651.752845	2.071653	0.474163	0.570723
-1.101731	470777.620977	4399490.605515	0.000000	0.000000	0.000000	1543458651.849517	1.852970	0.245413	0.545106
-1.099141	470777.526901	4399490.747550	0.000000	0.000000	0.000000	1543458651.960543	2.077299	0.267258	0.539979
-1.102451	470777.628842	4399490.698524	0.000000	0.000000	0.000000	1543458652.049563	1.942324	0.404727	0.547925
-1.101008	470777.517868	4399490.715145	0.000000	0.000000	0.000000	1543458652.147773	2.091952	0.175651	0.549857
-1.097013	470777.586865	4399490.786850	0.000000	0.000000	0.000000	1543458652.249156	2.160451	0.452863	0.533292
-1.091738	470777.633508	4399490.786660	0.000000	0.000000	0.000000	1543458652.359080	2.134261	0.406467	0.566284
-1.093096	470777.591648	4399490.739354	0.000000	0.000000	0.000000	1543458652.448935	2.013823	0.374985	0.564096
-1.093896	470777.532645	4399490.751678	0.000000	0.000000	0.000000	1543458652.553951	2.124208	0.274725	0.560847
-1.091316	470777.618917	4399490.775650	0.000000	0.000000	0.000000	1543458652.656782	2.069068	0.366736	0.548750
-1.103358	470777.598784	4399490.745575	0.000000	0.000000	0.000000	1543458652.753385	2.066208	0.386844	0.557708
-1.101326	470777.513062	4399490.705460	0.000000	0.000000	0.000000	1543458652.863120	2.092699	0.206713	0.568683
-1.070610	470777.503622	4399490.757368	0.000000	0.000000	0.000000	1543458652.954903	2.156222	0.302074	0.598377
-1.131828	470778.134021	4399489.876765	0.000000	0.000000	0.000000	1543458653.057640	0.263555	0.421397	0.087817
